SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
251,53601,11,53601,9,706,2,706
1642,290438,33,290438,8,714,1,714
1494,236845,43,236845,13,701,1,701
493,106255,18,106255,5,705,1,705
1029,201107,47,201107,7,693,2,693
521,124948,20,124948,5,686,4,686
638,117047,12,117047,8,718,5,718
804,155705,35,155705,9,737,10,737
276,75152,8,75152,6,701,2,701
2948,438902,50,438902,9,756,2,756
1637,287200,43,287200,13,696,2,696
2518,354254,30,354254,9,689,2,689
2724,412354,84,412354,6,745,5,745
884,180726,34,180726,8,739,1,739
1320,186516,46,186516,14,690,3,690
1039,219321,33,219321,7,723,2,723
466,73280,6,73280,8,676,1,676
402,66413,9,66413,10,690,1,690
580,56818,4,56818,18,756,3,756
372,52317,5,52317,17,689,1,689
211,33069,9,33069,15,715,3,715
357,77545,13,77545,13,708,5,708
683,90208,18,90208,14,744,4,744
320,63908,12,63908,7,729,1,729
623,115600,12,115600,7,733,1,733
1222,235637,34,235637,9,718,2,718
437,74644,18,74644,7,689,3,689
567,75435,12,75435,13,716,2,716
348,64512,11,64512,10,683,1,683
231,51199,8,51199,12,695,2,695
511,76223,19,76223,13,687,1,687
1930,235834,33,235834,14,724,2,724
1183,131350,19,131350,10,659,6,659
533,76816,5,76816,10,684,2,684
888,200932,30,200932,7,711,0,711
1404,205839,39,205839,8,727,7,727
800,180797,20,180797,8,729,5,729
333,55584,9,55584,6,741,2,741
423,66106,10,66106,11,689,2,689
341,78054,11,78054,13,738,4,738
421,73239,8,73239,7,702,2,702
598,77261,19,77261,13,758,5,758
353,65809,12,65809,8,737,3,737
328,51601,12,51601,10,739,4,739
482,77279,9,77279,14,737,0,737
469,72978,23,72978,8,708,6,708
626,90220,7,90220,10,734,0,734
2083,386324,36,386324,10,771,4,771
305,59983,20,59983,10,697,4,697
960,169676,33,169676,10,686,6,686
156,37924,12,37924,6,678,2,678
435,49003,11,49003,14,739,4,739
319,64497,9,64497,8,740,0,740
1502,233503,29,233503,11,738,5,738
1096,164844,16,164844,14,685,1,685
822,136952,19,136952,10,675,1,675
666,143505,16,143505,7,688,1,688
159,36271,10,36271,7,718,6,718
678,95223,33,95223,10,723,1,723
1123,268184,29,268184,8,699,1,699
3328,619243,41,619243,10,749,2,749
540,99731,18,99731,8,700,5,700
462,81245,15,81245,10,691,0,691
290,67169,13,67169,8,670,6,670
853,204363,32,204363,5,734,1,734
414,81975,9,81975,8,705,1,705
