source,target
0,15085
0,15135
1,11676
2,14043
3,14223
4,14916
5,12912
6,13721
7,14242
8,15085
9,6641
10,12015
11,14133
12,14988
13,14581
14,13098
14,14380
15,13873
16,10132
17,14264
18,10446
19,14862
20,12375
21,9532
22,14210
23,14682
24,13996
25,12960
26,14838
27,7437
28,14070
29,14509
30,14458
31,15018
32,15012
33,14718
34,13441
35,10246
35,15154
36,13567
37,14857
38,13503
39,15056
40,13694
41,15092
42,15072
43,7043
44,15074
45,13591
46,9120
47,9339
48,13063
49,14674
50,12169
51,11589
52,15065
53,14802
54,15100
55,14187
56,14764
57,15086
58,8376
59,3794
59,12037
60,14448
61,13075
62,15095
63,14082
63,15332
64,14858
65,11269
66,15093
67,75
67,15230
68,11408
69,14676
70,12450
71,4212
71,12599
72,14746
73,14447
74,15042
76,12943
77,14703
78,11024
79,9893
80,15032
81,11242
82,13903
83,14263
84,10897
85,15011
86,15073
87,15100
88,15061
89,14200
90,14681
91,14856
92,15072
93,2767
94,13987
95,6931
96,4718
97,15094
98,14546
99,15092
100,15074
101,11980
101,15385
102,13484
103,14538
104,15076
105,13852
106,2983
107,12794
108,15035
109,9216
110,13768
111,14693
112,12132
113,14979
114,14997
115,9164
116,15084
117,10584
118,13965
119,14795
120,15002
121,15097
122,15082
123,14844
124,15067
125,10605
126,14352
127,14684
128,12232
129,12570
130,4635
130,15171
131,9676
132,15077
133,12593
133,12313
134,14879
135,11731
136,13248
137,13328
138,14804
139,14113
140,11638
141,7254
142,14784
143,14605
144,14920
145,4936
146,15094
147,12657
148,14940
149,15080
150,13574
151,12573
152,14725
153,15091
154,8770
155,11289
156,12440
157,11525
158,15074
159,13721
160,12042
161,12748
162,7346
163,570
164,14283
165,14563
166,10220
167,14338
168,15036
169,10793
170,12547
171,13957
172,10870
173,15086
174,14057
175,15010
176,13128
177,2665
178,12365
179,13580
180,14826
181,14797
182,14757
183,12864
184,13929
185,1607
186,9137
187,13546
188,11216
189,6475
190,13601
191,15050
192,8257
193,14710
194,12570
195,3139
196,14989
197,13453
198,13536
199,14832
200,13846
201,15075
202,15081
203,15085
