ID1,ID2,Distance
N18752|2243|3.910053,N18748|7608|1.693224,0.0105812
N13255|9334|0.732656,N13257|8535|1.961343,0.0122392
N18752|2243|3.910053,N18750|9297|0.554293,0.00648947
N18752|2243|3.910053,N18751|1675|2.318236,0.0097647
N17113|9032|0.007714,N17095|12387|0.908207,0.0138935
N17113|9032|0.007714,N17114|7243|6.313048,0.0139048
N17113|9032|0.007714,N17107|3115|0.636729,0.0122431
N17113|9032|0.007714,N17111|4570|1.322927,0.0147187
N21045|4112|6.560064,N21038|14085|0.786597,0.0130803
N18355|4380|1.222785,N18361|1485|0.220903,0.00568627
N18355|4380|1.222785,N18362|11896|4.950365,0.00895803
N18355|4380|1.222785,N18359|3327|1.446908,0.00815639
N21045|4112|6.560064,N21036|3478|1.826796,0.012237
N21045|4112|6.560064,N21035|11088|1.360689,0.0106007
N18355|4380|1.222785,N18356|10707|1.488468,0.00486818
N18355|4380|1.222785,N18358|5564|0.924073,0.00405239
N14505|12385|0.065241,N14499|2065|4.093169,0.0138646
N14505|12385|0.065241,N14502|2766|1.598159,0.00242765
N14505|12385|0.065241,N14482|1683|0.804312,0.014719
N14505|12385|0.065241,N14475|13376|0.522335,0.00731181
N14505|12385|0.065241,N14491|8909|2.595984,0.0114302
N14505|12385|0.065241,N14517|5122|0.120976,0.0130507
N18355|4380|1.222785,N18357|11175|0.52674,0.00567647
N18355|4380|1.222785,N18360|6473|0.717577,0.00651903
N14505|12385|0.065241,N14498|6364|3.164645,0.0138899
N14505|12385|0.065241,N14495|7293|0.024858,0.00977371
N14686|6138|3.551368,N14688|10077|0.314173,0.00487683
N14686|6138|3.551368,N14685|6585|0.76909,0.0130672
N14686|6138|3.551368,N14691|8627|2.133275,0.0130674
N19640|5374|0.419082,N19641|5842|3.111407,0.0114075
N14686|6138|3.551368,N14687|3261|1.051086,0.00487683
N19640|5374|0.419082,N19638|4438|1.033169,0.000808547
N14686|6138|3.551368,N14683|8762|1.941054,0.0130975
N14686|6138|3.551368,N14693|9351|1.962663,0.0147434
N14686|6138|3.551368,N14689|6954|2.181603,0.00895943
N13816|6773|1.259923,N13817|11925|1.479838,0.00895901
N13816|6773|1.259923,N13830|2021|0.094298,0.014736
N13816|6773|1.259923,N13815|5312|2.018678,0.00649839
N13816|6773|1.259923,N13814|9479|0.582916,0.00895898
N13816|6773|1.259923,N13819|6558|0.299608,0.00812727
N13816|6773|1.259923,N13813|11130|0.725516,0.00896158
N13837|5739|0.327094,N13843|4441|0.52746,0.00731141
N13816|6773|1.259923,N13825|9982|3.32877,0.013875
N13837|5739|0.327094,N13846|2555|0.971677,0.0114017
N13816|6773|1.259923,N13829|12248|0.462202,0.0122491
N13837|5739|0.327094,N13850|13335|2.065867,0.0138901
N13837|5739|0.327094,N13849|8163|1.853172,0.013085
N13816|6773|1.259923,N13822|10970|0.62554,0.00979897
N13837|5739|0.327094,N13848|4211|2.972698,0.013085
N13837|5739|0.327094,N13844|9260|1.989439,0.00976468
N15470|4529|1.790746,N15481|6801|0.075173,0.0114071
N15470|4529|1.790746,N15476|6516|7.180676,0.0130439
N15470|4529|1.790746,N15479|12305|1.144249,0.0114071
N15470|4529|1.790746,N15473|12831|1.822721,0.00812682
N15470|4529|1.790746,N15474|10392|0.297005,0.00649097
N15470|4529|1.790746,N15471|10113|0.306839,0.00567964
N15470|4529|1.790746,N15469|3440|0.281673,0.00812218
N15470|4529|1.790746,N15477|11579|5.422024,0.0138739
N17638|8145|1.243413,N17653|2175|0.051687,0.014718
N17638|8145|1.243413,N17630|4687|4.599834,0.0114067
N17638|8145|1.243413,N17627|10449|0.116571,0.0130858
N17638|8145|1.243413,N17650|4149|0.068338,0.0147235
N13228|14558|28.814422,N13227|8287|34.182299,0.00649882
N13228|14558|28.814422,N13226|7300|33.724293,0.00404773
N17638|8145|1.243413,N17635|13716|2.851045,0.0114454
N17638|8145|1.243413,N17645|7341|0.213177,0.0147238
N17638|8145|1.243413,N17631|3841|1.921912,0.00976797
N17638|8145|1.243413,N17642|7081|0.333177,0.0147359
N17638|8145|1.243413,N17637|1765|1.617871,0.0122482
N17638|8145|1.243413,N17636|9146|2.19392,0.00813475
N13227|8287|34.182299,N13226|7300|33.724293,0.0105901
N14717|10348|0.004876,N14722|5126|0.250292,0.0130976
N14717|10348|0.004876,N14716|13527|1.895308,0.0122273
N14717|10348|0.004876,N14713|5753|1.098973,0.0130595
N14717|10348|0.004876,N14714|3378|1.707993,0.0065007
N13229|12249|11.526354,N13230|14411|2.872015,0.0122396
N13230|14411|2.872015,N13231|9493|11.038472,0.0114249
N13230|14411|2.872015,N13225|11932|2.601266,0.00571084
N14720|13009|62.529624,N14719|10923|68.162916,0.00486751
N13231|9493|11.038472,N13225|11932|2.601266,0.0122539
N16061|2461|0.026905,N16057|5906|1.671175,0.00975812
N16061|2461|0.026905,N16060|6919|0.50264,0
N16061|2461|0.026905,N16040|15112|2.954305,0.0130559
N16061|2461|0.026905,N16058|7172|0.866451,0.00976186
N16529|2004|0.263935,N16531|4417|3.490109,0.0105813
N16264|7749|1.319203,N16284|12976|0.506716,0.0130557
N16264|7749|1.319203,N16257|13802|4.12915,0.0122274
N16264|7749|1.319203,N16252|13348|1.069329,0.00977549
N13009|3664|2.901916,N13007|11773|0.083829,0.00731154
N13009|3664|2.901916,N13005|14218|1.545079,0.0106035
N13009|3664|2.901916,N13006|12447|4.778465,0.00731359
N13009|3664|2.901916,N13015|11484|3.463094,0.0147544
N13009|3664|2.901916,N13014|8043|0.467415,0.00894627
N15232|10590|1.222559,N15233|13566|3.762215,0.00323803
N15232|10590|1.222559,N15227|2278|3.572426,0.0114177
N15232|10590|1.222559,N15226|2069|3.717892,0.0122558
N15232|10590|1.222559,N15229|5095|1.12311,0.00649199
N15232|10590|1.222559,N15242|8075|1.136327,0.0138961
N15232|10590|1.222559,N15230|11992|2.663587,0.00813175
N15232|10590|1.222559,N15235|11315|8.587011,0.0122486
N15232|10590|1.222559,N15237|11090|1.343959,0.00649472
N21299|8702|2.478973,N21305|2870|5.727043,0.0147178
N21299|8702|2.478973,N21245|2539|0.777394,0.0138902
N21299|8702|2.478973,N21303|2956|1.420986,0.0130462
N21299|8702|2.478973,N21296|13815|1.150655,0.01059
N21299|8702|2.478973,N21298|9498|0.199466,0.0122416
N15233|13566|3.762215,N15227|2278|3.572426,0.0130459
N21299|8702|2.478973,N21238|1479|0.108995,0.0147098
N15233|13566|3.762215,N15226|2069|3.717892,0.0139235
N21299|8702|2.478973,N21308|12960|1.20379,0.0122248
N15233|13566|3.762215,N15229|5095|1.12311,0.00812418
N21299|8702|2.478973,N21304|8270|0.050187,0.0122278
N21299|8702|2.478973,N21278|14544|0.186008,0.0138755
N15233|13566|3.762215,N15230|11992|2.663587,0.00978618
N15233|13566|3.762215,N15235|11315|8.587011,0.0138985
N15233|13566|3.762215,N15237|11090|1.343959,0.0081318
N21299|8702|2.478973,N21300|2871|1.52914,0.00978478
N21299|8702|2.478973,N21244|5862|0.901732,0.00894157
N21299|8702|2.478973,N21246|9120|0.048745,0.0138957
N21299|8702|2.478973,N21302|5670|5.326606,0.0114096
N21299|8702|2.478973,N21297|14183|0.856642,0.00894157
N21299|8702|2.478973,N21307|14951|0.149997,0.0147178
N21299|8702|2.478973,N21241|7340|0.669132,0.0147233
N21299|8702|2.478973,N21270|6569|0.379488,0.0147238
N19242|7586|0.707746,N19180|3789|0.884451,0.0147221
N19242|7586|0.707746,N19206|13621|0.304782,0.0139003
N19242|7586|0.707746,N19179|13314|0.086577,0.0130871
N19242|7586|0.707746,N19188|4224|0.681568,0.0148025
N19242|7586|0.707746,N19230|5759|0.89535,0.00569573
N19242|7586|0.707746,N19250|10881|0.165124,0.0138767
N19242|7586|0.707746,N19178|2482|1.285596,0.0131047
N19242|7586|0.707746,N19176|14043|0.808525,0.0139191
N19242|7586|0.707746,N19251|8654|1.253378,0.0138852
N19242|7586|0.707746,N19259|10167|1.555874,0.0130557
N19242|7586|0.707746,N19241|8365|0.556448,0.00568631
N19242|7586|0.707746,N19254|11572|0.108002,0.0114182
N19242|7586|0.707746,N19243|8536|3.806267,0.00813496
N19242|7586|0.707746,N19162|15359|0.479092,0.0131242
N19242|7586|0.707746,N19220|2562|0.541874,0.0131246
N19242|7586|0.707746,N19244|8181|0.286649,0.0106342
N19242|7586|0.707746,N19265|5590|0.001916,0.0130679
N19242|7586|0.707746,N19253|12105|2.281158,0.0147576
N19242|7586|0.707746,N19223|2686|0.065674,0.0147632
N19242|7586|0.707746,N19195|12838|0.04185,0.0139383
N19242|7586|0.707746,N19247|9843|1.048912,0.0130808
N19242|7586|0.707746,N19262|15000|2.694608,0.0130665
N19242|7586|0.707746,N19231|12460|0.549294,0.00734486
N19242|7586|0.707746,N19233|13493|5.889253,0.0130851
N19242|7586|0.707746,N19249|10457|1.939617,0.0114198
N19242|7586|0.707746,N19209|6792|1.05726,0.0148085
N19242|7586|0.707746,N19264|8458|0.416747,0.0114182
N19242|7586|0.707746,N19248|4222|2.535545,0.0139162
N19242|7586|0.707746,N19255|13594|0.077035,0.0114182
N16672|1828|6.522738,N16673|4601|1.824735,0.00976257
N16672|1828|6.522738,N16675|14276|2.906103,0.0130571
N16997|1838|0.272815,N17010|11523|3.394658,0.00730907
N16997|1838|0.272815,N16995|2726|0.354525,0.003238
N16997|1838|0.272815,N17025|6571|0.13856,0.0130512
N18600|8141|0.724699,N18602|11284|0.028662,0.00323718
N16997|1838|0.272815,N17007|7415|2.920685,0.00731062
N16997|1838|0.272815,N17008|3699|0.411609,0.00648609
N16997|1838|0.272815,N17009|7515|0.522718,0.00730453
N16997|1838|0.272815,N17018|5889|3.446599,0.00811912
N16997|1838|0.272815,N17003|14937|0.620791,0.00730464
N16997|1838|0.272815,N17006|11805|4.95308,0.012237
N16997|1838|0.272815,N17021|3525|2.446061,0.0130511
N18600|8141|0.724699,N18593|11745|1.096722,0.0106083
N18600|8141|0.724699,N18594|9990|3.143141,0.0114497
N16997|1838|0.272815,N16999|9442|1.515495,0.00567285
N16997|1838|0.272815,N17000|3019|2.699946,0.0114092
N18600|8141|0.724699,N18605|7575|1.373014,0.0147347
N16997|1838|0.272815,N16996|3145|1.020762,0.00486061
N16997|1838|0.272815,N17001|8014|0.418882,0.00486028
N20344|3711|1.284945,N20358|11464|2.555073,0.0122369
N20344|3711|1.284945,N20347|14467|3.189033,0.0147624
N20344|3711|1.284945,N20352|13904|1.731293,0.0138994
N20344|3711|1.284945,N20353|9240|3.912226,0.0130596
N15516|11764|1.282087,N15541|13806|1.176034,0.0114242
N15516|11764|1.282087,N15503|6139|3.389378,0.0130662
N15516|11764|1.282087,N15502|1896|3.087201,0.013903
N15516|11764|1.282087,N15529|11277|1.329163,0.0130511
N15516|11764|1.282087,N15518|4778|1.550848,0.00649192
N15516|11764|1.282087,N15507|9695|1.882571,0.0138769
N15516|11764|1.282087,N15521|11757|1.744273,0.0122677
N15516|11764|1.282087,N15505|12076|1.606032,0.0122174
N15516|11764|1.282087,N15537|9829|1.218406,0.0130738
N15516|11764|1.282087,N15498|2417|0.129518,0.0114147
N15516|11764|1.282087,N15515|14412|0.562367,0.00893724
N15516|11764|1.282087,N15512|14842|1.9887,0.0130363
N15516|11764|1.282087,N15506|14766|0.747628,0.0130513
N15516|11764|1.282087,N15519|13080|1.002882,0.0122678
N15516|11764|1.282087,N15528|9499|0.337542,0.0122248
N15516|11764|1.282087,N15522|13323|1.199862,0.0130504
N15516|11764|1.282087,N15532|15079|3.804612,0.0138861
N13215|2141|1.941158,N13211|3596|0.122432,0.00568855
N13215|2141|1.941158,N13193|5678|1.071042,0.0130981
N13215|2141|1.941158,N13194|11742|0.657866,0.013085
N13215|2141|1.941158,N13206|10606|0.452726,0.0123017
N13215|2141|1.941158,N13209|6093|0.018296,0.00731352
N13215|2141|1.941158,N13188|3511|0.688023,0.0106306
N13215|2141|1.941158,N13214|5072|2.033262,0.00567955
N13215|2141|1.941158,N13205|13799|4.875457,0.0130816
N13215|2141|1.941158,N13189|8888|1.565205,0.0130979
N13215|2141|1.941158,N13212|6425|0.011646,0.00569823
N13215|2141|1.941158,N13208|7706|0.67631,0.00976817
N13215|2141|1.941158,N13190|10263|1.475003,0.013066
N13215|2141|1.941158,N13191|10920|0.080501,0.014738
N13215|2141|1.941158,N13192|13578|0.29476,0.0122638
N13215|2141|1.941158,N13216|12659|0.250642,0.00652207
N13215|2141|1.941158,N13187|8402|0.006275,0.0106142
N13215|2141|1.941158,N13217|14732|0.036614,0.00732051
