,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,990,168942,19,168942,56,3553,10,3553
0,473,89471,19,89471,52,3570,13,3570
0,599,91536,14,91536,43,3482,13,3482
0,296,38904,5,38904,53,3539,16,3539
0,730,118352,6,118352,61,3576,10,3576
0,460,63421,8,63421,42,3534,11,3534
0,741,87604,14,87604,79,3522,9,3522
0,809,146844,7,146844,47,3546,10,3546
0,428,71713,16,71713,37,3539,16,3539
0,2069,392778,29,392778,51,3592,23,3592
0,1233,213900,22,213900,46,3523,15,3523
0,503,67889,10,67889,65,3593,11,3593
0,598,93305,9,93305,60,3629,14,3629
0,1324,244172,25,244172,47,3540,7,3540
0,859,112918,18,112918,52,3567,11,3567
0,498,76233,9,76233,53,3587,11,3587
0,479,72196,13,72196,59,3631,11,3631
0,606,113831,15,113831,42,3609,11,3609
0,257,39095,4,39095,61,3538,14,3538
0,2087,286865,33,286865,61,3522,15,3522
0,910,129263,33,129263,59,3544,19,3544
0,3004,513133,77,513133,40,3568,9,3568
0,722,145931,26,145931,45,3581,9,3581
0,674,87341,13,87341,66,3591,13,3591
0,568,118976,18,118976,37,3538,15,3538
0,1161,177873,15,177873,55,3573,7,3573
0,743,130721,9,130721,41,3528,10,3528
0,699,116832,19,116832,48,3604,8,3604
0,2057,327967,61,327967,52,3525,14,3525
0,2568,310655,20,310655,53,3485,12,3485
0,624,95375,20,95375,41,3648,14,3648
0,5679,902181,110,902181,70,3637,16,3637
0,854,133291,20,133291,46,3546,10,3546
0,599,142728,12,142728,31,3667,12,3667
0,263,40870,7,40870,56,3646,6,3646
0,296,51983,5,51983,37,3679,11,3679
0,379,50182,12,50182,51,3597,17,3597
0,335,68291,9,68291,51,3506,10,3506
0,279,53719,8,53719,40,3516,13,3516
0,773,128180,18,128180,42,3641,11,3641
0,332,54727,11,54727,42,3626,11,3626
0,462,77669,6,77669,45,3555,12,3555
0,710,102371,14,102371,47,3623,9,3623
0,388,69067,12,69067,41,3565,16,3565
0,1499,232547,29,232547,56,3554,8,3554
0,490,60919,16,60919,51,3554,9,3554
0,442,78211,9,78211,50,3633,12,3633
0,940,105228,4,105228,83,3604,8,3604
0,385,75488,25,75488,41,3591,12,3591
0,981,91962,10,91962,81,3637,11,3637
0,642,89418,14,89418,50,3576,16,3576
0,538,92227,6,92227,53,3572,13,3572
0,865,121142,11,121142,53,3551,11,3551
0,606,97836,13,97836,52,3542,12,3542
0,1164,181598,20,181598,51,3523,9,3523
0,191,39186,6,39186,51,3520,8,3520
0,716,112072,10,112072,53,3551,17,3551
0,479,72685,11,72685,43,3548,12,3548
0,603,82676,22,82676,54,3593,16,3593
0,738,93457,16,93457,42,3550,17,3550
0,712,112387,17,112387,54,3495,15,3495
0,1877,215227,28,215227,65,3553,13,3553
0,292,42354,4,42354,63,3724,6,3724
0,596,92353,9,92353,42,3634,6,3634
0,223,64503,8,64503,37,3601,12,3601
0,635,90778,12,90778,61,3582,15,3582
0,1839,270097,25,270097,36,3577,8,3577
0,459,82779,9,82779,45,3508,11,3508
0,450,71944,19,71944,41,3595,22,3595
0,942,129827,22,129827,58,3563,14,3563
0,797,110960,9,110960,58,3529,9,3529
0,1050,150096,15,150096,64,3577,9,3577
0,1058,162819,18,162819,49,3573,10,3573
0,1534,260570,11,260570,69,3425,8,3425
0,304,49357,8,49357,46,3473,15,3473
0,1085,180210,7,180210,54,3597,8,3597
0,423,59381,8,59381,69,3551,9,3551
0,208,31747,2,31747,45,3420,15,3420
0,272,47861,9,47861,57,3518,21,3518
0,1376,162468,14,162468,72,3643,10,3643
0,412,55326,3,55326,45,3555,10,3555
0,939,176785,8,176785,48,3602,10,3602
0,579,118066,10,118066,59,3570,10,3570
0,909,130398,15,130398,34,3557,13,3557
0,560,118089,21,118089,49,3478,11,3478
0,1141,171195,19,171195,68,3577,8,3577
0,794,118647,9,118647,52,3660,10,3660
0,522,91897,21,91897,44,3549,11,3549
0,632,92230,16,92230,57,3602,12,3602
0,187,40953,6,40953,49,3648,8,3648
0,418,56223,3,56223,66,3469,14,3469
0,980,186728,39,186728,60,3560,11,3560
0,317,59354,8,59354,44,3439,21,3439
0,1227,247636,22,247636,50,3576,9,3576
0,865,115930,9,115930,65,3568,7,3568
0,815,139188,20,139188,43,3502,11,3502
0,479,82453,12,82453,56,3539,19,3539
0,763,121288,14,121288,72,3560,12,3560
0,848,142341,20,142341,45,3497,10,3497
0,1054,145716,10,145716,67,3588,12,3588
0,315,64809,5,64809,30,3628,18,3628
0,261,45047,8,45047,54,3561,14,3561
0,677,105118,28,105118,54,3462,12,3462
0,980,151556,19,151556,48,3582,13,3582
0,638,151401,28,151401,38,3491,12,3491
0,310,59313,14,59313,45,3559,13,3559
0,396,82356,12,82356,65,3532,11,3532
0,980,127433,30,127433,59,3600,16,3600
0,11229,1695511,155,1695511,52,3507,15,3507
0,618,135118,33,135118,51,3634,15,3634
0,1674,282555,19,282555,42,3570,7,3570
0,409,54537,14,54537,30,3488,19,3488
0,409,57900,11,57900,69,3617,13,3617
0,655,166023,22,166023,32,3576,11,3576
0,1233,214956,20,214956,45,3607,11,3607
0,576,102499,37,102499,46,3546,15,3546
0,949,128417,27,128417,50,3596,10,3596
0,1517,361289,29,361289,36,3601,14,3601
