SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
757,168942,24,168942,39,3553,14,3553
644,89471,6,89471,52,3570,17,3570
642,91536,12,91536,67,3482,11,3482
525,38904,7,38904,84,3539,15,3539
719,118352,11,118352,57,3576,10,3576
528,63421,13,63421,41,3534,12,3534
832,87604,31,87604,71,3522,18,3522
1230,146844,25,146844,64,3546,13,3546
489,71713,18,71713,60,3539,15,3539
2853,392778,47,392778,51,3592,14,3592
2127,213900,32,213900,56,3523,14,3523
533,67889,8,67889,68,3593,8,3593
757,93305,17,93305,56,3629,15,3629
2094,244172,11,244172,84,3540,8,3540
831,112918,22,112918,47,3567,11,3567
736,76233,13,76233,80,3587,7,3587
544,72196,22,72196,62,3631,16,3631
519,113831,11,113831,40,3609,10,3609
308,39095,11,39095,65,3538,15,3538
2232,286865,20,286865,85,3522,14,3522
919,129263,22,129263,76,3544,20,3544
5912,513133,92,513133,82,3568,18,3568
765,145931,12,145931,53,3581,19,3581
676,87341,21,87341,62,3591,17,3591
986,118976,9,118976,72,3538,9,3538
917,177873,23,177873,42,3573,7,3573
1024,130721,22,130721,48,3528,17,3528
863,116832,15,116832,63,3604,18,3604
2274,327967,62,327967,49,3525,12,3525
2401,310655,52,310655,55,3485,16,3485
855,95375,15,95375,52,3648,19,3648
4773,902181,80,902181,40,3637,13,3637
1247,133291,11,133291,60,3546,10,3546
980,142728,19,142728,77,3667,8,3667
462,40870,4,40870,66,3646,7,3646
599,51983,9,51983,91,3679,13,3679
367,50182,8,50182,55,3597,6,3597
486,68291,23,68291,54,3506,15,3506
467,53719,6,53719,71,3516,12,3516
814,128180,13,128180,61,3641,13,3641
363,54727,10,54727,70,3626,11,3626
660,77669,9,77669,73,3555,10,3555
932,102371,6,102371,60,3623,7,3623
583,69067,4,69067,75,3565,10,3565
1683,232547,14,232547,75,3554,15,3554
597,60919,14,60919,64,3554,12,3554
724,78211,18,78211,70,3633,21,3633
713,105228,20,105228,65,3604,14,3604
472,75488,26,75488,72,3591,7,3591
624,91962,22,91962,47,3637,11,3637
573,89418,11,89418,58,3576,10,3576
479,92227,15,92227,47,3572,16,3572
1275,121142,22,121142,68,3551,14,3551
739,97836,6,97836,54,3542,8,3542
1562,181598,17,181598,49,3523,10,3523
292,39186,5,39186,64,3520,10,3520
847,112072,9,112072,55,3551,8,3551
787,72685,6,72685,73,3548,9,3548
707,82676,12,82676,83,3593,21,3593
720,93457,8,93457,54,3550,15,3550
785,112387,11,112387,59,3495,12,3495
1841,215227,52,215227,60,3553,10,3553
336,42354,14,42354,64,3724,16,3724
827,92353,16,92353,59,3634,10,3634
528,64503,9,64503,74,3601,11,3601
370,90778,13,90778,36,3582,16,3582
2640,270097,48,270097,69,3577,13,3577
614,82779,6,82779,61,3508,3,3508
427,71944,11,71944,50,3595,13,3595
913,129827,29,129827,64,3563,10,3563
983,110960,22,110960,63,3529,9,3529
1025,150096,18,150096,45,3577,13,3577
1484,162819,15,162819,78,3573,12,3573
1601,260570,13,260570,43,3425,10,3425
535,49357,10,49357,62,3473,13,3473
1322,180210,27,180210,60,3597,9,3597
496,59381,23,59381,66,3551,13,3551
278,31747,6,31747,63,3420,11,3420
428,47861,3,47861,92,3518,12,3518
1081,162468,18,162468,45,3643,9,3643
379,55326,16,55326,60,3555,12,3555
1208,176785,22,176785,73,3602,12,3602
717,118066,5,118066,58,3570,7,3570
1157,130398,19,130398,65,3557,8,3557
851,118089,28,118089,67,3478,14,3478
1045,171195,38,171195,46,3577,19,3577
1286,118647,17,118647,71,3660,9,3660
733,91897,12,91897,65,3549,5,3549
778,92230,16,92230,64,3602,12,3602
286,40953,6,40953,78,3648,11,3648
394,56223,7,56223,58,3469,8,3469
1689,186728,18,186728,65,3560,14,3560
411,59354,10,59354,60,3439,12,3439
1560,247636,37,247636,65,3576,15,3576
707,115930,19,115930,50,3568,10,3568
1251,139188,19,139188,82,3502,19,3502
507,82453,13,82453,50,3539,17,3539
659,121288,18,121288,56,3560,14,3560
782,142341,11,142341,38,3497,6,3497
1052,145716,25,145716,40,3588,22,3588
394,64809,10,64809,39,3628,17,3628
359,45047,19,45047,71,3561,17,3561
887,105118,15,105118,59,3462,10,3462
1182,151556,11,151556,43,3582,16,3582
662,151401,14,151401,50,3491,10,3491
464,59313,7,59313,40,3559,17,3559
799,82356,6,82356,67,3532,13,3532
744,127433,17,127433,49,3600,20,3600
9318,1695511,168,1695511,40,3507,18,3507
868,135118,11,135118,65,3634,18,3634
2129,282555,42,282555,67,3570,15,3570
409,54537,11,54537,53,3488,7,3488
744,57900,12,57900,89,3617,12,3617
1300,166023,31,166023,42,3576,16,3576
2233,214956,31,214956,83,3607,14,3607
1051,102499,19,102499,77,3546,9,3546
1247,128417,19,128417,65,3596,10,3596
2062,361289,38,361289,52,3601,18,3601
651,80730,7,80730,67,3562,7,3562
688,79639,10,79639,65,3552,9,3552
717,109293,8,109293,61,3579,10,3579
804,102276,18,102276,92,3515,16,3515
542,125622,7,125622,49,3612,7,3612
1230,134849,16,134849,45,3530,11,3530
3052,360157,49,360157,76,3666,16,3666
1148,135001,8,135001,65,3595,9,3595
629,78947,10,78947,70,3659,9,3659
269,31066,8,31066,61,3498,15,3498
958,89999,10,89999,88,3583,10,3583
819,93207,10,93207,66,3588,14,3588
629,85615,14,85615,64,3534,5,3534
1919,244002,48,244002,62,3523,23,3523
784,141184,22,141184,65,3529,18,3529
633,85587,63,85587,52,3612,16,3612
2392,291935,50,291935,62,3532,7,3532
700,97576,15,97576,60,3602,12,3602
1132,100267,11,100267,67,3579,9,3579
1038,134308,21,134308,50,3559,11,3559
573,56032,22,56032,56,3496,11,3496
2641,280674,29,280674,55,3561,11,3561
1450,196485,9,196485,66,3621,11,3621
1673,200588,13,200588,79,3588,10,3588
3929,423909,41,423909,61,3484,11,3484
661,105245,13,105245,56,3603,7,3603
566,84553,19,84553,65,3518,18,3518
1275,156054,24,156054,70,3672,9,3672
505,55594,8,55594,64,3611,13,3611
619,72697,30,72697,80,3609,20,3609
404,48170,6,48170,60,3491,11,3491
2128,260709,22,260709,55,3563,12,3563
1182,115598,11,115598,72,3652,13,3652
486,59874,4,59874,69,3535,8,3535
463,53750,12,53750,55,3515,11,3515
1806,278543,37,278543,37,3623,12,3623
1446,208145,29,208145,49,3531,12,3531
1459,173598,22,173598,51,3573,7,3573
946,104299,11,104299,67,3610,12,3610
1632,198836,32,198836,43,3579,13,3579
537,70940,13,70940,61,3638,14,3638
721,100702,27,100702,76,3597,17,3597
472,60780,12,60780,64,3600,13,3600
1413,159361,35,159361,65,3546,17,3546
554,83541,16,83541,56,3505,9,3505
316,50796,7,50796,43,3587,14,3587
819,109709,23,109709,61,3611,16,3611
513,90588,10,90588,43,3560,5,3560
1304,265357,28,265357,55,3556,10,3556
666,75869,8,75869,72,3458,13,3458
1068,93044,10,93044,81,3544,14,3544
793,104531,14,104531,72,3642,12,3642
1131,109125,9,109125,82,3568,17,3568
968,120278,6,120278,66,3511,9,3511
753,97891,17,97891,62,3518,13,3518
509,71849,19,71849,83,3560,24,3560
803,126632,12,126632,65,3526,8,3526
1146,205309,31,205309,39,3470,12,3470
1446,251804,16,251804,54,3576,13,3576
814,73454,9,73454,61,3686,17,3686
550,90626,19,90626,57,3546,10,3546
575,68850,16,68850,54,3557,16,3557
521,58797,10,58797,74,3566,6,3566
2060,246462,39,246462,62,3526,14,3526
780,97313,21,97313,60,3563,14,3563
786,111011,26,111011,51,3620,16,3620
525,94948,13,94948,53,3620,10,3620
408,43936,8,43936,76,3596,15,3596
2377,405581,42,405581,42,3525,13,3525
489,88677,24,88677,43,3573,17,3573
1730,272492,25,272492,38,3652,13,3652
861,124942,9,124942,60,3486,11,3486
1099,148900,23,148900,61,3561,11,3561
416,49711,8,49711,81,3500,15,3500
1116,137802,22,137802,57,3592,13,3592
1878,271842,20,271842,49,3610,9,3610
918,135094,26,135094,44,3552,11,3552
359,45070,9,45070,59,3521,15,3521
1744,264922,22,264922,55,3682,9,3682
754,91793,4,91793,60,3654,10,3654
511,63655,11,63655,69,3584,5,3584
6484,864604,43,864604,50,3506,14,3506
1381,131566,9,131566,66,3566,16,3566
563,68425,9,68425,59,3581,9,3581
1030,130600,20,130600,65,3566,20,3566
419,73331,14,73331,45,3543,13,3543
629,78219,7,78219,84,3506,6,3506
1277,134209,9,134209,66,3688,13,3688
521,87777,13,87777,57,3635,16,3635
853,114510,7,114510,67,3617,10,3617
768,113489,23,113489,47,3561,9,3561
518,76245,17,76245,63,3580,25,3580
551,59748,20,59748,72,3581,13,3581
1739,313211,55,313211,70,3513,14,3513
563,75296,13,75296,77,3519,11,3519
829,166215,17,166215,38,3563,8,3563
3342,517274,81,517274,62,3590,14,3590
405,57006,15,57006,46,3629,21,3629
2055,271776,35,271776,51,3646,14,3646
1410,192646,30,192646,69,3544,10,3544
224,41928,11,41928,41,3510,12,3510
2052,272992,34,272992,62,3499,14,3499
2317,206989,18,206989,67,3464,11,3464
1106,118841,12,118841,64,3536,8,3536
1577,146383,8,146383,69,3523,8,3523
770,85692,8,85692,80,3582,12,3582
256,56817,11,56817,31,3516,9,3516
855,157055,17,157055,48,3542,10,3542
716,110240,5,110240,37,3560,5,3560
432,59129,13,59129,64,3614,12,3614
772,86644,13,86644,72,3634,17,3634
504,58045,8,58045,64,3621,12,3621
1917,248245,30,248245,49,3482,17,3482
1161,127590,6,127590,57,3554,9,3554
1518,160788,15,160788,66,3568,6,3568
623,116568,13,116568,51,3525,17,3525
345,48573,7,48573,60,3614,7,3614
794,147186,21,147186,48,3536,14,3536
934,118930,16,118930,61,3597,15,3597
472,58535,3,58535,59,3575,13,3575
277,37801,15,37801,72,3550,22,3550
1095,128746,20,128746,56,3547,16,3547
768,107548,15,107548,41,3462,12,3462
599,59207,7,59207,57,3444,11,3444
1155,159897,29,159897,58,3561,16,3561
1469,200164,15,200164,71,3597,17,3597
