SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
1125,168942,26,168942,50,3553,14,3553
406,89471,14,89471,38,3570,15,3570
786,91536,10,91536,61,3482,6,3482
326,38904,6,38904,51,3539,10,3539
692,118352,21,118352,63,3576,9,3576
494,63421,9,63421,48,3534,7,3534
385,87604,13,87604,36,3522,11,3522
657,146844,7,146844,42,3546,4,3546
380,71713,4,71713,59,3539,4,3539
2401,392778,54,392778,55,3592,8,3592
1568,213900,20,213900,65,3523,6,3523
425,67889,8,67889,62,3593,18,3593
594,93305,13,93305,67,3629,10,3629
1524,244172,24,244172,46,3540,7,3540
615,112918,12,112918,45,3567,16,3567
350,76233,10,76233,25,3587,14,3587
322,72196,10,72196,49,3631,8,3631
863,113831,17,113831,41,3609,13,3609
231,39095,16,39095,53,3538,13,3538
1879,286865,30,286865,58,3522,5,3522
725,129263,24,129263,46,3544,9,3544
2592,513133,26,513133,47,3568,6,3568
957,145931,13,145931,58,3581,11,3581
518,87341,13,87341,51,3591,9,3591
658,118976,12,118976,58,3538,15,3538
1327,177873,18,177873,67,3573,15,3573
872,130721,9,130721,56,3528,5,3528
810,116832,13,116832,48,3604,8,3604
1576,327967,24,327967,49,3525,9,3525
2645,310655,29,310655,72,3485,10,3485
529,95375,5,95375,47,3648,8,3648
3862,902181,98,902181,47,3637,6,3637
576,133291,14,133291,33,3546,7,3546
918,142728,10,142728,45,3667,15,3667
257,40870,9,40870,53,3646,19,3646
293,51983,4,51983,47,3679,14,3679
251,50182,9,50182,42,3597,15,3597
389,68291,9,68291,27,3506,6,3506
492,53719,8,53719,69,3516,11,3516
885,128180,12,128180,65,3641,7,3641
339,54727,3,54727,58,3626,3,3626
603,77669,5,77669,77,3555,10,3555
759,102371,14,102371,55,3623,18,3623
304,69067,12,69067,45,3565,10,3565
1130,232547,12,232547,44,3554,8,3554
326,60919,10,60919,39,3554,6,3554
667,78211,6,78211,58,3633,11,3633
672,105228,14,105228,48,3604,8,3604
505,75488,11,75488,45,3591,6,3591
583,91962,8,91962,47,3637,9,3637
426,89418,6,89418,55,3576,6,3576
645,92227,10,92227,49,3572,12,3572
885,121142,24,121142,57,3551,5,3551
781,97836,6,97836,65,3542,14,3542
1069,181598,20,181598,46,3523,4,3523
274,39186,6,39186,54,3520,9,3520
749,112072,21,112072,67,3551,6,3551
471,72685,7,72685,37,3548,10,3548
807,82676,19,82676,56,3593,9,3593
704,93457,6,93457,65,3550,8,3550
436,112387,8,112387,42,3495,9,3495
1047,215227,11,215227,45,3553,10,3553
276,42354,4,42354,60,3724,11,3724
626,92353,9,92353,43,3634,11,3634
514,64503,11,64503,70,3601,17,3601
433,90778,9,90778,50,3582,7,3582
1599,270097,27,270097,68,3577,14,3577
566,82779,10,82779,57,3508,7,3508
501,71944,11,71944,55,3595,11,3595
548,129827,7,129827,41,3563,11,3563
623,110960,11,110960,45,3529,4,3529
776,150096,16,150096,35,3577,13,3577
830,162819,26,162819,50,3573,5,3573
1315,260570,25,260570,46,3425,5,3425
530,49357,7,49357,75,3473,11,3473
894,180210,11,180210,52,3597,12,3597
350,59381,8,59381,41,3551,10,3551
172,31747,0,31747,34,3420,7,3420
227,47861,5,47861,44,3518,13,3518
1161,162468,10,162468,50,3643,4,3643
271,55326,4,55326,31,3555,16,3555
1465,176785,37,176785,60,3602,9,3602
711,118066,25,118066,58,3570,10,3570
796,130398,20,130398,53,3557,11,3557
841,118089,29,118089,44,3478,14,3478
1299,171195,8,171195,50,3577,9,3577
829,118647,13,118647,60,3660,5,3660
991,91897,7,91897,78,3549,13,3549
589,92230,13,92230,47,3602,11,3602
200,40953,5,40953,40,3648,12,3648
399,56223,3,56223,41,3469,8,3469
1270,186728,32,186728,55,3560,9,3560
641,59354,17,59354,71,3439,12,3439
1326,247636,14,247636,50,3576,4,3576
476,115930,7,115930,43,3568,5,3568
765,139188,10,139188,35,3502,9,3502
363,82453,5,82453,46,3539,6,3539
603,121288,16,121288,28,3560,16,3560
958,142341,15,142341,65,3497,8,3497
727,145716,17,145716,47,3588,11,3588
365,64809,3,64809,50,3628,2,3628
259,45047,4,45047,58,3561,7,3561
559,105118,14,105118,34,3462,10,3462
935,151556,8,151556,45,3582,9,3582
1032,151401,16,151401,64,3491,13,3491
537,59313,6,59313,61,3559,4,3559
474,82356,10,82356,56,3532,12,3532
715,127433,18,127433,37,3600,6,3600
8999,1695511,111,1695511,49,3507,10,3507
723,135118,29,135118,66,3634,18,3634
2027,282555,39,282555,61,3570,21,3570
383,54537,5,54537,43,3488,7,3488
341,57900,12,57900,53,3617,11,3617
1265,166023,13,166023,63,3576,6,3576
1782,214956,11,214956,55,3607,14,3607
429,102499,9,102499,30,3546,16,3546
862,128417,8,128417,59,3596,13,3596
3225,361289,41,361289,65,3601,13,3601
582,80730,8,80730,56,3562,13,3562
730,79639,12,79639,63,3552,7,3552
998,109293,14,109293,72,3579,7,3579
824,102276,14,102276,64,3515,11,3515
661,125622,19,125622,68,3612,9,3612
1145,134849,24,134849,60,3530,8,3530
2249,360157,17,360157,39,3666,7,3666
882,135001,11,135001,45,3595,8,3595
477,78947,7,78947,53,3659,14,3659
214,31066,5,31066,44,3498,5,3498
606,89999,10,89999,56,3583,13,3583
557,93207,9,93207,38,3588,5,3588
466,85615,8,85615,49,3534,11,3534
2420,244002,29,244002,81,3523,11,3523
1215,141184,9,141184,64,3529,5,3529
406,85587,14,85587,36,3612,15,3612
1594,291935,21,291935,44,3532,5,3532
740,97576,17,97576,68,3602,11,3602
630,100267,9,100267,44,3579,11,3579
927,134308,7,134308,59,3559,6,3559
349,56032,12,56032,49,3496,11,3496
2732,280674,34,280674,75,3561,10,3561
1190,196485,44,196485,48,3621,12,3621
1816,200588,39,200588,68,3588,14,3588
2778,423909,48,423909,67,3484,10,3484
653,105245,6,105245,56,3603,10,3603
436,84553,22,84553,55,3518,13,3518
1128,156054,13,156054,51,3672,14,3672
543,55594,5,55594,67,3611,8,3611
318,72697,3,72697,35,3609,9,3609
303,48170,4,48170,53,3491,6,3491
1762,260709,39,260709,57,3563,11,3563
777,115598,15,115598,55,3652,11,3652
331,59874,8,59874,41,3535,12,3535
292,53750,7,53750,63,3515,7,3515
2230,278543,54,278543,52,3623,14,3623
1558,208145,13,208145,53,3531,7,3531
900,173598,12,173598,42,3573,7,3573
732,104299,12,104299,64,3610,8,3610
1538,198836,16,198836,63,3579,12,3579
713,70940,9,70940,76,3638,6,3638
530,100702,6,100702,37,3597,8,3597
