source,target
0,15011
1,11605
2,9494
3,15006
4,9377
5,13355
6,14798
7,10381
8,14587
9,14404
10,15090
11,14126
12,14124
13,13543
14,12691
15,8810
16,14701
17,14056
18,15026
19,14865
20,15024
21,4550
22,14795
23,12438
24,8209
25,15096
26,8859
27,14266
28,15075
29,2857
30,11318
31,14938
32,14953
33,9310
34,12496
35,15008
36,13699
37,14814
38,14292
39,13986
40,7229
41,14642
42,7886
43,15009
44,14968
45,14015
46,14997
47,11630
48,15057
49,14966
50,15083
51,14288
52,11856
53,15080
54,14379
55,10822
56,14760
57,14740
58,14967
59,14354
60,13390
61,14975
62,8966
63,8182
64,14452
65,14323
66,13304
67,12182
68,14998
69,10517
70,14414
71,3917
72,9943
73,11616
74,15047
75,14773
76,8564
77,7057
78,13739
79,14990
80,8117
81,15043
82,11791
83,15011
84,13998
85,15095
86,13473
87,15092
88,11851
89,11780
90,13017
91,14615
92,14056
93,14640
94,13870
95,11353
96,14546
97,15042
98,15086
99,13822
100,14279
101,13542
102,14933
103,14859
104,14451
105,12406
106,10910
107,14393
108,10197
109,14315
110,14993
111,15065
112,14754
113,15055
114,9783
115,12545
116,14151
117,13620
118,12380
119,3415
120,15097
121,2243
122,15021
123,14805
124,3361
125,14645
126,14957
127,14097
128,13912
129,11354
130,14919
131,15082
132,13518
133,15099
134,13403
135,9541
136,10949
137,15095
138,12378
139,12193
140,9742
141,15075
142,7165
143,13568
144,14127
145,13357
146,7950
147,15098
148,6663
149,14343
150,13077
151,11907
152,9167
153,10485
154,14502
155,14825
156,13869
157,11481
158,15092
159,14864
160,14829
161,14743
162,14443
163,15068
164,11806
165,15041
166,14135
167,15089
168,15080
169,14010
170,14838
171,8381
172,15099
173,14527
174,14268
175,15020
176,14930
177,14317
178,15082
179,13529
180,13173
181,9518
182,15006
183,11860
184,14677
185,13308
186,5696
187,14815
188,13837
189,14919
190,9695
191,3961
192,11488
193,12198
194,15050
195,13519
196,3768
197,13519
198,10326
199,13799
200,15053
201,14284
202,4774
203,14844
204,14909
205,14780
206,1635
207,8610
208,10015
209,10229
210,14496
211,14873
212,7255
213,5036
214,15010
215,12241
216,6699
217,13893
218,12970
219,13340
220,15048
221,11840
222,5631
223,12909
224,14479
225,9472
226,10132
227,14724
228,6746
229,14441
230,9119
231,14966
232,13992
233,12600
234,14966
235,14124
236,14901
237,11637
238,14223
239,13636
240,15098
241,14463
242,6448
243,9273
244,15028
245,13731
246,14612
247,14158
248,14272
249,13784
250,14309
251,14724
252,13617
253,14384
254,10726
255,13306
256,15006
257,9898
258,13229
259,11985
260,13910
261,14765
262,13628
263,15091
264,12242
265,10142
266,14926
267,13920
268,14282
269,14863
270,14671
271,14935
272,11399
273,15073
274,14925
275,14276
276,12601
277,12212
278,13488
279,12959
280,8691
281,7522
282,14920
283,14178
284,5446
285,13521
286,14783
287,1420
288,14064
289,14454
290,13652
291,9470
292,14957
293,14007
294,11069
295,13790
296,4734
297,14816
298,12519
299,14869
300,8678
301,15055
