source,target
1370,12617
1371,3418
1372,8578
1373,14078
1374,12080
1375,12364
1376,5342
1377,6532
1378,7238
1379,6587
1380,12368
1381,12945
1382,9566
1383,10055
1384,14902
1385,9911
1386,1765
1387,1858
1388,13200
1389,11988
1390,6586
1391,15195
1392,13716
1393,6266
1394,12746
1395,2062
1396,14685
1397,3419
1398,13600
1399,11684
1400,7462
1401,6674
1402,11237
1403,1693
1404,13397
1405,8108
1406,14741
1407,8709
1408,8579
1409,7891
1410,12262
1411,11568
1412,13881
1413,8117
1414,13723
1415,7900
1416,14761
1417,14934
1418,14178
1419,12022
1420,13213
1421,14227
1422,15259
1423,14873
1424,10668
1425,9029
1426,9045
1427,6082
1428,14332
1429,10433
1430,10552
1431,14512
1432,1789
1433,14161
1434,13541
1435,13081
1436,10635
1437,7221
1438,14819
1439,3486
1440,13810
1441,13349
1442,15331
1443,8809
1444,9876
1445,11407
1446,11894
1447,11756
1448,13801
1449,15255
1450,7663
1451,11276
1452,11738
1453,12807
1454,11015
1455,5268
1456,13653
1457,13231
1458,7450
1459,11432
1460,14855
1461,10758
1462,10707
1463,11393
1464,7047
1465,12090
1466,15329
1467,14399
1468,12723
1469,8889
1470,13957
1471,15107
1472,13824
1473,1920
1474,5502
1475,4639
1476,5773
1477,2556
1478,13913
1479,11108
1480,6006
1481,7364
1482,9971
1483,3116
1484,14066
1485,10536
1486,15094
1487,13388
1488,11877
1489,8822
1490,13530
1491,13305
1492,5705
1493,10192
1494,14871
1495,10521
1496,12286
1497,4708
1498,9924
1499,9044
1500,1914
1501,9909
1502,7116
1503,8385
1504,13942
1505,10034
1506,4644
1507,13937
1508,4330
1509,14890
1510,14133
1511,11728
1512,8925
1513,12258
1514,3769
1515,10585
1516,14610
1517,11136
1518,12817
1519,14195
1520,11686
1521,12972
1522,13755
1523,13647
1524,14100
1525,15254
1526,13746
1527,5402
1528,13129
1529,6435
1530,14619
1531,14762
1532,10323
1533,13513
1534,6878
1535,13504
1536,13126
1537,3465
1538,8486
1539,6454
1540,11261
1541,4928
1542,7160
1543,10935
1544,14644
1545,13707
1546,13781
1547,14061
1548,14059
1549,13329
1550,13536
1551,13362
1552,14362
1553,12644
1554,9060
1555,8481
1556,14992
1557,6235
1558,13200
1559,10297
1560,8773
1561,14520
1562,7023
1563,11254
1564,3869
1565,6078
1566,13498
1567,14821
1568,4631
1569,14858
1570,10895
1571,12785
1572,4876
1573,7742
1574,8571
1575,9926
1576,13924
1577,15268
1578,12939
1579,7300
1580,10067
1581,5350
1582,9302
1583,13989
1584,7286
1585,11245
1586,13108
1587,1702
1588,14288
1589,14814
1590,11355
1591,11991
1592,14019
1593,14878
1594,14094
1595,6831
1596,7489
1597,13293
1598,13031
1599,8383
1600,14148
1601,13591
1602,14763
1603,12928
1604,13242
1605,13118
1606,7431
1607,9186
1608,10208
1609,7492
1610,14796
1611,2594
1612,12157
1613,15290
1614,13995
1615,13954
1616,14365
1617,9657
1618,6165
1619,15353
1620,11597
1621,14531
1622,8448
1623,14083
1624,14118
1625,8865
1626,8981
1627,11021
1628,12569
1629,14947
1630,8944
1631,14130
1632,9004
1633,14923
1634,14776
1635,15331
1636,10239
1637,11928
1638,12055
1639,10647
1640,14366
1641,7256
1642,2319
1643,13671
1644,8726
1645,11994
1646,11975
1647,13832
1648,14248
1649,14770
1650,13846
1651,15134
1652,12872
1653,14172
1654,11479
1655,13316
1656,14292
1657,13996
1658,13976
1659,10521
1660,12660
1661,10805
1662,15274
1663,10477
1664,13965
1665,12130
1666,8024
1667,14449
1668,7842
1669,15230
1670,15344
1671,10829
1672,12493
1673,12821
1674,14049
1675,12951
1676,14074
1677,12883
1678,7616
1679,13465
1680,11481
1681,8967
1682,11521
1683,14302
1684,14604
1685,10168
1686,12898
1687,11491
1688,7140
1689,15059
1690,14592
1691,14091
1692,8922
1694,5161
1695,13759
1696,8643
1697,15347
1698,5520
1699,10820
1700,12661
1701,13760
1703,7620
1704,9237
1705,7526
1706,2422
1707,14928
1708,7638
1709,13777
1710,10060
1711,6877
1712,10779
1713,14264
1714,14056
1715,13296
1716,3019
1717,9402
1718,13609
1719,11731
1720,11095
1721,6208
1722,13823
1723,8741
1724,9080
1725,11488
1726,14703
1727,12578
1728,14984
1729,14443
1730,6848
1731,13602
1732,7011
1733,13811
1734,14196
1735,15098
1736,15151
1737,12718
1738,14989
1739,10931
1740,14658
1741,12855
1742,10162
1743,12034
1744,14180
1745,14326
1746,12206
1747,13896
1748,12535
1749,13172
1750,2080
1751,7144
1752,15286
1753,10312
1754,2692
1755,7522
1756,14252
1757,10505
1758,14539
1759,14556
1760,13495
1761,1904
1762,13949
1763,14736
1764,15249
1766,15162
1767,12494
1768,14443
1769,4357
1770,5079
1771,10388
1772,10660
1773,3436
1774,9175
1775,14429
1776,2406
1777,3867
1778,11071
1779,13125
1780,2913
1781,12241
1782,3342
1783,10363
1784,9776
1785,7981
1786,10380
1787,3797
1788,10477
1790,14988
1791,15326
1792,10814
1793,4707
1794,10745
1795,10796
1796,8763
1797,9809
1798,8194
1799,8723
1800,10460
1801,5290
1802,13312
1803,2357
1804,14346
1805,9778
1806,11720
1807,6908
1808,10160
1809,8487
1810,8102
1811,7498
1812,5086
1813,9173
1814,14974
1815,4533
1816,10634
1817,10947
1818,4595
1819,8007
1820,12452
1821,13812
1822,13898
1823,3780
1824,14638
1825,6253
1826,15356
1827,11822
1828,9445
1829,2626
1830,10126
1831,15194
1832,14315
1833,12398
1834,13944
1835,8228
1836,7045
1837,14029
1838,10976
1839,10250
1840,13397
1841,12180
1842,14788
1843,3004
1844,13908
1845,12021
1846,11598
1847,12801
1848,11035
1849,6895
1850,4164
1851,11980
1852,11792
1853,7807
1854,12584
1855,13701
1856,13624
1857,11914
1859,14937
1860,8933
1861,6140
1862,2253
1863,14773
1864,12205
1865,10985
1866,14689
1867,12963
1868,9907
1869,15181
1870,13253
1871,10806
1872,11256
1873,13454
1874,12484
1875,8607
1876,15339
1877,8195
1878,4078
1879,7771
1880,10501
1881,14278
1882,13665
1883,14855
1884,5547
1885,6425
1886,10735
1887,12610
1888,14764
1889,14045
1890,9697
1891,12168
1892,10334
1893,4710
1894,11048
1895,8431
1896,15241
1897,13334
1898,3524
1899,13638
1900,11934
1901,7588
1902,10673
1903,15047
1905,6132
1906,3042
1907,13314
1908,10182
1909,13712
1910,7943
1911,13677
1912,10415
1913,10410
1915,13775
1916,14190
1917,10377
1918,12122
1919,10104
1921,12755
1922,14972
1923,12181
1924,5453
1925,9249
1926,14455
1927,11381
1928,12494
1929,12194
1930,9353
1931,10620
1932,9559
1933,11767
1934,11696
1935,11377
1936,12341
1937,14791
1938,13673
1939,14103
1940,15278
1941,3349
1942,7755
1943,14922
1944,8885
1945,14040
1946,8877
1947,12714
1948,8289
1949,9656
1950,12374
1951,14503
1952,14830
1953,8654
1954,12355
1955,4498
1956,11737
1957,14478
1958,15345
1959,15352
1960,14579
1961,15357
1962,6997
1963,13781
1964,5702
1965,5478
1966,11181
