SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
894,159897,17,159897,54,3561,9,3561
865,116568,13,116568,68,3525,10,3525
564,134849,18,134849,36,3530,12,3530
988,130721,24,130721,67,3528,5,3528
773,124942,34,124942,40,3486,24,3486
1059,173598,15,173598,47,3573,13,3573
1090,126632,18,126632,55,3526,13,3526
1490,272492,63,272492,41,3652,11,3652
1461,246462,17,246462,43,3526,3,3526
227,59381,3,59381,35,3551,9,3551
680,105245,25,105245,51,3603,12,3603
617,107548,12,107548,47,3462,9,3462
735,112072,11,112072,52,3551,9,3551
829,118066,19,118066,60,3570,10,3570
1204,251804,17,251804,46,3576,9,3576
1037,177873,25,177873,50,3573,14,3573
881,168942,9,168942,62,3553,8,3553
932,135118,58,135118,57,3634,21,3634
1380,205309,22,205309,58,3470,7,3470
577,85692,13,85692,44,3582,16,3582
377,48170,3,48170,63,3491,10,3491
287,89418,15,89418,30,3576,15,3576
318,55326,5,55326,43,3555,8,3555
638,148900,16,148900,38,3561,15,3561
770,130398,4,130398,56,3557,10,3557
1163,181598,40,181598,54,3523,20,3523
1331,248245,25,248245,41,3482,15,3482
1903,280674,10,280674,47,3561,7,3561
1757,264922,40,264922,53,3682,17,3682
556,89471,21,89471,56,3570,23,3570
1041,200588,27,200588,35,3588,16,3588
749,180210,14,180210,50,3597,8,3597
2716,423909,57,423909,41,3484,17,3484
570,95375,10,95375,46,3648,8,3648
428,47861,8,47861,49,3518,13,3518
800,97836,11,97836,65,3542,9,3542
613,118089,22,118089,38,3478,6,3478
626,110960,11,110960,49,3529,8,3529
324,56032,7,56032,47,3496,9,3496
1037,160788,13,160788,48,3568,9,3568
952,137802,8,137802,58,3592,10,3592
638,127433,13,127433,37,3600,6,3600
2670,405581,48,405581,57,3525,13,3525
443,59313,14,59313,62,3559,19,3559
682,91536,23,91536,57,3482,16,3482
760,118841,30,118841,53,3536,9,3536
609,73454,17,73454,48,3686,18,3686
1117,156054,20,156054,59,3672,12,3672
1059,176785,21,176785,60,3602,12,3602
911,171195,26,171195,34,3577,20,3577
647,92227,9,92227,66,3572,16,3572
714,146383,9,146383,40,3523,12,3523
654,111011,13,111011,60,3620,8,3620
198,31747,11,31747,35,3420,15,3420
410,59207,8,59207,47,3444,7,3444
1242,196485,35,196485,59,3621,10,3621
474,90626,17,90626,36,3546,11,3546
979,118930,32,118930,63,3597,15,3597
512,84553,8,84553,38,3518,17,3518
1856,310655,24,310655,41,3485,10,3485
1096,125622,30,125622,64,3612,10,3612
849,104299,15,104299,59,3610,10,3610
505,88677,10,88677,48,3573,9,3573
515,97313,25,97313,57,3563,19,3563
355,75488,3,75488,47,3591,10,3591
1147,232547,23,232547,35,3554,16,3554
301,71944,8,71944,44,3595,12,3595
596,72697,12,72697,74,3609,11,3609
488,58535,8,58535,67,3575,13,3575
1124,127590,10,127590,59,3554,8,3554
1172,135094,9,135094,67,3552,14,3552
6310,1695511,156,1695511,37,3507,16,3507
1410,272992,33,272992,46,3499,17,3499
468,58797,4,58797,53,3566,7,3566
720,135001,26,135001,42,3595,19,3595
812,145931,9,145931,41,3581,6,3581
426,91793,9,91793,41,3654,11,3654
624,128746,11,128746,32,3547,10,3547
226,39186,3,39186,46,3520,8,3520
879,129827,23,129827,46,3563,7,3563
820,116832,10,116832,55,3604,8,3604
765,118352,15,118352,62,3576,18,3576
583,91897,8,91897,44,3549,9,3549
575,91962,9,91962,45,3637,10,3637
245,48573,11,48573,43,3614,14,3614
757,134308,15,134308,54,3559,13,3559
287,45070,10,45070,46,3521,9,3521
789,118976,20,118976,66,3538,14,3538
1869,260570,35,260570,57,3425,13,3425
239,49357,9,49357,33,3473,12,3473
502,60919,4,60919,61,3554,6,3554
344,38904,6,38904,50,3539,8,3539
1055,151401,18,151401,52,3491,10,3491
621,68850,4,68850,63,3557,14,3557
1178,206989,31,206989,44,3464,17,3464
861,118647,14,118647,64,3660,17,3660
913,162468,12,162468,44,3643,12,3643
660,105118,11,105118,46,3462,12,3462
451,63421,6,63421,58,3534,15,3534
1202,192646,25,192646,40,3544,12,3544
241,43936,17,43936,42,3596,15,3596
1995,271842,38,271842,54,3610,15,3610
2782,513133,83,513133,59,3568,14,3568
