source,target
0,12284
1,6746
2,3128
3,8288
4,14763
5,13807
6,14773
7,15012
8,13789
9,14570
10,13752
11,14628
12,15060
13,12468
14,13639
14,15179
15,13608
16,14770
17,14957
18,14284
19,10219
19,15173
20,14803
21,13440
22,13502
23,14555
24,4905
25,14926
26,13054
27,14980
28,15098
29,9296
30,15091
31,14223
32,11401
33,14447
34,12855
35,11068
36,15094
37,4813
38,15072
39,11625
40,12095
41,13208
42,15051
43,11335
44,15073
45,11499
46,12839
47,14080
48,15090
49,9354
49,15281
50,10804
51,14305
52,14290
53,14191
54,13845
55,7688
56,14851
57,11653
58,14465
59,13590
60,14438
61,14101
62,12742
63,13476
64,15093
65,14401
66,15021
67,14878
68,15031
69,11996
70,12162
71,14467
72,14872
73,14443
74,15030
75,13235
76,4691
77,14183
78,14024
79,12746
80,2338
81,12409
82,14237
83,14816
84,14756
85,9726
85,15206
86,11016
87,15094
88,14900
89,14754
90,6621
91,11280
92,13935
93,9552
94,14235
95,14849
96,13427
97,14383
98,11359
99,13914
100,12516
101,14161
102,14137
103,12015
104,13552
105,12538
106,9308
107,14495
108,14943
109,13746
110,15062
110,14132
111,8626
112,14525
113,13978
114,10007
115,12818
116,15100
117,2874
118,15010
118,15211
119,15094
120,1771
121,13626
122,11080
122,14316
123,9732
124,13906
125,9510
126,14946
127,14785
128,14587
129,14964
130,1235
131,11744
132,14414
133,13673
134,14338
135,2544
136,14870
137,15020
138,15021
139,5260
140,12904
141,14930
142,14659
143,3460
144,14341
145,12395
146,13040
147,10820
148,14982
149,13367
150,14857
151,6894
151,15354
151,15178
152,14936
153,12688
154,14290
155,14671
156,15018
157,15095
158,13507
159,14235
160,14444
161,1154
162,15082
163,14094
164,14931
165,14098
166,14550
167,9274
168,9570
169,14611
170,15059
171,14889
172,13188
173,12832
174,15070
175,11512
176,7962
177,10065
178,14695
179,12684
180,14829
181,14823
181,12341
182,3829
183,15083
184,13691
185,14205
186,15034
187,15077
188,14742
189,15023
190,13447
191,9327
192,12464
192,14373
193,14827
194,13058
194,11502
195,10372
196,10070
196,14810
197,14552
198,14208
199,13803
200,13494
201,12554
202,5777
203,7633
204,15096
205,15013
205,13269
206,3776
207,13070
208,13968
209,7034
210,15097
211,7534
212,10292
213,14299
214,14244
215,14898
216,14346
217,14552
218,12347
219,13788
220,15035
221,15066
222,14698
223,14746
224,14954
225,12231
226,15046
227,13909
228,6378
229,4726
230,10965
231,13933
232,14933
233,15022
234,15098
235,15032
236,12699
236,14801
237,9682
238,6220
239,4062
240,15057
241,14906
242,15056
243,12407
244,15055
245,14831
246,12402
246,15168
247,15075
248,9651
249,14338
250,13983
251,14757
252,10824
253,14823
254,11397
255,14923
256,14961
257,14015
258,15091
259,10811
260,11552
261,13788
262,10047
263,5521
264,14450
265,13338
266,14557
266,11545
267,14894
268,14134
269,14286
270,14401
271,15099
272,15050
273,9522
274,13381
275,5771
276,14551
277,12700
278,14946
279,11479
280,12800
281,15101
282,6066
283,11888
284,12766
285,14298
286,15055
287,14836
288,15031
289,15080
289,14507
290,6216
291,3767
292,13161
293,7483
294,14681
295,13564
296,12675
297,8560
298,15031
298,15147
299,2103
300,12989
301,4412
302,10637
303,14259
304,13262
305,14942
305,15389
306,14802
307,14765
308,14289
309,9246
310,15007
311,14736
312,9957
312,15190
313,13006
314,9573
315,14775
315,14673
316,14621
317,14956
318,8732
319,14090
320,14999
321,6063
322,14806
323,15046
324,13882
325,12126
326,14968
327,9942
328,15024
329,15096
330,14637
331,11846
331,13124
332,12297
333,15047
334,12779
334,14258
335,14829
336,14272
336,15150
337,15089
337,12614
338,11389
339,6179
340,14177
341,14882
342,2472
343,14849
344,14065
345,13293
346,15099
347,14414
348,15089
349,15076
350,10365
351,12197
352,15067
353,13518
354,15081
354,14277
355,14666
355,12367
356,8585
357,14299
358,8124
359,15026
360,5119
361,15021
362,13271
363,14399
364,14924
365,14293
366,9556
367,1965
368,12725
369,14538
369,15257
370,13259
371,11353
372,15011
373,14811
374,15049
374,15247
375,10780
376,3279
377,14997
378,14959
379,14735
380,7294
381,9261
382,12069
383,11588
383,12297
384,12256
385,12775
386,14984
387,4281
388,14271
389,14424
390,15050
391,14659
392,8538
393,12216
394,4018
395,14680
396,14620
397,14983
398,15082
399,12724
399,14886
400,10035
401,13859
401,12656
402,14448
402,15102
403,2996
404,15071
405,15099
406,15063
407,12263
408,12089
409,15050
410,12981
411,11512
412,15074
413,15000
414,14962
415,14274
415,15117
416,15085
417,14087
418,14730
419,4054
420,10410
421,11425
422,10654
423,8865
424,14916
425,11649
426,12303
427,10447
427,14547
428,12179
429,12592
430,14938
431,7267
432,12652
433,14047
434,15049
435,2607
436,15001
437,15045
438,12824
439,8036
440,14866
441,7681
441,15157
442,14955
443,15073
444,13880
445,7152
446,15099
447,10227
448,13417
448,11901
449,15083
450,14887
451,11830
452,12199
453,15097
454,8884
455,14586
456,14288
457,1712
458,13882
459,13888
460,14946
461,13210
462,14729
463,14874
464,15100
465,12003
466,13448
467,14562
468,14679
468,15104
469,10338
470,15005
471,14695
471,15215
472,5658
472,12085
473,15100
474,10905
475,10953
476,12889
477,12268
478,8826
479,3145
480,14173
481,14955
482,14018
483,15078
484,14802
485,9117
486,6614
487,11249
488,7250
489,3101
490,15085
491,10640
492,11183
493,15070
494,5692
495,15090
496,15095
497,13720
498,13414
499,14819
500,13265
501,14554
502,14451
503,14595
504,15032
505,9372
506,15051
507,14753
508,15082
509,15055
510,14987
511,12167
512,14383
513,13628
514,14046
515,2302
515,15011
516,14741
517,12962
518,12465
519,13768
520,11097
521,14183
522,15096
523,12511
524,15014
525,14532
525,13179
526,13802
527,14819
528,7155
529,14508
530,14727
531,14043
532,3322
533,5145
534,7672
535,15100
536,14982
537,15097
538,14024
539,15089
540,14706
541,13390
542,11138
543,15085
544,14535
545,13235
546,14742
547,14478
548,14959
549,12151
550,11944
551,14709
552,11164
553,647
554,3137
554,12873
555,9868
556,15017
557,14520
558,15019
559,11342
560,10698
561,13605
562,14521
563,14429
564,9984
564,15129
565,14380
566,13321
567,14967
568,14836
569,12115
570,14137
571,11878
572,14684
573,11843
574,12257
575,14551
576,14705
577,14909
578,14319
579,14063
580,12450
581,15096
582,14791
583,7737
584,15093
584,14238
585,14970
586,12353
587,14946
588,14713
589,15079
590,15056
591,15006
592,13367
593,13500
594,12363
595,15058
596,14745
597,14634
598,14701
599,14309
600,13923
601,14689
602,11570
603,13887
604,9972
605,4661
606,15029
607,15091
608,14954
609,13004
609,14224
610,15062
611,12640
612,14960
613,7894
614,9116
615,7907
616,12013
617,14181
618,14089
619,14701
620,9813
621,14105
622,14650
623,15026
624,13387
625,14936
626,15090
627,13515
628,14811
629,9865
630,14984
631,4665
632,14075
633,15064
634,7320
635,14929
636,14507
637,14866
638,14056
639,10748
640,15045
641,15085
641,13891
642,10045
643,15090
644,13790
645,14948
646,14789
648,1277
649,14933
650,13656
651,12139
652,11449
653,9292
654,6497
655,15067
656,14912
657,13607
658,4902
659,7297
660,15034
661,14864
662,12195
662,14923
663,12516
664,14065
665,6310
666,15040
667,12865
668,5145
669,14087
670,15073
671,14974
672,15020
672,14397
673,14805
674,14008
675,15031
676,14209
677,13831
678,15071
679,3513
680,12643
681,14543
682,14208
683,15069
684,6402
685,4209
686,12619
687,14067
688,14930
689,14860
690,5311
691,10143
692,14651
693,14155
694,14724
695,14651
696,7668
697,13123
698,14034
699,13519
700,9799
701,14619
702,14199
703,13453
704,14448
705,14914
706,13400
707,12747
708,15025
709,11993
710,10170
711,15034
712,14928
713,14645
714,10162
715,10486
716,15060
717,7442
718,15084
719,13296
720,14205
721,15083
722,6576
723,14402
724,5925
725,11194
726,6141
726,14677
727,14281
728,14761
729,14579
730,13500
731,15037
732,13746
732,15184
733,1520
734,14321
735,15014
736,14251
737,13569
738,13963
739,14982
740,14730
741,13134
742,13824
743,13794
744,14831
745,10025
746,11356
747,12820
748,15096
749,15026
750,15058
751,13914
751,14000
752,11954
753,14154
754,14800
755,15080
756,14212
757,14855
757,12714
758,10085
759,10409
760,13888
760,12491
761,14062
762,15063
763,14516
764,8950
765,12029
766,14993
767,15074
767,12845
768,9885
769,12386
770,2059
771,8994
772,11399
773,15053
774,14845
775,15082
775,11597
776,14389
777,14962
778,13660
779,11572
780,15070
781,11729
782,14978
783,12106
784,14822
785,14674
786,14780
787,14949
788,11626
789,5537
790,14089
791,14198
792,14242
793,9174
794,13803
795,12553
795,15202
796,14937
797,4779
798,14800
799,12614
800,12816
801,15005
801,15191
802,9200
803,13947
804,6732
805,14852
806,14032
807,8806
808,12857
809,11660
810,10209
811,12982
812,11926
813,11487
814,1354
815,14771
816,14703
817,12237
818,15095
819,14962
820,12156
821,15077
822,11035
823,14656
824,12792
825,12714
826,13894
827,15096
828,3603
829,13143
830,15081
831,9562
832,5767
833,14596
834,15000
835,14866
836,15019
837,14332
838,11832
839,14793
840,6805
841,9406
842,14892
843,14027
844,13968
845,5273
846,10455
847,5152
848,13928
849,8629
850,13843
851,15099
851,15230
852,14562
853,14071
854,14983
855,9593
856,14978
857,12374
858,14715
859,14347
860,13504
861,15087
862,14166
863,12056
863,14575
864,13405
865,14973
866,15058
867,14433
868,14666
869,14890
870,14109
871,14702
872,14938
873,14330
874,14734
875,14058
876,15098
877,13899
877,13467
878,12448
879,15001
880,1546
881,14127
882,13878
883,4228
884,6823
885,15038
886,12911
887,14900
888,14779
889,14825
890,14924
891,12478
892,9097
893,15043
894,12338
895,12619
896,14811
897,15095
898,13437
898,14161
898,15303
899,5089
900,13039
901,10342
902,11134
903,14688
904,15037
905,15087
906,15005
907,14662
908,11274
909,14934
910,14858
911,2143
912,14537
912,15188
913,14896
914,14872
915,12111
916,8625
917,8998
918,12012
919,12448
920,5395
921,14823
922,9105
923,14981
924,15094
925,9949
926,14171
927,3226
928,15080
929,14480
930,3089
931,14484
932,11688
933,6237
934,15072
935,9609
936,15017
937,8334
938,15086
939,14979
940,13361
941,9509
942,14924
943,14239
944,14870
945,14196
946,11376
947,13856
948,11162
949,13109
950,13040
951,12148
951,13457
952,14975
953,14443
954,14794
955,11017
956,14271
957,14388
957,15195
958,13795
959,12308
959,15315
959,14119
960,14565
961,10590
962,11161
963,6749
964,15060
965,9543
966,14942
967,13221
968,14857
969,13267
970,12535
971,14283
972,14907
973,14010
974,14620
975,9370
976,10548
977,15099
978,14984
979,15099
980,6147
981,15037
982,12390
982,14705
983,4264
984,7082
985,14977
986,14276
987,5612
988,14506
989,13950
990,11826
991,12742
992,14872
993,14006
994,14688
995,6500
996,14960
997,14364
998,12509
999,11481
1000,10251
1001,14941
1002,11935
1003,10110
1004,14160
1005,13083
1006,6127
1007,14707
1007,14182
1008,15087
1009,15086
1010,12014
1011,14879
1012,12493
1013,14772
1014,7529
1014,15153
1015,15048
1015,13970
1016,15029
1017,14150
1018,13962
1019,14961
1020,14099
1021,13792
1022,5981
1023,14069
1024,14968
1025,14576
1026,14977
1026,14811
1027,15055
1027,14805
1028,14673
1028,15095
1029,10319
1029,14937
1030,14893
1030,15061
1031,14949
1031,12799
1031,14122
1032,15037
1032,14837
1033,15045
1033,11322
1034,15039
1034,14768
1035,13744
1035,11512
1036,14616
1036,14994
1037,11481
1037,14151
1038,13212
1038,12892
1039,15054
1039,14963
1040,6409
1040,14732
1041,14803
1041,15084
1042,14551
1042,14865
1042,13173
1043,10810
1043,13933
1043,14724
1044,15010
1044,14776
1045,14758
1045,14034
1046,12221
1046,6912
1047,14957
1047,14987
1048,15077
1048,15091
1049,15086
1049,2620
1050,8304
1050,13129
1051,12184
1051,13388
1052,14805
1052,4834
1053,14713
1053,14051
1054,15051
1054,14764
1055,14493
1055,14698
1056,14738
1056,12771
1057,15011
1057,11199
1058,14951
1058,7755
1059,14873
1059,15068
1060,12206
1060,15089
1061,12817
1061,3983
1061,12839
1062,5005
1062,12475
1063,13492
1063,12317
1064,3590
1064,15055
1065,9422
1065,13495
1066,15100
1066,15042
1067,9623
1067,13531
1067,14479
1068,9842
1068,11647
1069,14989
1069,14800
1070,14972
1070,13771
1071,7992
1071,14829
1072,5372
1072,15006
1073,12477
1073,13119
1074,5959
1074,14459
1075,7160
