,SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
0,1358,168942,22,168942,49,3553,14,3553
0,8581,89471,20,89471,599,3570,19,3570
0,650,91536,10,91536,44,3482,12,3482
0,3431,38904,6,38904,556,3539,17,3539
0,1311,118352,16,118352,88,3576,11,3576
0,538,63421,12,63421,50,3534,17,3534
0,6434,87604,21,87604,542,3522,10,3522
0,10710,146844,23,146844,481,3546,14,3546
0,306,71713,4,71713,50,3539,7,3539
0,2527,392778,60,392778,72,3592,14,3592
0,15165,213900,24,213900,508,3523,8,3523
0,481,67889,4,67889,52,3593,10,3593
0,8592,93305,25,93305,591,3629,16,3629
0,1659,244172,20,244172,42,3540,17,3540
0,834,112918,24,112918,59,3567,17,3567
0,6776,76233,9,76233,554,3587,12,3587
0,6732,72196,5,72196,648,3631,8,3631
0,11081,113831,22,113831,658,3609,13,3609
0,332,39095,19,39095,54,3538,14,3538
0,24309,286865,18,286865,545,3522,9,3522
0,1025,129263,15,129263,78,3544,15,3544
0,3538,513133,61,513133,60,3568,12,3568
0,12201,145931,14,145931,616,3581,11,3581
0,7730,87341,27,87341,572,3591,20,3591
0,778,118976,10,118976,71,3538,11,3538
0,16566,177873,35,177873,566,3573,13,3573
0,1239,130721,14,130721,66,3528,7,3528
0,735,116832,10,116832,50,3604,10,3604
0,31140,327967,32,327967,631,3525,14,3525
0,3119,310655,27,310655,90,3485,8,3485
0,625,95375,21,95375,55,3648,10,3648
0,6294,902181,72,902181,51,3637,25,3637
0,10032,133291,8,133291,505,3546,5,3546
0,938,142728,23,142728,55,3667,19,3667
0,4214,40870,10,40870,581,3646,13,3646
0,3426,51983,6,51983,413,3679,7,3679
0,4793,50182,7,50182,605,3597,15,3597
0,6111,68291,5,68291,578,3506,12,3506
0,5325,53719,11,53719,603,3516,21,3516
0,900,128180,24,128180,51,3641,12,3641
0,5064,54727,11,54727,609,3626,15,3626
0,595,77669,9,77669,48,3555,10,3555
0,7275,102371,11,102371,520,3623,8,3623
0,444,69067,9,69067,49,3565,14,3565
0,1844,232547,26,232547,63,3554,15,3554
0,5670,60919,5,60919,635,3554,11,3554
0,630,78211,13,78211,61,3633,11,3633
0,9374,105228,20,105228,603,3604,20,3604
0,8100,75488,12,75488,609,3591,13,3591
0,7645,91962,11,91962,597,3637,12,3637
0,588,89418,12,89418,54,3576,12,3576
0,1000,92227,8,92227,62,3572,7,3572
0,842,121142,26,121142,53,3551,14,3551
0,8862,97836,16,97836,618,3542,15,3542
0,1341,181598,20,181598,48,3523,12,3523
0,3189,39186,15,39186,542,3520,10,3520
0,10494,112072,14,112072,613,3551,7,3551
0,6254,72685,7,72685,561,3548,9,3548
0,636,82676,16,82676,77,3593,9,3593
0,8657,93457,9,93457,558,3550,10,3550
0,8662,112387,20,112387,518,3495,13,3495
0,16896,215227,18,215227,540,3553,12,3553
0,4009,42354,12,42354,658,3724,17,3724
0,8206,92353,9,92353,574,3634,13,3634
0,474,64503,6,64503,58,3601,14,3601
0,567,90778,8,90778,64,3582,14,3582
0,1511,270097,51,270097,71,3577,12,3577
0,502,82779,9,82779,56,3508,14,3508
0,6537,71944,13,71944,620,3595,15,3595
0,947,129827,15,129827,65,3563,21,3563
0,11417,110960,17,110960,655,3529,15,3529
0,1218,150096,40,150096,57,3577,17,3577
0,15681,162819,14,162819,618,3573,11,3573
0,20696,260570,26,260570,529,3425,14,3425
0,4965,49357,10,49357,637,3473,17,3473
0,18132,180210,18,180210,635,3597,14,3597
0,609,59381,10,59381,89,3551,13,3551
0,277,31747,1,31747,57,3420,5,3420
0,422,47861,9,47861,66,3518,15,3518
0,14391,162468,11,162468,622,3643,9,3643
0,500,55326,8,55326,74,3555,13,3555
0,1061,176785,27,176785,52,3602,14,3602
0,10343,118066,15,118066,532,3570,8,3570
0,12211,130398,12,130398,620,3557,10,3557
0,8859,118089,13,118089,532,3478,11,3478
0,1213,171195,21,171195,51,3577,9,3577
0,12103,118647,11,118647,633,3660,12,3660
0,829,91897,7,91897,63,3549,10,3549
0,863,92230,20,92230,58,3602,14,3602
