SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
916,168942,34,168942,52,3553,27,3553
635,89471,27,89471,43,3570,14,3570
846,91536,8,91536,70,3482,10,3482
257,38904,3,38904,41,3539,9,3539
644,118352,15,118352,54,3576,15,3576
451,63421,8,63421,46,3534,9,3534
545,87604,15,87604,57,3522,13,3522
764,146844,20,146844,40,3546,9,3546
288,71713,6,71713,38,3539,3,3539
2145,392778,50,392778,42,3592,8,3592
1919,213900,14,213900,68,3523,9,3523
349,67889,9,67889,54,3593,15,3593
608,93305,13,93305,67,3629,14,3629
1375,244172,22,244172,63,3540,12,3540
680,112918,16,112918,64,3567,10,3567
479,76233,3,76233,60,3587,10,3587
326,72196,12,72196,42,3631,9,3631
532,113831,24,113831,39,3609,12,3609
170,39095,9,39095,42,3538,16,3538
1731,286865,12,286865,52,3522,4,3522
579,129263,41,129263,39,3544,16,3544
3022,513133,103,513133,56,3568,16,3568
799,145931,11,145931,55,3581,14,3581
594,87341,23,87341,46,3591,13,3591
874,118976,14,118976,73,3538,17,3538
971,177873,18,177873,42,3573,11,3573
786,130721,15,130721,58,3528,12,3528
928,116832,7,116832,49,3604,12,3604
1807,327967,18,327967,41,3525,5,3525
2633,310655,29,310655,59,3485,16,3485
814,95375,13,95375,70,3648,12,3648
4642,902181,71,902181,49,3637,12,3637
628,133291,13,133291,52,3546,7,3546
955,142728,24,142728,72,3667,19,3667
307,40870,19,40870,65,3646,18,3646
360,51983,12,51983,57,3679,18,3679
271,50182,10,50182,43,3597,9,3597
578,68291,7,68291,76,3506,10,3506
360,53719,6,53719,53,3516,10,3516
987,128180,16,128180,64,3641,12,3641
376,54727,5,54727,48,3626,10,3626
510,77669,5,77669,60,3555,11,3555
473,102371,7,102371,35,3623,12,3623
618,69067,20,69067,66,3565,21,3565
1377,232547,41,232547,55,3554,7,3554
303,60919,8,60919,41,3554,15,3554
505,78211,7,78211,57,3633,14,3633
869,105228,17,105228,82,3604,18,3604
396,75488,5,75488,61,3591,14,3591
811,91962,14,91962,55,3637,13,3637
545,89418,15,89418,43,3576,12,3576
499,92227,21,92227,42,3572,11,3572
1173,121142,15,121142,59,3551,11,3551
585,97836,19,97836,65,3542,12,3542
979,181598,34,181598,48,3523,13,3523
247,39186,6,39186,41,3520,9,3520
657,112072,15,112072,48,3551,13,3551
539,72685,11,72685,60,3548,14,3548
576,82676,12,82676,63,3593,9,3593
633,93457,20,93457,65,3550,12,3550
675,112387,13,112387,51,3495,12,3495
1710,215227,28,215227,56,3553,13,3553
195,42354,6,42354,42,3724,12,3724
642,92353,19,92353,56,3634,10,3634
411,64503,0,64503,50,3601,6,3601
646,90778,18,90778,53,3582,13,3582
1233,270097,27,270097,42,3577,17,3577
519,82779,13,82779,39,3508,13,3508
416,71944,12,71944,49,3595,19,3595
1258,129827,29,129827,77,3563,11,3563
915,110960,16,110960,76,3529,8,3529
823,150096,23,150096,45,3577,12,3577
944,162819,22,162819,46,3573,9,3573
1123,260570,30,260570,40,3425,9,3425
416,49357,4,49357,67,3473,10,3473
1340,180210,34,180210,62,3597,7,3597
478,59381,15,59381,46,3551,11,3551
279,31747,11,31747,44,3420,18,3420
255,47861,11,47861,43,3518,12,3518
1277,162468,36,162468,60,3643,8,3643
247,55326,5,55326,29,3555,13,3555
1042,176785,21,176785,47,3602,10,3602
889,118066,11,118066,54,3570,11,3570
971,130398,14,130398,50,3557,13,3557
838,118089,16,118089,57,3478,15,3478
1000,171195,17,171195,35,3577,11,3577
598,118647,11,118647,55,3660,8,3660
757,91897,22,91897,58,3549,8,3549
791,92230,10,92230,75,3602,14,3602
315,40953,6,40953,56,3648,5,3648
319,56223,28,56223,50,3469,25,3469
1186,186728,16,186728,51,3560,12,3560
320,59354,7,59354,42,3439,12,3439
1523,247636,33,247636,55,3576,16,3576
744,115930,18,115930,55,3568,11,3568
802,139188,13,139188,48,3502,13,3502
435,82453,6,82453,52,3539,12,3539
984,121288,26,121288,53,3560,11,3560
915,142341,10,142341,47,3497,14,3497
944,145716,29,145716,58,3588,12,3588
451,64809,9,64809,31,3628,7,3628
211,45047,8,45047,34,3561,11,3561
638,105118,17,105118,53,3462,14,3462
1120,151556,25,151556,61,3582,11,3582
841,151401,23,151401,48,3491,11,3491
315,59313,10,59313,42,3559,6,3559
481,82356,18,82356,48,3532,10,3532
645,127433,23,127433,37,3600,11,3600
12477,1695511,138,1695511,57,3507,10,3507
953,135118,14,135118,51,3634,14,3634
1894,282555,44,282555,53,3570,14,3570
393,54537,6,54537,44,3488,14,3488
485,57900,15,57900,58,3617,15,3617
1124,166023,26,166023,50,3576,18,3576
1206,214956,22,214956,58,3607,7,3607
586,102499,13,102499,59,3546,21,3546
1045,128417,16,128417,54,3596,11,3596
2194,361289,24,361289,54,3601,10,3601
463,80730,9,80730,68,3562,10,3562
498,79639,18,79639,38,3552,15,3552
565,109293,26,109293,53,3579,21,3579
585,102276,17,102276,41,3515,14,3515
864,125622,9,125622,70,3612,9,3612
588,134849,13,134849,41,3530,7,3530
2737,360157,67,360157,55,3666,14,3666
705,135001,15,135001,45,3595,11,3595
620,78947,9,78947,69,3659,14,3659
210,31066,5,31066,50,3498,11,3498
524,89999,21,89999,48,3583,9,3583
1016,93207,9,93207,87,3588,11,3588
355,85615,7,85615,45,3534,9,3534
1564,244002,26,244002,53,3523,13,3523
973,141184,30,141184,54,3529,13,3529
659,85587,6,85587,62,3612,16,3612
2206,291935,49,291935,64,3532,14,3532
775,97576,5,97576,51,3602,8,3602
758,100267,22,100267,58,3579,15,3579
921,134308,27,134308,52,3559,16,3559
352,56032,6,56032,47,3496,11,3496
1511,280674,22,280674,51,3561,11,3561
1223,196485,15,196485,41,3621,9,3621
1327,200588,26,200588,57,3588,15,3588
3109,423909,54,423909,56,3484,16,3484
363,105245,8,105245,34,3603,11,3603
830,84553,9,84553,76,3518,12,3518
660,156054,18,156054,55,3672,12,3672
287,55594,17,55594,52,3611,24,3611
655,72697,11,72697,87,3609,13,3609
343,48170,13,48170,48,3491,13,3491
1570,260709,19,260709,47,3563,16,3563
886,115598,17,115598,62,3652,17,3652
