SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
1587,168942,51,168942,64,3553,21,3553
548,89471,13,89471,69,3570,13,3570
700,91536,13,91536,60,3482,13,3482
278,38904,5,38904,65,3539,11,3539
764,118352,22,118352,51,3576,18,3576
466,63421,14,63421,56,3534,14,3534
483,87604,8,87604,46,3522,17,3522
774,146844,33,146844,45,3546,15,3546
385,71713,8,71713,50,3539,8,3539
2485,392778,113,392778,55,3592,13,3592
1577,213900,37,213900,47,3523,26,3523
445,67889,16,67889,47,3593,26,3593
646,93305,16,93305,65,3629,15,3629
1287,244172,26,244172,44,3540,11,3540
788,112918,23,112918,55,3567,18,3567
745,76233,12,76233,65,3587,15,3587
562,72196,6,72196,58,3631,12,3631
670,113831,8,113831,59,3609,21,3609
259,39095,4,39095,44,3538,12,3538
1584,286865,37,286865,62,3522,15,3522
627,129263,16,129263,39,3544,17,3544
2429,513133,49,513133,41,3568,18,3568
713,145931,14,145931,46,3581,12,3581
785,87341,13,87341,63,3591,26,3591
881,118976,26,118976,59,3538,12,3538
1297,177873,26,177873,64,3573,16,3573
1109,130721,13,130721,61,3528,13,3528
658,116832,24,116832,44,3604,8,3604
2488,327967,25,327967,54,3525,15,3525
1809,310655,49,310655,49,3485,13,3485
663,95375,8,95375,38,3648,8,3648
5447,902181,183,902181,58,3637,22,3637
1160,133291,17,133291,70,3546,17,3546
697,142728,38,142728,30,3667,24,3667
277,40870,13,40870,51,3646,22,3646
313,51983,9,51983,53,3679,15,3679
274,50182,7,50182,37,3597,12,3597
394,68291,14,68291,42,3506,16,3506
259,53719,15,53719,27,3516,18,3516
769,128180,31,128180,39,3641,23,3641
261,54727,6,54727,38,3626,20,3626
613,77669,21,77669,67,3555,13,3555
692,102371,8,102371,48,3623,15,3623
506,69067,17,69067,44,3565,13,3565
1857,232547,16,232547,66,3554,16,3554
384,60919,16,60919,50,3554,11,3554
533,78211,9,78211,51,3633,9,3633
923,105228,17,105228,48,3604,32,3604
428,75488,11,75488,53,3591,20,3591
521,91962,15,91962,53,3637,14,3637
711,89418,20,89418,56,3576,22,3576
613,92227,9,92227,56,3572,16,3572
854,121142,11,121142,44,3551,13,3551
667,97836,35,97836,41,3542,20,3542
1360,181598,18,181598,63,3523,13,3523
280,39186,14,39186,57,3520,25,3520
543,112072,28,112072,37,3551,16,3551
384,72685,7,72685,39,3548,11,3548
440,82676,18,82676,53,3593,13,3593
727,93457,10,93457,65,3550,13,3550
719,112387,17,112387,50,3495,15,3495
1560,215227,24,215227,46,3553,13,3553
244,42354,15,42354,43,3724,19,3724
552,92353,5,92353,42,3634,10,3634
469,64503,7,64503,61,3601,17,3601
664,90778,9,90778,58,3582,10,3582
1171,270097,84,270097,52,3577,15,3577
683,82779,16,82779,60,3508,21,3508
627,71944,13,71944,80,3595,15,3595
1081,129827,9,129827,63,3563,26,3563
930,110960,13,110960,61,3529,19,3529
871,150096,16,150096,54,3577,14,3577
1181,162819,30,162819,55,3573,21,3573
1658,260570,42,260570,46,3425,16,3425
376,49357,10,49357,48,3473,17,3473
1442,180210,12,180210,67,3597,11,3597
306,59381,20,59381,48,3551,19,3551
205,31747,8,31747,38,3420,13,3420
360,47861,7,47861,54,3518,26,3518
883,162468,9,162468,46,3643,11,3643
488,55326,15,55326,68,3555,17,3555
934,176785,25,176785,54,3602,7,3602
737,118066,22,118066,64,3570,13,3570
923,130398,9,130398,36,3557,13,3557
839,118089,22,118089,61,3478,15,3478
885,171195,28,171195,46,3577,16,3577
661,118647,17,118647,61,3660,15,3660
491,91897,10,91897,31,3549,18,3549
717,92230,12,92230,52,3602,22,3602
216,40953,8,40953,54,3648,15,3648
286,56223,7,56223,52,3469,11,3469
1289,186728,46,186728,58,3560,21,3560
404,59354,11,59354,67,3439,13,3439
1927,247636,24,247636,57,3576,10,3576
619,115930,20,115930,59,3568,19,3568
852,139188,37,139188,48,3502,19,3502
598,82453,11,82453,54,3539,8,3539
711,121288,13,121288,44,3560,9,3560
722,142341,18,142341,35,3497,6,3497
1007,145716,18,145716,45,3588,10,3588
616,64809,17,64809,81,3628,15,3628
334,45047,11,45047,49,3561,16,3561
478,105118,24,105118,34,3462,21,3462
1105,151556,20,151556,53,3582,14,3582
681,151401,8,151401,38,3491,11,3491
274,59313,2,59313,42,3559,10,3559
586,82356,8,82356,68,3532,18,3532
901,127433,16,127433,59,3600,10,3600
13360,1695511,244,1695511,59,3507,13,3507
637,135118,36,135118,36,3634,23,3634
1447,282555,45,282555,49,3570,20,3570
333,54537,6,54537,36,3488,10,3488
495,57900,21,57900,72,3617,27,3617
583,166023,8,166023,37,3576,12,3576
1508,214956,28,214956,64,3607,17,3607
673,102499,11,102499,42,3546,12,3546
682,128417,22,128417,39,3596,7,3596
2153,361289,66,361289,53,3601,16,3601
385,80730,23,80730,39,3562,17,3562
408,79639,20,79639,41,3552,19,3552
696,109293,14,109293,53,3579,14,3579
415,102276,17,102276,48,3515,13,3515
710,125622,20,125622,57,3612,12,3612
982,134849,25,134849,78,3530,10,3530
2557,360157,78,360157,56,3666,16,3666
1078,135001,18,135001,54,3595,13,3595
338,78947,8,78947,36,3659,11,3659
231,31066,4,31066,53,3498,12,3498
660,89999,15,89999,49,3583,14,3583
589,93207,13,93207,40,3588,13,3588
408,85615,15,85615,55,3534,19,3534
1547,244002,34,244002,42,3523,19,3523
760,141184,41,141184,37,3529,15,3529
739,85587,15,85587,56,3612,19,3612
2601,291935,47,291935,53,3532,17,3532
628,97576,29,97576,54,3602,21,3602
717,100267,19,100267,56,3579,21,3579
1065,134308,24,134308,53,3559,17,3559
291,56032,10,56032,38,3496,14,3496
1152,280674,45,280674,31,3561,20,3561
1433,196485,31,196485,78,3621,14,3621
1160,200588,28,200588,53,3588,17,3588
1819,423909,42,423909,38,3484,12,3484
543,105245,30,105245,47,3603,24,3603
786,84553,10,84553,62,3518,16,3518
845,156054,28,156054,55,3672,18,3672
322,55594,20,55594,56,3611,20,3611
362,72697,5,72697,52,3609,9,3609
487,48170,11,48170,62,3491,12,3491
1538,260709,42,260709,47,3563,17,3563
812,115598,14,115598,45,3652,18,3652
478,59874,11,59874,66,3535,8,3535
440,53750,13,53750,63,3515,19,3515
1702,278543,28,278543,55,3623,13,3623
1233,208145,31,208145,45,3531,8,3531
1460,173598,35,173598,54,3573,14,3573
487,104299,12,104299,38,3610,15,3610
1268,198836,37,198836,49,3579,9,3579
480,70940,24,70940,57,3638,18,3638
679,100702,16,100702,67,3597,19,3597
389,60780,18,60780,58,3600,14,3600
1084,159361,29,159361,46,3546,14,3546
478,83541,13,83541,47,3505,11,3505
344,50796,9,50796,62,3587,19,3587
558,109709,10,109709,36,3611,23,3611
624,90588,9,90588,57,3560,11,3560
1665,265357,37,265357,67,3556,10,3556
411,75869,16,75869,53,3458,14,3458
430,93044,22,93044,45,3544,9,3544
887,104531,15,104531,68,3642,12,3642
784,109125,29,109125,50,3568,15,3568
1169,120278,21,120278,65,3511,16,3511
742,97891,12,97891,49,3518,12,3518
468,71849,15,71849,57,3560,10,3560
872,126632,14,126632,44,3526,13,3526
1530,205309,31,205309,45,3470,16,3470
1324,251804,24,251804,27,3576,16,3576
481,73454,5,73454,46,3686,16,3686
485,90626,18,90626,40,3546,20,3546
588,68850,14,68850,58,3557,23,3557
239,58797,11,58797,40,3566,15,3566
941,246462,19,246462,45,3526,13,3526
469,97313,17,97313,52,3563,13,3563
800,111011,12,111011,50,3620,13,3620
572,94948,16,94948,58,3620,20,3620
232,43936,14,43936,50,3596,21,3596
3231,405581,78,405581,72,3525,16,3525
537,88677,8,88677,52,3573,12,3573
2212,272492,38,272492,66,3652,7,3652
774,124942,10,124942,40,3486,4,3486
966,148900,21,148900,39,3561,18,3561
354,49711,13,49711,57,3500,20,3500
912,137802,20,137802,37,3592,13,3592
1280,271842,43,271842,39,3610,18,3610
707,135094,33,135094,53,3552,12,3552
319,45070,9,45070,61,3521,14,3521
1528,264922,34,264922,66,3682,18,3682
773,91793,8,91793,71,3654,15,3654
458,63655,13,63655,43,3584,19,3584
3618,864604,92,864604,35,3506,16,3506
840,131566,21,131566,48,3566,14,3566
399,68425,6,68425,53,3581,13,3581
826,130600,9,130600,50,3566,10,3566
460,73331,15,73331,42,3543,14,3543
390,78219,12,78219,49,3506,14,3506
441,134209,33,134209,31,3688,15,3688
520,87777,18,87777,44,3635,14,3635
778,114510,17,114510,64,3617,21,3617
777,113489,15,113489,49,3561,8,3561
538,76245,12,76245,53,3580,23,3580
446,59748,15,59748,48,3581,24,3581
1368,313211,23,313211,45,3513,15,3513
595,75296,13,75296,55,3519,14,3519
1036,166215,27,166215,65,3563,15,3563
2454,517274,40,517274,51,3590,10,3590
288,57006,14,57006,53,3629,16,3629
1752,271776,35,271776,60,3646,23,3646
1655,192646,34,192646,59,3544,18,3544
271,41928,13,41928,38,3510,18,3510
1885,272992,32,272992,69,3499,22,3499
1719,206989,36,206989,58,3464,14,3464
862,118841,10,118841,58,3536,10,3536
958,146383,56,146383,68,3523,12,3523
503,85692,14,85692,58,3582,18,3582
299,56817,5,56817,50,3516,15,3516
1039,157055,11,157055,47,3542,6,3542
955,110240,12,110240,59,3560,20,3560
410,59129,18,59129,51,3614,14,3614
656,86644,16,86644,63,3634,22,3634
378,58045,10,58045,50,3621,19,3621
1295,248245,30,248245,55,3482,20,3482
943,127590,35,127590,62,3554,14,3554
1435,160788,32,160788,62,3568,10,3568
767,116568,30,116568,55,3525,22,3525
425,48573,9,48573,50,3614,21,3614
883,147186,33,147186,46,3536,18,3536
921,118930,21,118930,56,3597,13,3597
402,58535,11,58535,36,3575,8,3575
198,37801,7,37801,46,3550,17,3550
872,128746,21,128746,52,3547,9,3547
852,107548,59,107548,70,3462,17,3462
327,59207,6,59207,29,3444,14,3444
1014,159897,11,159897,50,3561,14,3561
1057,200164,23,200164,47,3597,15,3597
4875,695603,127,695603,46,3528,13,3528
2929,435098,43,435098,51,3613,15,3613
569,100444,28,100444,50,3580,20,3580
583,119653,3,119653,50,3624,9,3624
2281,387025,31,387025,44,3647,20,3647
471,102462,7,102462,48,3509,13,3509
