SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
261,136529,24,136529,7,845,4,845,603,104
139,92893,12,92893,2,819,3,819,602,86
314,152615,19,152615,5,818,5,818,600,99
190,111392,18,111392,5,788,4,788,600,94
248,167559,36,167559,1,811,2,811,600,85
449,185757,20,185757,4,824,4,824,600,92
161,73027,8,73027,3,860,6,860,604,94
59,36142,7,36142,2,824,3,824,602,94
505,243479,33,243479,3,730,4,730,601,85
109,66903,8,66903,4,774,5,774,604,90
592,223149,18,223149,3,842,3,842,604,82
306,131691,9,131691,3,805,1,805,603,92
187,119066,24,119066,7,829,1,829,605,83
75,48776,4,48776,8,830,5,830,600,90
105,69283,8,69283,5,853,5,853,600,99
105,57387,10,57387,7,802,6,802,605,99
62,41705,3,41705,1,785,2,785,603,86
117,65363,8,65363,7,829,2,829,604,82
85,62231,18,62231,4,771,0,771,601,96
155,94674,21,94674,8,794,3,794,604,101
110,67702,17,67702,5,760,6,760,600,109
177,78658,11,78658,9,795,3,795,604,80
78,48549,12,48549,6,819,4,819,605,93
123,70314,12,70314,4,744,7,744,601,98
87,61370,3,61370,4,812,4,812,605,95
165,83302,17,83302,3,763,2,763,601,88
57,36034,6,36034,4,847,4,847,601,93
205,131812,26,131812,4,832,5,832,602,103
90,47038,3,47038,5,786,3,786,602,99
81,43100,7,43100,3,807,3,807,603,94
709,381575,53,381575,1,795,2,795,605,91
135,76579,19,76579,0,805,4,805,603,95
135,102372,7,102372,5,829,0,829,604,79
324,131288,15,131288,4,824,6,824,601,91
191,102676,10,102676,4,785,2,785,605,100
301,131002,22,131002,4,759,5,759,605,96
114,90733,14,90733,2,795,1,795,600,87
145,86424,9,86424,1,766,2,766,603,95
139,79534,12,79534,1,777,5,777,602,96
221,111370,17,111370,2,815,3,815,603,89
98,40844,6,40844,7,798,1,798,600,96
159,91165,16,91165,4,778,4,778,601,92
112,84821,13,84821,2,828,2,828,604,89
549,334609,101,334609,5,749,7,749,600,88
79,38525,8,38525,4,825,2,825,600,97
138,76628,4,76628,8,818,5,818,601,103
108,69479,17,69479,2,807,2,807,604,89
104,75906,7,75906,2,830,2,830,602,98
57,39657,6,39657,4,805,1,805,602,88
75,57117,10,57117,3,830,1,830,600,106
231,102016,12,102016,4,828,1,828,604,98
149,89952,11,89952,6,831,4,831,601,93
106,50907,11,50907,3,817,4,817,601,95
544,196837,38,196837,4,814,5,814,603,91
76,65136,9,65136,2,799,3,799,603,87
430,219340,17,219340,2,805,3,805,604,110
141,75691,10,75691,4,852,2,852,604,92
433,213398,32,213398,6,830,2,830,601,86
247,113120,13,113120,1,868,9,868,604,96
106,87826,8,87826,7,809,2,809,602,77
250,100208,22,100208,6,755,1,755,601,95
130,77075,21,77075,2,779,6,779,604,124
54,35195,7,35195,6,835,2,835,601,91
118,61092,6,61092,2,785,1,785,603,84
123,49143,13,49143,5,837,3,837,600,89
202,148447,16,148447,3,834,2,834,605,93
254,138726,32,138726,5,792,2,792,601,90
248,124283,18,124283,1,787,2,787,602,97
248,179378,14,179378,6,819,2,819,605,85
209,86812,3,86812,7,816,1,816,602,100
83,39779,4,39779,7,805,3,805,601,98
101,69944,9,69944,7,799,5,799,603,98
438,195059,20,195059,6,803,1,803,604,91
219,135877,19,135877,1,770,6,770,604,107
134,66120,8,66120,4,817,3,817,601,90
197,140594,23,140594,6,794,4,794,602,94
118,64702,9,64702,2,773,3,773,600,86
204,82794,8,82794,1,836,3,836,602,93
178,114381,28,114381,4,760,5,760,600,101
97,55687,5,55687,3,868,4,868,604,97
375,233332,27,233332,5,784,2,784,600,101
270,133467,15,133467,1,745,4,745,604,94
153,70343,5,70343,4,849,2,849,604,84
95,63273,6,63273,2,801,2,801,600,91
140,84807,18,84807,3,790,2,790,601,87
82,52793,7,52793,4,787,1,787,601,85
205,145522,12,145522,3,832,2,832,601,90
228,149062,21,149062,5,854,2,854,601,104
63,34608,10,34608,4,775,2,775,601,92
180,74968,11,74968,5,792,2,792,605,89
72,41167,5,41167,4,828,6,828,600,99
240,124947,27,124947,3,798,2,798,601,97
136,87026,6,87026,4,838,8,838,605,102
133,99126,12,99126,1,839,5,839,602,90
163,83111,9,83111,5,828,1,828,603,85
96,64536,14,64536,9,779,3,779,602,90
332,130927,22,130927,2,832,7,832,605,94
259,113572,31,113572,1,783,4,783,602,96
126,64491,14,64491,1,800,5,800,601,99
143,66481,9,66481,2,808,2,808,603,95
106,79032,18,79032,2,785,4,785,600,87
69,48839,4,48839,6,840,2,840,604,88
393,228713,34,228713,5,857,3,857,602,95
157,110820,15,110820,6,787,7,787,600,102
237,201475,35,201475,4,835,4,835,600,96
204,108215,25,108215,4,845,5,845,600,87
92,56533,9,56533,5,795,2,795,602,102
89,60202,19,60202,5,836,2,836,602,93
72,29466,1,29466,4,786,2,786,603,91
161,69776,5,69776,2,782,3,782,604,95
847,404164,47,404164,4,824,2,824,601,95
244,111880,37,111880,4,818,4,818,602,94
96,53379,12,53379,3,832,2,832,603,90
149,87450,19,87450,4,809,5,809,600,105
284,133409,25,133409,3,837,2,837,605,93
96,55013,14,55013,8,781,1,781,601,93
665,316668,37,316668,3,845,2,845,600,90
194,115444,17,115444,4,773,5,773,604,97
68,44196,3,44196,4,808,2,808,604,92
189,93565,5,93565,3,757,3,757,601,85
85,47147,24,47147,4,833,8,833,602,111
166,115225,18,115225,5,824,2,824,601,85
163,61712,13,61712,5,808,5,808,602,107
104,64163,11,64163,3,813,6,813,601,94
108,39679,2,39679,5,816,3,816,604,96
193,86206,14,86206,1,860,5,860,600,92
179,70891,15,70891,2,758,4,758,601,89
180,67252,8,67252,5,795,4,795,600,96
94,67013,12,67013,4,858,2,858,604,95
240,147866,17,147866,7,790,5,790,600,87
325,232458,19,232458,4,805,5,805,601,88
68,38824,2,38824,3,828,4,828,600,88
238,83324,14,83324,3,794,4,794,604,100
114,50499,10,50499,1,839,6,839,600,100
470,278226,60,278226,4,839,4,839,601,106
194,90473,14,90473,6,775,6,775,603,90
171,114738,21,114738,4,785,3,785,603,92
79,51140,6,51140,4,779,2,779,605,79
215,97530,8,97530,6,800,4,800,601,80
104,80532,14,80532,5,809,2,809,601,89
373,142301,16,142301,6,810,2,810,600,88
187,102791,15,102791,5,840,4,840,600,92
99,50481,4,50481,4,822,5,822,601,93
90,51498,12,51498,5,813,4,813,600,102
310,150195,23,150195,2,786,4,786,605,102
55,32658,2,32658,4,831,5,831,604,91
354,165083,16,165083,5,830,3,830,600,84
200,87950,7,87950,4,824,2,824,601,90
257,133277,16,133277,4,766,1,766,602,87
347,175583,18,175583,11,836,1,836,603,88
126,76992,7,76992,1,820,1,820,602,90
334,141808,19,141808,1,829,4,829,602,104
86,50020,7,50020,6,841,1,841,602,85
109,57502,17,57502,4,834,5,834,605,98
62,36557,0,36557,6,786,3,786,605,89
121,69893,9,69893,8,795,1,795,600,82
89,35576,7,35576,5,812,3,812,604,96
631,273269,20,273269,2,803,3,803,603,95
128,71427,5,71427,4,795,3,795,605,97
108,59062,13,59062,7,790,5,790,601,94
254,151350,23,151350,6,799,6,799,601,103
168,80140,13,80140,1,807,3,807,604,90
305,115420,30,115420,2,811,6,811,602,113
842,494983,91,494983,3,769,7,769,600,96
107,47306,15,47306,5,771,5,771,605,103
185,90251,16,90251,5,822,4,822,600,87
68,42305,4,42305,4,730,3,730,604,88
148,113327,9,113327,3,845,3,845,604,85
196,101899,16,101899,5,823,2,823,601,81
83,47979,7,47979,4,817,1,817,602,84
78,46253,11,46253,5,775,4,775,601,87
112,50907,12,50907,8,796,2,796,600,93
97,60626,4,60626,3,839,1,839,605,90
145,63026,14,63026,3,798,6,798,602,92
133,73295,9,73295,4,753,0,753,604,82
368,148378,26,148378,3,855,2,855,600,93
125,75508,15,75508,3,795,5,795,603,90
297,158453,28,158453,5,795,4,795,601,104
201,118015,24,118015,4,845,5,845,601,100
2184,1197056,104,1197056,2,790,3,790,604,83
274,171386,32,171386,3,821,6,821,603,102
609,373138,54,373138,3,819,2,819,601,84
339,153039,10,153039,4,802,1,802,602,85
74,40871,8,40871,4,792,3,792,603,98
142,55190,14,55190,4,782,2,782,602,92
110,45581,6,45581,3,743,1,743,603,80
100,49533,5,49533,6,755,2,755,601,100
202,70196,7,70196,3,827,3,827,600,85
59,40225,2,40225,2,840,0,840,600,98
152,76745,12,76745,6,841,1,841,602,99
110,69541,10,69541,3,779,3,779,600,89
150,84454,11,84454,9,810,4,810,604,97
163,70948,11,70948,3,817,3,817,602,88
203,117129,21,117129,5,832,6,832,604,88
99,66309,15,66309,5,794,5,794,600,93
123,71537,9,71537,4,799,3,799,605,90
201,110876,14,110876,4,811,3,811,604,86
217,108300,10,108300,3,835,4,835,601,92
1035,354758,48,354758,5,764,0,764,601,82
144,75270,11,75270,3,772,4,772,600,107
115,61636,12,61636,4,789,6,789,603,89
449,226529,35,226529,7,842,2,842,601,93
341,160365,24,160365,4,790,7,790,601,100
70,52328,5,52328,4,805,5,805,605,95
149,68848,12,68848,7,795,7,795,600,108
78,43492,4,43492,3,899,3,899,601,87
183,108484,20,108484,4,777,1,777,602,84
149,75916,8,75916,8,867,1,867,601,83
79,54527,10,54527,3,774,1,774,600,97
85,60341,7,60341,2,840,3,840,603,90
1922,1090195,210,1090195,5,842,10,842,600,105
220,82580,8,82580,5,814,4,814,604,97
96,47443,5,47443,6,812,2,812,605,84
146,71525,10,71525,4,812,2,812,602,85
108,80821,11,80821,4,829,5,829,603,97
204,126196,30,126196,3,858,4,858,601,96
106,55049,4,55049,4,834,1,834,602,89
339,172425,26,172425,3,806,8,806,604,104
85,46536,9,46536,6,821,1,821,603,95
128,66717,12,66717,3,796,5,796,600,98
242,139689,26,139689,2,807,4,807,603,91
85,63246,10,63246,7,812,8,812,600,104
255,144387,35,144387,4,823,3,823,600,89
113,63943,2,63943,3,842,3,842,601,105
78,41974,11,41974,4,787,2,787,601,94
116,60547,15,60547,4,803,7,803,603,98
272,162643,15,162643,2,786,2,786,604,102
118,69245,8,69245,3,835,3,835,603,86
