ID1,ID2,Distance
N11310|10052|2.554504,N11317|13754|1.238895,0.0130215
N9879|13356|4.869562,N9892|2220|0.966632,0.013001
N9879|13356|4.869562,N9881|3150|3.340512,0.0139083
N11310|10052|2.554504,N11312|9204|0.201658,0.010536
N9879|13356|4.869562,N9886|10431|1.571473,0.0105374
N11310|10052|2.554504,N11319|13398|0.368839,0.0121575
N9879|13356|4.869562,N9876|14906|0.275886,0.0121447
N11310|10052|2.554504,N11316|10006|0.893127,0.0146913
N9879|13356|4.869562,N9878|14836|0.767408,0.0105118
N11310|10052|2.554504,N11320|12146|0.782543,0.0129711
N11310|10052|2.554504,N11306|4008|0.115476,0.00565377
N11310|10052|2.554504,N11313|14224|2.000376,0.0105547
N11310|10052|2.554504,N11303|1796|0.614385,0.0121902
N11310|10052|2.554504,N11311|5522|1.293076,0.00808506
N11310|10052|2.554504,N11307|12638|2.418087,0.00891804
N10332|12651|2.280367,N10330|15034|0.885528,0.00969665
N11310|10052|2.554504,N11305|12613|0.128352,0.0113523
N10332|12651|2.280367,N10337|4312|1.776281,0.0146286
N11310|10052|2.554504,N11309|5655|0.716001,0.00566808
N11310|10052|2.554504,N11308|11343|0.380017,0.00648758
N10332|12651|2.280367,N10334|2745|0.268744,0.00563821
N11115|11483|0.166019,N11123|13400|0.550519,0.0146105
N11115|11483|0.166019,N11112|2144|1.298572,0.0129998
N11329|12807|4.155089,N11328|6356|0.376041,0.00806612
N11115|11483|0.166019,N11114|4608|0.964677,0.00482674
N11115|11483|0.166019,N11110|6597|0.799556,0.00644932
N11115|11483|0.166019,N11113|8073|2.046063,0.0138058
N11115|11483|0.166019,N11109|3160|1.569605,0.0121422
N11115|11483|0.166019,N11121|3759|3.327211,0.014601
N11329|12807|4.155089,N11327|1585|0.409407,0.0105072
N11115|11483|0.166019,N11107|6476|0.11518,0.00970111
N11115|11483|0.166019,N11117|3799|0.893867,0.00971243
N11115|11483|0.166019,N11116|4300|0.088066,0.00808335
N11116|4300|0.088066,N11108|1592|2.220718,0.012983
N11115|11483|0.166019,N11108|1592|2.220718,0.0129691
N11116|4300|0.088066,N11120|6672|1.20099,0.0146256
N11115|11483|0.166019,N11120|6672|1.20099,0.0146101
N11116|4300|0.088066,N11119|12250|1.877049,0.0137969
N11115|11483|0.166019,N11119|12250|1.877049,0.0137836
N11983|3397|0.053809,N11979|9889|1.831735,0.012958
N11983|3397|0.053809,N12000|1697|1.165955,0.0121356
N11983|3397|0.053809,N11981|13664|0.413962,0.00806628
N11983|3397|0.053809,N11993|5980|0.193838,0.0145973
N11983|3397|0.053809,N11987|6815|0.568281,0.012971
N11983|3397|0.053809,N11978|10205|1.17435,0.0121585
N11983|3397|0.053809,N11991|2444|1.558358,0.0137832
N11983|3397|0.053809,N12004|4432|0.045,0.0113149
N11983|3397|0.053809,N11998|9748|0.136485,0.0129559
N11445|4965|4.208178,N11444|7014|2.246754,0.011315
N11983|3397|0.053809,N11986|10739|0.210267,0.012173
N11983|3397|0.053809,N11990|14455|0.084801,0.00968682
N11983|3397|0.053809,N11982|9264|1.674904,0.00887633
N11983|3397|0.053809,N12005|3632|2.333526,0.0121357
N11983|3397|0.053809,N11980|8410|5.854739,0.0105141
N11983|3397|0.053809,N11994|12384|1.846266,0.0129485
N11983|3397|0.053809,N12001|10433|2.153166,0.0129505
N11983|3397|0.053809,N11997|2882|1.847096,0.0145938
N11983|3397|0.053809,N11992|7058|1.224462,0.0129486
N11983|3397|0.053809,N11984|12573|2.399765,0.0137965
N13020|13261|1.379266,N13009|4041|1.044423,0.0137841
N13020|13261|1.379266,N13019|14225|2.625487,0.00889342
