source,target
0,14627
1,14557
2,9398
2,13863
3,4849
4,12452
5,1400
6,14898
7,9097
8,14046
9,15077
10,14710
11,4029
12,13187
13,15079
14,14584
15,15093
16,10896
17,14958
17,14233
18,9292
19,14541
20,8171
21,14500
22,13903
22,15214
23,14838
24,15094
25,14783
26,13223
27,10652
28,14852
29,12927
30,2191
31,1370
32,14816
33,11573
34,6545
35,13039
36,14114
37,12171
38,15035
39,14503
40,11579
41,13253
42,2002
43,14897
44,14853
45,12997
46,14264
47,14962
48,8362
49,13381
50,14720
51,13133
52,15085
53,12407
54,3143
55,15049
56,15074
57,12060
58,5785
59,15096
60,15003
61,15084
62,13085
63,14663
64,13190
65,13369
66,8772
66,15349
67,14478
68,14903
69,14387
70,11169
71,14792
72,14392
73,13982
74,9799
75,15099
76,14819
77,14860
78,15065
79,5141
80,15062
81,11828
81,12451
82,5582
83,13718
84,14270
85,1374
85,12411
86,15100
87,15061
88,14975
89,14350
90,10128
91,14767
92,4837
93,9221
94,14677
95,1869
96,15087
97,14999
98,12372
99,12599
100,15070
101,14937
102,13776
103,14520
104,9281
105,15032
106,1498
106,13961
107,14290
108,9592
109,15038
110,14966
111,14148
112,14006
113,1333
114,13532
115,3428
116,14592
117,14968
118,14959
119,15064
119,15159
120,6816
121,14982
122,14510
123,15088
124,14129
125,14495
126,14903
127,12974
128,14812
129,14311
130,14666
131,14606
132,14864
133,13242
134,15020
135,6311
136,14203
137,12848
138,12119
139,12305
140,14977
141,14107
142,5748
143,5516
143,14372
144,2418
145,14978
146,14667
147,15066
148,14818
149,2349
150,13946
151,3431
152,15096
153,14529
154,15048
155,14301
156,15076
157,14664
158,14192
159,11352
159,12327
160,15087
161,13333
162,14629
162,15224
163,15085
164,15087
165,7621
166,14465
167,13871
168,14700
169,10390
170,5062
171,11932
172,14220
173,14110
174,15027
175,15002
176,13396
177,14947
178,12661
179,13721
180,13420
181,14249
182,13578
183,13137
184,14479
185,14427
186,11509
187,11650
188,11565
189,15031
190,15057
191,15034
191,15375
192,13966
193,14392
194,14873
195,15048
196,15083
197,14960
198,13635
199,15080
200,9161
201,10122
202,11389
203,15091
204,14222
205,15030
206,14693
207,15078
208,13024
209,14696
210,15034
211,12046
211,15348
212,12593
212,13835
213,7828
214,7959
215,14947
216,13936
217,13604
218,12590
219,14667
220,13331
221,15027
222,15056
223,2772
224,7159
225,9024
226,12055
227,8261
228,9847
229,13939
230,14758
231,12442
232,10876
232,15310
232,14440
232,12764
233,14866
234,2885
235,14894
236,8896
237,14361
238,15081
239,3725
240,9456
241,7158
242,15036
243,14846
244,13264
245,13219
246,4204
247,15073
248,12898
249,13519
250,14974
251,12546
252,14807
253,14287
254,12365
255,14711
256,9960
257,13646
258,12268
259,14977
260,11526
261,12257
262,15000
263,15088
264,14826
265,13795
266,10653
266,13839
267,13924
267,13532
268,8875
269,10834
270,13841
271,15031
272,15028
273,2017
274,4374
274,13275
275,11425
276,8150
277,13258
278,12918
278,12347
279,15094
280,10378
281,4887
282,15036
283,15046
284,13329
285,2553
286,14273
287,14824
288,7391
289,14587
290,13130
291,12130
292,14794
293,14992
294,12366
295,8031
296,13592
297,6930
298,14989
299,14308
300,13621
301,13886
302,15064
303,15067
304,14967
305,14781
306,14324
307,14781
308,9190
309,11120
310,14466
311,12745
312,15090
313,12730
314,11287
315,12213
316,7057
317,15093
318,15072
319,13707
320,9607
321,15021
322,13988
323,14705
324,14648
325,15043
326,12412
327,14619
328,14837
329,7507
330,15088
331,9591
332,13945
332,14353
333,14886
334,15083
335,14978
336,14671
337,15054
338,14407
339,10188
340,7388
341,14999
342,12467
343,9334
344,15073
345,15089
346,14862
347,15075
348,14660
349,15088
350,14425
351,9180
352,13417
353,11816
354,15078
355,12825
356,11743
356,14225
357,13793
358,13630
359,15094
360,11896
361,15022
361,15324
362,2646
362,14247
363,13205
364,10487
365,8125
366,14353
367,6843
368,14746
369,8609
370,9131
371,12353
372,8930
373,15081
374,15034
375,14654
376,11773
377,13483
378,6462
379,9863
380,12562
381,14028
382,14692
383,13584
384,14825
384,15342
385,7585
385,12372
386,15072
387,13543
388,15066
389,14873
390,13856
390,14195
391,14689
392,14037
393,13770
394,14106
395,12027
396,15091
397,4418
398,14141
399,14932
400,13264
400,13380
401,12130
402,8813
403,12891
404,14873
405,14345
406,14199
407,14473
408,12440
409,12571
410,3511
411,14235
412,15017
413,8399
414,13419
415,8240
415,15332
416,14006
417,14880
418,13637
419,15081
420,12779
421,11957
422,8571
423,15051
424,6986
425,12653
426,10665
427,8587
428,15021
429,15085
430,14033
431,14524
432,13397
433,14838
433,15323
434,13951
435,12562
436,14191
436,6975
437,7200
438,14861
439,14089
440,14256
441,9246
442,15093
443,14958
444,15045
445,15084
445,15244
446,9538
447,14545
448,15084
449,14480
450,14799
451,7668
451,15338
452,14021
453,15032
454,14598
454,15334
455,14823
456,14890
457,13024
458,15068
459,14445
460,14807
461,6331
462,8824
463,8266
464,15040
465,15082
466,13212
467,10892
468,14617
469,8568
470,14364
471,15075
472,9748
473,12040
474,10463
475,12600
476,13813
476,14446
477,8773
477,11821
478,3125
479,14133
480,14922
481,5147
482,12457
483,15050
484,2662
485,13788
486,15022
486,15268
487,7241
488,13165
489,15056
490,9402
491,15019
492,11401
493,12305
494,6901
495,13629
496,14635
497,13654
498,9889
499,14240
500,6677
501,14904
502,11372
503,11678
504,14907
504,14375
505,11343
506,9061
507,15046
508,12830
509,5404
510,11755
511,9316
512,14750
513,14601
514,14430
515,13229
516,11786
517,12668
518,14159
519,15058
520,6436
521,13040
522,14708
523,11539
524,11339
525,4178
526,13752
527,14029
528,15100
529,13659
530,9912
531,13810
532,15024
533,12028
534,15064
535,14975
536,14486
537,14981
538,13365
539,15061
540,14397
541,14063
542,7774
542,13619
543,14969
544,13663
545,14030
546,15036
547,13143
548,14974
549,14535
550,10436
551,15067
552,9705
553,15021
554,14841
555,13878
556,14903
557,15075
558,12530
559,15010
559,15298
560,15087
561,14994
562,13234
563,12724
564,14871
565,10582
565,12903
566,15038
567,14971
568,14601
569,7992
570,14052
571,12865
572,15017
573,14788
574,13606
574,15312
574,12179
575,12229
576,15027
576,14173
576,14427
577,9839
578,13512
579,14969
580,4999
581,14825
582,7178
583,14807
583,13865
584,5942
585,12860
586,13724
587,14618
588,3907
589,1038
590,15064
591,15064
592,14100
593,12953
594,15084
595,14882
596,14989
597,14920
598,13991
599,14858
600,15061
601,14986
601,15183
602,15091
603,15093
604,6459
605,11299
605,13402
606,10663
607,15034
608,14638
608,15377
609,14158
610,5710
611,15044
612,14357
613,14473
614,9096
614,15230
615,9025
616,3228
617,14853
618,15085
619,3920
620,13893
621,13996
622,14755
623,14881
624,14331
625,11509
626,7713
627,14380
628,14497
629,15076
630,13952
631,6982
631,15119
632,7745
633,6499
634,14967
635,1477
636,12707
637,14984
638,13264
639,13418
640,3537
641,12012
642,14827
643,14129
644,14361
645,15040
646,12569
647,6563
648,15070
649,14707
650,15082
651,12476
652,12648
653,15061
654,831
654,14606
655,15023
656,15082
657,15099
658,14491
659,9401
660,13088
661,9304
662,15000
663,13906
664,14442
665,11019
666,15064
667,13365
667,15309
667,14378
668,14154
