SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
859,136529,15,136529,11,845,0,845
375,92893,18,92893,15,819,3,819
761,152615,17,152615,12,818,4,818
832,111392,12,111392,22,788,1,788
517,167559,29,167559,4,811,1,811
1067,185757,36,185757,18,824,5,824
285,73027,11,73027,9,860,4,860
246,36142,6,36142,20,824,3,824
1338,243479,35,243479,11,730,2,730
389,66903,13,66903,11,774,5,774
1176,223149,22,223149,5,842,2,842
537,131691,16,131691,7,805,7,805
442,119066,8,119066,13,829,0,829
344,48776,5,48776,12,830,1,830
420,69283,4,69283,11,853,3,853
245,57387,5,57387,16,802,6,802
190,41705,8,41705,9,785,1,785
430,65363,13,65363,15,829,2,829
332,62231,9,62231,13,771,9,771
743,94674,14,94674,9,794,6,794
447,67702,6,67702,18,760,3,760
249,78658,9,78658,7,795,5,795
285,48549,9,48549,13,819,2,819
398,70314,11,70314,7,744,2,744
463,61370,9,61370,24,812,2,812
541,83302,10,83302,10,763,8,763
226,36034,4,36034,14,847,7,847
796,131812,13,131812,12,832,4,832
210,47038,7,47038,6,786,1,786
222,43100,4,43100,5,807,4,807
2471,381575,39,381575,10,795,1,795
414,76579,9,76579,8,805,1,805
355,102372,27,102372,14,829,1,829
825,131288,16,131288,15,824,5,824
718,102676,22,102676,8,785,4,785
479,131002,15,131002,7,759,1,759
391,90733,19,90733,20,795,4,795
647,86424,18,86424,11,766,4,766
504,79534,11,79534,16,777,5,777
608,111370,9,111370,14,815,5,815
200,40844,9,40844,17,798,4,798
679,91165,9,91165,15,778,5,778
462,84821,10,84821,10,828,1,828
1981,334609,27,334609,12,749,1,749
180,38525,5,38525,17,825,1,825
357,76628,7,76628,10,818,2,818
245,69479,12,69479,9,807,1,807
330,75906,10,75906,5,830,1,830
298,39657,3,39657,21,805,5,805
387,57117,9,57117,14,830,0,830
593,102016,22,102016,7,828,5,828
523,89952,12,89952,5,831,1,831
189,50907,5,50907,8,817,2,817
915,196837,36,196837,6,814,6,814
452,65136,12,65136,14,799,1,799
1147,219340,38,219340,9,805,1,805
316,75691,12,75691,12,852,8,852
957,213398,35,213398,12,830,3,830
591,113120,14,113120,12,868,3,868
540,87826,15,87826,12,809,7,809
458,100208,9,100208,14,755,0,755
479,77075,11,77075,14,779,4,779
196,35195,4,35195,16,835,3,835
462,61092,9,61092,13,785,0,785
262,49143,1,49143,11,837,0,837
778,148447,8,148447,13,834,5,834
731,138726,22,138726,13,792,8,792
506,124283,11,124283,5,787,4,787
641,179378,17,179378,9,819,2,819
491,86812,6,86812,16,816,1,816
250,39779,7,39779,13,805,6,805
434,69944,7,69944,14,799,1,799
1514,195059,22,195059,16,803,1,803
869,135877,16,135877,13,770,4,770
337,66120,8,66120,13,817,3,817
703,140594,18,140594,3,794,4,794
381,64702,12,64702,11,773,2,773
643,82794,7,82794,17,836,2,836
657,114381,18,114381,9,760,2,760
397,55687,4,55687,19,868,3,868
1546,233332,39,233332,9,784,0,784
791,133467,26,133467,12,745,2,745
629,70343,14,70343,13,849,2,849
325,63273,9,63273,6,801,3,801
497,84807,8,84807,17,790,4,790
311,52793,6,52793,15,787,4,787
701,145522,14,145522,8,832,3,832
1006,149062,18,149062,23,854,4,854
200,34608,3,34608,16,775,4,775
510,74968,5,74968,8,792,1,792
257,41167,6,41167,14,828,2,828
653,124947,20,124947,19,798,2,798
487,87026,13,87026,9,838,4,838
470,99126,6,99126,22,839,3,839
497,83111,8,83111,7,828,1,828
334,64536,11,64536,14,779,0,779
754,130927,20,130927,11,832,2,832
761,113572,11,113572,13,783,1,783
294,64491,12,64491,8,800,2,800
229,66481,6,66481,8,808,2,808
534,79032,14,79032,11,785,0,785
264,48839,9,48839,9,840,2,840
947,228713,43,228713,8,857,3,857
670,110820,15,110820,15,787,5,787
965,201475,42,201475,12,835,4,835
577,108215,15,108215,6,845,7,845
263,56533,11,56533,13,795,4,795
320,60202,14,60202,13,836,2,836
141,29466,3,29466,16,786,3,786
613,69776,2,69776,18,782,2,782
1774,404164,106,404164,8,824,3,824
495,111880,10,111880,5,818,3,818
391,53379,17,53379,15,832,2,832
430,87450,13,87450,14,809,2,809
621,133409,14,133409,10,837,2,837
471,55013,5,55013,21,781,1,781
1614,316668,54,316668,15,845,1,845
807,115444,13,115444,8,773,3,773
243,44196,2,44196,17,808,3,808
472,93565,19,93565,8,757,2,757
248,47147,5,47147,13,833,4,833
586,115225,21,115225,9,824,3,824
332,61712,8,61712,9,808,3,808
250,64163,11,64163,8,813,6,813
188,39679,7,39679,12,816,2,816
393,86206,32,86206,9,860,5,860
377,70891,18,70891,9,758,1,758
477,67252,4,67252,11,795,3,795
427,67013,3,67013,14,858,2,858
995,147866,7,147866,14,790,4,790
927,232458,33,232458,17,805,4,805
135,38824,2,38824,9,828,4,828
324,83324,13,83324,10,794,8,794
220,50499,5,50499,11,839,3,839
1530,278226,34,278226,8,839,0,839
443,90473,7,90473,10,775,6,775
626,114738,7,114738,10,785,3,785
222,51140,11,51140,9,779,0,779
532,97530,11,97530,15,800,2,800
434,80532,11,80532,7,809,3,809
703,142301,12,142301,13,810,7,810
695,102791,17,102791,13,840,4,840
375,50481,7,50481,22,822,2,822
303,51498,6,51498,5,813,3,813
529,150195,19,150195,8,786,1,786
188,32658,4,32658,13,831,3,831
1098,165083,16,165083,14,830,2,830
415,87950,7,87950,7,824,1,824
700,133277,25,133277,15,766,4,766
1052,175583,24,175583,12,836,0,836
549,76992,9,76992,13,820,1,820
876,141808,21,141808,16,829,4,829
176,50020,16,50020,14,841,7,841
339,57502,8,57502,16,834,4,834
178,36557,5,36557,7,786,0,786
347,69893,4,69893,17,795,0,795
159,35576,5,35576,6,812,0,812
1347,273269,38,273269,8,803,5,803
540,71427,13,71427,11,795,4,795
269,59062,9,59062,8,790,1,790
1075,151350,23,151350,20,799,1,799
411,80140,7,80140,9,807,2,807
729,115420,11,115420,8,811,3,811
3611,494983,60,494983,10,769,5,769
490,47306,3,47306,18,771,2,771
526,90251,9,90251,9,822,3,822
242,42305,11,42305,11,730,3,730
629,113327,17,113327,10,845,1,845
462,101899,20,101899,13,823,2,823
328,47979,6,47979,9,817,4,817
258,46253,5,46253,10,775,7,775
378,50907,9,50907,13,796,1,796
426,60626,11,60626,13,839,1,839
261,63026,22,63026,13,798,3,798
375,73295,8,73295,11,753,2,753
915,148378,16,148378,11,855,2,855
413,75508,10,75508,8,795,2,795
765,158453,21,158453,12,795,12,795
379,118015,15,118015,10,845,6,845
7242,1197056,188,1197056,11,790,1,790
1117,171386,37,171386,17,821,4,821
1615,373138,63,373138,19,819,6,819
1129,153039,25,153039,19,802,5,802
222,40871,8,40871,11,792,3,792
558,55190,4,55190,13,782,2,782
257,45581,16,45581,14,743,1,743
316,49533,14,49533,15,755,2,755
431,70196,11,70196,10,827,0,827
226,40225,5,40225,10,840,5,840
522,76745,9,76745,9,841,3,841
322,69541,4,69541,9,779,4,779
466,84454,21,84454,12,810,4,810
277,70948,14,70948,10,817,1,817
837,117129,14,117129,8,832,3,832
520,66309,4,66309,18,794,4,794
555,71537,7,71537,14,799,2,799
650,110876,13,110876,15,811,4,811
854,108300,28,108300,13,835,2,835
2745,354758,49,354758,17,764,2,764
470,75270,7,75270,12,772,0,772
218,61636,3,61636,7,789,3,789
1821,226529,19,226529,14,842,1,842
1069,160365,20,160365,10,790,2,790
385,52328,3,52328,11,805,3,805
353,68848,7,68848,7,795,1,795
217,43492,8,43492,19,899,4,899
826,108484,10,108484,9,777,3,777
353,75916,7,75916,13,867,2,867
424,54527,7,54527,10,774,7,774
295,60341,14,60341,10,840,6,840
9864,1090195,78,1090195,20,842,5,842
508,82580,14,82580,16,814,5,814
333,47443,12,47443,17,812,4,812
423,71525,5,71525,13,812,2,812
416,80821,9,80821,6,829,3,829
735,126196,23,126196,13,858,6,858
231,55049,4,55049,3,834,1,834
737,172425,21,172425,8,806,1,806
217,46536,7,46536,17,821,2,821
298,66717,17,66717,8,796,3,796
681,139689,13,139689,11,807,1,807
414,63246,13,63246,13,812,4,812
1109,144387,25,144387,6,823,3,823
318,63943,8,63943,6,842,1,842
280,41974,2,41974,12,787,5,787
463,60547,5,60547,14,803,3,803
805,162643,20,162643,12,786,5,786
243,69245,12,69245,6,835,4,835
522,85525,18,85525,16,843,2,843
286,63242,11,63242,7,831,4,831
231,42867,14,42867,9,832,4,832
365,72167,0,72167,14,793,0,793
1049,147998,29,147998,16,868,3,868
3797,730372,124,730372,17,770,3,770
270,53320,7,53320,4,801,1,801
819,178217,27,178217,12,838,2,838
698,105760,11,105760,16,825,2,825
792,113612,15,113612,18,818,5,818
1086,146358,15,146358,10,771,1,771
267,44199,7,44199,10,800,4,800
667,101214,10,101214,4,766,1,766
427,96118,4,96118,10,798,3,798
322,70282,17,70282,10,842,4,842
516,108162,19,108162,13,827,2,827
370,72215,3,72215,10,814,2,814
839,150573,9,150573,9,810,3,810
428,74585,11,74585,11,816,2,816
489,84757,11,84757,15,815,2,815
422,57354,7,57354,10,816,3,816
684,138006,17,138006,11,797,4,797
