SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
925,136529,15,136529,17,845,6,845
864,92893,17,92893,18,819,2,819
1150,152615,17,152615,27,818,1,818
633,111392,15,111392,14,788,3,788
1772,167559,17,167559,14,811,3,811
869,185757,19,185757,17,824,1,824
506,73027,13,73027,19,860,2,860
417,36142,5,36142,23,824,1,824
1727,243479,53,243479,10,730,6,730
364,66903,12,66903,6,774,2,774
1797,223149,24,223149,15,842,3,842
1047,131691,35,131691,22,805,5,805
1018,119066,21,119066,25,829,1,829
314,48776,8,48776,12,830,4,830
437,69283,7,69283,16,853,4,853
438,57387,8,57387,7,802,3,802
303,41705,5,41705,10,785,2,785
625,65363,10,65363,17,829,9,829
434,62231,12,62231,14,771,6,771
942,94674,12,94674,25,794,3,794
518,67702,8,67702,15,760,3,760
449,78658,9,78658,6,795,6,795
533,48549,7,48549,21,819,4,819
394,70314,9,70314,12,744,7,744
665,61370,17,61370,16,812,3,812
516,83302,14,83302,10,763,2,763
181,36034,4,36034,14,847,3,847
1158,131812,13,131812,22,832,5,832
348,47038,10,47038,13,786,3,786
294,43100,8,43100,11,807,1,807
2774,381575,107,381575,14,795,8,795
514,76579,16,76579,11,805,4,805
677,102372,10,102372,18,829,3,829
993,131288,21,131288,14,824,4,824
838,102676,14,102676,17,785,2,785
625,131002,18,131002,15,759,8,759
771,90733,11,90733,18,795,9,795
542,86424,12,86424,18,766,4,766
519,79534,4,79534,19,777,1,777
969,111370,11,111370,12,815,3,815
298,40844,11,40844,10,798,4,798
606,91165,10,91165,12,778,4,778
865,84821,15,84821,13,828,3,828
2323,334609,21,334609,13,749,1,749
316,38525,6,38525,23,825,2,825
647,76628,12,76628,17,818,1,818
468,69479,12,69479,18,807,3,807
590,75906,12,75906,12,830,3,830
422,39657,4,39657,24,805,2,805
515,57117,9,57117,18,830,3,830
762,102016,14,102016,21,828,7,828
813,89952,16,89952,13,831,4,831
328,50907,7,50907,17,817,3,817
2185,196837,28,196837,19,814,3,814
503,65136,6,65136,18,799,5,799
1487,219340,35,219340,19,805,3,805
647,75691,16,75691,17,852,3,852
1306,213398,24,213398,10,830,1,830
986,113120,18,113120,16,868,5,868
792,87826,14,87826,12,809,3,809
939,100208,29,100208,15,755,1,755
479,77075,7,77075,14,779,5,779
273,35195,5,35195,18,835,2,835
441,61092,10,61092,9,785,4,785
404,49143,9,49143,14,837,4,837
1319,148447,26,148447,20,834,4,834
1169,138726,41,138726,22,792,2,792
641,124283,12,124283,9,787,3,787
1355,179378,31,179378,17,819,4,819
472,86812,20,86812,7,816,1,816
267,39779,4,39779,13,805,1,805
426,69944,17,69944,16,799,7,799
1439,195059,48,195059,19,803,4,803
1120,135877,16,135877,6,770,4,770
554,66120,15,66120,11,817,4,817
1368,140594,15,140594,19,794,1,794
397,64702,14,64702,13,773,1,773
947,82794,13,82794,25,836,3,836
1026,114381,24,114381,17,760,4,760
386,55687,18,55687,16,868,5,868
1967,233332,25,233332,24,784,7,784
1300,133467,28,133467,17,745,3,745
474,70343,10,70343,13,849,5,849
508,63273,10,63273,17,801,2,801
699,84807,18,84807,14,790,3,790
282,52793,7,52793,11,787,5,787
1635,145522,35,145522,20,832,3,832
961,149062,15,149062,13,854,6,854
247,34608,4,34608,18,775,5,775
570,74968,10,74968,17,792,4,792
266,41167,6,41167,14,828,4,828
787,124947,13,124947,13,798,5,798
633,87026,12,87026,21,838,5,838
813,99126,13,99126,23,839,2,839
809,83111,22,83111,12,828,4,828
331,64536,5,64536,12,779,3,779
1050,130927,25,130927,16,832,1,832
551,113572,13,113572,8,783,0,783
448,64491,19,64491,17,800,4,800
512,66481,17,66481,13,808,6,808
497,79032,15,79032,8,785,2,785
382,48839,5,48839,16,840,3,840
1743,228713,18,228713,15,857,0,857
640,110820,19,110820,10,787,4,787
1131,201475,26,201475,16,835,4,835
558,108215,28,108215,11,845,3,845
509,56533,5,56533,25,795,3,795
503,60202,4,60202,20,836,3,836
174,29466,7,29466,19,786,4,786
512,69776,16,69776,14,782,2,782
2735,404164,47,404164,17,824,1,824
838,111880,11,111880,16,818,6,818
445,53379,8,53379,19,832,2,832
750,87450,21,87450,14,809,3,809
1079,133409,16,133409,21,837,3,837
447,55013,16,55013,18,781,1,781
2616,316668,74,316668,21,845,8,845
774,115444,12,115444,13,773,3,773
385,44196,12,44196,28,808,2,808
527,93565,14,93565,10,757,3,757
415,47147,7,47147,15,833,3,833
723,115225,16,115225,11,824,1,824
663,61712,12,61712,19,808,1,808
458,64163,14,64163,14,813,3,813
343,39679,7,39679,16,816,2,816
636,86206,27,86206,20,860,1,860
422,70891,20,70891,14,758,3,758
637,67252,14,67252,11,795,5,795
554,67013,11,67013,22,858,3,858
1121,147866,9,147866,14,790,1,790
1787,232458,37,232458,14,805,6,805
308,38824,4,38824,18,828,2,828
561,83324,16,83324,9,794,3,794
411,50499,6,50499,16,839,2,839
2221,278226,89,278226,9,839,3,839
681,90473,12,90473,17,775,4,775
1010,114738,10,114738,14,785,3,785
225,51140,9,51140,8,779,3,779
664,97530,8,97530,15,800,4,800
665,80532,13,80532,18,809,2,809
1182,142301,25,142301,11,810,3,810
739,102791,19,102791,12,840,5,840
490,50481,4,50481,17,822,5,822
479,51498,9,51498,17,813,3,813
1086,150195,18,150195,14,786,4,786
103,32658,4,32658,8,831,3,831
1442,165083,29,165083,19,830,8,830
620,87950,21,87950,14,824,5,824
988,133277,15,133277,14,766,4,766
1148,175583,31,175583,17,836,5,836
406,76992,15,76992,14,820,3,820
1726,141808,9,141808,25,829,3,829
465,50020,7,50020,17,841,3,841
532,57502,7,57502,21,834,1,834
240,36557,7,36557,6,786,7,786
545,69893,10,69893,17,795,4,795
240,35576,4,35576,16,812,2,812
2589,273269,43,273269,14,803,4,803
547,71427,7,71427,19,795,1,795
308,59062,7,59062,14,790,7,790
1045,151350,22,151350,16,799,8,799
726,80140,6,80140,15,807,2,807
977,115420,17,115420,13,811,4,811
4048,494983,76,494983,15,769,3,769
412,47306,6,47306,14,771,7,771
604,90251,10,90251,12,822,2,822
298,42305,13,42305,19,730,5,730
1104,113327,17,113327,17,845,5,845
601,101899,15,101899,13,823,6,823
463,47979,8,47979,16,817,4,817
265,46253,8,46253,12,775,3,775
480,50907,11,50907,14,796,5,796
432,60626,9,60626,15,839,2,839
545,63026,12,63026,10,798,4,798
736,73295,19,73295,23,753,4,753
927,148378,10,148378,20,855,4,855
700,75508,7,75508,14,795,5,795
943,158453,26,158453,7,795,1,795
1157,118015,33,118015,20,845,8,845
7397,1197056,211,1197056,21,790,5,790
1341,171386,28,171386,18,821,5,821
