param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Social Sample Size,200,contact->genetic,0.00015538507803867607,7.174731449202132e-05,16.452,17.56359006581513
Social Sample Size,300,contact->genetic,0.00015566306122032889,6.422242406081527e-05,17.128,18.71597221626491
Social Sample Size,400,contact->genetic,0.000157843474885768,6.983801556371144e-05,17.464,22.89770084528139
Social Sample Size,500,contact->genetic,0.00014864707466211163,6.632576407415316e-05,16.124,17.47514303231879
Social Sample Size,600,contact->genetic,0.0001522315187541846,6.452676911040926e-05,15.94,15.007478135916108
Social Sample Size,650,contact->genetic,0.00015189626416849578,6.227159667302743e-05,17.648,23.56022274937145
Social Sample Size,700,contact->genetic,0.00015574369532441173,6.673372155783432e-05,17.54,22.1785572118657
Social Sample Size,750,contact->genetic,0.00015241724974205802,6.943775054102852e-05,16.704,20.861073414376357
Social Sample Size,800,contact->genetic,0.00015247726003083157,6.213834960579235e-05,17.216,25.413408744204308
Social Sample Size,850,contact->genetic,0.00015817390912410185,6.727821801335425e-05,17.968,22.61572408745738
Social Sample Size,900,contact->genetic,0.00015094085235027466,6.115446391255069e-05,16.976,18.653456087277767
Social Sample Size,950,contact->genetic,0.00015751986023582952,6.702024880516381e-05,17.084,17.464390742307614
Social Sample Size,1000,contact->genetic,0.00015780222926575936,6.858923342260137e-05,16.996,17.502342243254184
Social Sample Size,200,contact->transmission,0.003901179783762766,0.0022169892940556604,3.156,1.7987951523172392
Social Sample Size,300,contact->transmission,0.004336155096877057,0.0023966186603881323,3.504,1.9271699458013558
Social Sample Size,400,contact->transmission,0.004282238293454306,0.002449018035077249,3.456,1.971817435768332
Social Sample Size,500,contact->transmission,0.004184664857448531,0.002422358950614765,3.384,1.9648267099161696
Social Sample Size,600,contact->transmission,0.004442059284026582,0.002630622691820414,3.596,2.1243314242368116
Social Sample Size,650,contact->transmission,0.004296619666414586,0.0024552122949943827,3.472,1.9761619366843397
Social Sample Size,700,contact->transmission,0.004315799318795418,0.0023027243420422204,3.496,1.8852013155098317
Social Sample Size,750,contact->transmission,0.004330460731571533,0.0023392117899492903,3.5,1.8788294228055935
Social Sample Size,800,contact->transmission,0.004294027307593477,0.0022818215731727166,3.476,1.8486275990582852
Social Sample Size,850,contact->transmission,0.004264386305815117,0.0022368621158787164,3.448,1.806459520720019
Social Sample Size,900,contact->transmission,0.004235221865527681,0.002204471092829245,3.432,1.8059280162841487
Social Sample Size,950,contact->transmission,0.00435346211523523,0.0024908562329896736,3.52,2.0143485299222674
Social Sample Size,1000,contact->transmission,0.0043185340488369256,0.0025016134708058875,3.488,2.010436768465997
Social Sample Size,200,social->genetic,0.005180819998756903,0.0018090805177439209,568.604,742.2075068227214
Social Sample Size,300,social->genetic,0.005716789731961199,0.0012937378510295427,637.98,688.1046748860234
Social Sample Size,400,social->genetic,0.005732312262201659,0.0013818306084025327,649.732,779.9424877361151
Social Sample Size,500,social->genetic,0.005515204872453863,0.0013288832528707312,629.04,710.6035339062141
Social Sample Size,600,social->genetic,0.005675429305134036,0.0012879710544058066,636.436,721.2660354570982
Social Sample Size,650,social->genetic,0.005794539274345712,0.0012962251100012679,657.32,773.6285630714523
Social Sample Size,700,social->genetic,0.0056512482135938945,0.001224556802213274,629.732,670.4808753245688
Social Sample Size,750,social->genetic,0.00702919157194966,0.007844186019842265,776.62,1238.6348467567025
Social Sample Size,800,social->genetic,0.006780553425973272,0.00681052341789202,724.88,830.1644280502508
Social Sample Size,850,social->genetic,0.009470752635517594,0.014030301068969287,1144.072,2592.8538784158277
Social Sample Size,900,social->genetic,0.016398020801805756,0.023978625375324705,1955.552,4972.135221742868
Social Sample Size,950,social->genetic,0.03003859901195946,0.03287866627813925,3286.144,6378.514274912614
Social Sample Size,1000,social->genetic,0.04582164845977667,0.03691759736709969,5210.648,8564.301873480174
Social Sample Size,200,social->transmission,0.01346207290188138,0.0056951152130087015,10.888,4.612532493110482
Social Sample Size,300,social->transmission,0.014593557052849931,0.004628713139444468,11.784,3.696666606552449
Social Sample Size,400,social->transmission,0.014807422096099337,0.005012404569399913,11.96,4.033658389105354
Social Sample Size,500,social->transmission,0.014524623154835594,0.005108049952340499,11.76,4.181674305825359
Social Sample Size,600,social->transmission,0.015013875027464494,0.005072510505589457,12.16,4.1749730538052585
Social Sample Size,650,social->transmission,0.014481289262776507,0.004830342452393127,11.732,3.983487918897207
Social Sample Size,700,social->transmission,0.015069395686120946,0.004457039046264477,12.188,3.6178247608196834
Social Sample Size,750,social->transmission,0.017350864094735612,0.017581571447700464,13.996,13.995284348665447
Social Sample Size,800,social->transmission,0.017097632530722166,0.014156888317504219,13.804,11.35348334212897
Social Sample Size,850,social->transmission,0.022625099267968515,0.03045582484652913,18.316,24.70239146317619
Social Sample Size,900,social->transmission,0.03649664933416594,0.048712968889259814,29.556,39.50299816469631
Social Sample Size,950,social->transmission,0.06514236098293034,0.06718589954645116,52.532,54.16701003378348
Social Sample Size,1000,social->transmission,0.09611825752807669,0.0747381798876578,77.46,60.13092715067679
