SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
779,136529,512,136529,15,845,17,845,1047,444
474,92893,214,92893,17,819,20,819,1080,439
649,152615,525,152615,11,818,12,818,1105,429
579,111392,505,111392,12,788,22,788,1089,484
951,167559,529,167559,8,811,19,811,1035,455
988,185757,521,185757,13,824,17,824,1054,435
339,73027,226,73027,12,860,21,860,997,443
214,36142,126,36142,13,824,16,824,1065,438
1108,243479,880,243479,6,730,13,730,1050,454
338,66903,214,66903,10,774,15,774,1060,423
1048,223149,711,223149,12,842,19,842,1090,444
813,131691,500,131691,6,805,17,805,1061,433
494,119066,327,119066,17,829,23,829,1052,456
271,48776,160,48776,9,830,16,830,1045,436
360,69283,167,69283,11,853,16,853,1102,435
300,57387,194,57387,6,802,17,802,1048,479
224,41705,123,41705,7,785,20,785,1084,465
431,65363,196,65363,8,829,23,829,1028,435
294,62231,203,62231,8,771,16,771,982,448
366,94674,345,94674,9,794,32,794,1042,483
439,67702,274,67702,6,760,22,760,1119,475
477,78658,235,78658,9,795,18,795,1049,436
221,48549,206,48549,9,819,16,819,1052,445
324,70314,156,70314,13,744,16,744,1055,437
361,61370,175,61370,12,812,17,812,1081,428
498,83302,302,83302,9,763,9,763,1052,434
203,36034,86,36034,14,847,15,847,1088,444
673,131812,403,131812,4,832,18,832,1098,433
269,47038,174,47038,16,786,21,786,1078,470
296,43100,129,43100,10,807,23,807,1064,435
2494,381575,1397,381575,4,795,23,795,1057,469
293,76579,254,76579,9,805,17,805,1000,458
480,102372,267,102372,8,829,17,829,1027,458
890,131288,330,131288,6,824,12,824,1078,441
757,102676,244,102676,6,785,14,785,1128,434
659,131002,453,131002,10,759,20,759,1046,432
463,90733,289,90733,8,795,23,795,1101,461
338,86424,315,86424,7,766,10,766,1063,430
418,79534,229,79534,13,777,24,777,1081,435
501,111370,361,111370,8,815,11,815,1098,454
212,40844,151,40844,13,798,17,798,1036,437
576,91165,396,91165,12,778,15,778,1068,435
439,84821,311,84821,7,828,21,828,1050,459
1743,334609,1002,334609,9,749,17,749,1079,433
165,38525,131,38525,5,825,17,825,1019,432
406,76628,251,76628,11,818,14,818,1093,435
380,69479,275,69479,9,807,17,807,1057,454
297,75906,272,75906,9,830,13,830,1001,446
234,39657,149,39657,14,805,23,805,1118,452
354,57117,157,57117,8,830,10,830,1065,435
531,102016,272,102016,9,828,18,828,1048,414
469,89952,301,89952,15,831,20,831,1050,459
179,50907,122,50907,7,817,13,817,989,437
992,196837,663,196837,3,814,18,814,1059,437
449,65136,178,65136,11,799,21,799,1048,427
1177,219340,582,219340,11,805,16,805,1045,454
541,75691,408,75691,12,852,20,852,1095,460
1131,213398,713,213398,13,830,11,830,1065,438
566,113120,411,113120,14,868,29,868,1084,464
571,87826,247,87826,11,809,22,809,1054,454
486,100208,363,100208,9,755,15,755,1059,444
516,77075,285,77075,13,779,16,779,1081,432
179,35195,83,35195,9,835,21,835,1026,445
338,61092,187,61092,7,785,25,785,1075,467
234,49143,183,49143,8,837,13,837,1050,446
850,148447,582,148447,20,834,13,834,1129,446
652,138726,518,138726,8,792,19,792,1011,450
608,124283,447,124283,9,787,21,787,1095,470
1005,179378,523,179378,11,819,20,819,1078,450
446,86812,233,86812,9,816,17,816,1092,455
195,39779,160,39779,8,805,26,805,1008,452
364,69944,208,69944,9,799,15,799,1056,441
1297,195059,773,195059,16,803,16,803,1127,442
882,135877,570,135877,12,770,22,770,1142,427
413,66120,215,66120,12,817,13,817,1069,453
684,140594,554,140594,8,794,13,794,1041,447
309,64702,239,64702,3,773,13,773,1077,442
554,82794,246,82794,14,836,22,836,1057,442
497,114381,348,114381,14,760,12,760,1043,429
262,55687,142,55687,7,868,12,868,1038,436
1597,233332,743,233332,9,784,19,784,1044,436
1082,133467,377,133467,8,745,14,745,1079,454
472,70343,250,70343,5,849,19,849,1066,442
316,63273,218,63273,11,801,14,801,1054,420
638,84807,336,84807,9,790,24,790,1081,473
278,52793,168,52793,6,787,14,787,1105,456
782,145522,467,145522,13,832,16,832,1085,440
723,149062,476,149062,13,854,22,854,1071,452
139,34608,179,34608,9,775,17,775,961,420
406,74968,190,74968,4,792,18,792,1042,436
207,41167,148,41167,14,828,17,828,1043,448
799,124947,362,124947,13,798,22,798,1109,465
514,87026,363,87026,18,838,17,838,1108,433
504,99126,317,99126,15,839,21,839,1090,452
336,83111,310,83111,15,828,22,828,1052,427
409,64536,329,64536,14,779,24,779,1044,463
860,130927,367,130927,11,832,18,832,1062,421
703,113572,359,113572,9,783,18,783,1090,451
384,64491,182,64491,9,800,17,800,1045,431
297,66481,187,66481,4,808,15,808,1015,434
517,79032,294,79032,10,785,19,785,1106,429
259,48839,123,48839,10,840,14,840,1042,441
1194,228713,815,228713,7,857,21,857,1061,450
627,110820,280,110820,14,787,18,787,1069,437
1447,201475,741,201475,9,835,22,835,1023,485
492,108215,285,108215,12,845,21,845,1051,413
441,56533,199,56533,4,795,15,795,1090,459
307,60202,143,60202,13,836,18,836,1087,427
147,29466,128,29466,14,786,20,786,1051,441
456,69776,172,69776,11,782,23,782,1099,448
2114,404164,1213,404164,7,824,18,824,1092,458
548,111880,326,111880,9,818,19,818,1045,450
295,53379,111,53379,9,832,21,832,1085,473
591,87450,280,87450,8,809,19,809,1121,447
691,133409,505,133409,11,837,13,837,1049,452
311,55013,177,55013,9,781,17,781,1049,435
1375,316668,1456,316668,10,845,18,845,1016,475
672,115444,400,115444,18,773,21,773,1054,457
262,44196,151,44196,11,808,19,808,1078,425
532,93565,287,93565,12,757,20,757,1049,449
255,47147,131,47147,10,833,22,833,1054,452
774,115225,427,115225,10,824,11,824,1058,458
365,61712,247,61712,17,808,17,808,1113,455
299,64163,247,64163,8,813,20,813,1070,451
251,39679,107,39679,12,816,13,816,1104,425
540,86206,246,86206,9,860,17,860,1092,442
453,70891,268,70891,16,758,14,758,1103,414
438,67252,222,67252,14,795,14,795,1081,433
481,67013,215,67013,13,858,13,858,1121,463
846,147866,449,147866,7,790,24,790,1081,435
1159,232458,599,232458,8,805,18,805,1067,450
173,38824,120,38824,9,828,20,828,1075,445
464,83324,266,83324,7,794,15,794,1053,462
244,50499,154,50499,3,839,19,839,1062,420
1377,278226,1205,278226,13,839,14,839,1057,447
410,90473,319,90473,17,775,14,775,1035,442
797,114738,354,114738,9,785,19,785,1065,441
247,51140,136,51140,6,779,15,779,1040,444
557,97530,303,97530,6,800,16,800,1006,427
467,80532,264,80532,7,809,17,809,1077,446
819,142301,497,142301,12,810,21,810,1057,442
583,102791,377,102791,14,840,16,840,1077,441
333,50481,227,50481,12,822,22,822,1084,430
341,51498,192,51498,8,813,12,813,1060,433
781,150195,358,150195,12,786,14,786,1045,441
175,32658,107,32658,14,831,18,831,1097,441
933,165083,581,165083,10,830,19,830,1131,428
550,87950,292,87950,14,824,18,824,1117,427
847,133277,415,133277,11,766,12,766,1038,435
1221,175583,471,175583,8,836,18,836,1088,467
462,76992,225,76992,6,820,9,820,1075,433
903,141808,347,141808,11,829,14,829,1047,429
267,50020,142,50020,11,841,8,841,994,417
345,57502,165,57502,11,834,18,834,1086,436
167,36557,85,36557,12,786,14,786,1010,445
306,69893,171,69893,14,795,20,795,1094,440
154,35576,156,35576,13,812,21,812,1020,439
1686,273269,757,273269,15,803,14,803,1055,424
464,71427,198,71427,6,795,19,795,1092,443
