SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
375,136529,22,136529,7,845,1,845
409,92893,3,92893,5,819,3,819
311,152615,4,152615,5,818,1,818
453,111392,9,111392,7,788,2,788
701,167559,33,167559,4,811,7,811
474,185757,23,185757,7,824,2,824
447,73027,7,73027,15,860,0,860
173,36142,1,36142,9,824,4,824
828,243479,21,243479,4,730,2,730
147,66903,9,66903,4,774,3,774
1447,223149,13,223149,12,842,3,842
414,131691,7,131691,7,805,3,805
436,119066,5,119066,4,829,5,829
149,48776,2,48776,13,830,4,830
304,69283,16,69283,16,853,3,853
221,57387,7,57387,9,802,2,802
78,41705,4,41705,12,785,1,785
270,65363,6,65363,9,829,7,829
345,62231,4,62231,13,771,3,771
296,94674,15,94674,4,794,0,794
267,67702,7,67702,6,760,2,760
326,78658,8,78658,15,795,8,795
165,48549,2,48549,12,819,2,819
277,70314,3,70314,7,744,2,744
244,61370,6,61370,6,812,3,812
389,83302,5,83302,12,763,3,763
163,36034,3,36034,13,847,0,847
625,131812,15,131812,13,832,4,832
160,47038,3,47038,7,786,3,786
260,43100,5,43100,15,807,1,807
1715,381575,27,381575,18,795,4,795
309,76579,11,76579,10,805,2,805
458,102372,10,102372,18,829,1,829
590,131288,13,131288,4,824,2,824
389,102676,17,102676,10,785,2,785
341,131002,14,131002,10,759,4,759
289,90733,12,90733,9,795,3,795
379,86424,4,86424,10,766,3,766
440,79534,6,79534,10,777,5,777
446,111370,12,111370,8,815,4,815
131,40844,1,40844,5,798,2,798
295,91165,5,91165,7,778,3,778
347,84821,3,84821,11,828,2,828
971,334609,16,334609,10,749,3,749
135,38525,7,38525,8,825,4,825
290,76628,9,76628,7,818,6,818
281,69479,5,69479,10,807,1,807
287,75906,9,75906,10,830,3,830
148,39657,2,39657,12,805,1,805
221,57117,2,57117,11,830,1,830
508,102016,15,102016,9,828,4,828
288,89952,18,89952,9,831,4,831
191,50907,3,50907,13,817,1,817
839,196837,22,196837,8,814,3,814
128,65136,1,65136,5,799,0,799
801,219340,12,219340,10,805,4,805
223,75691,25,75691,4,852,8,852
799,213398,17,213398,9,830,2,830
344,113120,8,113120,7,868,2,868
345,87826,12,87826,12,809,5,809
526,100208,13,100208,13,755,2,755
333,77075,9,77075,14,779,3,779
70,35195,1,35195,6,835,1,835
436,61092,9,61092,9,785,4,785
189,49143,4,49143,2,837,1,837
676,148447,7,148447,8,834,3,834
746,138726,16,138726,10,792,6,792
358,124283,13,124283,6,787,2,787
294,179378,23,179378,11,819,0,819
384,86812,7,86812,13,816,4,816
116,39779,4,39779,7,805,3,805
234,69944,16,69944,8,799,0,799
1088,195059,31,195059,12,803,6,803
748,135877,27,135877,6,770,4,770
351,66120,8,66120,11,817,4,817
396,140594,12,140594,3,794,4,794
255,64702,2,64702,5,773,6,773
480,82794,7,82794,7,836,4,836
323,114381,25,114381,6,760,2,760
189,55687,3,55687,11,868,2,868
708,233332,14,233332,8,784,3,784
620,133467,4,133467,6,745,2,745
245,70343,8,70343,2,849,1,849
355,63273,9,63273,9,801,3,801
220,84807,10,84807,7,790,4,790
185,52793,8,52793,11,787,3,787
437,145522,28,145522,9,832,4,832
344,149062,12,149062,6,854,3,854
141,34608,4,34608,6,775,1,775
439,74968,10,74968,12,792,3,792
216,41167,6,41167,15,828,1,828
561,124947,11,124947,6,798,1,798
252,87026,16,87026,10,838,7,838
252,99126,9,99126,9,839,3,839
357,83111,7,83111,13,828,1,828
311,64536,5,64536,14,779,3,779
511,130927,5,130927,8,832,7,832
382,113572,12,113572,6,783,1,783
175,64491,5,64491,7,800,2,800
395,66481,6,66481,7,808,0,808
249,79032,8,79032,12,785,0,785
230,48839,9,48839,12,840,3,840
722,228713,36,228713,10,857,0,857
637,110820,6,110820,10,787,3,787
758,201475,28,201475,14,835,2,835
350,108215,10,108215,7,845,2,845
305,56533,5,56533,9,795,3,795
221,60202,12,60202,3,836,5,836
118,29466,5,29466,10,786,3,786
212,69776,7,69776,10,782,3,782
2296,404164,52,404164,11,824,3,824
834,111880,12,111880,7,818,1,818
171,53379,4,53379,10,832,5,832
394,87450,10,87450,5,809,2,809
508,133409,9,133409,6,837,2,837
235,55013,3,55013,11,781,0,781
1095,316668,19,316668,14,845,2,845
597,115444,17,115444,12,773,1,773
102,44196,4,44196,4,808,1,808
236,93565,18,93565,7,757,2,757
129,47147,6,47147,11,833,2,833
585,115225,9,115225,6,824,3,824
202,61712,1,61712,12,808,2,808
264,64163,9,64163,2,813,4,813
175,39679,3,39679,7,816,4,816
324,86206,8,86206,10,860,2,860
256,70891,3,70891,7,758,3,758
241,67252,6,67252,8,795,2,795
151,67013,6,67013,2,858,1,858
378,147866,15,147866,9,790,2,790
1105,232458,22,232458,6,805,2,805
163,38824,2,38824,13,828,5,828
246,83324,11,83324,5,794,1,794
118,50499,11,50499,3,839,1,839
1056,278226,12,278226,11,839,4,839
356,90473,10,90473,7,775,5,775
520,114738,11,114738,8,785,1,785
201,51140,6,51140,4,779,3,779
443,97530,3,97530,12,800,1,800
298,80532,5,80532,12,809,0,809
620,142301,8,142301,7,810,2,810
557,102791,25,102791,14,840,3,840
168,50481,4,50481,6,822,3,822
210,51498,2,51498,10,813,3,813
480,150195,20,150195,6,786,2,786
94,32658,5,32658,5,831,4,831
849,165083,10,165083,14,830,2,830
295,87950,7,87950,10,824,1,824
546,133277,12,133277,8,766,2,766
357,175583,13,175583,8,836,2,836
166,76992,9,76992,4,820,3,820
547,141808,17,141808,8,829,2,829
306,50020,9,50020,10,841,3,841
212,57502,9,57502,8,834,2,834
213,36557,3,36557,7,786,1,786
207,69893,9,69893,4,795,0,795
129,35576,2,35576,16,812,2,812
1008,273269,28,273269,8,803,4,803
320,71427,7,71427,5,795,3,795
206,59062,6,59062,9,790,3,790
483,151350,17,151350,13,799,5,799
515,80140,12,80140,6,807,3,807
363,115420,21,115420,5,811,2,811
2460,494983,55,494983,8,769,2,769
148,47306,5,47306,6,771,2,771
342,90251,4,90251,7,822,4,822
128,42305,5,42305,6,730,8,730
538,113327,16,113327,6,845,3,845
411,101899,4,101899,8,823,3,823
121,47979,5,47979,9,817,1,817
143,46253,2,46253,7,775,0,775
183,50907,5,50907,10,796,2,796
229,60626,4,60626,15,839,0,839
258,63026,4,63026,4,798,1,798
243,73295,10,73295,8,753,3,753
484,148378,7,148378,6,855,1,855
346,75508,7,75508,6,795,2,795
687,158453,13,158453,8,795,0,795
712,118015,20,118015,9,845,6,845
4433,1197056,120,1197056,6,790,3,790
581,171386,18,171386,10,821,0,821
1663,373138,26,373138,12,819,2,819
438,153039,15,153039,7,802,1,802
83,40871,7,40871,5,792,2,792
145,55190,4,55190,2,782,0,782
292,45581,3,45581,5,743,6,743
223,49533,6,49533,9,755,1,755
222,70196,1,70196,6,827,1,827
202,40225,6,40225,16,840,4,840
186,76745,8,76745,3,841,3,841
160,69541,5,69541,8,779,3,779
266,84454,11,84454,8,810,4,810
164,70948,14,70948,5,817,6,817
464,117129,5,117129,9,832,1,832
309,66309,2,66309,7,794,2,794
319,71537,4,71537,9,799,2,799
261,110876,7,110876,5,811,6,811
355,108300,9,108300,9,835,3,835
1573,354758,31,354758,7,764,1,764
293,75270,4,75270,5,772,2,772
225,61636,6,61636,8,789,2,789
757,226529,17,226529,8,842,0,842
506,160365,19,160365,6,790,1,790
144,52328,6,52328,6,805,1,805
285,68848,3,68848,6,795,3,795
124,43492,10,43492,9,899,0,899
413,108484,18,108484,9,777,3,777
293,75916,5,75916,5,867,6,867
319,54527,6,54527,8,774,2,774
164,60341,4,60341,4,840,6,840
3530,1090195,55,1090195,5,842,3,842
336,82580,16,82580,9,814,3,814
136,47443,4,47443,12,812,2,812
311,71525,9,71525,2,812,3,812
2620,80821,8,80821,58,829,1,829
497,126196,8,126196,7,858,2,858
254,55049,8,55049,10,834,4,834
566,172425,12,172425,11,806,1,806
281,46536,6,46536,11,821,1,821
419,66717,7,66717,8,796,0,796
321,139689,15,139689,12,807,5,807
344,63246,6,63246,11,812,4,812
953,144387,11,144387,8,823,1,823
272,63943,6,63943,4,842,1,842
172,41974,1,41974,12,787,0,787
248,60547,12,60547,8,803,3,803
572,162643,13,162643,9,786,2,786
385,69245,8,69245,12,835,3,835
177,85525,13,85525,8,843,0,843
236,63242,8,63242,10,831,1,831
135,42867,2,42867,5,832,3,832
316,72167,6,72167,8,793,5,793
687,147998,11,147998,10,868,4,868
2570,730372,43,730372,8,770,3,770
193,53320,6,53320,6,801,7,801
706,178217,25,178217,7,838,0,838
299,105760,10,105760,13,825,6,825
355,113612,5,113612,6,818,2,818
456,146358,10,146358,6,771,4,771
211,44199,3,44199,6,800,2,800
242,101214,18,101214,7,766,5,766
709,96118,10,96118,13,798,5,798
337,70282,10,70282,5,842,2,842
476,108162,21,108162,7,827,5,827
313,72215,5,72215,10,814,3,814
559,150573,7,150573,11,810,2,810
356,74585,4,74585,13,816,2,816
370,84757,10,84757,12,815,4,815
257,57354,2,57354,6,816,4,816
676,138006,14,138006,13,797,2,797
