SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
739,136529,20,136529,13,845,3,845
676,92893,20,92893,19,819,3,819
982,152615,29,152615,16,818,5,818
603,111392,16,111392,15,788,4,788
1052,167559,5,167559,6,811,4,811
743,185757,39,185757,13,824,5,824
807,73027,11,73027,23,860,4,860
246,36142,4,36142,13,824,3,824
1463,243479,35,243479,28,730,4,730
493,66903,6,66903,15,774,3,774
1273,223149,24,223149,16,842,5,842
760,131691,7,131691,13,805,1,805
1245,119066,21,119066,19,829,2,829
238,48776,11,48776,17,830,4,830
549,69283,10,69283,21,853,3,853
344,57387,2,57387,13,802,4,802
233,41705,8,41705,8,785,3,785
499,65363,15,65363,18,829,6,829
379,62231,10,62231,13,771,1,771
623,94674,23,94674,15,794,0,794
417,67702,6,67702,9,760,2,760
593,78658,27,78658,15,795,4,795
210,48549,5,48549,12,819,6,819
469,70314,12,70314,8,744,4,744
240,61370,4,61370,7,812,2,812
580,83302,12,83302,11,763,4,763
227,36034,6,36034,9,847,6,847
982,131812,18,131812,17,832,6,832
326,47038,6,47038,10,786,2,786
302,43100,7,43100,12,807,3,807
3674,381575,66,381575,16,795,7,795
473,76579,7,76579,10,805,4,805
614,102372,10,102372,22,829,2,829
1116,131288,14,131288,14,824,0,824
737,102676,19,102676,13,785,3,785
640,131002,16,131002,17,759,0,759
454,90733,10,90733,10,795,5,795
493,86424,19,86424,15,766,5,766
445,79534,15,79534,14,777,9,777
676,111370,10,111370,9,815,4,815
260,40844,6,40844,13,798,1,798
776,91165,6,91165,17,778,4,778
565,84821,14,84821,14,828,1,828
1910,334609,30,334609,18,749,2,749
140,38525,10,38525,9,825,1,825
485,76628,13,76628,13,818,4,818
470,69479,10,69479,12,807,2,807
397,75906,27,75906,12,830,5,830
149,39657,8,39657,13,805,3,805
472,57117,3,57117,20,830,4,830
825,102016,5,102016,13,828,5,828
688,89952,16,89952,14,831,3,831
307,50907,6,50907,5,817,3,817
1160,196837,53,196837,11,814,2,814
350,65136,11,65136,9,799,5,799
1163,219340,40,219340,7,805,4,805
631,75691,6,75691,16,852,5,852
999,213398,20,213398,13,830,3,830
594,113120,19,113120,12,868,7,868
390,87826,6,87826,15,809,2,809
703,100208,32,100208,13,755,2,755
471,77075,15,77075,17,779,3,779
242,35195,2,35195,16,835,5,835
445,61092,7,61092,18,785,4,785
237,49143,7,49143,13,837,6,837
832,148447,21,148447,12,834,3,834
916,138726,14,138726,11,792,2,792
629,124283,64,124283,8,787,7,787
1060,179378,11,179378,14,819,5,819
