param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of HIV+ RDS Seeds,20,contact->genetic,1.756187459897021e-05,1.7707131569239456e-05,1.772,1.9899788943604402
Number of HIV+ RDS Seeds,30,contact->genetic,3.750346952411008e-05,2.5412140186294153e-05,4.036,4.091296127146017
Number of HIV+ RDS Seeds,40,contact->genetic,6.789886285917244e-05,4.418854729855624e-05,7.272,7.518378548596765
Number of HIV+ RDS Seeds,50,contact->genetic,0.00010199426823519566,4.4892542944316564e-05,11.36,13.088254276258542
Number of HIV+ RDS Seeds,60,contact->genetic,0.0001422906544740013,6.803357917370948e-05,15.8,18.43713643709348
Number of HIV+ RDS Seeds,70,contact->genetic,0.0002053472007203944,9.190628316651905e-05,22.148,22.442773803609928
Number of HIV+ RDS Seeds,80,contact->genetic,0.00026035504499736796,9.928471933792952e-05,28.44,31.614401781466626
Number of HIV+ RDS Seeds,90,contact->genetic,0.00031300372499923167,0.000102105331858186,35.848,44.64841426075511
Number of HIV+ RDS Seeds,100,contact->genetic,0.0003927735705641827,0.00012972656077508374,43.012,43.386493935325085
Number of HIV+ RDS Seeds,110,contact->genetic,0.0004691263739948931,0.0001284358298002933,54.544,86.16570120413341
Number of HIV+ RDS Seeds,120,contact->genetic,0.0005462405518331226,0.00014718623973181564,59.6,61.045294658966135
Number of HIV+ RDS Seeds,130,contact->genetic,0.0006409692505446292,0.00019492472029817247,72.252,83.41733930065139
Number of HIV+ RDS Seeds,140,contact->genetic,0.0007473561797588255,0.00019408547689292438,82.36,88.63844763983629
Number of HIV+ RDS Seeds,150,contact->genetic,0.0008516734690861533,0.0002044604555796263,94.256,98.58465633150018
Number of HIV+ RDS Seeds,20,contact->transmission,0.001292318676975575,0.0012975484696944135,1.048,1.0496170730318748
Number of HIV+ RDS Seeds,30,contact->transmission,0.0021270994774136,0.0015441951635749445,1.72,1.2496399481450646
Number of HIV+ RDS Seeds,40,contact->transmission,0.0030072693346141115,0.001807429344201778,2.436,1.477126941058215
Number of HIV+ RDS Seeds,50,contact->transmission,0.00344797790903946,0.00203249690263382,2.792,1.6506774366907666
Number of HIV+ RDS Seeds,60,contact->transmission,0.0041511104144435805,0.0021879647124334483,3.364,1.7864780995019225
Number of HIV+ RDS Seeds,70,contact->transmission,0.004891261904638437,0.0025748362663678154,3.956,2.0751057804362647
Number of HIV+ RDS Seeds,80,contact->transmission,0.005732022193001387,0.002366369620103888,4.64,1.926239860453521
Number of HIV+ RDS Seeds,90,contact->transmission,0.00609667297980225,0.0028434238481766807,4.924,2.29743857371639
Number of HIV+ RDS Seeds,100,contact->transmission,0.007101984392170292,0.0030250332358600436,5.744,2.4426346431670867
Number of HIV+ RDS Seeds,110,contact->transmission,0.007496938386116101,0.003236288554223266,6.052,2.5677414200031903
Number of HIV+ RDS Seeds,120,contact->transmission,0.007824367936556418,0.0031885465226645657,6.328,2.594689962211285
Number of HIV+ RDS Seeds,130,contact->transmission,0.008999795526195665,0.0036042641320585796,7.28,2.909570415026933
Number of HIV+ RDS Seeds,140,contact->transmission,0.009746242712102783,0.003421381582304899,7.876,2.754745723292805
Number of HIV+ RDS Seeds,150,contact->transmission,0.009908995082885142,0.003799440422670253,8.012,3.0626550572991404
Number of HIV+ RDS Seeds,20,social->genetic,0.015343035098617232,0.005204624158411419,1773.42,2378.9938822115537
Number of HIV+ RDS Seeds,30,social->genetic,0.02479788610890902,0.010962306480951523,2827.944,3479.7412324573797
Number of HIV+ RDS Seeds,40,social->genetic,0.008731596311080472,0.01241461558190373,996.216,1946.8202159788664
Number of HIV+ RDS Seeds,50,social->genetic,0.004868931792114758,0.002530763564674694,562.964,762.5521639232296
Number of HIV+ RDS Seeds,60,social->genetic,0.006598191568837733,0.0014368756774510926,761.468,1008.3748672869629
Number of HIV+ RDS Seeds,70,social->genetic,0.008856868269725145,0.001728692113997366,998.964,1158.0611359958507
Number of HIV+ RDS Seeds,80,social->genetic,0.011239528014018616,0.002265071255021527,1256.952,1298.9470526915252
Number of HIV+ RDS Seeds,90,social->genetic,0.01412600392128629,0.0024469590186037213,1563.668,1537.0195463220368
