SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled,SN HIV+,CN HIV+
158,77604,16,77604,2,760,5,760,601,99,252,80
118,74004,28,74004,5,833,7,833,602,102,264,84
97,52532,3,52532,2,807,3,807,601,89,256,74
245,79427,6,79427,2,814,4,814,602,104,267,84
87,49449,5,49449,2,811,2,811,602,86,266,69
131,76421,8,76421,10,787,2,787,601,76,273,66
192,122897,20,122897,4,803,3,803,605,84,263,73
46,36937,5,36937,5,815,3,815,600,91,271,77
81,44736,9,44736,6,774,7,774,605,106,266,86
403,234734,50,234734,6,840,4,840,603,100,273,86
145,102810,19,102810,1,818,4,818,605,103,251,86
67,35482,8,35482,6,804,3,804,600,97,272,80
79,41248,9,41248,2,849,3,849,605,84,284,74
420,231450,36,231450,3,812,2,812,600,93,261,81
104,84507,14,84507,4,839,4,839,600,102,264,85
76,47996,5,47996,3,821,4,821,600,101,270,77
193,127754,17,127754,2,857,3,857,603,93,280,75
152,76213,7,76213,5,790,4,790,600,96,273,77
144,58933,6,58933,3,853,3,853,600,88,286,73
149,86600,7,86600,3,856,5,856,602,94,268,75
341,230746,41,230746,4,786,3,786,600,87,271,73
193,110251,21,110251,4,815,2,815,602,98,282,81
331,208702,76,208702,9,844,9,844,605,107,287,90
129,61423,12,61423,9,809,6,809,601,95,264,80
119,55836,5,55836,9,866,7,866,603,107,292,90
349,194270,26,194270,3,833,5,833,600,98,273,85
262,135360,25,135360,4,814,3,814,600,96,260,80
62,31385,4,31385,2,787,2,787,600,91,282,75
53,33349,6,33349,7,794,4,794,600,93,274,79
324,152491,21,152491,4,796,4,796,604,96,273,76
127,70133,10,70133,4,846,3,846,601,86,274,76
78,45526,12,45526,3,754,3,754,602,94,265,74
82,49889,5,49889,4,813,2,813,605,89,251,71
96,59880,4,59880,4,774,0,774,604,84,262,69
283,140920,14,140920,6,863,5,863,601,96,268,79
81,50511,5,50511,5,852,4,852,605,86,262,73
222,118461,15,118461,3,821,2,821,604,96,269,81
152,76444,7,76444,2,837,2,837,603,96,268,80
90,51483,3,51483,5,835,1,835,605,88,280,71
247,118095,20,118095,4,793,3,793,600,93,266,78
224,122438,24,122438,4,764,4,764,601,85,290,73
37,23452,4,23452,5,717,2,717,601,80,248,67
