source,target
0,13701
1,11629
1,14578
2,8040
3,14470
4,14979
4,14383
5,15098
6,15013
6,15118
6,15198
7,14138
8,9602
9,7731
10,4372
11,13188
12,14242
13,12135
14,14961
14,15148
15,13896
16,14131
16,14413
17,13880
18,14685
19,14955
20,14831
21,14899
22,9835
23,14316
24,15063
25,9899
26,13251
27,13513
28,11099
29,8445
30,14732
31,13629
32,14970
33,13179
34,12561
35,15051
36,14898
37,14685
38,15068
39,14983
40,9016
41,14212
42,14688
43,13450
44,7648
45,14268
46,14907
47,14923
48,13182
49,15087
50,7050
51,4572
52,8674
53,15021
53,12261
54,15063
55,15051
56,14675
57,14569
58,12479
59,15052
60,14938
61,14847
62,14789
63,10052
64,15032
64,4473
65,14597
66,14565
67,14810
68,14418
69,12339
70,14999
71,7802
72,14166
72,14394
73,14914
74,7530
75,13369
76,15091
77,15082
78,13388
79,12583
80,6443
81,13880
82,14900
83,14853
84,11354
85,12907
86,14941
87,13126
88,15078
89,12583
90,14701
91,12093
92,5112
93,13276
94,10161
95,15058
96,14766
97,14719
98,14730
99,14365
100,14682
101,14453
102,5002
103,12363
104,14403
105,15095
106,14077
107,14663
108,14799
109,14883
110,11605
111,10162
112,15032
113,15085
113,12534
114,13840
115,14746
116,9744
117,13199
118,3254
119,15089
120,14766
121,8808
122,9968
123,15004
124,9802
125,7409
126,14918
126,15378
127,13953
128,13931
129,12443
130,14987
131,14624
132,14142
133,9821
134,14969
135,1540
136,2542
137,14925
138,13332
139,10095
140,13060
141,12497
142,14769
143,14255
144,14635
145,13421
146,14628
147,5174
147,962
148,14888
149,8631
150,12617
151,9758
152,13523
152,14532
153,14960
153,15238
154,15064
155,13135
156,14951
157,14887
158,14492
159,13987
160,11336
161,14909
162,6123
163,14666
164,10774
165,14828
166,10795
167,14991
168,12848
168,15381
168,12355
169,13922
170,5050
171,15093
172,13443
173,15082
174,14885
175,15095
176,8482
177,13232
178,14734
179,1116
180,13810
181,13805
182,14930
183,15045
184,11184
185,12643
186,11520
187,14961
188,15073
189,14666
189,14887
190,15054
191,13154
192,14829
193,1570
194,14046
195,6000
195,14010
196,14126
196,14407
197,14564
198,8266
199,14981
200,15085
200,15203
201,12078
201,15158
202,14603
202,14713
203,14203
204,12592
205,12606
206,15048
207,11655
208,14614
209,7632
210,11534
211,13262
212,15098
213,15034
214,13706
215,13818
216,14178
217,14945
218,14085
218,13573
219,12665
220,11816
221,15033
222,14176
223,13104
224,13869
225,13930
226,14827
227,9761
228,14438
229,14794
230,14183
231,12410
232,15073
233,14928
234,3851
235,12327
236,13337
237,8625
238,15064
239,14697
240,12201
241,14971
242,6597
243,15076
244,14020
245,13704
246,14989
247,13663
248,14712
249,12920
250,15018
251,15097
252,1496
253,15100
254,4037
255,13937
256,13534
257,14934
258,13727
259,15077
260,11869
260,15393
261,14783
262,13117
263,11012
264,15041
265,6564
266,13681
267,15100
268,12507
269,10111
270,13544
271,7994
272,14035
273,14258
274,14765
275,14314
276,14161
277,6650
278,14338
279,14113
280,14682
281,15026
282,10914
283,15073
284,15071
285,4075
285,14579
286,15078
287,14714
287,14086
288,11392
289,14987
290,2892
291,9570
292,12689
293,13914
294,14350
295,12945
296,13200
297,14712
298,15079
299,9333
300,15038
301,4479
302,14807
303,13850
304,15036
305,13821
306,14898
307,14787
308,10966
309,14257
310,12198
311,14371
312,10518
313,806
314,11628
314,15278
315,14740
316,15092
317,14129
318,14203
319,12199
320,14808
321,15083
322,13836
323,15101
324,15091
325,15030
326,13293
327,15098
328,15098
329,12321
330,2444
330,14040
331,14768
332,14947
333,14726
334,15046
335,14775
336,5587
337,14514
338,14401
339,13968
340,12946
341,14897
342,13252
343,14946
344,8500
345,13657
346,6057
347,15068
348,6944
349,9927
350,15030
351,14986
352,14684
353,14849
354,15049
355,9037
356,9468
357,11441
358,11379
359,15045
360,6297
360,14185
361,14337
362,14796
363,15053
364,10559
365,13775
366,9307
367,14857
368,13309
369,13401
370,1631
370,14297
371,15023
372,13871
373,13435
374,15007
375,14023
376,14735
377,14597
377,14428
378,14534
379,12177
380,12777
381,14701
382,14575
383,7859
383,15249
384,14081
385,11130
386,6305
387,15097
388,13298
389,11954
390,14664
391,14227
392,14865
393,11277
394,9745
395,4613
396,14402
397,14784
398,15067
399,13579
400,15037
401,14866
402,10065
403,14940
404,14303
405,11982
406,12381
407,14870
408,12526
409,14321
410,15055
411,14025
412,13985
413,14596
414,10426
414,13141
415,15092
416,14195
417,15093
418,13971
419,14938
420,14114
420,14706
421,14725
422,15060
423,5700
424,15046
425,14140
426,10882
427,13743
428,14885
429,14852
430,12647
431,8619
432,13683
433,3375
434,14835
435,15090
436,14674
437,14995
438,12530
439,15053
439,14896
440,15012
441,12506
442,14990
443,14576
444,14518
445,3995
446,9209
447,14421
448,13066
449,12119
449,14228
450,14969
451,13650
452,15077
453,14994
454,14093
455,15079
456,14998
457,14998
458,11660
459,12954
460,14891
461,15083
462,14947
463,15016
463,13150
464,8167
465,13149
466,14802
467,15080
468,14612
469,14779
470,14861
471,14683
472,14484
473,14274
474,9870
475,13837
476,11375
477,13355
478,11697
479,10648
480,10469
481,7261
482,15004
483,14507
484,9168
485,14769
485,15204
486,14799
487,15015
488,8413
489,13377
490,14204
491,14737
492,6480
493,3488
