ID1,ID2,Distance
N8134|7669|2.427635,N8116|9419|0.90691,0.0103766
N8134|7669|2.427635,N8136|5238|1.443298,0.0128249
N8134|7669|2.427635,N8129|9351|2.161266,0.00878554
N11053|15126|6.924067,N11058|1716|0.160194,0.013628
N8134|7669|2.427635,N8138|5035|0.302746,0.00876884
N11053|15126|6.924067,N11050|14650|1.585192,0.00637327
N11053|15126|6.924067,N11048|15334|5.48777,0.0128254
N11053|15126|6.924067,N11068|2532|0.751251,0.0144428
N8134|7669|2.427635,N8130|12401|1.039937,0.00798669
N8968|13769|0.675527,N8969|12627|1.343768,0.00877509
N8134|7669|2.427635,N8124|15055|0.449591,0.0103845
N8968|13769|0.675527,N8972|7549|0.51009,0.0103774
N8134|7669|2.427635,N8123|4363|3.364616,0.0144166
N8968|13769|0.675527,N8966|7899|0.804028,0.00477501
N8134|7669|2.427635,N8117|2455|0.800301,0.0136176
N8134|7669|2.427635,N8127|2497|0.315322,0.0071709
N8134|7669|2.427635,N8139|8215|1.447421,0.0136073
N8134|7669|2.427635,N8135|8119|1.521657,0.00717155
N8134|7669|2.427635,N8115|6896|0.587085,0.0127954
N8767|1516|1.209239,N8771|12358|0.848438,0.0104032
N8767|1516|1.209239,N8774|6903|6.14926,0.0144658
N8767|1516|1.209239,N8775|12508|1.830903,0.0120135
N8767|1516|1.209239,N8768|8505|0.22578,0.00476814
N8767|1516|1.209239,N8773|1460|0.452694,0.00959146
N8767|1516|1.209239,N8766|2001|0.977479,0.00958514
N11815|4017|1.111809,N11811|8948|3.995934,0.0120374
N8767|1516|1.209239,N8772|10762|0.407844,0.00718148
N11815|4017|1.111809,N11816|4127|0.741188,0.0104095
N8767|1516|1.209239,N8764|1725|2.658233,0.0136442
N11815|4017|1.111809,N11812|5033|5.45859,0.00879629
N8767|1516|1.209239,N8769|2969|0.29348,0.00238315
N9804|10386|1.16342,N9813|1500|0.310467,0.0136993
N9804|10386|1.16342,N9807|5175|1.514679,0.0144627
N12277|14323|0.841471,N12291|5956|0.363584,0.0111986
N12277|14323|0.841471,N12280|13577|0.015681,0.00797822
N12277|14323|0.841471,N12299|5532|1.986842,0.0120112
N12277|14323|0.841471,N12295|3491|1.883524,0.00958076
N12277|14323|0.841471,N12276|13151|0.77286,0.0079781
N12277|14323|0.841471,N12297|2750|0.636201,0.0103946
N9804|10386|1.16342,N9803|3249|2.107063,0.00557035
N13012|5120|1.553906,N13010|12842|1.744697,0.0144206
N13012|5120|1.553906,N13019|5012|0.579635,0.0144206
N9804|10386|1.16342,N9810|2563|0.104664,0.0136629
N8649|6324|0.436871,N8661|3266|0.224753,0.0136214
N8649|6324|0.436871,N8654|6340|0.371963,0.0063734
N8649|6324|0.436871,N8667|12043|0.099989,0.0128184
N8649|6324|0.436871,N8669|4799|1.189558,0.0144509
