SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled,SN HIV+,CN HIV+
79,22379,3,22379,4,760,3,760,602,98,303,80
43,18071,8,18071,3,833,2,833,600,90,296,77
44,16173,3,16173,5,807,7,807,602,103,308,85
48,19912,5,19912,2,814,2,814,604,98,317,81
34,14969,7,14969,1,811,2,811,602,98,308,78
60,17870,5,17870,5,787,1,787,602,91,316,73
42,22674,6,22674,2,803,2,803,600,87,308,73
32,13550,4,13550,3,815,4,815,603,94,315,78
35,14850,5,14850,5,774,4,774,600,99,305,81
89,31260,2,31260,7,840,3,840,603,102,334,76
49,21040,5,21040,2,818,6,818,601,86,309,76
30,13925,2,13925,7,804,7,804,601,102,295,84
42,13908,2,13908,4,849,2,849,605,95,304,77
56,30447,4,30447,4,812,5,812,602,91,301,76
49,20018,9,20018,3,839,4,839,601,117,311,89
34,14948,1,14948,6,821,6,821,600,82,301,71
53,20197,5,20197,9,857,5,857,602,92,331,81
41,17385,0,17385,8,790,2,790,603,86,315,71
33,18434,2,18434,4,853,4,853,600,96,303,79
29,17174,3,17174,2,856,5,856,600,103,287,82
58,27317,10,27317,7,786,6,786,601,104,295,82
32,21351,2,21351,5,815,2,815,601,93,293,78
52,24162,4,24162,8,844,2,844,605,83,313,73
41,16814,4,16814,6,809,3,809,603,84,294,73
30,17259,3,17259,4,866,3,866,604,84,319,73
59,26034,5,26034,6,833,3,833,604,91,331,72
57,22811,3,22811,7,814,7,814,601,89,305,75
41,12710,2,12710,5,787,1,787,600,84,308,76
31,13432,1,13432,3,794,2,794,601,89,313,76
56,21134,5,21134,4,796,5,796,602,102,315,84
50,18562,1,18562,9,846,0,846,600,83,310,71
35,15053,0,15053,5,754,5,754,604,86,307,75
29,14831,5,14831,8,813,3,813,604,99,304,82
37,17708,1,17708,3,774,4,774,603,89,293,77
103,28214,3,28214,6,863,4,863,601,91,310,78
29,16456,2,16456,6,852,5,852,605,98,305,76
73,23732,3,23732,3,821,3,821,601,82,329,74
56,19833,2,19833,4,837,2,837,605,84,304,74
40,15380,3,15380,5,835,6,835,603,106,288,81
74,23842,2,23842,6,793,3,793,605,95,317,77
49,21031,10,21031,6,764,2,764,605,88,300,75
27,10351,5,10351,1,717,5,717,605,91,293,75
