SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
699,136529,5,136529,10,845,4,845,1047,78
432,92893,7,92893,12,819,4,819,1057,86
891,152615,56,152615,17,818,1,818,1126,100
607,111392,20,111392,12,788,3,788,1109,90
1082,167559,17,167559,10,811,6,811,1112,90
836,185757,21,185757,21,824,4,824,994,90
367,73027,10,73027,20,860,4,860,1058,95
281,36142,10,36142,17,824,4,824,1227,105
1195,243479,17,243479,10,730,2,730,1007,88
292,66903,10,66903,6,774,2,774,1025,91
1576,223149,48,223149,6,842,4,842,1075,99
615,131691,9,131691,8,805,3,805,956,90
797,119066,24,119066,15,829,0,829,1119,86
187,48776,5,48776,10,830,2,830,902,100
435,69283,15,69283,13,853,5,853,1120,92
268,57387,11,57387,15,802,1,802,1002,90
172,41705,6,41705,10,785,5,785,976,91
524,65363,9,65363,18,829,3,829,1201,98
435,62231,10,62231,10,771,3,771,1030,88
495,94674,24,94674,10,794,1,794,976,109
327,67702,10,67702,16,760,4,760,1060,93
411,78658,9,78658,10,795,4,795,1051,86
360,48549,7,48549,18,819,5,819,1185,92
428,70314,14,70314,13,744,4,744,1128,101
503,61370,14,61370,15,812,6,812,1103,97
366,83302,15,83302,7,763,3,763,825,89
298,36034,4,36034,19,847,3,847,1282,99
641,131812,23,131812,8,832,5,832,1050,99
232,47038,2,47038,8,786,4,786,950,95
264,43100,2,43100,11,807,5,807,1043,107
2464,381575,51,381575,11,795,3,795,1059,103
393,76579,10,76579,14,805,0,805,1088,92
642,102372,17,102372,15,829,3,829,1091,90
737,131288,30,131288,10,824,4,824,979,91
809,102676,17,102676,10,785,3,785,1207,90
940,131002,35,131002,16,759,5,759,1189,107
258,90733,16,90733,7,795,4,795,840,92
349,86424,7,86424,5,766,1,766,935,82
367,79534,9,79534,9,777,1,777,993,94
360,111370,13,111370,8,815,4,815,906,87
244,40844,11,40844,11,798,4,798,1068,91
537,91165,8,91165,10,778,7,778,1023,91
481,84821,8,84821,12,828,2,828,1104,92
1645,334609,76,334609,13,749,3,749,966,92
256,38525,5,38525,11,825,9,825,1106,92
271,76628,16,76628,11,818,3,818,900,91
244,69479,21,69479,5,807,4,807,934,88
348,75906,9,75906,12,830,1,830,1012,89
166,39657,6,39657,11,805,4,805,962,88
317,57117,2,57117,15,830,3,830,977,85
763,102016,9,102016,14,828,2,828,1149,83
453,89952,32,89952,10,831,2,831,1014,85
181,50907,9,50907,6,817,0,817,767,100
1483,196837,54,196837,18,814,2,814,1304,100
374,65136,14,65136,5,799,3,799,939,92
1528,219340,25,219340,9,805,3,805,1015,90
382,75691,21,75691,11,852,5,852,1077,93
984,213398,38,213398,8,830,5,830,981,88
600,113120,14,113120,16,868,4,868,1175,101
450,87826,8,87826,16,809,4,809,1028,101
549,100208,12,100208,11,755,2,755,1022,101
469,77075,7,77075,8,779,3,779,1045,93
165,35195,7,35195,8,835,1,835,979,91
272,61092,10,61092,12,785,2,785,958,85
338,49143,13,49143,15,837,3,837,1115,92
818,148447,25,148447,12,834,5,834,1070,98
885,138726,11,138726,17,792,5,792,1087,87
805,124283,17,124283,10,787,6,787,1058,88
902,179378,19,179378,18,819,5,819,1064,95
408,86812,18,86812,9,816,4,816,924,98
169,39779,7,39779,7,805,5,805,917,94
242,69944,8,69944,13,799,7,799,905,88
1561,195059,54,195059,18,803,2,803,1145,93
617,135877,32,135877,6,770,3,770,1040,106
447,66120,13,66120,14,817,2,817,1106,91
696,140594,49,140594,10,794,4,794,1058,93
324,64702,11,64702,6,773,3,773,999,87
454,82794,12,82794,8,836,3,836,938,81
606,114381,16,114381,12,760,3,760,1102,90
261,55687,5,55687,14,868,7,868,1029,97
1436,233332,37,233332,13,784,6,784,1096,102
891,133467,9,133467,9,745,1,745,1033,86
292,70343,10,70343,5,849,5,849,1000,96
454,63273,5,63273,14,801,6,801,1171,99
448,84807,6,84807,8,790,3,790,1026,86
300,52793,9,52793,15,787,2,787,1070,79
769,145522,56,145522,12,832,5,832,995,101
993,149062,20,149062,25,854,5,854,1161,95
193,34608,8,34608,13,775,7,775,1146,94
444,74968,10,74968,9,792,2,792,1041,96
290,41167,4,41167,8,828,1,828,1110,101
735,124947,10,124947,12,798,2,798,1076,91
544,87026,20,87026,13,838,3,838,1097,98
674,99126,14,99126,19,839,2,839,1252,87
440,83111,11,83111,11,828,4,828,968,92
457,64536,9,64536,15,779,0,779,1125,88
697,130927,24,130927,12,832,7,832,985,96
559,113572,12,113572,3,783,2,783,1126,97
446,64491,18,64491,13,800,7,800,1167,105
340,66481,14,66481,12,808,4,808,1060,93
354,79032,8,79032,14,785,2,785,954,85
229,48839,6,48839,14,840,4,840,987,94
1106,228713,43,228713,11,857,5,857,1020,96
705,110820,15,110820,13,787,1,787,1181,89
962,201475,26,201475,11,835,1,835,1036,84
422,108215,11,108215,11,845,4,845,958,103
335,56533,13,56533,10,795,3,795,1098,94
294,60202,10,60202,21,836,3,836,1065,89
171,29466,5,29466,12,786,5,786,1022,85
526,69776,12,69776,16,782,2,782,1141,89
2068,404164,75,404164,14,824,2,824,1062,92
745,111880,35,111880,15,818,4,818,1124,99
391,53379,7,53379,19,832,3,832,1225,98
591,87450,15,87450,15,809,1,809,1101,94
721,133409,24,133409,14,837,7,837,1090,95
309,55013,6,55013,12,781,1,781,947,83
1005,316668,41,316668,6,845,3,845,782,83
752,115444,8,115444,10,773,4,773,1100,95
243,44196,7,44196,11,808,2,808,985,97
626,93565,8,93565,13,757,7,757,1141,94
213,47147,12,47147,11,833,7,833,910,107
775,115225,20,115225,12,824,4,824,1156,100
451,61712,6,61712,25,808,1,808,1187,87
266,64163,9,64163,9,813,3,813,986,97
285,39679,8,39679,21,816,2,816,1091,92
527,86206,16,86206,12,860,6,860,1036,105
564,70891,14,70891,13,758,3,758,1232,96
427,67252,5,67252,14,795,2,795,1123,95
300,67013,10,67013,10,858,3,858,894,103
594,147866,40,147866,7,790,2,790,911,101
1401,232458,30,232458,14,805,2,805,1082,92
243,38824,5,38824,15,828,4,828,1073,101
475,83324,8,83324,7,794,3,794,956,85
179,50499,18,50499,5,839,1,839,882,88
1653,278226,22,278226,10,839,2,839,976,97
495,90473,10,90473,16,775,4,775,1155,93
669,114738,8,114738,14,785,2,785,1059,85
167,51140,9,51140,6,779,2,779,885,94
501,97530,8,97530,12,800,0,800,1068,78
433,80532,17,80532,15,809,4,809,1100,91
1034,142301,17,142301,16,810,2,810,1188,87
551,102791,16,102791,9,840,5,840,976,100
329,50481,6,50481,13,822,5,822,1012,98
386,51498,16,51498,10,813,1,813,1163,82
