source,target
0,15076
0,11680
1,11604
2,15059
3,9274
4,15049
5,13344
6,11498
7,15022
8,14018
9,11875
10,12214
11,14430
12,15075
12,14603
13,15096
14,6018
15,12951
16,15043
17,9210
17,15363
18,15060
19,14143
20,13967
21,14757
22,12652
23,2154
24,14635
25,14097
26,12280
27,15099
28,12903
29,12327
30,14652
31,4966
31,13180
32,14804
33,14781
34,13209
35,12829
36,14726
37,13880
38,14064
39,15066
40,8800
41,14197
42,14959
43,11542
44,14657
45,12734
46,10374
47,14717
48,7116
49,14746
50,15087
51,10487
52,14810
53,11276
54,14934
55,13925
56,8399
57,10758
58,15025
59,14969
60,12203
60,12002
61,14169
62,12454
63,12882
64,14873
65,15083
66,12649
67,6402
68,14023
69,15020
70,12644
71,12612
72,11515
73,12768
74,11649
75,13635
76,14993
77,15076
78,14248
79,5014
80,3133
80,14775
81,1216
82,14626
83,15093
84,12482
85,15048
86,6200
87,2922
88,1692
89,15083
90,15059
91,13994
92,14992
93,13857
94,13418
95,7203
96,14564
97,14022
98,13206
99,14412
100,13900
101,10458
102,13066
103,13484
104,14706
105,12291
105,15260
106,14991
107,12992
108,15080
109,14359
110,6211
111,11358
111,14668
112,14669
112,14322
113,14940
114,12819
115,15080
116,14753
117,14516
118,10186
119,14940
120,7069
121,12799
122,14816
123,15072
124,15066
125,10538
126,13700
127,14336
128,7192
129,15034
130,11804
131,8485
132,15069
133,13493
134,4127
135,15064
136,13911
137,6516
138,9924
139,13487
140,11863
141,6305
142,15065
143,13482
144,12560
145,13151
146,14331
147,7741
148,12967
148,15284
149,5838
150,14551
151,15049
152,13147
153,5778
154,12903
155,14993
156,14930
157,11569
158,15000
159,14986
160,15078
161,14603
161,11676
162,13702
163,8212
164,14693
165,15004
166,15080
166,13266
167,12939
167,12589
168,13507
169,14708
170,12988
171,12971
172,15061
173,15099
174,14940
175,12733
176,14939
177,14998
178,15019
179,8462
180,12996
181,14956
182,14711
183,3026
184,15086
185,13801
186,14386
187,13803
188,13611
189,13539
190,13533
191,15067
191,11642
192,15086
193,5992
194,6943
195,13715
196,15045
197,15004
198,8132
199,14835
199,13605
200,13848
201,5381
202,8625
203,15029
204,15101
205,12749
206,4615
207,13782
208,9063
209,12888
210,7717
211,14217
211,15183
212,14484
213,6661
214,15052
214,15174
215,15034
216,14211
217,15094
218,13908
219,5520
220,11650
221,11776
222,14721
223,15056
224,7403
225,14880
226,14962
226,14491
227,2470
228,15100
229,14961
230,14237
231,13149
232,4545
232,13906
233,14709
234,11026
235,15088
236,13399
237,6466
238,14711
239,2230
239,14592
240,11318
241,12050
242,10295
243,14573
244,14923
245,14080
246,8595
247,13481
248,14525
249,11635
250,14897
251,14892
252,9291
253,14211
254,11506
255,982
256,9913
257,14086
258,14726
259,12792
260,8593
261,15047
262,14976
263,15066
264,15033
265,15067
266,13139
267,15082
268,13690
269,14129
270,14951
270,15367
271,15079
272,14126
273,14945
274,9029
275,14535
276,12080
277,15099
278,6457
278,12636
279,14327
280,14434
281,13124
282,12815
283,14354
284,13480
285,12474
286,14630
287,14986
288,14496
289,15002
290,4362
291,13943
292,14195
293,15026
294,6340
295,12714
296,14413
297,14631
298,15047
299,8614
300,5083
301,12660
302,14292
303,12686
304,10830
305,12581
306,14491
307,14567
308,13809
309,11407
310,5917
311,14075
312,14804
313,15093
314,14292
315,12198
316,14957
317,13894
318,14716
319,15087
320,14643
321,14723
322,14946
323,9763
324,15014
325,10875
326,13240
327,15086
328,15034
329,14708
330,9403
331,15026
332,15087
333,14667
334,13940
335,15032
336,14760
337,3511
338,12634
339,13366
340,14613
341,6591
342,15013
343,15003
344,7050
345,12444
346,14924
347,1928
347,13601
348,11680
349,15059
350,11802
351,12219
352,15029
353,14256
354,10569
355,11969
356,10464
357,6854
358,10598
359,6665
360,13033
361,5252
362,14897
363,15085
364,15050
365,14863
365,15111
366,10059
367,9263
368,15081
369,12050
370,15098
371,15041
372,14058
373,14328
374,11032
375,13613
376,14819
377,14955
378,15087
379,14055
380,14653
381,14861
382,13261
383,14746
384,9896
385,6991
386,13440
387,11219
388,14964
389,8386
390,14198
391,14623
392,12359
393,10339
394,14184
395,9254
396,15100
397,15037
398,7483
399,14801
400,14987
401,11514
402,9921
403,14607
404,11641
405,15072
406,4358
407,12028
408,10477
409,14805
410,14777
411,13017
412,15017
413,14533
414,8369
415,14971
415,14432
416,14773
417,13433
418,12313
419,15039
420,14072
421,14572
422,15094
423,13592
424,6724
425,12700
426,10163
427,14722
428,7255
429,14706
430,15040
431,12844
432,10868
433,8192
434,11818
435,15094
436,1267
437,14339
438,15094
439,15091
440,3189
441,11789
442,13677
443,14654
444,15096
445,7694
446,14980
446,13949
447,12819
448,15055
449,14963
450,12727
451,14980
452,2264
453,14689
454,14928
455,14956
456,10446
457,15080
458,14266
459,13979
460,14938
461,14191
462,7080
462,13687
463,13154
464,14957
465,5444
466,10538
467,11645
467,14431
468,14670
469,10893
470,14659
471,14843
472,14583
473,13867
474,14057
475,14418
476,14838
477,14743
478,12775
479,14755
480,15003
481,14745
482,14380
483,10215
484,14950
485,12041
486,11464
487,12760
488,3497
489,15004
490,15072
490,12909
491,10403
492,13876
493,14650
494,14671
495,14700
496,13367
497,15070
498,15002
499,7412
