SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
640,136529,16,136529,17,845,4,845
603,92893,30,92893,27,819,5,819
732,152615,35,152615,13,818,3,818
456,111392,19,111392,10,788,4,788
765,167559,29,167559,13,811,4,811
1470,185757,36,185757,15,824,4,824
342,73027,16,73027,9,860,5,860
143,36142,7,36142,6,824,4,824
1152,243479,40,243479,5,730,2,730
351,66903,10,66903,11,774,1,774
2105,223149,29,223149,19,842,5,842
898,131691,39,131691,12,805,6,805
769,119066,17,119066,16,829,4,829
325,48776,5,48776,19,830,0,830
444,69283,7,69283,13,853,2,853
471,57387,21,57387,15,802,7,802
321,41705,4,41705,19,785,4,785
511,65363,3,65363,11,829,5,829
275,62231,9,62231,13,771,2,771
342,94674,18,94674,3,794,1,794
283,67702,16,67702,8,760,5,760
390,78658,12,78658,8,795,2,795
260,48549,14,48549,12,819,2,819
271,70314,6,70314,18,744,4,744
310,61370,5,61370,10,812,6,812
566,83302,14,83302,9,763,3,763
220,36034,9,36034,14,847,5,847
583,131812,27,131812,10,832,9,832
258,47038,3,47038,16,786,5,786
180,43100,4,43100,7,807,4,807
2403,381575,27,381575,11,795,1,795
365,76579,13,76579,11,805,4,805
530,102372,10,102372,4,829,2,829
685,131288,35,131288,2,824,4,824
637,102676,15,102676,12,785,3,785
685,131002,19,131002,7,759,7,759
511,90733,14,90733,8,795,3,795
402,86424,16,86424,11,766,3,766
378,79534,8,79534,18,777,1,777
700,111370,22,111370,17,815,7,815
325,40844,5,40844,17,798,4,798
409,91165,7,91165,13,778,4,778
569,84821,17,84821,8,828,2,828
1184,334609,34,334609,7,749,8,749
222,38525,8,38525,12,825,4,825
324,76628,8,76628,13,818,2,818
530,69479,10,69479,17,807,3,807
476,75906,12,75906,6,830,6,830
195,39657,3,39657,8,805,3,805
331,57117,10,57117,9,830,3,830
645,102016,16,102016,12,828,1,828
539,89952,11,89952,7,831,5,831
350,50907,11,50907,12,817,4,817
791,196837,31,196837,8,814,4,814
381,65136,17,65136,15,799,4,799
1112,219340,25,219340,13,805,6,805
400,75691,11,75691,11,852,7,852
838,213398,52,213398,10,830,5,830
438,113120,33,113120,9,868,7,868
678,87826,9,87826,16,809,2,809
535,100208,14,100208,5,755,1,755
243,77075,14,77075,6,779,3,779
123,35195,10,35195,12,835,4,835
261,61092,18,61092,13,785,6,785
361,49143,12,49143,6,837,2,837
799,148447,23,148447,9,834,7,834
607,138726,24,138726,8,792,0,792
654,124283,8,124283,11,787,3,787
1114,179378,15,179378,13,819,2,819
502,86812,10,86812,14,816,1,816
229,39779,2,39779,12,805,2,805
360,69944,9,69944,18,799,5,799
1594,195059,12,195059,17,803,4,803
795,135877,18,135877,12,770,2,770
307,66120,15,66120,14,817,4,817
555,140594,24,140594,11,794,3,794
287,64702,18,64702,10,773,2,773
465,82794,17,82794,7,836,2,836
669,114381,25,114381,10,760,5,760
383,55687,9,55687,19,868,4,868
1542,233332,29,233332,18,784,4,784
967,133467,31,133467,11,745,6,745
439,70343,12,70343,17,849,5,849
327,63273,5,63273,7,801,1,801
440,84807,12,84807,8,790,7,790
245,52793,8,52793,13,787,6,787
886,145522,16,145522,10,832,2,832
707,149062,20,149062,14,854,3,854
235,34608,8,34608,10,775,5,775
422,74968,8,74968,7,792,4,792
174,41167,4,41167,6,828,1,828
511,124947,37,124947,6,798,3,798
491,87026,7,87026,10,838,3,838
315,99126,10,99126,8,839,3,839
582,83111,23,83111,16,828,7,828
274,64536,9,64536,12,779,4,779
942,130927,13,130927,14,832,4,832
600,113572,11,113572,13,783,6,783
424,64491,12,64491,12,800,3,800
346,66481,8,66481,8,808,2,808
446,79032,11,79032,9,785,5,785
257,48839,8,48839,14,840,3,840
1623,228713,34,228713,14,857,4,857
533,110820,12,110820,5,787,2,787
1022,201475,35,201475,8,835,4,835
427,108215,14,108215,13,845,4,845
500,56533,5,56533,11,795,7,795
366,60202,7,60202,6,836,4,836
116,29466,1,29466,7,786,6,786
475,69776,13,69776,11,782,2,782
2279,404164,118,404164,14,824,7,824
332,111880,14,111880,5,818,6,818
284,53379,13,53379,17,832,3,832
450,87450,14,87450,6,809,4,809
1032,133409,19,133409,22,837,3,837
323,55013,7,55013,7,781,3,781
1739,316668,14,316668,13,845,4,845
550,115444,4,115444,7,773,5,773
221,44196,14,44196,9,808,3,808
434,93565,5,93565,11,757,1,757
344,47147,6,47147,20,833,5,833
905,115225,19,115225,11,824,3,824
336,61712,4,61712,14,808,4,808
388,64163,9,64163,10,813,7,813
211,39679,6,39679,14,816,5,816
449,86206,16,86206,10,860,4,860
432,70891,8,70891,10,758,2,758
388,67252,15,67252,12,795,4,795
527,67013,8,67013,17,858,5,858
893,147866,26,147866,16,790,3,790
1147,232458,39,232458,13,805,4,805
297,38824,6,38824,12,828,5,828
511,83324,16,83324,11,794,3,794
344,50499,23,50499,10,839,9,839
1256,278226,40,278226,14,839,4,839
461,90473,19,90473,10,775,4,775
390,114738,41,114738,13,785,7,785
313,51140,11,51140,16,779,3,779
669,97530,13,97530,13,800,4,800
451,80532,14,80532,10,809,5,809
866,142301,18,142301,11,810,3,810
648,102791,14,102791,12,840,5,840
297,50481,9,50481,5,822,3,822
378,51498,2,51498,13,813,2,813
758,150195,28,150195,16,786,2,786
203,32658,11,32658,11,831,8,831
1153,165083,20,165083,21,830,5,830
474,87950,6,87950,8,824,5,824
882,133277,19,133277,11,766,5,766
866,175583,25,175583,12,836,3,836
548,76992,22,76992,6,820,6,820
691,141808,22,141808,12,829,6,829
308,50020,7,50020,13,841,0,841
342,57502,12,57502,9,834,6,834
146,36557,8,36557,4,786,3,786
310,69893,8,69893,8,795,1,795
223,35576,2,35576,12,812,4,812
1819,273269,48,273269,10,803,2,803
456,71427,5,71427,17,795,2,795
303,59062,4,59062,11,790,0,790
834,151350,41,151350,13,799,3,799
363,80140,15,80140,7,807,3,807
732,115420,28,115420,14,811,4,811
3421,494983,75,494983,16,769,1,769
357,47306,9,47306,11,771,5,771
469,90251,5,90251,8,822,5,822
235,42305,3,42305,7,730,2,730
764,113327,15,113327,20,845,5,845
593,101899,16,101899,15,823,11,823
495,47979,7,47979,15,817,2,817
366,46253,3,46253,12,775,6,775
305,50907,17,50907,15,796,10,796
316,60626,7,60626,11,839,2,839
330,63026,15,63026,5,798,4,798
689,73295,11,73295,10,753,5,753
569,148378,31,148378,13,855,6,855
490,75508,10,75508,14,795,7,795
936,158453,16,158453,14,795,1,795
606,118015,25,118015,13,845,3,845
9045,1197056,139,1197056,13,790,5,790
825,171386,30,171386,20,821,4,821
2045,373138,82,373138,5,819,3,819
734,153039,13,153039,16,802,1,802
298,40871,15,40871,24,792,6,792
324,55190,10,55190,7,782,3,782
180,45581,4,45581,7,743,1,743
284,49533,15,49533,12,755,1,755
406,70196,16,70196,11,827,4,827
177,40225,3,40225,10,840,4,840
266,76745,12,76745,9,841,1,841
518,69541,8,69541,15,779,2,779
502,84454,18,84454,6,810,5,810
461,70948,4,70948,11,817,6,817
1010,117129,13,117129,20,832,3,832
445,66309,15,66309,10,794,9,794
341,71537,22,71537,9,799,4,799
624,110876,15,110876,10,811,5,811
492,108300,26,108300,14,835,8,835
1439,354758,69,354758,4,764,10,764
376,75270,8,75270,12,772,3,772
417,61636,10,61636,12,789,3,789
1151,226529,40,226529,8,842,2,842
711,160365,28,160365,12,790,1,790
201,52328,6,52328,10,805,3,805
284,68848,25,68848,7,795,2,795
282,43492,8,43492,13,899,2,899
610,108484,10,108484,11,777,3,777
377,75916,11,75916,16,867,7,867
328,54527,4,54527,14,774,2,774
373,60341,13,60341,10,840,8,840
7759,1090195,164,1090195,13,842,5,842
442,82580,14,82580,11,814,3,814
277,47443,24,47443,13,812,8,812
433,71525,15,71525,11,812,4,812
416,80821,7,80821,8,829,0,829
933,126196,13,126196,15,858,3,858
222,55049,14,55049,4,834,2,834
989,172425,26,172425,12,806,3,806
312,46536,7,46536,13,821,3,821
514,66717,24,66717,12,796,8,796
680,139689,16,139689,8,807,4,807
369,63246,8,63246,9,812,4,812
1163,144387,34,144387,10,823,5,823
232,63943,1,63943,6,842,1,842
133,41974,10,41974,10,787,5,787
206,60547,14,60547,10,803,2,803
783,162643,32,162643,10,786,2,786
208,69245,7,69245,5,835,1,835
309,85525,15,85525,11,843,9,843
290,63242,12,63242,14,831,10,831
108,42867,2,42867,6,832,4,832
365,72167,11,72167,13,793,7,793
507,147998,29,147998,8,868,3,868
3093,730372,256,730372,8,770,7,770
231,53320,8,53320,10,801,4,801
922,178217,18,178217,14,838,2,838
645,105760,24,105760,16,825,1,825
711,113612,23,113612,15,818,6,818
1165,146358,22,146358,18,771,5,771
263,44199,4,44199,5,800,4,800
488,101214,19,101214,5,766,3,766
448,96118,10,96118,7,798,1,798
379,70282,4,70282,6,842,4,842
545,108162,25,108162,13,827,3,827
430,72215,4,72215,13,814,3,814
929,150573,37,150573,10,810,4,810
356,74585,11,74585,12,816,2,816
567,84757,16,84757,21,815,4,815
287,57354,9,57354,3,816,6,816
773,138006,16,138006,12,797,2,797
