SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
682,136529,15,136529,10,845,1,845
264,92893,7,92893,13,819,5,819
350,152615,27,152615,4,818,2,818
411,111392,19,111392,10,788,5,788
553,167559,29,167559,6,811,0,811
664,185757,18,185757,6,824,3,824
305,73027,11,73027,8,860,2,860
101,36142,6,36142,6,824,4,824
521,243479,34,243479,6,730,5,730
187,66903,14,66903,9,774,4,774
1053,223149,27,223149,8,842,3,842
507,131691,19,131691,10,805,2,805
358,119066,16,119066,8,829,5,829
140,48776,5,48776,3,830,6,830
306,69283,8,69283,11,853,4,853
208,57387,5,57387,15,802,3,802
174,41705,7,41705,5,785,0,785
291,65363,3,65363,6,829,2,829
214,62231,11,62231,5,771,4,771
446,94674,16,94674,5,794,3,794
177,67702,9,67702,6,760,5,760
330,78658,11,78658,5,795,3,795
196,48549,7,48549,6,819,1,819
423,70314,8,70314,16,744,2,744
272,61370,13,61370,10,812,2,812
445,83302,15,83302,11,763,2,763
139,36034,5,36034,11,847,5,847
357,131812,8,131812,6,832,5,832
185,47038,9,47038,2,786,5,786
66,43100,3,43100,2,807,2,807
1427,381575,53,381575,5,795,2,795
249,76579,8,76579,6,805,3,805
400,102372,24,102372,7,829,2,829
520,131288,16,131288,6,824,3,824
431,102676,14,102676,9,785,4,785
554,131002,15,131002,10,759,4,759
361,90733,10,90733,9,795,5,795
271,86424,11,86424,3,766,3,766
362,79534,20,79534,7,777,2,777
432,111370,14,111370,10,815,1,815
145,40844,7,40844,9,798,5,798
394,91165,17,91165,9,778,5,778
309,84821,13,84821,2,828,2,828
776,334609,72,334609,11,749,2,749
162,38525,8,38525,8,825,9,825
224,76628,11,76628,10,818,3,818
178,69479,6,69479,4,807,2,807
299,75906,7,75906,10,830,0,830
125,39657,7,39657,5,805,4,805
180,57117,6,57117,7,830,2,830
415,102016,24,102016,11,828,3,828
439,89952,13,89952,11,831,3,831
173,50907,8,50907,4,817,3,817
