SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
849,136529,22,136529,9,845,4,845
385,92893,13,92893,10,819,4,819
801,152615,25,152615,14,818,0,818
759,111392,15,111392,15,788,4,788
761,167559,14,167559,14,811,6,811
1052,185757,12,185757,10,824,5,824
365,73027,16,73027,12,860,8,860
118,36142,6,36142,11,824,3,824
1598,243479,26,243479,9,730,4,730
388,66903,8,66903,7,774,1,774
1126,223149,40,223149,8,842,6,842
902,131691,22,131691,15,805,8,805
617,119066,6,119066,12,829,0,829
384,48776,2,48776,13,830,3,830
295,69283,17,69283,6,853,5,853
381,57387,6,57387,16,802,1,802
352,41705,7,41705,21,785,2,785
439,65363,9,65363,10,829,5,829
280,62231,13,62231,10,771,6,771
567,94674,13,94674,12,794,3,794
409,67702,5,67702,8,760,1,760
525,78658,19,78658,13,795,3,795
270,48549,7,48549,22,819,0,819
291,70314,5,70314,10,744,3,744
246,61370,22,61370,15,812,5,812
550,83302,13,83302,14,763,6,763
214,36034,7,36034,12,847,2,847
1005,131812,8,131812,16,832,3,832
223,47038,3,47038,11,786,1,786
228,43100,7,43100,12,807,3,807
1628,381575,71,381575,6,795,7,795
415,76579,10,76579,14,805,3,805
578,102372,11,102372,14,829,5,829
1195,131288,37,131288,14,824,3,824
689,102676,14,102676,10,785,0,785
625,131002,18,131002,11,759,3,759
584,90733,10,90733,20,795,2,795
434,86424,25,86424,13,766,2,766
489,79534,11,79534,12,777,2,777
483,111370,9,111370,7,815,3,815
220,40844,5,40844,10,798,1,798
478,91165,10,91165,15,778,2,778
320,84821,9,84821,10,828,5,828
1171,334609,51,334609,9,749,2,749
170,38525,9,38525,13,825,2,825
378,76628,13,76628,14,818,5,818
496,69479,12,69479,17,807,5,807
366,75906,6,75906,11,830,2,830
274,39657,11,39657,18,805,4,805
291,57117,9,57117,10,830,2,830
535,102016,17,102016,13,828,4,828
545,89952,12,89952,14,831,2,831
190,50907,10,50907,11,817,3,817
1196,196837,28,196837,12,814,4,814
383,65136,8,65136,10,799,7,799
1085,219340,51,219340,9,805,2,805
413,75691,10,75691,10,852,3,852
917,213398,34,213398,12,830,5,830
644,113120,19,113120,15,868,3,868
462,87826,14,87826,6,809,4,809
494,100208,12,100208,6,755,6,755
435,77075,7,77075,6,779,3,779
193,35195,12,35195,11,835,6,835
445,61092,13,61092,17,785,5,785
228,49143,5,49143,10,837,5,837
829,148447,29,148447,14,834,5,834
735,138726,17,138726,12,792,7,792
812,124283,19,124283,16,787,6,787
921,179378,34,179378,18,819,2,819
612,86812,16,86812,9,816,5,816
271,39779,6,39779,14,805,0,805
487,69944,15,69944,15,799,2,799
1330,195059,43,195059,15,803,3,803
648,135877,16,135877,10,770,4,770
459,66120,9,66120,20,817,4,817
441,140594,13,140594,8,794,4,794
417,64702,11,64702,13,773,4,773
896,82794,14,82794,12,836,6,836
529,114381,8,114381,12,760,3,760
356,55687,12,55687,13,868,4,868
1114,233332,20,233332,12,784,3,784
681,133467,18,133467,8,745,3,745
376,70343,3,70343,17,849,1,849
483,63273,8,63273,7,801,3,801
481,84807,10,84807,13,790,4,790
303,52793,18,52793,9,787,5,787
933,145522,25,145522,16,832,7,832
791,149062,25,149062,12,854,2,854
198,34608,10,34608,14,775,5,775
519,74968,7,74968,15,792,4,792
183,41167,10,41167,15,828,2,828
708,124947,13,124947,16,798,5,798
530,87026,15,87026,12,838,2,838
849,99126,37,99126,21,839,5,839
652,83111,11,83111,16,828,6,828
321,64536,10,64536,9,779,1,779
851,130927,22,130927,8,832,4,832
722,113572,11,113572,15,783,2,783
235,64491,13,64491,12,800,3,800
402,66481,4,66481,14,808,1,808
496,79032,9,79032,15,785,4,785
249,48839,14,48839,8,840,3,840
1532,228713,50,228713,16,857,8,857
704,110820,11,110820,14,787,2,787
920,201475,32,201475,11,835,4,835
469,108215,12,108215,23,845,6,845
406,56533,3,56533,14,795,1,795
246,60202,10,60202,13,836,6,836
184,29466,3,29466,8,786,4,786
361,69776,8,69776,9,782,4,782
2692,404164,65,404164,15,824,1,824
621,111880,28,111880,11,818,4,818
300,53379,10,53379,14,832,1,832
494,87450,8,87450,14,809,5,809
599,133409,20,133409,14,837,3,837
325,55013,14,55013,5,781,3,781
1794,316668,31,316668,13,845,2,845
791,115444,27,115444,14,773,3,773
293,44196,4,44196,13,808,3,808
581,93565,11,93565,18,757,2,757
218,47147,7,47147,11,833,3,833
738,115225,28,115225,10,824,3,824
312,61712,13,61712,11,808,4,808
486,64163,4,64163,12,813,1,813
340,39679,3,39679,21,816,2,816
424,86206,9,86206,11,860,3,860
463,70891,6,70891,15,758,1,758
494,67252,9,67252,14,795,3,795
331,67013,7,67013,16,858,3,858
892,147866,18,147866,14,790,4,790
1076,232458,33,232458,13,805,1,805
161,38824,8,38824,6,828,5,828
450,83324,11,83324,6,794,2,794
190,50499,6,50499,8,839,3,839
1181,278226,40,278226,10,839,4,839
481,90473,13,90473,11,775,2,775
704,114738,15,114738,14,785,3,785
236,51140,6,51140,11,779,1,779
437,97530,13,97530,8,800,5,800
531,80532,5,80532,13,809,4,809
828,142301,13,142301,9,810,1,810
640,102791,15,102791,12,840,2,840
346,50481,4,50481,19,822,1,822
299,51498,10,51498,12,813,10,813
1391,150195,17,150195,12,786,2,786
145,32658,3,32658,6,831,3,831
1049,165083,61,165083,13,830,6,830
385,87950,10,87950,16,824,2,824
464,133277,15,133277,7,766,6,766
739,175583,25,175583,6,836,8,836
648,76992,9,76992,13,820,1,820
941,141808,24,141808,12,829,4,829
333,50020,8,50020,13,841,8,841
247,57502,13,57502,5,834,8,834
163,36557,4,36557,6,786,5,786
373,69893,14,69893,15,795,1,795
167,35576,12,35576,10,812,5,812
1837,273269,23,273269,16,803,5,803
520,71427,12,71427,13,795,4,795
310,59062,10,59062,16,790,4,790
979,151350,24,151350,11,799,2,799
573,80140,17,80140,13,807,4,807
396,115420,6,115420,5,811,1,811
3031,494983,100,494983,12,769,6,769
216,47306,4,47306,19,771,4,771
411,90251,16,90251,6,822,5,822
296,42305,13,42305,15,730,4,730
506,113327,28,113327,12,845,1,845
808,101899,16,101899,15,823,2,823
324,47979,8,47979,10,817,2,817
329,46253,8,46253,22,775,3,775
262,50907,6,50907,17,796,6,796
404,60626,4,60626,19,839,3,839
342,63026,15,63026,13,798,3,798
305,73295,6,73295,8,753,2,753
1082,148378,25,148378,16,855,4,855
273,75508,9,75508,8,795,2,795
780,158453,35,158453,11,795,4,795
737,118015,16,118015,10,845,6,845
7251,1197056,233,1197056,16,790,5,790
880,171386,24,171386,12,821,5,821
1793,373138,93,373138,18,819,4,819
850,153039,20,153039,8,802,2,802
188,40871,11,40871,13,792,8,792
467,55190,10,55190,10,782,1,782
204,45581,3,45581,11,743,2,743
298,49533,15,49533,10,755,4,755
445,70196,14,70196,13,827,7,827
221,40225,4,40225,10,840,3,840
276,76745,13,76745,10,841,4,841
407,69541,14,69541,13,779,1,779
358,84454,10,84454,14,810,2,810
349,70948,14,70948,10,817,1,817
454,117129,13,117129,12,832,3,832
341,66309,9,66309,14,794,2,794
523,71537,15,71537,15,799,4,799
650,110876,15,110876,12,811,3,811
639,108300,10,108300,12,835,5,835
1821,354758,52,354758,8,764,3,764
402,75270,20,75270,9,772,2,772
342,61636,11,61636,16,789,6,789
1316,226529,38,226529,8,842,3,842
863,160365,23,160365,15,790,4,790
285,52328,2,52328,13,805,2,805
460,68848,12,68848,12,795,3,795
230,43492,7,43492,13,899,1,899
475,108484,13,108484,9,777,5,777
346,75916,20,75916,13,867,3,867
302,54527,8,54527,15,774,4,774
353,60341,18,60341,18,840,6,840
4764,1090195,178,1090195,7,842,9,842
549,82580,10,82580,11,814,4,814
193,47443,6,47443,11,812,2,812
406,71525,8,71525,8,812,1,812
655,80821,7,80821,14,829,4,829
1023,126196,8,126196,18,858,2,858
307,55049,4,55049,9,834,4,834
1099,172425,14,172425,9,806,5,806
178,46536,10,46536,9,821,3,821
289,66717,5,66717,9,796,3,796
1008,139689,23,139689,11,807,5,807
354,63246,5,63246,10,812,2,812
865,144387,23,144387,18,823,4,823
278,63943,13,63943,9,842,4,842
286,41974,5,41974,14,787,5,787
266,60547,8,60547,16,803,2,803
832,162643,28,162643,13,786,3,786
306,69245,14,69245,7,835,8,835
465,85525,11,85525,8,843,4,843
456,63242,8,63242,19,831,5,831
233,42867,10,42867,19,832,5,832
393,72167,10,72167,15,793,3,793
1048,147998,18,147998,16,868,6,868
4136,730372,102,730372,11,770,2,770
282,53320,3,53320,14,801,0,801
1029,178217,15,178217,14,838,4,838
689,105760,11,105760,14,825,3,825
443,113612,19,113612,6,818,0,818
527,146358,40,146358,6,771,4,771
210,44199,11,44199,10,800,2,800
395,101214,19,101214,5,766,4,766
474,96118,10,96118,13,798,4,798
362,70282,27,70282,14,842,4,842
789,108162,15,108162,12,827,6,827
318,72215,6,72215,7,814,1,814
913,150573,22,150573,12,810,2,810
319,74585,13,74585,7,816,2,816
354,84757,26,84757,9,815,2,815
312,57354,9,57354,8,816,1,816
854,138006,22,138006,14,797,2,797
