SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
667,136529,0,136529,10,845,0,845,1012,18
205,92893,1,92893,6,819,2,819,703,15
3545,152615,0,152615,55,818,1,818,2195,11
404,111392,0,111392,12,788,0,788,858,17
588,167559,1,167559,8,811,0,811,803,14
1238,185757,0,185757,16,824,0,824,1104,11
267,73027,1,73027,16,860,0,860,915,21
151,36142,0,36142,11,824,1,824,768,15
1180,243479,0,243479,9,730,0,730,1108,13
283,66903,1,66903,11,774,0,774,975,13
655,223149,1,223149,7,842,1,842,858,14
736,131691,0,131691,14,805,0,805,1004,12
330,119066,1,119066,5,829,0,829,746,11
272,48776,0,48776,12,830,0,830,1071,14
137,69283,1,69283,7,853,0,853,671,17
165,57387,0,57387,12,802,0,802,802,11
124,41705,0,41705,1,785,0,785,673,19
345,65363,0,65363,13,829,0,829,905,16
139,62231,1,62231,4,771,0,771,614,16
193,94674,2,94674,9,794,2,794,673,20
2025,67702,0,67702,50,760,1,760,2332,17
289,78658,0,78658,2,795,0,795,736,13
109,48549,0,48549,3,819,1,819,659,21
321,70314,1,70314,16,744,0,744,965,11
158,61370,0,61370,1,812,1,812,634,13
592,83302,0,83302,9,763,1,763,1122,21
119,36034,0,36034,9,847,1,847,824,12
460,131812,0,131812,10,832,0,832,871,12
222,47038,0,47038,8,786,0,786,846,15
242,43100,0,43100,11,807,1,807,1000,17
9127,381575,0,381575,44,795,1,795,2045,14
2626,76579,0,76579,64,805,0,805,2482,12
319,102372,0,102372,11,829,0,829,668,15
907,131288,1,131288,9,824,1,824,1028,17
766,102676,0,102676,18,785,0,785,1056,18
479,131002,0,131002,9,759,0,759,830,13
596,90733,0,90733,14,795,1,795,1022,12
390,86424,1,86424,20,766,2,766,1157,20
471,79534,0,79534,16,777,3,777,1103,18
301,111370,0,111370,9,815,0,815,677,14
711,40844,0,40844,29,798,0,798,1900,12
2171,91165,0,91165,45,778,0,778,2079,14
2019,84821,0,84821,38,828,0,828,2098,15
11353,334609,0,334609,56,749,1,749,2478,12
206,38525,0,38525,8,825,0,825,1027,14
346,76628,3,76628,9,818,1,818,807,17
2265,69479,0,69479,66,807,0,807,2557,13
420,75906,0,75906,12,830,0,830,1117,13
132,39657,1,39657,7,805,2,805,785,15
174,57117,0,57117,4,830,1,830,790,19
686,102016,0,102016,11,828,1,828,1045,16
474,89952,0,89952,3,831,0,831,825,13
1226,50907,0,50907,37,817,0,817,2291,15
269,196837,0,196837,5,814,0,814,617,12
115,65136,1,65136,5,799,1,799,709,13
6992,219340,1,219340,60,805,1,805,2476,24
2543,75691,6,75691,62,852,1,852,2526,16
814,213398,1,213398,8,830,0,830,844,14
705,113120,0,113120,12,868,2,868,1063,18
3084,87826,0,87826,69,809,0,809,2666,18
343,100208,0,100208,8,755,1,755,841,15
446,77075,0,77075,17,779,0,779,1035,16
108,35195,0,35195,6,835,0,835,764,17
125,61092,1,61092,8,785,1,785,624,12
84,49143,0,49143,7,837,0,837,698,13
610,148447,0,148447,7,834,0,834,922,14
407,138726,2,138726,7,792,2,792,780,16
2726,124283,0,124283,46,787,0,787,2102,11
645,179378,3,179378,8,819,1,819,875,15
396,86812,0,86812,5,816,1,816,875,20
153,39779,0,39779,12,805,1,805,923,13
397,69944,0,69944,11,799,0,799,1162,16
460,195059,3,195059,7,803,2,803,619,20
513,135877,1,135877,2,770,0,770,758,14
442,66120,0,66120,20,817,0,817,1143,11
562,140594,0,140594,13,794,0,794,917,11
1944,64702,0,64702,44,773,0,773,2367,14
477,82794,4,82794,18,836,2,836,1067,24
482,114381,0,114381,14,760,0,760,960,12
356,55687,0,55687,16,868,0,868,1094,15
724,233332,4,233332,7,784,3,784,802,25
922,133467,1,133467,18,745,3,745,1019,18
301,70343,1,70343,8,849,1,849,795,16
340,63273,0,63273,11,801,0,801,1008,17
262,84807,0,84807,14,790,0,790,822,15
213,52793,2,52793,10,787,1,787,836,18
489,145522,2,145522,17,832,1,832,855,14
2140,149062,0,149062,41,854,0,854,1744,14
101,34608,1,34608,9,775,1,775,813,19
2202,74968,0,74968,52,792,0,792,2404,21
135,41167,0,41167,11,828,0,828,782,14
695,124947,0,124947,10,798,1,798,1008,12
543,87026,1,87026,14,838,1,838,1131,21
590,99126,1,99126,12,839,0,839,1166,12
381,83111,0,83111,10,828,1,828,889,17
211,64536,0,64536,4,779,0,779,870,13
348,130927,2,130927,3,832,0,832,681,15
549,113572,0,113572,10,783,1,783,924,14
271,64491,2,64491,8,800,1,800,973,20
260,66481,0,66481,13,808,2,808,901,20
398,79032,0,79032,10,785,0,785,1023,15
126,48839,1,48839,7,840,2,840,685,22
708,228713,2,228713,5,857,1,857,797,16
420,110820,2,110820,6,787,0,787,787,14
699,201475,2,201475,7,835,0,835,879,19
275,108215,0,108215,6,845,3,845,713,21
84,56533,0,56533,3,795,0,795,658,17
172,60202,0,60202,7,836,0,836,771,15
221,29466,0,29466,18,786,0,786,1159,17
256,69776,0,69776,11,782,1,782,848,14
1221,404164,0,404164,8,824,1,824,695,18
245,111880,0,111880,2,818,1,818,625,17
131,53379,0,53379,5,832,0,832,689,17
235,87450,0,87450,9,809,1,809,712,15
843,133409,1,133409,12,837,1,837,1101,18
346,55013,0,55013,12,781,0,781,1084,20
1138,316668,1,316668,12,845,0,845,863,14
668,115444,2,115444,8,773,1,773,992,19
144,44196,0,44196,6,808,0,808,687,14
233,93565,0,93565,8,757,0,757,643,14
190,47147,0,47147,7,833,1,833,885,16
591,115225,0,115225,9,824,0,824,933,15
431,61712,0,61712,13,808,0,808,1051,10
1772,64163,1,64163,45,813,1,813,2326,18
270,39679,0,39679,8,816,0,816,1062,11
257,86206,0,86206,2,860,2,860,766,13
308,70891,0,70891,11,758,0,758,957,15
316,67252,1,67252,14,795,1,795,950,13
1666,67013,0,67013,51,858,0,858,2202,12
467,147866,0,147866,5,790,0,790,724,14
506,232458,0,232458,6,805,0,805,718,11
223,38824,1,38824,9,828,0,828,976,17
351,83324,0,83324,16,794,0,794,942,13
298,50499,1,50499,7,839,0,839,1054,14
722,278226,0,278226,4,839,0,839,709,12
466,90473,2,90473,15,775,1,775,1046,19
458,114738,0,114738,6,785,0,785,907,15
279,51140,1,51140,5,779,0,779,932,17
190,97530,2,97530,6,800,0,800,623,14
250,80532,0,80532,14,809,0,809,852,11
423,142301,0,142301,2,810,0,810,782,16
441,102791,1,102791,8,840,0,840,858,16
163,50481,1,50481,9,822,0,822,769,10
154,51498,0,51498,6,813,1,813,818,17
717,150195,0,150195,8,786,1,786,983,18
81,32658,0,32658,9,831,0,831,756,14
3350,165083,1,165083,43,830,1,830,1889,20
303,87950,0,87950,8,824,0,824,796,13
612,133277,2,133277,10,766,0,766,917,17
1227,175583,1,175583,14,836,0,836,1216,10
883,76992,1,76992,21,820,1,820,1469,15
509,141808,0,141808,11,829,0,829,825,12
101,50020,1,50020,2,841,0,841,651,15
147,57502,0,57502,5,834,0,834,708,20
61,36557,0,36557,2,786,0,786,648,14
2011,69893,0,69893,63,795,0,795,2533,11
225,35576,0,35576,17,812,0,812,1204,12
1197,273269,1,273269,11,803,1,803,961,14
2224,71427,0,71427,51,795,0,795,2291,11
99,59062,0,59062,2,790,0,790,616,18
450,151350,0,151350,8,799,0,799,774,15
177,80140,1,80140,3,807,1,807,634,12
238,115420,0,115420,2,811,0,811,633,14
832,494983,3,494983,5,769,0,769,645,16
1378,47306,0,47306,38,771,0,771,2445,13
282,90251,2,90251,6,822,1,822,834,16
740,42305,0,42305,28,730,0,730,1732,17
3928,113327,1,113327,68,845,0,845,2653,16
364,101899,1,101899,6,823,0,823,832,13
137,47979,0,47979,9,817,0,817,772,19
185,46253,0,46253,5,775,0,775,863,11
371,50907,0,50907,13,796,0,796,1084,15
90,60626,0,60626,3,839,0,839,619,18
242,63026,0,63026,8,798,0,798,897,15
307,73295,0,73295,11,753,0,753,965,13
333,148378,0,148378,5,855,1,855,677,15
253,75508,0,75508,10,795,0,795,831,20
563,158453,0,158453,9,795,1,795,853,18
361,118015,0,118015,7,845,0,845,798,13
3814,1197056,4,1197056,12,790,0,790,886,11
445,171386,0,171386,6,821,0,821,733,12
1980,373138,2,373138,14,819,0,819,969,16
497,153039,1,153039,5,802,0,802,770,12
108,40871,1,40871,5,792,1,792,771,17
382,55190,2,55190,7,782,1,782,975,20
127,45581,0,45581,4,743,0,743,767,11
153,49533,0,49533,10,755,1,755,770,14
443,70196,0,70196,25,827,1,827,1132,15
251,40225,0,40225,17,840,1,840,1124,14
1813,76745,1,76745,64,841,0,841,2301,13
533,69541,0,69541,23,779,2,779,1302,17
424,84454,1,84454,16,810,0,810,1128,14
491,70948,0,70948,14,817,1,817,1143,17
327,117129,0,117129,3,832,0,832,679,14
438,66309,1,66309,11,794,0,794,1079,14
2059,71537,0,71537,57,799,0,799,2355,16
1794,110876,1,110876,33,811,0,811,1821,14
591,108300,1,108300,15,835,1,835,1092,13
930,354758,1,354758,6,764,0,764,610,14
379,75270,0,75270,14,772,1,772,1008,23
162,61636,6,61636,8,789,1,789,675,16
558,226529,1,226529,6,842,1,842,765,17
490,160365,5,160365,7,790,0,790,768,19
209,52328,0,52328,5,805,0,805,914,11
131,68848,0,68848,4,795,0,795,624,12
145,43492,0,43492,8,899,0,899,777,14
341,108484,0,108484,5,777,1,777,732,21
304,75916,0,75916,6,867,1,867,827,21
141,54527,0,54527,7,774,0,774,690,12
122,60341,1,60341,6,840,0,840,613,10
2762,1090195,15,1090195,6,842,0,842,730,15
2163,82580,1,82580,54,814,2,814,2219,15
829,47443,0,47443,39,812,0,812,1761,13
371,71525,0,71525,9,812,1,812,1021,13
353,80821,1,80821,9,829,1,829,955,11
424,126196,0,126196,8,858,0,858,732,12
261,55049,0,55049,16,834,0,834,948,14
725,172425,0,172425,8,806,0,806,961,13
241,46536,0,46536,9,821,0,821,1025,12
163,66717,0,66717,10,796,0,796,719,13
757,139689,0,139689,12,807,3,807,1031,19
229,63246,0,63246,4,812,0,812,802,17
389,144387,0,144387,9,823,0,823,762,19
304,63943,0,63943,10,842,0,842,986,11
425,41974,0,41974,26,787,1,787,1519,18
354,60547,0,60547,9,803,1,803,1037,13
456,162643,2,162643,9,786,3,786,802,16
711,69245,0,69245,19,835,1,835,1253,18
338,85525,1,85525,16,843,1,843,897,12
185,63242,0,63242,12,831,0,831,838,17
193,42867,0,42867,8,832,1,832,815,15
2264,72167,1,72167,59,793,0,793,2458,17
942,147998,1,147998,12,868,1,868,929,20
2261,730372,4,730372,1,770,2,770,694,21
408,53320,0,53320,12,801,1,801,1130,13
976,178217,0,178217,17,838,0,838,1132,13
270,105760,1,105760,6,825,0,825,700,12
492,113612,1,113612,17,818,1,818,978,17
992,146358,0,146358,15,771,0,771,1155,10
100,44199,0,44199,6,800,1,800,682,23
649,101214,0,101214,15,766,0,766,1104,14
514,96118,0,96118,8,798,1,798,992,15
262,70282,1,70282,4,842,0,842,719,13
485,108162,0,108162,10,827,2,827,947,21
211,72215,1,72215,1,814,1,814,746,14
361,150573,0,150573,5,810,0,810,622,14
498,74585,0,74585,16,816,0,816,1136,14
159,84757,0,84757,5,815,0,815,615,15
235,57354,0,57354,8,816,2,816,869,19
328,138006,0,138006,5,797,2,797,666,17
