SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
1871,136529,71,136529,33,845,4,845
1748,92893,47,92893,26,819,12,819
2822,152615,56,152615,29,818,2,818
1709,111392,46,111392,33,788,6,788
2505,167559,74,167559,36,811,7,811
3109,185757,76,185757,37,824,3,824
1157,73027,35,73027,35,860,7,860
484,36142,22,36142,33,824,9,824
4110,243479,186,243479,31,730,7,730
1030,66903,46,66903,31,774,6,774
4204,223149,99,223149,31,842,1,842
2014,131691,49,131691,28,805,2,805
2033,119066,28,119066,33,829,2,829
847,48776,38,48776,39,830,5,830
1064,69283,21,69283,37,853,2,853
913,57387,27,57387,33,802,4,802
576,41705,20,41705,21,785,6,785
949,65363,29,65363,32,829,6,829
884,62231,20,62231,23,771,4,771
1586,94674,42,94674,38,794,6,794
1007,67702,34,67702,28,760,9,760
1531,78658,31,78658,30,795,9,795
793,48549,37,48549,25,819,3,819
1304,70314,25,70314,35,744,6,744
1042,61370,21,61370,33,812,4,812
1263,83302,39,83302,22,763,4,763
618,36034,10,36034,24,847,11,847
2220,131812,56,131812,37,832,5,832
764,47038,22,47038,38,786,6,786
774,43100,26,43100,24,807,9,807
9021,381575,163,381575,37,795,12,795
1287,76579,28,76579,25,805,6,805
1523,102372,70,102372,30,829,9,829
2465,131288,53,131288,27,824,7,824
1807,102676,40,102676,31,785,3,785
1519,131002,63,131002,31,759,3,759
1464,90733,41,90733,29,795,9,795
1342,86424,44,86424,41,766,5,766
1270,79534,31,79534,30,777,6,777
1688,111370,42,111370,29,815,4,815
613,40844,15,40844,25,798,7,798
1673,91165,37,91165,25,778,5,778
1232,84821,64,84821,27,828,10,828
5297,334609,204,334609,34,749,9,749
694,38525,13,38525,33,825,2,825
1367,76628,54,76628,41,818,7,818
1112,69479,46,69479,33,807,10,807
1018,75906,19,75906,26,830,7,830
569,39657,13,39657,29,805,5,805
746,57117,22,57117,30,830,3,830
1277,102016,38,102016,21,828,4,828
1595,89952,47,89952,36,831,7,831
699,50907,20,50907,33,817,5,817
3407,196837,61,196837,33,814,9,814
1103,65136,29,65136,29,799,11,799
3048,219340,66,219340,33,805,2,805
1439,75691,22,75691,36,852,6,852
4374,213398,86,213398,40,830,6,830
1415,113120,70,113120,22,868,9,868
1396,87826,38,87826,28,809,5,809
1984,100208,41,100208,43,755,7,755
1151,77075,20,77075,31,779,4,779
584,35195,6,35195,37,835,1,835
1107,61092,45,61092,39,785,6,785
826,49143,23,49143,32,837,8,837
2068,148447,81,148447,27,834,8,834
2469,138726,64,138726,21,792,5,792
2017,124283,92,124283,28,787,4,787
2677,179378,100,179378,33,819,7,819
1281,86812,26,86812,33,816,7,816
692,39779,25,39779,40,805,4,805
1107,69944,31,69944,27,799,12,799
3005,195059,121,195059,22,803,3,803
2186,135877,103,135877,32,770,12,770
1270,66120,30,66120,39,817,9,817
2324,140594,53,140594,34,794,8,794
1093,64702,44,64702,25,773,5,773
1360,82794,40,82794,31,836,9,836
1641,114381,53,114381,22,760,6,760
875,55687,27,55687,41,868,5,868
3056,233332,75,233332,26,784,8,784
2501,133467,48,133467,35,745,5,745
980,70343,34,70343,30,849,5,849
1092,63273,20,63273,40,801,4,801
1536,84807,34,84807,26,790,5,790
856,52793,22,52793,35,787,3,787
2399,145522,99,145522,36,832,6,832
2724,149062,48,149062,51,854,5,854
510,34608,15,34608,32,775,5,775
1819,74968,25,74968,43,792,2,792
803,41167,20,41167,31,828,8,828
1858,124947,50,124947,37,798,5,798
1329,87026,36,87026,32,838,7,838
1959,99126,52,99126,45,839,11,839
1452,83111,52,83111,34,828,5,828
1037,64536,24,64536,25,779,9,779
2213,130927,55,130927,28,832,4,832
2236,113572,83,113572,29,783,8,783
922,64491,28,64491,25,800,6,800
1089,66481,26,66481,26,808,8,808
1236,79032,44,79032,49,785,8,785
775,48839,17,48839,27,840,5,840
4170,228713,132,228713,37,857,13,857
1794,110820,44,110820,19,787,9,787
3616,201475,135,201475,33,835,8,835
1962,108215,45,108215,37,845,7,845
959,56533,26,56533,34,795,7,795
1094,60202,28,60202,37,836,5,836
470,29466,22,29466,23,786,13,786
884,69776,36,69776,27,782,5,782
5232,404164,273,404164,34,824,11,824
1690,111880,36,111880,28,818,5,818
950,53379,27,53379,36,832,4,832
1517,87450,31,87450,26,809,4,809
2076,133409,39,133409,28,837,12,837
982,55013,25,55013,28,781,8,781
5228,316668,204,316668,36,845,5,845
2077,115444,91,115444,31,773,10,773
876,44196,19,44196,37,808,4,808
1289,93565,81,93565,39,757,3,757
838,47147,15,47147,32,833,7,833
1688,115225,46,115225,25,824,7,824
1296,61712,32,61712,36,808,7,808
1053,64163,39,64163,30,813,5,813
707,39679,25,39679,40,816,6,816
1591,86206,65,86206,34,860,3,860
1103,70891,32,70891,23,758,5,758
1147,67252,21,67252,33,795,13,795
1156,67013,40,67013,31,858,7,858
2652,147866,63,147866,43,790,0,790
3191,232458,57,232458,31,805,4,805
518,38824,29,38824,28,828,6,828
1236,83324,36,83324,26,794,9,794
1005,50499,14,50499,39,839,9,839
5166,278226,150,278226,29,839,9,839
1653,90473,31,90473,31,775,8,775
1495,114738,80,114738,38,785,7,785
956,51140,20,51140,36,779,4,779
1825,97530,49,97530,30,800,5,800
1525,80532,45,80532,32,809,3,809
2212,142301,74,142301,33,810,6,810
1749,102791,42,102791,33,840,7,840
886,50481,24,50481,36,822,4,822
714,51498,26,51498,19,813,9,813
3145,150195,70,150195,34,786,2,786
524,32658,20,32658,34,831,8,831
2902,165083,92,165083,24,830,7,830
1378,87950,35,87950,25,824,3,824
2145,133277,49,133277,27,766,4,766
2917,175583,122,175583,39,836,11,836
861,76992,46,76992,24,820,8,820
2466,141808,65,141808,26,829,5,829
709,50020,19,50020,32,841,3,841
833,57502,26,57502,38,834,9,834
414,36557,23,36557,23,786,3,786
1129,69893,33,69893,22,795,11,795
641,35576,18,35576,24,812,5,812
4332,273269,104,273269,25,803,4,803
1250,71427,43,71427,31,795,9,795
1026,59062,42,59062,35,790,6,790
2592,151350,103,151350,35,799,7,799
1119,80140,37,80140,25,807,5,807
2287,115420,78,115420,37,811,5,811
