SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
2023,136529,43,136529,32,845,2,845
1206,92893,18,92893,25,819,5,819
2292,152615,27,152615,22,818,8,818
1540,111392,27,111392,26,788,4,788
2171,167559,42,167559,24,811,4,811
2218,185757,46,185757,30,824,6,824
1157,73027,23,73027,37,860,8,860
598,36142,8,36142,25,824,7,824
4417,243479,88,243479,27,730,5,730
1058,66903,12,66903,30,774,3,774
3419,223149,68,223149,33,842,6,842
2232,131691,30,131691,33,805,4,805
1641,119066,36,119066,26,829,2,829
596,48776,19,48776,22,830,8,830
1110,69283,22,69283,30,853,7,853
755,57387,19,57387,34,802,4,802
595,41705,14,41705,28,785,6,785
1240,65363,24,65363,42,829,7,829
793,62231,17,62231,31,771,5,771
1351,94674,29,94674,27,794,3,794
987,67702,13,67702,22,760,5,760
1200,78658,19,78658,32,795,2,795
565,48549,18,48549,21,819,5,819
987,70314,18,70314,28,744,11,744
737,61370,14,61370,27,812,8,812
904,83302,42,83302,17,763,5,763
524,36034,16,36034,20,847,6,847
1390,131812,30,131812,26,832,4,832
619,47038,7,47038,28,786,4,786
651,43100,16,43100,38,807,3,807
5469,381575,102,381575,28,795,5,795
1175,76579,50,76579,32,805,8,805
1196,102372,24,102372,28,829,9,829
1678,131288,30,131288,20,824,5,824
1241,102676,18,102676,25,785,4,785
1806,131002,32,131002,29,759,5,759
1293,90733,32,90733,26,795,5,795
1255,86424,9,86424,35,766,4,766
908,79534,38,79534,30,777,5,777
1425,111370,42,111370,35,815,1,815
489,40844,6,40844,32,798,6,798
1307,91165,21,91165,32,778,3,778
899,84821,19,84821,18,828,6,828
4396,334609,140,334609,24,749,9,749
598,38525,11,38525,41,825,3,825
830,76628,29,76628,25,818,0,818
804,69479,14,69479,11,807,6,807
876,75906,31,75906,27,830,6,830
711,39657,12,39657,33,805,8,805
741,57117,14,57117,30,830,4,830
1341,102016,24,102016,32,828,4,828
1382,89952,45,89952,20,831,8,831
652,50907,17,50907,26,817,2,817
2326,196837,63,196837,15,814,2,814
892,65136,19,65136,21,799,6,799
2484,219340,71,219340,21,805,7,805
1259,75691,31,75691,33,852,5,852
3646,213398,93,213398,42,830,6,830
1461,113120,30,113120,30,868,0,868
1238,87826,26,87826,27,809,3,809
1385,100208,58,100208,28,755,7,755
778,77075,19,77075,15,779,6,779
527,35195,12,35195,28,835,3,835
911,61092,21,61092,23,785,3,785
573,49143,29,49143,23,837,6,837
1460,148447,52,148447,24,834,7,834
2213,138726,27,138726,29,792,2,792
1660,124283,53,124283,23,787,10,787
2890,179378,48,179378,37,819,3,819
1240,86812,13,86812,27,816,4,816
620,39779,21,39779,34,805,4,805
1068,69944,24,69944,29,799,7,799
2748,195059,67,195059,16,803,3,803
2596,135877,40,135877,28,770,7,770
751,66120,13,66120,17,817,5,817
2049,140594,56,140594,33,794,5,794
1149,64702,21,64702,35,773,4,773
1532,82794,22,82794,33,836,5,836
1704,114381,38,114381,29,760,6,760
502,55687,11,55687,14,868,2,868
3034,233332,64,233332,27,784,7,784
1752,133467,52,133467,22,745,8,745
797,70343,16,70343,23,849,6,849
888,63273,22,63273,18,801,4,801
1015,84807,26,84807,21,790,8,790
789,52793,16,52793,28,787,4,787
2052,145522,62,145522,24,832,6,832
1794,149062,35,149062,24,854,9,854
603,34608,18,34608,30,775,6,775
837,74968,33,74968,16,792,5,792
684,41167,16,41167,37,828,3,828
1534,124947,22,124947,25,798,5,798
1276,87026,25,87026,25,838,4,838
1509,99126,15,99126,32,839,6,839
1066,83111,23,83111,35,828,7,828
1037,64536,26,64536,36,779,8,779
2089,130927,59,130927,25,832,6,832
1071,113572,23,113572,16,783,4,783
770,64491,20,64491,19,800,6,800
819,66481,16,66481,25,808,4,808
1207,79032,24,79032,33,785,5,785
591,48839,18,48839,18,840,8,840
3335,228713,96,228713,25,857,6,857
1528,110820,40,110820,28,787,1,787
3913,201475,111,201475,34,835,8,835
1740,108215,28,108215,49,845,6,845
781,56533,11,56533,32,795,7,795
