SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
136,77604,12,77604,7,760,7,760,601,97
148,74004,9,74004,6,833,4,833,600,91
103,52532,7,52532,3,807,6,807,602,88
225,79427,10,79427,2,814,2,814,604,89
97,49449,9,49449,3,811,3,811,605,91
129,76421,12,76421,4,787,3,787,603,89
165,122897,6,122897,10,803,3,803,601,79
67,36937,5,36937,5,815,4,815,604,88
87,44736,11,44736,2,774,4,774,604,94
384,234734,28,234734,10,840,3,840,600,89
218,102810,10,102810,2,818,0,818,605,80
53,35482,5,35482,1,804,5,804,603,93
83,41248,5,41248,4,849,2,849,603,82
457,231450,33,231450,1,812,4,812,600,95
177,84507,11,84507,6,839,4,839,604,94
88,47996,7,47996,6,821,1,821,605,90
160,127754,22,127754,3,857,8,857,601,103
95,76213,16,76213,2,790,5,790,600,100
80,58933,9,58933,1,853,4,853,600,88
217,86600,16,86600,5,856,4,856,602,98
357,230746,39,230746,7,786,6,786,603,100
183,110251,23,110251,5,815,5,815,600,110
287,208702,57,208702,6,844,1,844,604,88
120,61423,16,61423,3,809,3,809,603,82
68,55836,17,55836,6,866,9,866,601,104
345,194270,40,194270,1,833,3,833,602,109
178,135360,24,135360,7,814,4,814,605,95
56,31385,3,31385,7,787,3,787,605,91
66,33349,10,33349,5,794,4,794,603,101
304,152491,27,152491,5,796,1,796,603,83
134,70133,13,70133,3,846,1,846,605,88
68,45526,9,45526,4,754,5,754,600,93
140,49889,7,49889,9,813,1,813,602,89
147,59880,16,59880,6,774,3,774,600,100
218,140920,32,140920,3,863,3,863,604,80
96,50511,3,50511,5,852,5,852,603,85
277,118461,11,118461,2,821,4,821,604,92
209,76444,7,76444,2,837,4,837,602,90
85,51483,8,51483,4,835,7,835,601,92
248,118095,18,118095,4,793,6,793,603,94
184,122438,25,122438,6,764,7,764,602,92
28,23452,5,23452,3,717,4,717,601,95
208,159347,24,159347,7,804,2,804,603,90
270,149580,24,149580,4,807,5,807,600,89
228,135468,19,135468,6,815,3,815,605,81
97,58853,11,58853,1,842,4,842,605,92
102,50214,7,50214,3,768,6,768,602,90
185,95406,13,95406,5,800,4,800,603,85
128,62121,16,62121,10,842,4,842,601,105
194,107215,18,107215,5,772,1,772,601,85
206,82151,15,82151,2,767,1,767,605,94
356,157785,36,157785,3,828,2,828,605,98
1829,725812,133,725812,3,830,3,830,604,97
137,65951,22,65951,2,794,5,794,605,94
413,209286,33,209286,4,805,4,805,605,87
103,62463,9,62463,6,856,3,856,602,106
181,83579,18,83579,6,836,3,836,603,95
64,29836,7,29836,6,799,2,799,602,112
157,80820,13,80820,5,802,1,802,605,95
196,107634,25,107634,3,860,5,860,604,103
310,178202,39,178202,7,777,2,777,602,89
46,28821,5,28821,4,844,3,844,604,87
346,204822,24,204822,5,779,2,779,604,91
64,40357,3,40357,2,791,4,791,601,84
49,23521,5,23521,2,822,9,822,602,101
66,65407,9,65407,8,797,4,797,605,95
117,61198,14,61198,8,855,3,855,603,86
165,104081,14,104081,5,790,0,790,605,83
363,210647,37,210647,3,766,0,766,600,83
100,42935,6,42935,3,812,3,812,600,99
171,135024,14,135024,1,792,4,792,605,90
156,65180,10,65180,4,791,3,791,600,84
68,36346,7,36346,4,765,5,765,602,103
197,81031,18,81031,4,787,5,787,603,92
98,72552,12,72552,3,796,0,796,602,82
159,87675,4,87675,3,800,3,800,601,88
128,65216,16,65216,8,763,0,763,605,83
221,108440,20,108440,6,784,2,784,601,99
98,49630,12,49630,1,824,2,824,605,85
212,136836,10,136836,6,793,1,793,605,92
212,117466,16,117466,4,801,3,801,600,86
137,84263,7,84263,3,756,3,756,605,103
188,96508,13,96508,3,828,5,828,603,96
149,87530,12,87530,6,787,2,787,605,82
135,67451,8,67451,3,777,3,777,603,92
234,126581,39,126581,3,829,9,829,605,107
104,64174,14,64174,7,847,5,847,604,113
93,48762,6,48762,5,826,1,826,604,90
376,202130,20,202130,2,800,2,800,600,80
281,125184,7,125184,2,778,7,778,602,94
190,116766,10,116766,6,836,1,836,604,87
179,127776,30,127776,5,790,6,790,601,97
323,145497,24,145497,2,808,3,808,605,104
371,235445,21,235445,3,837,2,837,602,93
342,141985,18,141985,6,769,1,769,601,86
146,72823,5,72823,3,780,1,780,603,88
373,180370,35,180370,2,836,4,836,602,97
164,87296,10,87296,3,813,3,813,600,95
153,94811,22,94811,3,788,3,788,605,88
124,66295,10,66295,0,820,6,820,604,98
169,80609,12,80609,3,822,3,822,600,85
129,81801,12,81801,4,822,8,822,602,105
249,165512,58,165512,6,821,5,821,603,90
156,62578,2,62578,2,785,4,785,602,106
108,55330,5,55330,5,802,3,802,602,88
149,113661,10,113661,2,829,3,829,604,92
160,97797,7,97797,2,859,3,859,602,87
56,44905,5,44905,5,811,4,811,601,91
84,45209,12,45209,1,819,7,819,600,103
178,103551,22,103551,3,829,0,829,600,87
194,85702,9,85702,7,760,6,760,602,85
180,102438,17,102438,3,833,1,833,602,93
247,123185,14,123185,6,813,2,813,604,84
96,46222,5,46222,3,846,4,846,604,98
93,49614,4,49614,8,853,3,853,604,88
194,116149,15,116149,5,796,3,796,602,93
255,119838,29,119838,5,773,4,773,601,105
221,96570,9,96570,2,838,1,838,605,92
103,59050,9,59050,3,813,6,813,601,98
178,103353,11,103353,2,755,1,755,601,90
151,76544,8,76544,6,852,4,852,601,89
92,49597,3,49597,2,834,1,834,601,88
101,85604,10,85604,5,812,2,812,600,93
289,212737,36,212737,3,796,10,796,603,106
140,80125,6,80125,5,786,2,786,602,88
64,33511,6,33511,5,833,6,833,601,90
147,68420,12,68420,2,829,4,829,603,98
171,99611,11,99611,7,770,1,770,603,78
257,156568,17,156568,6,759,3,759,600,83
62,51005,12,51005,4,812,4,812,601,101
116,62664,9,62664,2,800,0,800,600,100
172,113152,13,113152,4,767,1,767,600,83
550,299976,61,299976,1,789,4,789,602,86
152,88291,17,88291,2,830,4,830,602,96
88,44979,4,44979,4,789,2,789,604,84
108,50926,9,50926,2,844,2,844,602,87
146,86568,10,86568,1,851,2,851,603,95
184,96812,12,96812,4,801,0,801,603,87
147,81290,15,81290,2,781,6,781,603,104
102,52777,9,52777,6,807,8,807,603,109
137,54348,9,54348,5,821,3,821,603,83
168,111777,22,111777,5,794,2,794,603,93
64,40277,4,40277,3,797,0,797,601,86
106,64433,8,64433,6,824,3,824,600,99
100,72154,8,72154,4,802,3,802,604,90
78,55620,9,55620,1,829,1,829,602,98
152,85762,10,85762,3,852,7,852,600,101
72,49300,10,49300,5,826,7,826,602,90
84,44098,10,44098,5,783,3,783,601,87
180,78335,8,78335,4,859,0,859,601,84
221,96125,16,96125,4,791,3,791,602,96
243,146687,22,146687,6,831,4,831,604,85
104,78290,12,78290,7,816,6,816,602,89
277,163890,21,163890,4,803,5,803,600,98
81,46584,8,46584,3,765,3,765,601,95
64,34371,3,34371,2,772,3,772,602,91
419,280854,20,280854,5,815,1,815,603,85
106,60134,5,60134,7,882,5,882,604,99
89,55499,8,55499,4,852,2,852,600,87
93,48574,5,48574,2,799,5,799,601,93
104,81199,19,81199,3,797,7,797,601,103
183,85300,9,85300,3,823,5,823,604,97
68,44624,5,44624,2,801,4,801,601,90
58,41725,9,41725,5,771,7,771,603,99
209,91830,23,91830,5,813,5,813,602,107
86,50072,4,50072,3,796,4,796,600,92
355,145176,19,145176,4,786,1,786,600,82
42,25523,6,25523,6,773,1,773,605,85
185,143622,13,143622,4,797,7,797,601,88
125,52612,6,52612,5,772,5,772,602,101
67,43066,1,43066,4,807,3,807,604,100
73,60975,12,60975,8,803,7,803,604,106
88,60430,4,60430,7,737,5,737,605,81
89,49712,5,49712,4,842,4,842,605,88
181,96097,12,96097,4,826,3,826,603,101
93,80084,6,80084,3,785,5,785,604,95
