param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Social Sample Size,200,contact->genetic,0.00015758973693256076,7.590347197628959e-05,15.884,13.805163671612155
Social Sample Size,300,contact->genetic,0.00015273654766676103,6.547954507530191e-05,14.704,10.80853292542517
Social Sample Size,400,contact->genetic,0.00015063799614643486,5.720069105901726e-05,15.428,14.721304833471795
Social Sample Size,500,contact->genetic,0.00015186406541875517,6.519893056956765e-05,14.592,11.138470990221235
Social Sample Size,600,contact->genetic,0.00015215190483998042,6.907336383297733e-05,15.084,13.760702889024238
Social Sample Size,650,contact->genetic,0.00015799920068853922,6.519992840699378e-05,15.124,10.672048725525949
Social Sample Size,700,contact->genetic,0.00015001018023279617,6.728881241864212e-05,14.684,12.03395795239455
Social Sample Size,750,contact->genetic,0.0001514148473928675,7.590018177283034e-05,14.972,15.78389102851385
Social Sample Size,800,contact->genetic,0.00015955187302563179,6.984979727688317e-05,16.02,14.706583559753094
Social Sample Size,850,contact->genetic,0.0001470705240491549,6.642361490037051e-05,14.488,12.104290809460915
Social Sample Size,900,contact->genetic,0.00015391437754222898,6.584858081752341e-05,15.076,12.924326829665057
Social Sample Size,950,contact->genetic,0.00015810161967175722,7.55277175440324e-05,15.964,15.366805263293994
Social Sample Size,1000,contact->genetic,0.00014567158938050436,5.985807951752614e-05,14.444,13.30048360023048
Social Sample Size,200,contact->transmission,0.0043257948423102025,0.0023734140923362726,3.496,1.9104931300583103
Social Sample Size,300,contact->transmission,0.00432520683350345,0.0022875406693841434,3.496,1.853101184501267
Social Sample Size,400,contact->transmission,0.004340683369645787,0.002321280912419843,3.504,1.8617153380686318
Social Sample Size,500,contact->transmission,0.00413966239135146,0.002242194282543264,3.356,1.830099450849598
Social Sample Size,600,contact->transmission,0.004020910582038391,0.002325767739979026,3.256,1.8800170211995422
Social Sample Size,650,contact->transmission,0.00436592843455138,0.0024469823339558164,3.536,1.9780556109472758
Social Sample Size,700,contact->transmission,0.004202874224990934,0.00238759739305546,3.408,1.9579417764581253
Social Sample Size,750,contact->transmission,0.0043778334422214385,0.0025285785410920055,3.54,2.0377438504385186
Social Sample Size,800,contact->transmission,0.0042301880787413955,0.002228207773495906,3.424,1.8056090385241208
Social Sample Size,850,contact->transmission,0.004230769218624296,0.0023554488687881317,3.432,1.9197333148122424
Social Sample Size,900,contact->transmission,0.0040307272572097695,0.002030834349110765,3.264,1.649940604991586
Social Sample Size,950,contact->transmission,0.004398542574233161,0.002432553165242411,3.568,1.9893154601520595
Social Sample Size,1000,contact->transmission,0.004074540014100187,0.0021658619586369253,3.296,1.7505382029535945
Social Sample Size,200,social->genetic,0.0001945755730002764,7.924161602952995e-05,19.452,16.82544786922476
Social Sample Size,300,social->genetic,0.00044869463877647174,0.00013663020457502613,44.732,34.910459406888364
Social Sample Size,400,social->genetic,0.0008319418101252588,0.00021082521441495786,85.084,81.35028545739713
Social Sample Size,500,social->genetic,0.001275400011849967,0.0003111211249628842,128.48,107.456044967233
Social Sample Size,600,social->genetic,0.0018310945041675403,0.00034312164814882156,184.248,140.9040045420995
Social Sample Size,650,social->genetic,0.002181634115595858,0.0004362342952115655,216.472,175.3507605230157
Social Sample Size,700,social->genetic,0.0025383112296144513,0.00045256962308209,256.424,209.84984208714573
Social Sample Size,750,social->genetic,0.002907352275032206,0.0005404307201805557,291.012,222.98598129927362
Social Sample Size,800,social->genetic,0.0032679358093204033,0.000571774679077239,330.176,277.9054821769445
Social Sample Size,850,social->genetic,0.0037414272786777236,0.0006412250281862082,373.672,289.2933950438551
Social Sample Size,900,social->genetic,0.00416866703129214,0.0006924451320633133,422.144,352.96043300064105
Social Sample Size,950,social->genetic,0.004673265691454423,0.0007158876976072448,472.6,392.795824825061
Social Sample Size,1000,social->genetic,0.005156928478072715,0.0007757124755012949,512.908,401.1731042031607
Social Sample Size,200,social->transmission,0.000728102469994715,0.0009447344791195715,0.592,0.7704128763202235
Social Sample Size,300,social->transmission,0.00146769866357445,0.0013592501906894597,1.188,1.0957444957653222
Social Sample Size,400,social->transmission,0.0023470651658204058,0.001764337424712218,1.9,1.420563268566381
Social Sample Size,500,social->transmission,0.003649788392856948,0.0020658721320455306,2.96,1.6942254867637898
Social Sample Size,600,social->transmission,0.005330072625890726,0.0025480637474950348,4.316,2.068850888778599
Social Sample Size,650,social->transmission,0.005956122863395038,0.002608652650371951,4.828,2.129416821573456
Social Sample Size,700,social->transmission,0.00679204141271071,0.002711041203521688,5.5,2.1986359407596336
Social Sample Size,750,social->transmission,0.0077512342147288485,0.0030943129355227726,6.276,2.5139260132310977
Social Sample Size,800,social->transmission,0.00889071444642985,0.003093915547780803,7.2,2.512369399590753
Social Sample Size,850,social->transmission,0.009964463585042592,0.0034326676609231313,8.064,2.776311221747303
Social Sample Size,900,social->transmission,0.010623169628367566,0.0037530891613469525,8.608,3.0643655134464622
Social Sample Size,950,social->transmission,0.012286145785452637,0.004035727621869945,9.952,3.3066139780748522
Social Sample Size,1000,social->transmission,0.013745742375202055,0.003991857390337162,11.128,3.2630684945308763
