SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
408,77604,18,77604,7,760,4,760,953,93
276,74004,10,74004,5,833,1,833,955,96
219,52532,12,52532,8,807,3,807,955,104
307,79427,25,79427,15,814,5,814,954,103
231,49449,13,49449,12,811,6,811,953,97
362,76421,10,76421,8,787,8,787,951,101
492,122897,26,122897,8,803,0,803,955,89
178,36937,2,36937,18,815,3,815,950,92
202,44736,10,44736,8,774,5,774,951,105
987,234734,17,234734,12,840,2,840,953,88
479,102810,14,102810,5,818,2,818,952,91
181,35482,4,35482,13,804,2,804,953,84
194,41248,2,41248,8,849,2,849,955,93
1009,231450,28,231450,7,812,3,812,951,90
377,84507,13,84507,13,839,3,839,952,95
227,47996,6,47996,12,821,7,821,954,109
493,127754,14,127754,14,857,4,857,950,91
339,76213,10,76213,8,790,4,790,952,97
276,58933,11,58933,13,853,5,853,952,106
392,86600,26,86600,6,856,2,856,955,96
1192,230746,25,230746,12,786,3,786,953,104
520,110251,12,110251,10,815,1,815,951,80
1031,208702,41,208702,11,844,2,844,953,87
234,61423,9,61423,11,809,1,809,950,94
258,55836,9,55836,6,866,3,866,953,93
744,194270,35,194270,6,833,0,833,954,79
534,135360,29,135360,11,814,8,814,952,103
146,31385,5,31385,12,787,3,787,950,102
171,33349,6,33349,7,794,3,794,952,88
558,152491,23,152491,9,796,2,796,954,97
343,70133,11,70133,10,846,3,846,952,84
191,45526,6,45526,7,754,2,754,953,91
290,49889,8,49889,11,813,2,813,951,86
247,59880,10,59880,7,774,5,774,951,93
759,140920,22,140920,14,863,3,863,952,82
220,50511,12,50511,14,852,5,852,954,89
700,118461,10,118461,10,821,0,821,951,88
391,76444,8,76444,8,837,4,837,950,97
333,51483,4,51483,8,835,3,835,952,93
513,118095,10,118095,9,793,5,793,954,97
502,122438,28,122438,14,764,3,764,955,100
113,23452,3,23452,6,717,5,717,950,93
601,159347,21,159347,8,804,5,804,954,110
729,149580,14,149580,11,807,3,807,952,92
629,135468,21,135468,12,815,3,815,954,89
310,58853,6,58853,12,842,4,842,954,94
288,50214,14,50214,9,768,5,768,955,92
382,95406,15,95406,11,800,2,800,952,92
374,62121,3,62121,11,842,6,842,952,95
401,107215,12,107215,10,772,6,772,951,89
491,82151,8,82151,17,767,3,767,952,93
963,157785,14,157785,8,828,2,828,951,86
3980,725812,157,725812,10,830,6,830,950,104
282,65951,14,65951,12,794,1,794,952,88
958,209286,15,209286,5,805,2,805,951,93
287,62463,9,62463,10,856,2,856,953,92
399,83579,16,83579,4,836,6,836,953,100
164,29836,2,29836,14,799,4,799,951,95
366,80820,8,80820,14,802,5,802,955,100
428,107634,11,107634,14,860,4,860,950,94
644,178202,30,178202,13,777,0,777,953,97
126,28821,2,28821,10,844,4,844,951,87
1098,204822,22,204822,13,779,0,779,954,92
190,40357,2,40357,12,791,4,791,953,89
99,23521,3,23521,12,822,10,822,952,111
361,65407,12,65407,13,797,5,797,954,111
296,61198,20,61198,8,855,8,855,952,109
419,104081,12,104081,7,790,1,790,954,87
1158,210647,34,210647,6,766,2,766,952,95
199,42935,10,42935,11,812,2,812,955,92
628,135024,19,135024,13,792,4,792,955,100
354,65180,13,65180,11,791,2,791,951,93
127,36346,5,36346,5,765,6,765,951,99
449,81031,10,81031,11,787,8,787,955,102
265,72552,12,72552,13,796,2,796,951,86
408,87675,20,87675,8,800,3,800,955,101
266,65216,8,65216,11,763,2,763,952,82
574,108440,10,108440,11,784,4,784,955,99
227,49630,7,49630,6,824,3,824,950,85
414,136836,48,136836,10,793,3,793,953,97
532,117466,13,117466,16,801,6,801,953,90
339,84263,18,84263,11,756,3,756,952,105
508,96508,11,96508,5,828,2,828,952,81
356,87530,16,87530,15,787,5,787,951,95
314,67451,16,67451,8,777,3,777,952,81
608,126581,15,126581,11,829,3,829,950,93
273,64174,5,64174,11,847,9,847,950,95
191,48762,4,48762,6,826,2,826,953,82
866,202130,19,202130,7,800,1,800,955,102
606,125184,13,125184,10,778,3,778,953,94
524,116766,12,116766,11,836,7,836,952,101
525,127776,4,127776,14,790,3,790,955,88
667,145497,24,145497,20,808,5,808,951,94
1008,235445,16,235445,18,837,0,837,952,95
615,141985,18,141985,10,769,5,769,950,97
278,72823,10,72823,12,780,1,780,955,91
1083,180370,52,180370,5,836,4,836,950,103
448,87296,17,87296,8,813,10,813,952,94
374,94811,6,94811,7,788,2,788,955,96
373,66295,7,66295,11,820,2,820,954,93
312,80609,10,80609,7,822,6,822,950,93
455,81801,13,81801,12,822,7,822,950,106
651,165512,23,165512,6,821,3,821,950,103
282,62578,8,62578,5,785,3,785,953,99
332,55330,7,55330,8,802,4,802,955,104
559,113661,20,113661,9,829,5,829,953,93
406,97797,11,97797,15,859,4,859,951,106
177,44905,6,44905,17,811,4,811,951,97
219,45209,14,45209,7,819,5,819,954,95
452,103551,20,103551,12,829,2,829,951,96
552,85702,16,85702,10,760,2,760,955,96
640,102438,18,102438,20,833,1,833,950,90
