SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
152,77604,33,77604,0,760,10,760,603,156
148,74004,20,74004,6,833,5,833,605,147
102,52532,39,52532,4,807,6,807,603,169
125,79427,32,79427,4,814,2,814,605,152
115,49449,15,49449,3,811,4,811,600,158
129,76421,24,76421,7,787,4,787,601,137
226,122897,45,122897,5,803,2,803,602,131
71,36937,13,36937,3,815,3,815,601,148
75,44736,16,44736,3,774,3,774,605,154
461,234734,88,234734,5,840,4,840,603,152
223,102810,29,102810,8,818,7,818,602,142
60,35482,17,35482,3,804,8,804,600,154
62,41248,8,41248,4,849,7,849,604,160
435,231450,70,231450,5,812,3,812,604,133
111,84507,34,84507,2,839,3,839,602,153
75,47996,11,47996,6,821,3,821,603,134
191,127754,58,127754,4,857,5,857,603,157
140,76213,11,76213,3,790,1,790,600,143
108,58933,13,58933,9,853,2,853,603,133
124,86600,26,86600,4,856,6,856,604,146
550,230746,60,230746,4,786,5,786,600,150
223,110251,38,110251,5,815,8,815,604,145
322,208702,136,208702,7,844,4,844,600,140
86,61423,27,61423,3,809,6,809,600,151
80,55836,34,55836,4,866,4,866,601,157
294,194270,65,194270,10,833,8,833,601,161
454,135360,51,135360,1,814,5,814,602,155
47,31385,15,31385,3,787,5,787,603,152
40,33349,19,33349,2,794,4,794,601,137
239,152491,71,152491,5,796,5,796,602,158
94,70133,13,70133,5,846,5,846,604,152
62,45526,20,45526,1,754,4,754,602,164
114,49889,10,49889,5,813,6,813,604,154
97,59880,23,59880,4,774,5,774,602,154
222,140920,72,140920,1,863,9,863,603,146
104,50511,25,50511,2,852,6,852,605,142
198,118461,51,118461,1,821,9,821,602,158
119,76444,23,76444,1,837,7,837,603,135
79,51483,18,51483,7,835,9,835,602,164
247,118095,37,118095,3,793,9,793,601,166
165,122438,106,122438,8,764,4,764,601,144
29,23452,13,23452,3,717,4,717,603,152
244,159347,56,159347,1,804,5,804,602,159
299,149580,53,149580,5,807,4,807,601,154
254,135468,40,135468,6,815,7,815,602,154
72,58853,27,58853,5,842,9,842,600,169
119,50214,18,50214,4,768,3,768,603,139
197,95406,53,95406,3,800,6,800,603,138
133,62121,21,62121,3,842,4,842,605,149
205,107215,33,107215,1,772,6,772,603,149
146,82151,24,82151,4,767,14,767,604,159
271,157785,40,157785,4,828,9,828,603,156
1359,725812,172,725812,2,830,2,830,604,152
134,65951,16,65951,4,794,4,794,602,147
415,209286,89,209286,6,805,6,805,605,156
125,62463,25,62463,6,856,5,856,604,145
165,83579,22,83579,8,836,4,836,602,156
62,29836,13,29836,4,799,3,799,600,143
139,80820,24,80820,7,802,6,802,603,150
248,107634,35,107634,5,860,5,860,601,139
193,178202,49,178202,3,777,2,777,600,137
48,28821,12,28821,7,844,5,844,603,160
338,204822,82,204822,8,779,3,779,605,149
89,40357,16,40357,6,791,4,791,601,141
40,23521,14,23521,3,822,6,822,602,149
133,65407,17,65407,6,797,7,797,605,146
104,61198,15,61198,3,855,9,855,601,156
198,104081,35,104081,2,790,3,790,604,149
314,210647,73,210647,5,766,12,766,603,166
90,42935,17,42935,5,812,5,812,601,155
214,135024,80,135024,1,792,8,792,604,164
115,65180,19,65180,3,791,6,791,600,156
56,36346,19,36346,3,765,6,765,600,148
165,81031,35,81031,4,787,6,787,603,141
101,72552,27,72552,4,796,6,796,605,159
171,87675,26,87675,6,800,7,800,603,140
148,65216,23,65216,6,763,1,763,602,143
180,108440,37,108440,1,784,3,784,600,135
96,49630,14,49630,6,824,6,824,601,158
382,136836,91,136836,5,793,4,793,601,146
164,117466,40,117466,1,801,8,801,601,156
170,84263,15,84263,4,756,5,756,600,141
206,96508,22,96508,7,828,2,828,603,142
209,87530,34,87530,4,787,10,787,603,140
166,67451,47,67451,0,777,5,777,604,157
225,126581,55,126581,3,829,4,829,600,146
120,64174,40,64174,5,847,9,847,605,158
71,48762,14,48762,4,826,10,826,603,150
302,202130,118,202130,1,800,6,800,604,153
306,125184,63,125184,4,778,6,778,605,164
191,116766,24,116766,2,836,1,836,602,130
256,127776,26,127776,2,790,2,790,600,141
324,145497,63,145497,4,808,10,808,602,164
352,235445,131,235445,0,837,5,837,602,142
268,141985,77,141985,4,769,6,769,602,154
119,72823,15,72823,5,780,4,780,601,144
232,180370,62,180370,5,836,3,836,600,140
182,87296,17,87296,3,813,7,813,600,144
104,94811,51,94811,5,788,6,788,602,161
133,66295,22,66295,6,820,3,820,605,161
154,80609,26,80609,5,822,6,822,602,147
117,81801,37,81801,1,822,9,822,602,152
284,165512,60,165512,5,821,11,821,600,153
108,62578,20,62578,4,785,6,785,601,135
90,55330,28,55330,4,802,5,802,601,162
211,113661,50,113661,5,829,7,829,601,158
153,97797,39,97797,3,859,8,859,600,154
63,44905,15,44905,3,811,8,811,601,168
77,45209,17,45209,4,819,5,819,604,147
197,103551,36,103551,6,829,10,829,603,143
194,85702,24,85702,3,760,5,760,600,142
172,102438,57,102438,3,833,9,833,604,163
278,123185,67,123185,4,813,5,813,602,143
59,46222,20,46222,2,846,6,846,600,147
90,49614,16,49614,1,853,3,853,605,140
273,116149,29,116149,2,796,2,796,602,138
192,119838,40,119838,4,773,5,773,602,145
211,96570,29,96570,8,838,8,838,603,159
82,59050,30,59050,2,813,5,813,600,157
239,103353,25,103353,2,755,2,755,604,137
194,76544,30,76544,9,852,3,852,602,142
98,49597,25,49597,5,834,7,834,603,152
269,85604,16,85604,5,812,5,812,601,152
387,212737,89,212737,4,796,4,796,601,140
152,80125,21,80125,3,786,4,786,601,150
51,33511,14,33511,2,833,5,833,604,147
154,68420,37,68420,4,829,6,829,604,142
131,99611,32,99611,3,770,6,770,602,158
326,156568,81,156568,1,759,5,759,601,138
114,51005,18,51005,4,812,4,812,604,142
143,62664,27,62664,3,800,7,800,603,147
214,113152,43,113152,1,767,3,767,603,158
516,299976,160,299976,2,789,7,789,600,158
146,88291,24,88291,5,830,6,830,600,157
75,44979,18,44979,3,789,5,789,600,153
86,50926,13,50926,2,844,8,844,605,150
179,86568,41,86568,4,851,3,851,600,145
158,96812,36,96812,2,801,4,801,601,150
199,81290,55,81290,4,781,4,781,603,165
121,52777,18,52777,5,807,4,807,601,135
91,54348,30,54348,5,821,7,821,600,165
197,111777,36,111777,3,794,5,794,604,140
58,40277,15,40277,3,797,2,797,600,156
89,64433,31,64433,2,824,8,824,600,154
110,72154,18,72154,3,802,6,802,600,148
80,55620,19,55620,1,829,5,829,600,149
140,85762,42,85762,5,852,7,852,600,148
74,49300,18,49300,6,826,6,826,603,146
76,44098,15,44098,3,783,5,783,605,157
107,78335,40,78335,4,859,2,859,601,138
243,96125,37,96125,4,791,6,791,602,148
475,146687,43,146687,3,831,10,831,600,149
152,78290,33,78290,4,816,3,816,604,143
426,163890,79,163890,3,803,3,803,601,145
80,46584,7,46584,3,765,3,765,602,131
72,34371,13,34371,2,772,5,772,602,144
612,280854,132,280854,7,815,5,815,605,166
121,60134,15,60134,2,882,7,882,605,151
69,55499,28,55499,3,852,9,852,604,148
54,48574,26,48574,2,799,4,799,603,164
157,81199,32,81199,2,797,4,797,602,152
175,85300,21,85300,1,823,5,823,600,142
79,44624,25,44624,5,801,7,801,604,155
72,41725,26,41725,5,771,9,771,602,174
142,91830,32,91830,1,813,2,813,602,142
79,50072,21,50072,6,796,5,796,604,155
208,145176,64,145176,4,786,6,786,604,146
64,25523,16,25523,5,773,10,773,604,161
284,143622,39,143622,4,797,6,797,601,144
118,52612,29,52612,3,772,4,772,601,158
73,43066,25,43066,1,807,8,807,603,153
130,60975,23,60975,6,803,5,803,605,146
99,60430,25,60430,4,737,1,737,602,151
90,49712,21,49712,4,842,5,842,603,165
199,96097,38,96097,9,826,8,826,602,152
155,80084,51,80084,2,785,10,785,602,158
324,151734,63,151734,3,797,6,797,600,157
101,107133,28,107133,1,754,1,754,600,141
214,129978,74,129978,4,797,6,797,602,150
52,34701,8,34701,3,787,10,787,605,167
149,141676,44,141676,5,782,3,782,601,152
747,514969,173,514969,3,846,6,846,601,169
145,69865,17,69865,4,775,8,775,600,145
259,164064,49,164064,2,782,7,782,600,145
66,42099,15,42099,4,753,2,753,600,146
135,74838,36,74838,8,822,7,822,600,158
220,134598,68,134598,4,787,5,787,602,151
