param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of RDS Seeds,10,contact->genetic,4.140202891051589e-06,8.819463586138203e-06,0.384,0.7187099554062124
Number of RDS Seeds,20,contact->genetic,1.873858546160336e-05,1.977909071783993e-05,1.812,2.2522557581233973
Number of RDS Seeds,30,contact->genetic,3.6431320215579486e-05,2.946626120029581e-05,3.532,3.8043364730265385
Number of RDS Seeds,40,contact->genetic,6.27401827167487e-05,3.853121077344819e-05,6.064,5.810671561876475
Number of RDS Seeds,50,contact->genetic,0.00010059714998443294,5.158596491158211e-05,9.768,8.042025615477732
Number of RDS Seeds,60,contact->genetic,0.00014191224976427608,6.440099615045597e-05,13.972,12.14887714976162
Number of RDS Seeds,70,contact->genetic,0.00018590073751599106,7.94696147356554e-05,18.704,17.15973146643035
Number of RDS Seeds,80,contact->genetic,0.00024603023625417253,8.896252465703279e-05,24.272,20.204702818898376
Number of RDS Seeds,90,contact->genetic,0.0003251274318496923,0.00011881205691324908,32.312,25.38721441986103
Number of RDS Seeds,100,contact->genetic,0.0003953033935124021,0.00012911379357767933,39.464,30.396853521376187
Number of RDS Seeds,110,contact->genetic,0.00047958676922422636,0.00014261534444958416,47.484,37.75957817560996
Number of RDS Seeds,120,contact->genetic,0.0005711746608333124,0.00018453612835838955,56.844,45.15515102399725
Number of RDS Seeds,130,contact->genetic,0.0006676245499664308,0.00019598881726834636,66.304,51.78559243650689
Number of RDS Seeds,140,contact->genetic,0.0007433561931890842,0.00018463850691816344,74.012,57.33323517821055
Number of RDS Seeds,150,contact->genetic,0.0008495603605791606,0.0002059259725782442,85.424,72.22046956369087
Number of RDS Seeds,200,contact->genetic,0.0014828315734292854,0.0002997111702685961,150.5,127.86503040315597
Number of RDS Seeds,300,contact->genetic,0.0033068617282271413,0.0005487399918088413,332.492,275.90619046335297
Number of RDS Seeds,400,contact->genetic,0.005613346009250156,0.0007295467098389463,565.076,430.1818757502459
Number of RDS Seeds,500,contact->genetic,0.008680351264674098,0.0011375223201444966,873.816,722.8761098168898
Number of RDS Seeds,600,contact->genetic,0.012142870543218302,0.001350060254165717,1222.856,971.600512177716
Number of RDS Seeds,10,contact->transmission,0.0007507242090709621,0.0009700787972421826,0.608,0.7837958917983686
Number of RDS Seeds,20,contact->transmission,0.0013130398498713647,0.0014286677890685453,1.064,1.157542223851899
Number of RDS Seeds,30,contact->transmission,0.001978047495232692,0.0016811435702461966,1.6,1.3505554412907306
Number of RDS Seeds,40,contact->transmission,0.002738675285367615,0.0019453427652569067,2.216,1.5650380187075328
Number of RDS Seeds,50,contact->transmission,0.0033129580634017916,0.0020453179801258,2.684,1.6517094175429285
Number of RDS Seeds,60,contact->transmission,0.004288828094590548,0.0023244549058502183,3.468,1.8721581129808453
