SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
437,77604,446,77604,11,760,25,760,603,593
444,74004,394,74004,12,833,25,833,603,569
382,52532,316,52532,8,807,21,807,600,588
419,79427,488,79427,6,814,24,814,603,597
314,49449,268,49449,10,811,16,811,601,575
446,76421,432,76421,14,787,20,787,603,571
570,122897,704,122897,3,803,27,803,601,594
214,36937,267,36937,6,815,27,815,602,594
200,44736,248,44736,7,774,26,774,601,582
1298,234734,1168,234734,3,840,27,840,600,586
528,102810,548,102810,4,818,22,818,603,566
211,35482,223,35482,4,804,23,804,600,573
259,41248,233,41248,13,849,22,849,605,584
1252,231450,1316,231450,12,812,26,812,601,620
456,84507,392,84507,4,839,22,839,604,573
274,47996,284,47996,4,821,24,821,600,579
558,127754,655,127754,9,857,24,857,600,598
370,76213,473,76213,10,790,37,790,600,639
290,58933,285,58933,12,853,24,853,600,586
608,86600,397,86600,4,856,29,856,600,626
1071,230746,1271,230746,6,786,15,786,603,574
535,110251,607,110251,8,815,21,815,605,567
1241,208702,1144,208702,6,844,18,844,601,569
353,61423,322,61423,3,809,25,809,605,598
316,55836,311,55836,5,866,22,866,600,589
1326,194270,1066,194270,10,833,27,833,600,615
461,135360,893,135360,8,814,14,814,602,587
169,31385,163,31385,7,787,21,787,603,589
167,33349,200,33349,4,794,24,794,601,616
744,152491,521,152491,5,796,27,796,602,575
365,70133,416,70133,6,846,19,846,600,592
247,45526,239,45526,6,754,23,754,600,592
309,49889,365,49889,9,813,24,813,602,615
357,59880,416,59880,7,774,31,774,602,628
791,140920,807,140920,5,863,24,863,602,577
223,50511,249,50511,7,852,23,852,601,563
629,118461,546,118461,6,821,28,821,602,597
480,76444,382,76444,4,837,21,837,601,591
242,51483,366,51483,3,835,31,835,602,603
686,118095,788,118095,9,793,24,793,601,596
813,122438,741,122438,6,764,32,764,604,592
134,23452,165,23452,6,717,18,717,602,592
859,159347,953,159347,3,804,22,804,604,605
861,149580,740,149580,5,807,18,807,600,591
759,135468,620,135468,7,815,26,815,603,567
379,58853,373,58853,7,842,33,842,600,586
237,50214,319,50214,3,768,24,768,601,618
568,95406,534,95406,10,800,19,800,600,577
308,62121,324,62121,3,842,27,842,601,595
622,107215,624,107215,7,772,28,772,601,600
494,82151,531,82151,7,767,24,767,600,592
793,157785,727,157785,6,828,12,828,603,570
4628,725812,3576,725812,13,830,35,830,605,608
