param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of HIV+ RDS Seeds,10,contact->genetic,5.86038821161408e-06,1.0118450534739018e-05,0.512,0.8257457235735466
Number of HIV+ RDS Seeds,20,contact->genetic,1.7187468543348085e-05,1.910516757577946e-05,1.712,2.1440746255669367
Number of HIV+ RDS Seeds,30,contact->genetic,3.505743948729131e-05,2.594074932598311e-05,3.448,3.673594425082878
Number of HIV+ RDS Seeds,40,contact->genetic,6.720979173305038e-05,3.920647754996578e-05,6.276,5.248983139618568
Number of HIV+ RDS Seeds,50,contact->genetic,9.972658148501151e-05,5.256357811676557e-05,9.8,9.299892472496659
Number of HIV+ RDS Seeds,60,contact->genetic,0.00014359458272016317,6.225351931982792e-05,14.392,12.670845907041882
Number of HIV+ RDS Seeds,70,contact->genetic,0.00019068555750997493,7.811196962189428e-05,19.296,18.512060501197592
Number of HIV+ RDS Seeds,80,contact->genetic,0.00025372078770036444,9.746747525790182e-05,25.18,19.70958142630127
Number of HIV+ RDS Seeds,90,contact->genetic,0.00031263540371635854,0.0001138745084473825,30.372,22.41306797384062
Number of HIV+ RDS Seeds,100,contact->genetic,0.0004005964827349093,0.00013671320684048794,40.728,37.30069725889852
Number of HIV+ RDS Seeds,110,contact->genetic,0.0004679994273492323,0.00013873628148986195,47.032,44.00353367628559
Number of HIV+ RDS Seeds,120,contact->genetic,0.0005555133226021417,0.00017062902023774726,56.52,49.51195411211317
Number of HIV+ RDS Seeds,130,contact->genetic,0.0006528878611408282,0.00016882544020299124,66.812,64.10548070173095
Number of HIV+ RDS Seeds,140,contact->genetic,0.000741487004165005,0.00017089224010330878,75.224,62.62432294244785
Number of HIV+ RDS Seeds,150,contact->genetic,0.0008424980209783714,0.0001922856098457126,84.78,67.1608487141132
Number of HIV+ RDS Seeds,200,contact->genetic,0.0014603466013184568,0.00030740583854256965,147.008,117.18259229083473
Number of HIV+ RDS Seeds,300,contact->genetic,0.0032817643569470144,0.0005271886282143424,331.372,277.26070333893335
Number of HIV+ RDS Seeds,400,contact->genetic,0.005667430981867719,0.0008499415553063571,572.3,446.1962819208605
Number of HIV+ RDS Seeds,500,contact->genetic,0.00862270520497308,0.001077422874833109,866.176,676.1224393732248
Number of HIV+ RDS Seeds,600,contact->genetic,0.012158196825876722,0.0013313320050181842,1221.264,936.866856230916
Number of HIV+ RDS Seeds,10,contact->transmission,0.0007773639630891626,0.0010838947710853698,0.632,0.8812354963345496
Number of HIV+ RDS Seeds,20,contact->transmission,0.0013349277828147924,0.0013124877381377792,1.084,1.068149802228133
Number of HIV+ RDS Seeds,30,contact->transmission,0.0019120886923961113,0.0016560146995586978,1.552,1.350294782630815
