SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
301,57117,2,57117,13,830,3,830
575,149062,14,149062,14,854,7,854
627,118015,35,118015,13,845,2,845
401,61712,8,61712,7,808,3,808
292,43100,6,43100,16,807,3,807
924,150195,25,150195,10,786,6,786
623,105760,27,105760,10,825,6,825
726,144387,51,144387,9,823,3,823
668,139689,26,139689,11,807,2,807
5438,1197056,72,1197056,13,790,4,790
464,89952,22,89952,6,831,5,831
309,52793,11,52793,8,787,3,787
378,76628,8,76628,8,818,3,818
355,66120,2,66120,9,817,4,817
931,142301,18,142301,18,810,1,810
488,96118,14,96118,15,798,3,798
448,66309,16,66309,11,794,0,794
421,49533,6,49533,17,755,4,755
779,179378,42,179378,7,819,5,819
316,38525,6,38525,17,825,6,825
146,32658,8,32658,5,831,7,831
705,152615,21,152615,16,818,2,818
667,108215,12,108215,13,845,0,845
591,114381,28,114381,12,760,1,760
1085,219340,18,219340,13,805,3,805
622,108300,16,108300,14,835,5,835
320,60202,11,60202,10,836,4,836
464,102791,16,102791,11,840,3,840
1151,147998,29,147998,11,868,10,868
575,97530,8,97530,8,800,2,800
2262,381575,33,381575,10,795,2,795
457,92893,14,92893,9,819,3,819
255,50481,12,50481,8,822,5,822
376,80532,12,80532,14,809,3,809
202,42867,9,42867,7,832,4,832
1084,140594,34,140594,16,794,0,794
210,50907,7,50907,8,817,4,817
440,84454,11,84454,9,810,3,810
405,63026,5,63026,15,798,5,798
520,133277,37,133277,13,766,3,766
357,69776,5,69776,14,782,5,782
972,136529,17,136529,14,845,1,845
368,83302,14,83302,8,763,0,763
187,36557,7,36557,11,786,9,786
326,69541,8,69541,6,779,1,779
2104,334609,51,334609,13,749,3,749
1070,195059,35,195059,11,803,0,803
1440,233332,77,233332,14,784,7,784
558,101214,27,101214,9,766,2,766
328,51498,7,51498,13,813,5,813
521,75508,17,75508,12,795,6,795
165,45581,11,45581,9,743,4,743
1050,172425,22,172425,16,806,2,806
422,70343,8,70343,12,849,0,849
393,75691,17,75691,11,852,4,852
279,55687,5,55687,14,868,0,868
907,145522,26,145522,11,832,3,832
230,36034,3,36034,8,847,2,847
440,64163,19,64163,12,813,3,813
3659,730372,111,730372,9,770,7,770
609,70282,17,70282,12,842,5,842
263,34608,8,34608,12,775,2,775
383,69479,12,69479,8,807,1,807
397,73295,11,73295,13,753,7,753
388,56533,8,56533,15,795,3,795
839,165083,24,165083,11,830,4,830
701,146358,14,146358,10,771,4,771
473,75906,22,75906,14,830,8,830
829,102016,12,102016,13,828,9,828
307,63943,11,63943,13,842,6,842
1143,148378,32,148378,12,855,2,855
728,175583,37,175583,11,836,4,836
251,39679,0,39679,11,816,1,816
546,70314,15,70314,9,744,5,744
806,110876,9,110876,13,811,5,811
238,46536,7,46536,10,821,5,821
260,55190,14,55190,11,782,4,782
215,65136,16,65136,2,799,1,799
317,63273,7,63273,12,801,4,801
848,178217,29,178217,17,838,2,838
826,114738,13,114738,14,785,6,785
378,47038,5,47038,11,786,3,786
595,110820,20,110820,5,787,2,787
374,69893,28,69893,4,795,4,795
372,76745,11,76745,14,841,3,841
227,69944,9,69944,15,799,3,799
989,185757,26,185757,6,824,3,824
1725,228713,53,228713,12,857,6,857
385,61370,15,61370,13,812,4,812
306,64702,6,64702,12,773,0,773
2004,373138,61,373138,10,819,2,819
199,40225,15,40225,11,840,2,840
713,117129,22,117129,8,832,3,832
661,82794,9,82794,9,836,3,836
928,135877,19,135877,13,770,2,770
144,40871,4,40871,4,792,1,792
445,71537,10,71537,12,799,6,799
843,201475,21,201475,8,835,6,835
493,111392,9,111392,18,788,2,788
393,78658,15,78658,11,795,3,795
438,70196,11,70196,9,827,1,827
202,35576,3,35576,13,812,1,812
762,86812,15,86812,14,816,0,816
274,51140,4,51140,8,779,5,779
393,53320,10,53320,17,801,1,801
1286,167559,21,167559,16,811,2,811
857,131812,30,131812,14,832,3,832
366,70948,8,70948,14,817,1,817
941,171386,46,171386,10,821,2,821
335,66717,13,66717,4,796,4,796
271,39779,6,39779,9,805,2,805
484,84807,6,84807,12,790,2,790
1511,196837,32,196837,20,814,1,814
302,44199,10,44199,7,800,1,800
236,48549,11,48549,15,819,5,819
256,86206,15,86206,8,860,1,860
150,39657,9,39657,8,805,4,805
787,133467,14,133467,7,745,6,745
1092,153039,35,153039,14,802,4,802
795,158453,28,158453,5,795,2,795
235,63246,21,63246,15,812,5,812
228,29466,2,29466,6,786,1,786
399,72167,10,72167,12,793,2,793
683,113612,21,113612,13,818,4,818
760,87950,11,87950,22,824,4,824
211,38824,7,38824,10,828,0,828
1059,162643,38,162643,10,786,5,786
373,76579,22,76579,12,805,2,805
947,124283,21,124283,14,787,1,787
628,74968,17,74968,16,792,6,792
426,77075,6,77075,10,779,2,779
350,47306,4,47306,10,771,1,771
497,68848,8,68848,13,795,1,795
430,71427,12,71427,15,795,0,795
312,74585,11,74585,11,816,0,816
294,60547,20,60547,20,803,5,803
148,53379,20,53379,9,832,6,832
1216,223149,33,223149,9,842,2,842
377,47979,10,47979,14,817,2,817
492,84821,22,84821,13,828,2,828
646,100208,14,100208,13,755,3,755
577,83324,15,83324,12,794,2,794
418,138006,23,138006,8,797,6,797
398,76992,5,76992,16,820,2,820
1291,243479,40,243479,8,730,4,730
389,62231,8,62231,13,771,2,771
6919,1090195,107,1090195,18,842,2,842
578,113327,10,113327,10,845,3,845
321,83111,17,83111,14,828,5,828
469,90733,5,90733,15,795,7,795
386,67702,13,67702,15,760,6,760
290,55013,7,55013,14,781,4,781
235,48776,14,48776,13,830,3,830
344,70891,3,70891,10,758,2,758
633,130927,18,130927,19,832,3,832
645,113120,11,113120,9,868,4,868
351,87026,18,87026,7,838,3,838
247,60626,8,60626,14,839,3,839
285,47443,14,47443,12,812,5,812
1448,213398,21,213398,16,830,8,830
597,79032,5,79032,11,785,2,785
610,82580,9,82580,15,814,6,814
591,126196,15,126196,10,858,2,858
298,44196,7,44196,19,808,1,808
512,94674,14,94674,10,794,3,794
910,232458,33,232458,11,805,4,805
212,43492,7,43492,11,899,7,899
425,87826,16,87826,6,809,3,809
170,41167,6,41167,12,828,6,828
618,102372,14,102372,10,829,6,829
1382,278226,27,278226,10,839,2,839
852,141808,30,141808,7,829,1,829
317,57354,18,57354,17,816,5,816
692,133409,18,133409,10,837,4,837
419,90251,29,90251,8,822,5,822
176,35195,2,35195,12,835,5,835
280,79534,10,79534,6,777,3,777
251,50499,7,50499,13,839,1,839
486,108162,33,108162,5,827,7,827
395,73027,20,73027,13,860,1,860
437,87450,11,87450,9,809,3,809
297,61092,10,61092,9,785,3,785
503,86424,12,86424,11,766,3,766
235,40844,10,40844,14,798,1,798
341,64536,4,64536,14,779,2,779
2122,354758,96,354758,18,764,2,764
2099,494983,58,494983,9,769,4,769
1581,226529,51,226529,12,842,4,842
183,41974,8,41974,12,787,5,787
463,90473,13,90473,14,775,3,775
206,48839,12,48839,10,840,4,840
649,131002,16,131002,8,759,5,759
338,49143,4,49143,14,837,6,837
525,60341,10,60341,26,840,4,840
1184,160365,50,160365,14,790,4,790
794,115420,15,115420,13,811,2,811
3302,404164,50,404164,8,824,5,824
375,69283,1,69283,14,853,1,853
178,85525,17,85525,7,843,4,843
1194,273269,19,273269,10,803,0,803
324,61636,13,61636,9,789,4,789
220,42305,8,42305,5,730,3,730
373,111370,12,111370,8,815,2,815
1002,148447,17,148447,13,834,1,834
522,84757,14,84757,13,815,4,815
258,67252,14,67252,8,795,3,795
538,63242,9,63242,15,831,5,831
2632,316668,14,316668,9,845,2,845
1416,151350,13,151350,13,799,0,799
440,75916,7,75916,13,867,10,867
683,124947,19,124947,11,798,1,798
287,64491,7,64491,14,800,1,800
343,65363,5,65363,14,829,4,829
238,47147,10,47147,14,833,5,833
414,66481,14,66481,11,808,3,808
209,46253,14,46253,15,775,4,775
360,80821,11,80821,9,829,3,829
343,57387,5,57387,18,802,3,802
452,66903,11,66903,9,774,4,774
1292,150573,20,150573,22,810,5,810
257,50020,11,50020,6,841,0,841
234,36142,4,36142,13,824,3,824
593,93565,10,93565,15,757,2,757
273,57502,6,57502,8,834,1,834
415,72215,6,72215,10,814,6,814
544,113572,21,113572,10,783,4,783
353,71525,15,71525,12,812,5,812
236,50907,18,50907,10,796,9,796
753,115225,18,115225,14,824,1,824
374,41705,5,41705,10,785,0,785
842,131691,13,131691,13,805,0,805
359,80140,3,80140,14,807,0,807
375,55049,12,55049,16,834,3,834
459,54527,7,54527,15,774,5,774
524,99126,10,99126,14,839,6,839
417,69245,10,69245,10,835,5,835
827,147866,20,147866,13,790,4,790
730,115444,23,115444,23,773,0,773
770,101899,13,101899,17,823,3,823
379,75270,6,75270,10,772,6,772
354,91165,15,91165,10,778,6,778
790,102676,13,102676,19,785,3,785
586,119066,18,119066,10,829,4,829
685,111880,13,111880,11,818,3,818
561,67013,28,67013,9,858,6,858
969,138726,22,138726,15,792,5,792
758,131288,13,131288,13,824,5,824
352,108484,18,108484,11,777,2,777
359,59062,7,59062,11,790,4,790
278,52328,10,52328,8,805,4,805
