SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total,SN sampled,CN sampled
174,77604,11,77604,3,760,3,760,605,84
108,74004,9,74004,6,833,3,833,601,89
98,52532,5,52532,8,807,2,807,601,87
138,79427,15,79427,8,814,1,814,601,85
83,49449,9,49449,4,811,1,811,602,80
114,76421,9,76421,2,787,3,787,603,98
210,122897,14,122897,3,803,4,803,601,102
94,36937,12,36937,5,815,7,815,602,104
88,44736,4,44736,5,774,2,774,601,86
542,234734,26,234734,4,840,5,840,602,89
176,102810,21,102810,7,818,5,818,602,96
73,35482,4,35482,4,804,6,804,602,88
60,41248,5,41248,4,849,5,849,604,97
308,231450,35,231450,8,812,1,812,600,85
126,84507,12,84507,5,839,4,839,604,96
98,47996,7,47996,4,821,1,821,604,85
177,127754,22,127754,9,857,1,857,601,95
122,76213,8,76213,3,790,3,790,602,80
114,58933,6,58933,7,853,4,853,600,94
145,86600,8,86600,8,856,1,856,601,93
498,230746,33,230746,3,786,5,786,601,104
201,110251,14,110251,6,815,3,815,602,84
310,208702,23,208702,4,844,5,844,603,87
114,61423,8,61423,8,809,3,809,604,86
98,55836,7,55836,3,866,4,866,600,98
360,194270,25,194270,4,833,6,833,604,97
216,135360,17,135360,8,814,3,814,603,100
52,31385,2,31385,4,787,4,787,601,88
61,33349,5,33349,4,794,1,794,604,85
292,152491,15,152491,4,796,2,796,604,88
141,70133,13,70133,7,846,7,846,605,98
94,45526,7,45526,1,754,4,754,603,94
92,49889,7,49889,2,813,5,813,605,89
99,59880,8,59880,4,774,2,774,604,88
235,140920,33,140920,4,863,3,863,600,90
99,50511,7,50511,1,852,4,852,603,96
201,118461,20,118461,3,821,2,821,602,84
144,76444,18,76444,8,837,4,837,600,102
101,51483,5,51483,3,835,3,835,600,88
295,118095,26,118095,6,793,3,793,600,94
203,122438,38,122438,3,764,5,764,601,96
31,23452,2,23452,5,717,1,717,601,91
274,159347,23,159347,3,804,3,804,605,85
329,149580,19,149580,2,807,4,807,601,97
420,135468,11,135468,6,815,3,815,605,81
92,58853,6,58853,6,842,3,842,603,92
109,50214,6,50214,4,768,6,768,604,94
153,95406,7,95406,6,800,1,800,604,79
122,62121,7,62121,4,842,2,842,604,86
192,107215,11,107215,4,772,4,772,605,98
133,82151,15,82151,3,767,0,767,600,84
213,157785,25,157785,4,828,0,828,601,81
1319,725812,68,725812,2,830,4,830,603,87
111,65951,10,65951,5,794,1,794,601,84
395,209286,32,209286,8,805,3,805,600,104
151,62463,9,62463,2,856,4,856,602,89
170,83579,16,83579,5,836,0,836,601,93
72,29836,3,29836,1,799,4,799,600,89
171,80820,12,80820,8,802,1,802,602,93
223,107634,14,107634,4,860,1,860,604,95
209,178202,33,178202,4,777,9,777,601,103
91,28821,1,28821,3,844,1,844,600,83
308,204822,31,204822,6,779,2,779,604,89
59,40357,3,40357,3,791,2,791,601,99
44,23521,1,23521,4,822,2,822,603,91
134,65407,11,65407,5,797,2,797,600,92
149,61198,18,61198,8,855,1,855,602,88
208,104081,21,104081,5,790,4,790,600,99
472,210647,54,210647,1,766,2,766,600,92
76,42935,7,42935,2,812,5,812,602,97
265,135024,20,135024,6,792,4,792,601,95
140,65180,22,65180,6,791,2,791,604,105
57,36346,5,36346,6,765,2,765,603,88
243,81031,13,81031,4,787,0,787,600,82
112,72552,6,72552,3,796,0,796,602,96
107,87675,16,87675,4,800,4,800,604,80
201,65216,5,65216,1,763,8,763,604,111
165,108440,13,108440,2,784,4,784,605,91
67,49630,7,49630,4,824,1,824,603,87
217,136836,11,136836,4,793,3,793,601,93
203,117466,10,117466,0,801,1,801,601,77
174,84263,16,84263,4,756,6,756,605,101
129,96508,9,96508,6,828,4,828,602,84
148,87530,40,87530,2,787,0,787,601,87
179,67451,11,67451,1,777,1,777,605,86
259,126581,14,126581,2,829,6,829,605,96
123,64174,12,64174,6,847,4,847,602,97
81,48762,5,48762,2,826,3,826,600,92
267,202130,27,202130,7,800,4,800,605,92
254,125184,17,125184,1,778,3,778,603,96
154,116766,11,116766,5,836,1,836,602,88
219,127776,9,127776,2,790,2,790,601,79
294,145497,13,145497,4,808,2,808,601,93
338,235445,19,235445,7,837,4,837,604,95
291,141985,22,141985,4,769,5,769,603,100
161,72823,10,72823,4,780,1,780,602,96
405,180370,29,180370,4,836,4,836,604,88
145,87296,28,87296,5,813,7,813,602,104
119,94811,10,94811,7,788,2,788,601,88
151,66295,4,66295,5,820,2,820,600,91
124,80609,7,80609,1,822,2,822,605,89
178,81801,9,81801,2,822,6,822,602,101
263,165512,14,165512,5,821,5,821,603,92
112,62578,7,62578,5,785,3,785,600,93
101,55330,9,55330,4,802,3,802,604,87
203,113661,21,113661,2,829,3,829,605,96
197,97797,21,97797,7,859,7,859,601,108
80,44905,5,44905,7,811,3,811,605,98
76,45209,14,45209,4,819,3,819,604,97
187,103551,15,103551,7,829,0,829,601,84
139,85702,19,85702,6,760,6,760,604,99
162,102438,23,102438,8,833,7,833,604,95
183,123185,16,123185,2,813,3,813,601,89
65,46222,7,46222,6,846,4,846,603,93
93,49614,6,49614,4,853,4,853,601,99
204,116149,11,116149,4,796,2,796,604,83
193,119838,28,119838,6,773,5,773,600,101
156,96570,9,96570,4,838,3,838,605,85
119,59050,8,59050,4,813,5,813,602,86
212,103353,13,103353,6,755,2,755,600,96
133,76544,22,76544,4,852,8,852,604,101
88,49597,10,49597,4,834,6,834,603,99
124,85604,29,85604,4,812,2,812,603,86
386,212737,25,212737,5,796,1,796,600,87
133,80125,15,80125,2,786,5,786,604,90
49,33511,4,33511,7,833,6,833,604,98
155,68420,23,68420,5,829,4,829,605,103
153,99611,6,99611,3,770,3,770,605,87
344,156568,19,156568,4,759,3,759,605,95
86,51005,11,51005,8,812,4,812,604,91
128,62664,18,62664,3,800,6,800,603,100
189,113152,12,113152,3,767,3,767,605,82
612,299976,62,299976,4,789,4,789,605,102
181,88291,10,88291,3,830,4,830,601,94
96,44979,8,44979,9,789,6,789,605,99
105,50926,12,50926,3,844,2,844,603,89
169,86568,20,86568,4,851,4,851,601,90
208,96812,17,96812,2,801,3,801,603,85
210,81290,14,81290,2,781,1,781,602,88
97,52777,6,52777,4,807,3,807,600,92
87,54348,6,54348,5,821,4,821,602,96
196,111777,31,111777,3,794,7,794,603,94
60,40277,4,40277,8,797,7,797,603,102
112,64433,8,64433,4,824,0,824,601,84
178,72154,15,72154,4,802,1,802,601,90
97,55620,6,55620,5,829,6,829,602,86
186,85762,18,85762,3,852,3,852,605,103
101,49300,6,49300,5,826,4,826,605,89
88,44098,0,44098,4,783,4,783,600,98
165,78335,7,78335,3,859,3,859,600,100
185,96125,14,96125,1,791,7,791,602,106
263,146687,35,146687,6,831,4,831,600,97
173,78290,16,78290,3,816,3,816,601,95
489,163890,14,163890,5,803,7,803,601,110
109,46584,2,46584,4,765,3,765,600,85
85,34371,6,34371,2,772,1,772,604,101
533,280854,21,280854,3,815,1,815,603,83
133,60134,6,60134,4,882,3,882,600,82
107,55499,5,55499,3,852,4,852,600,104
76,48574,10,48574,3,799,2,799,601,81
152,81199,10,81199,6,797,4,797,601,92
157,85300,13,85300,4,823,3,823,600,88
92,44624,7,44624,4,801,1,801,605,102
45,41725,15,41725,2,771,3,771,601,95
179,91830,15,91830,1,813,3,813,602,99
108,50072,10,50072,5,796,3,796,605,95
235,145176,11,145176,1,786,4,786,603,93
43,25523,4,25523,4,773,1,773,601,89
217,143622,11,143622,7,797,1,797,601,86
94,52612,16,52612,3,772,5,772,601,95
54,43066,4,43066,7,807,3,807,600,93
120,60975,6,60975,5,803,9,803,604,98
121,60430,10,60430,4,737,2,737,601,97
67,49712,4,49712,4,842,6,842,600,90
121,96097,14,96097,1,826,5,826,605,93
142,80084,16,80084,5,785,5,785,601,83
223,151734,6,151734,3,797,2,797,604,85
119,107133,16,107133,6,754,2,754,601,85
235,129978,12,129978,9,797,4,797,602,92
75,34701,13,34701,5,787,5,787,601,99
264,141676,12,141676,5,782,6,782,601,92
1199,514969,65,514969,3,846,1,846,602,80
128,69865,4,69865,3,775,5,775,604,97
298,164064,31,164064,7,782,4,782,600,97
61,42099,2,42099,4,753,4,753,603,93
125,74838,17,74838,1,822,1,822,600,92
249,134598,16,134598,10,787,6,787,605,104
154,87151,6,87151,6,827,2,827,604,74
185,95210,11,95210,3,798,4,798,604,95
159,92646,14,92646,6,811,5,811,601,96
78,39882,6,39882,4,803,3,803,600,93
369,152941,31,152941,6,821,6,821,604,99
167,63505,6,63505,2,820,5,820,605,92
194,96045,26,96045,2,837,6,837,600,100
63,39885,5,39885,5,880,4,880,605,91
65,32060,6,32060,4,823,2,823,602,86
71,42698,12,42698,2,854,5,854,601,86
105,52309,7,52309,3,829,3,829,601,91
159,112578,13,112578,4,847,4,847,601,101
394,155078,17,155078,7,810,4,810,605,88
159,89498,7,89498,8,831,4,831,601,98
201,103344,24,103344,4,806,7,806,600,105
235,173530,31,173530,1,820,4,820,605,97
61,34322,9,34322,4,778,2,778,604,90
117,58194,9,58194,5,827,7,827,602,96
390,196865,36,196865,3,835,2,835,605,82
164,84216,6,84216,1,828,4,828,603,93
105,69000,10,69000,1,809,3,809,604,101
312,141371,27,141371,2,846,4,846,601,97
91,70949,21,70949,2,800,6,800,605,100
135,66795,5,66795,3,857,5,857,602,95
74,41451,6,41451,5,845,4,845,600,99
296,172665,42,172665,2,784,2,784,602,96
72,33586,6,33586,6,826,2,826,605,85
186,145519,53,145519,2,787,3,787,601,89
143,71872,17,71872,6,838,3,838,604,99
322,194412,16,194412,4,835,1,835,604,88
391,178183,36,178183,7,844,2,844,600,89
126,76387,12,76387,2,821,2,821,600,79
187,79901,7,79901,5,859,6,859,604,90
183,99201,17,99201,5,796,4,796,603,112
117,58596,8,58596,2,817,4,817,605,102
224,107050,21,107050,3,739,6,739,603,101
132,84373,13,84373,3,815,0,815,600,91
117,79936,13,79936,1,794,3,794,600,96
667,437969,51,437969,4,761,3,761,602,95
494,392599,63,392599,4,721,5,721,605,104
494,205204,19,205204,5,887,4,887,601,93
173,98777,13,98777,2,811,1,811,602,97
97,53465,13,53465,6,800,1,800,605,83
187,110771,15,110771,5,831,6,831,601,102
260,115490,12,115490,5,833,3,833,600,90
87,58585,9,58585,0,775,4,775,601,96
204,74970,9,74970,6,835,5,835,605,94
119,72957,12,72957,2,811,7,811,600,102
351,156096,16,156096,3,828,3,828,602,94
115,65940,12,65940,4,878,5,878,604,88
188,73513,9,73513,4,831,1,831,602,87
55,32171,0,32171,3,810,3,810,603,94
71,30906,8,30906,7,848,8,848,602,112
277,136158,17,136158,2,800,3,800,605,94
166,81054,12,81054,2,790,7,790,605,100
222,111990,13,111990,3,823,3,823,604,85
103,57353,10,57353,7,825,2,825,605,90
218,94249,9,94249,2,792,2,792,600,85
97,50070,6,50070,2,802,5,802,602,86
784,429908,81,429908,1,786,2,786,604,104
250,169135,20,169135,5,790,6,790,600,101
121,85271,14,85271,6,791,4,791,601,96
93,49386,6,49386,2,848,4,848,605,95
