Status,Node
Susceptible,0
Susceptible,1
Treated chronic,2
Susceptible,3
Susceptible,4
Treated chronic,5
Untreated chronic,6
Susceptible,7
Susceptible,8
Treated chronic,9
Susceptible,10
Susceptible,11
Treated chronic,12
Susceptible,13
Untreated chronic,14
Susceptible,15
Susceptible,16
Treated chronic,17
Susceptible,18
Susceptible,19
Untreated chronic,20
Susceptible,21
Susceptible,22
Susceptible,23
Susceptible,24
Susceptible,25
Susceptible,26
Susceptible,27
Susceptible,28
Susceptible,29
Untreated chronic,30
Treated chronic,31
Untreated chronic,32
Untreated chronic,33
Susceptible,34
Susceptible,35
Susceptible,36
Untreated chronic,37
Susceptible,38
Treated chronic,39
Susceptible,40
Susceptible,41
Susceptible,42
Susceptible,43
Susceptible,44
Untreated chronic,45
Susceptible,46
Untreated chronic,47
Susceptible,48
Untreated chronic,49
Susceptible,50
Susceptible,51
Susceptible,52
Untreated chronic,53
Susceptible,54
Treated chronic,55
Susceptible,56
Susceptible,57
Susceptible,58
Susceptible,59
Untreated chronic,60
Susceptible,61
Treated chronic,62
Treated chronic,63
Susceptible,64
Susceptible,65
Susceptible,66
Susceptible,67
Susceptible,68
Susceptible,69
Untreated chronic,70
Susceptible,71
Susceptible,72
Untreated chronic,73
Susceptible,74
Susceptible,75
Susceptible,76
Susceptible,77
Susceptible,78
Susceptible,79
Susceptible,80
Susceptible,81
Untreated chronic,82
Treated chronic,83
Susceptible,84
Susceptible,85
Susceptible,86
Treated chronic,87
Treated chronic,88
Susceptible,89
Susceptible,90
Susceptible,91
Susceptible,92
Untreated chronic,93
Susceptible,94
Susceptible,95
Susceptible,96
Susceptible,97
Treated chronic,98
Untreated chronic,99
Susceptible,100
Treated chronic,101
Untreated chronic,102
Susceptible,103
Susceptible,104
Susceptible,105
Untreated chronic,106
Susceptible,107
Untreated chronic,108
Susceptible,109
Untreated chronic,110
Susceptible,111
Susceptible,112
Susceptible,113
Susceptible,114
Susceptible,115
Susceptible,116
Untreated chronic,117
Treated chronic,118
Susceptible,119
Treated chronic,120
Treated chronic,121
Susceptible,122
Susceptible,123
Susceptible,124
Treated chronic,125
Susceptible,126
Susceptible,127
Susceptible,128
Untreated chronic,129
Treated chronic,130
Susceptible,131
Susceptible,132
Untreated chronic,133
Susceptible,134
Susceptible,135
Susceptible,136
Susceptible,137
Untreated chronic,138
Susceptible,139
Susceptible,140
Susceptible,141
Untreated chronic,142
Susceptible,143
Untreated chronic,144
Treated chronic,145
Treated chronic,146
Susceptible,147
Untreated chronic,148
Untreated chronic,149
Untreated chronic,150
Susceptible,151
Susceptible,152
Susceptible,153
Untreated chronic,154
Susceptible,155
Susceptible,156
Susceptible,157
Treated chronic,158
Treated chronic,159
Treated chronic,160
Susceptible,161
Susceptible,162
Untreated chronic,163
Susceptible,164
Untreated chronic,165
Susceptible,166
Susceptible,167
Untreated chronic,168
Susceptible,169
Untreated chronic,170
Susceptible,171
Untreated chronic,172
Untreated chronic,173
Susceptible,174
Untreated chronic,175
Susceptible,176
Susceptible,177
Treated chronic,178
Susceptible,179
Treated chronic,180
Susceptible,181
Susceptible,182
Susceptible,183
Treated chronic,184
Susceptible,185
Susceptible,186
Treated chronic,187
Susceptible,188
Untreated chronic,189
Susceptible,190
Treated chronic,191
Susceptible,192
Susceptible,193
Susceptible,194
Susceptible,195
Susceptible,196
Susceptible,197
Untreated chronic,198
Susceptible,199
Treated chronic,200
Susceptible,201
Susceptible,202
Susceptible,203
Susceptible,204
Susceptible,205
Treated chronic,206
Susceptible,207
Susceptible,208
Susceptible,209
Untreated chronic,210
Susceptible,211
Susceptible,212
Treated chronic,213
Susceptible,214
Treated chronic,215
Susceptible,216
Susceptible,217
Untreated chronic,218
Treated chronic,219
Susceptible,220
Treated chronic,221
Untreated chronic,222
Susceptible,223
Treated chronic,224
Susceptible,225
Treated chronic,226
Susceptible,227
Untreated chronic,228
Susceptible,229
Untreated chronic,230
Susceptible,231
Untreated chronic,232
Susceptible,233
Susceptible,234
Treated chronic,235
Susceptible,236
Susceptible,237
Treated chronic,238
Susceptible,239
Susceptible,240
Susceptible,241
Susceptible,242
Susceptible,243
Susceptible,244
Susceptible,245
Susceptible,246
Susceptible,247
Susceptible,248
Susceptible,249
Susceptible,250
Susceptible,251
Treated chronic,252
Treated chronic,253
Susceptible,254
Untreated chronic,255
Susceptible,256
Untreated chronic,257
Untreated chronic,258
Susceptible,259
Susceptible,260
Treated chronic,261
Untreated chronic,262
Susceptible,263
Treated chronic,264
Untreated chronic,265
Untreated chronic,266
Untreated chronic,267
Susceptible,268
Susceptible,269
Susceptible,270
Susceptible,271
Susceptible,272
Susceptible,273
Susceptible,274
Susceptible,275
Susceptible,276
Susceptible,277
Susceptible,278
Untreated chronic,279
Untreated chronic,280
Susceptible,281
Untreated chronic,282
Susceptible,283
Susceptible,284
Susceptible,285
Treated chronic,286
Untreated chronic,287
Untreated chronic,288
Treated chronic,289
Treated chronic,290
Treated chronic,291
Untreated chronic,292
Susceptible,293
Untreated chronic,294
Susceptible,295
Susceptible,296
Susceptible,297
Treated chronic,298
Untreated chronic,299
Susceptible,300
Untreated chronic,301
Susceptible,302
Treated chronic,303
Susceptible,304
Untreated chronic,305
Treated chronic,306
Treated chronic,307
Susceptible,308
Susceptible,309
Susceptible,310
Untreated chronic,311
Susceptible,312
Untreated chronic,313
Susceptible,314
Treated chronic,315
Susceptible,316
Susceptible,317
Treated chronic,318
Susceptible,319
Susceptible,320
Susceptible,321
Susceptible,322
Susceptible,323
Untreated chronic,324
Susceptible,325
Susceptible,326
Susceptible,327
Susceptible,328
Susceptible,329
Treated chronic,330
Susceptible,331
Susceptible,332
Untreated chronic,333
Susceptible,334
Untreated chronic,335
Susceptible,336
Susceptible,337
Susceptible,338
Untreated chronic,339
Untreated chronic,340
Untreated chronic,341
Treated chronic,342
Susceptible,343
Susceptible,344
Untreated chronic,345
Susceptible,346
Susceptible,347
Untreated chronic,348
Susceptible,349
Susceptible,350
Susceptible,351
Susceptible,352
Untreated chronic,353
Susceptible,354
Susceptible,355
Treated chronic,356
Untreated chronic,357
Susceptible,358
Susceptible,359
Susceptible,360
Susceptible,361
Susceptible,362
Treated chronic,363
Susceptible,364
Treated chronic,365
Susceptible,366
Susceptible,367
Susceptible,368
Untreated chronic,369
Susceptible,370
Susceptible,371
Susceptible,372
Susceptible,373
Treated chronic,374
Untreated chronic,375
Untreated chronic,376
Treated chronic,377
Susceptible,378
Susceptible,379
Susceptible,380
Susceptible,381
Treated chronic,382
Susceptible,383
Susceptible,384
Susceptible,385
Treated chronic,386
Susceptible,387
Susceptible,388
Susceptible,389
Treated chronic,390
Susceptible,391
Susceptible,392
Susceptible,393
Susceptible,394
