source,target
0,13919
1,12736
2,14414
3,14993
4,13347
4,13801
5,3724
6,13935
7,8743
8,14984
9,13700
10,12699
11,15087
12,12909
13,14947
14,14831
15,11079
16,8157
17,13899
18,10896
19,14713
20,14715
21,14951
22,14686
23,5296
24,14726
25,13790
26,12916
27,14036
27,15381
28,14343
29,14945
30,14570
31,7953
32,15099
33,6718
34,12241
35,14171
36,11495
37,10099
38,14960
39,5834
40,11583
41,8567
42,12774
43,14979
44,14490
44,13088
45,14891
46,7950
47,10984
48,14002
49,15094
50,15051
51,13887
52,13624
53,15081
54,13959
55,13080
56,15083
57,14433
58,14959
59,14958
59,15303
60,14297
61,14641
62,15100
63,10981
64,7305
65,5547
66,13724
67,14747
68,14976
69,14577
70,12816
71,12211
72,15003
73,14945
74,12764
75,14818
76,10114
76,14069
76,14058
77,14543
78,7437
79,13188
80,14868
81,14370
82,14780
83,13059
84,15055
85,2883
86,12126
86,15071
87,15091
88,13153
89,15054
90,14825
91,14772
92,14562
93,14965
94,14276
95,14867
96,13899
97,3491
98,14822
99,10751
100,13033
101,14457
102,14977
103,14844
104,15028
105,13936
106,15071
107,12442
108,14718
108,13999
109,9042
110,13305
111,14946
112,8074
113,8679
113,14451
114,13802
115,14324
116,13794
117,2354
118,12568
119,12982
120,15006
121,15096
122,14124
122,9619
123,15048
124,14995
125,12769
126,15048
127,14682
128,11666
129,14978
130,15051
130,11780
131,10002
132,10676
133,13450
134,9786
135,14747
136,11238
137,14609
138,14468
139,1208
140,14845
141,14602
142,13442
143,14756
143,14606
144,11688
145,14936
146,8965
147,14977
148,8229
149,15053
150,13635
151,14282
152,10990
153,14085
154,13520
155,14730
155,15225
156,14440
157,14314
158,15049
159,13412
160,9297
161,7195
162,14785
163,13841
164,12001
165,15038
166,9785
167,13024
168,9609
169,12707
169,12188
170,14413
171,8675
172,15087
173,14107
174,13642
175,14637
176,13795
177,14852
178,15028
179,14221
180,12060
181,4301
182,10110
183,15057
184,10449
185,14634
186,8118
187,11710
188,14794
189,14614
190,15087
190,14684
191,14933
192,13143
193,9655
194,13654
195,13101
196,15086
197,13961
198,14789
199,15067
200,13647
201,11777
202,15008
203,3228
203,15214
204,13318
205,14874
206,13087
207,14163
208,14131
209,15071
210,2643
211,14832
212,12368
213,2637
214,14738
215,13978
216,14950
217,14512
218,14809
219,15088
220,10068
221,15081
222,12253
223,13113
224,14832
225,13865
226,8409
227,11340
228,9069
229,14726
230,12246
231,12808
232,15054
233,13784
234,13009
235,11248
236,15077
237,14993
238,15028
239,7438
240,12323
241,14986
242,11065
243,13386
244,15054
245,12693
246,14981
247,14695
248,11289
249,14183
249,15202
250,14830
251,14977
252,10962
253,14904
254,8529
255,12218
256,14687
257,14215
258,14277
259,5750
260,14869
261,10878
262,15045
263,15096
263,12378
264,13486
265,14776
266,12620
267,14123
268,15089
269,13104
270,15091
271,15090
272,12972
273,12719
274,14858
275,14438
276,14992
277,7114
278,14199
279,13220
280,15003
281,15029
282,14913
283,14836
284,14345
285,14649
286,15012
287,15051
288,14668
288,13351
289,14148
290,12241
291,14694
292,9482
293,14068
294,15020
295,14879
296,14489
297,14673
298,11426
299,13731
300,12466
301,14678
301,14756
302,12739
303,15036
304,12260
305,14992
306,13928
307,1848
308,14952
309,12500
310,14751
311,15086
312,6426
313,13178
314,15081
315,3425
316,7666
317,14018
318,10101
319,12280
320,10501
321,14260
322,14978
323,14981
324,15030
325,12182
326,7875
327,14593
327,15219
328,14998
329,15085
330,14302
331,12704
332,13296
333,14785
334,15010
335,11802
336,8601
336,15382
337,13807
338,11864
339,7683
340,9239
341,14338
342,15052
343,14955
344,15100
344,15107
345,13406
346,13401
346,12880
347,15004
348,13470
349,14364
350,15063
351,11539
352,14795
353,15074
354,15080
355,14699
356,14970
357,15077
358,10614
359,14320
360,13254
361,11515
362,13081
363,6554
364,14747
365,14766
366,13409
367,4626
368,14367
369,14610
370,11713
371,14842
372,14525
373,14946
374,9959
375,13836
376,15091
377,15070
378,13030
379,14131
380,14900
381,14374
382,14198
383,14994
384,14949
385,14776
386,15049
386,15138
387,9871
388,13251
389,8569
390,14834
391,12026
391,14447
392,9598
393,6539
394,12167
395,14192
396,11856
397,8065
398,11470
399,14637
400,14932
401,15034
402,14249
403,15050
404,15019
405,14887
406,11482
407,8377
408,13117
408,15105
409,13138
410,14308
411,2159
412,12454
413,10324
414,13691
415,14805
416,15034
417,15068
417,14345
418,14282
