source,target
1370,11971
1371,13926
1372,6624
1373,11900
1374,12260
1375,14102
1376,10731
1377,9517
1378,13741
1379,14005
1380,4990
1381,10841
1382,12321
1383,8032
1384,14703
1385,4874
1386,1556
1387,9528
1388,12757
1389,4683
1390,10567
1391,4741
1392,11265
1393,4949
1394,11890
1395,8089
1396,12740
1397,15098
1398,11748
1399,14619
1400,2750
1401,15315
1402,13373
1403,14087
1404,11572
1405,6334
1406,14131
1407,10927
1408,13108
1409,13961
1410,8039
1411,10958
1412,14349
1413,9095
1414,9877
1415,14895
1416,2492
1417,12975
1418,14683
1419,7670
1420,9497
1421,12463
1422,13330
1423,10455
1424,7666
1425,9742
1426,14964
1427,1717
1428,7570
1429,10331
1430,14020
1431,7017
1432,9291
1433,11112
1434,12007
1435,11451
1436,15304
1437,14644
1438,13722
1439,11303
1440,10844
1441,11804
1442,11267
1443,4317
1444,7234
1445,10330
1446,7934
1447,13416
1448,7344
1449,6776
1450,12486
1451,11024
1452,10580
1453,13815
1454,7477
1455,7052
1456,14109
1457,9474
1458,14416
1459,9354
1460,11470
1461,13934
1462,3142
1463,8415
1464,14806
1465,4497
1466,7362
1467,10052
1468,6487
1469,10760
1470,15118
1471,10433
1472,1650
1473,11289
1474,13461
1475,12676
1476,15240
1477,8142
1478,13175
1479,5839
1480,7848
1481,12548
1482,7366
1483,6973
1484,4392
1485,14937
1486,4672
1487,12707
1488,13523
1489,10689
1490,6023
1491,10053
1492,14917
1493,14989
1494,13847
1495,12128
1496,7538
1497,13763
1498,14154
1499,7729
1500,8316
1501,11147
1502,3444
1503,7752
1504,13300
1505,4499
1506,13542
1507,11719
1508,3169
1509,10661
1510,3601
1511,15113
1512,11990
1513,13918
1514,13750
1515,7608
1516,14869
1517,13039
1518,13375
1519,13891
1520,7302
1521,13311
1522,14967
1523,14041
1524,11210
1525,13140
1526,9595
1527,7785
1528,7633
1529,14254
1530,13332
1531,6067
1532,11071
1533,11578
1534,13402
1535,6184
1536,12994
1537,6937
1538,13878
1539,15225
1540,13746
1541,12578
1542,15387
1543,10493
1544,7319
1545,11654
1546,12026
1547,10538
1548,8663
1549,10817
1550,10454
1551,14576
1552,9488
1553,10800
1554,3725
1555,3076
1557,7429
1558,12629
1559,15324
1560,13620
1561,5771
1562,7806
1563,12563
1564,3243
1565,1639
1566,14470
1567,10055
1568,13164
1569,12995
1570,14045
1571,10016
1572,12156
1573,8808
1574,14777
1575,15266
1576,9220
1577,3606
1578,13326
1579,12458
1580,15315
1581,11846
1582,7631
1583,14066
1584,11532
1585,10591
1586,13357
1587,11203
1588,8311
1589,2008
1590,11351
1591,10195
1592,11439
1593,14701
1594,10053
1595,14960
1596,3304
1597,3952
1598,13612
1599,2299
1600,11132
1601,8817
1602,13450
1603,1631
1604,10883
1605,2169
1606,5548
1607,12500
1608,8065
1609,5900
1610,13445
1611,13790
1612,4852
1613,4192
1614,15084
1615,3011
1616,13275
1617,9775
1618,13447
1619,14035
1620,10750
1621,15169
1622,4179
1623,15392
1624,14505
1625,2155
1626,14791
1627,13158
1628,14396
1629,14375
1630,4842
1632,14315
1633,8261
1634,10491
1635,5114
1636,13610
1637,11658
1638,10984
1640,13198
1641,13747
1642,14860
1643,15194
1644,4342
1645,10070
