ID1,ID2,Distance
N9507|5677|4.777331,N9492|15205|1.925815,0.0137871
N9507|5677|4.777331,N9508|11889|2.161715,0.00805385
N9507|5677|4.777331,N9493|2861|0.352524,0.0146164
N9862|2747|1.120071,N9863|3494|4.515825,0.00970591
N9507|5677|4.777331,N9509|9254|5.63337,0.00886978
N9507|5677|4.777331,N9510|10424|3.756582,0.0104992
N9507|5677|4.777331,N9505|5753|5.550083,0.0145877
N8468|3111|4.869881,N8467|2324|2.988633,0.0064445
N9862|2747|1.120071,N9866|4685|0.74543,0.00724685
N9862|2747|1.120071,N9865|1447|0.800317,0.00888998
N9862|2747|1.120071,N9867|13965|2.163145,0.0113383
N9862|2747|1.120071,N9864|12679|4.556148,0.00726265
N8475|5527|1.547602,N8477|6947|1.570379,0.0121536
N8552|14924|5.306199,N8551|13581|3.920746,0.0129456
N8552|14924|5.306199,N8554|6561|0.312599,0.0137806
N8404|4309|2.463158,N8414|10382|0.585341,0.0137918
N8404|4309|2.463158,N8406|8082|2.394457,0.0146235
N7967|14046|0.359792,N7966|2373|4.793126,0.0129653
N7967|14046|0.359792,N7963|8664|1.897818,0.00969474
N7967|14046|0.359792,N7955|10133|1.161237,0.0121493
N9643|13131|2.609248,N9641|6018|1.546041,0.0113754
N7967|14046|0.359792,N7959|3330|4.373535,0.0137783
N9643|13131|2.609248,N9640|11709|2.77927,0.0129527
N7967|14046|0.359792,N7943|5727|1.070156,0.0137776
N10908|9167|0.148146,N10906|6719|2.018991,0.00321207
N10908|9167|0.148146,N10907|12289|5.468159,0.00562737
N7967|14046|0.359792,N7960|2917|1.310992,0.00563329
N7967|14046|0.359792,N7964|14235|1.007988,0.00644603
N7967|14046|0.359792,N7957|10619|4.306917,0.012136
N7967|14046|0.359792,N7965|12181|1.985846,0.00969592
N7967|14046|0.359792,N7958|9361|3.581438,0.012136
N7967|14046|0.359792,N7956|4050|2.333844,0.0121334
N7967|14046|0.359792,N7948|3905|1.33002,0.0105061
N7967|14046|0.359792,N7949|7086|2.017466,0.0129491
N10908|9167|0.148146,N10909|11825|1.707265,0.0113101
N7967|14046|0.359792,N7961|11418|1.991207,0.00725282
N7967|14046|0.359792,N7962|10318|5.702901,0.0129753
N9255|4396|1.241277,N9254|14322|0.019933,0.00888648
N9255|4396|1.241277,N9275|8160|2.904702,0.0105048
N11213|1565|3.818225,N11214|2498|1.763849,0.0104935
N11213|1565|3.818225,N11212|3810|1.037675,0.0121338
N9255|4396|1.241277,N9246|2577|1.976088,0.0113254
N9255|4396|1.241277,N9253|13890|4.03394,0.0129756
N9255|4396|1.241277,N9274|7379|0.246476,0.0105152
N9255|4396|1.241277,N9248|14066|0.258995,0.00728898
N9255|4396|1.241277,N9273|5461|1.098666,0.0113383
N9255|4396|1.241277,N9162|11207|5.786882,0.0138217
N9255|4396|1.241277,N9247|13418|0.357071,0.00727572
N9255|4396|1.241277,N9240|11303|1.306064,0.0146007
N9255|4396|1.241277,N9250|9161|0.93819,0.00888559
N9255|4396|1.241277,N9256|9896|1.835464,0.0105044
N9255|4396|1.241277,N9163|5980|3.274982,0.0146409
N9255|4396|1.241277,N9251|10058|5.322426,0.0105288
N9255|4396|1.241277,N9244|6844|1.66416,0.0129612
N9255|4396|1.241277,N9192|7579|0.073068,0.0138037
N9255|4396|1.241277,N9276|4469|1.854217,0.011353
N9255|4396|1.241277,N9252|4737|3.099637,0.0121812
N9255|4396|1.241277,N9249|14253|1.30514,0.0137739
N8083|8498|1.874774,N8057|10000|1.196977,0.012985
N8083|8498|1.874774,N8080|7931|1.179962,0.0138048
N8083|8498|1.874774,N8081|4528|2.499017,0.0121609
N8718|13133|0.020692,N8716|13520|3.806233,0.0121384
N8718|13133|0.020692,N8715|13368|5.303423,0.010518
N8718|13133|0.020692,N8713|5156|1.914243,0.00888671
N8083|8498|1.874774,N8058|4362|3.816698,0.012985
N8083|8498|1.874774,N8082|6330|2.773601,0.00969369
N8083|8498|1.874774,N8084|1737|0.465911,0.00402103
N8718|13133|0.020692,N8714|15267|2.154839,0.0088867
N8923|9670|1.635499,N8918|3431|3.525655,0.011327
N8923|9670|1.635499,N8919|6973|4.106446,0.0129903
N8923|9670|1.635499,N8924|12944|0.716887,0.012975
N8923|9670|1.635499,N8930|14658|2.241653,0.0145995
N8923|9670|1.635499,N8921|11883|1.061932,0.0104988
N9296|4455|3.019792,N9294|1840|1.333791,0.0121298
N10232|13274|4.966565,N10230|9129|2.974105,0.0113227
N10232|13274|4.966565,N10231|5423|4.142349,0.0113227
N9296|4455|3.019792,N9297|9655|2.652809,0.00967925
N10232|13274|4.966565,N10229|3816|4.203493,0.0129503
N10232|13274|4.966565,N10228|6983|0.13854,0.0129762
N7742|6878|2.562761,N7747|5083|0.588884,0.0113148
N7742|6878|2.562761,N7739|11034|5.124492,0.0121486
N7742|6878|2.562761,N7740|5579|3.991084,0.0137729
N7742|6878|2.562761,N7744|12966|3.109426,0.00968486
N7742|6878|2.562761,N7745|2430|5.825563,0.0138027
N10230|9129|2.974105,N10231|5423|4.142349,1.10474e-16
N9500|7162|4.751279,N9493|2861|0.352524,0.0137914
N10230|9129|2.974105,N10229|3816|4.203493,0.0145879
N9500|7162|4.751279,N9497|5746|4.100994,0.014597
N10230|9129|2.974105,N10228|6983|0.13854,0.0145911
N9500|7162|4.751279,N9505|5753|5.550083,0.0137671
N8693|10270|4.681246,N8697|8312|0.819864,0.0121361
N8693|10270|4.681246,N8688|8429|2.639626,0.00968301
N10231|5423|4.142349,N10229|3816|4.203493,0.0145879
N10231|5423|4.142349,N10228|6983|0.13854,0.0145911
N8651|14919|3.78272,N8644|5669|0.322845,0.01134
N8651|14919|3.78272,N8650|13319|0.083066,0.0121428
N8651|14919|3.78272,N8647|10661|4.202495,0.0138066
N9294|1840|1.333791,N9308|6134|3.041075,0.0146089
N9294|1840|1.333791,N9297|9655|2.652809,0.00563868
