source,target
0,12207
1,8413
2,13816
3,15078
4,14897
5,14822
6,13238
7,1568
8,10332
9,15023
10,1985
11,13431
12,9802
13,5106
14,13349
15,14514
16,8803
17,13862
18,10572
19,13850
20,13840
21,14780
22,15082
23,8242
24,12041
25,10024
26,13935
27,14579
28,419
29,4058
30,14808
31,9517
32,5758
33,11531
34,14671
35,14896
36,14892
37,13702
38,13954
39,14179
40,12209
41,11563
42,10538
43,14785
44,13744
45,15015
46,7286
47,1385
48,14907
48,15302
49,14715
50,15092
51,12012
52,14875
53,6433
54,14997
55,11867
56,8987
57,10064
58,4513
59,15082
60,14659
61,2988
62,15028
63,6661
64,14453
65,14640
66,14117
67,11879
68,14972
69,11604
70,13342
71,12800
72,8743
73,15093
74,15066
75,14850
76,14997
77,3664
78,15012
79,14803
80,12452
81,13414
82,14904
83,13833
84,14560
85,10145
86,10658
87,10603
88,14784
89,12885
90,10805
91,14074
92,14105
93,7245
94,14483
95,13310
96,886
96,14597
97,5862
98,13043
99,12636
99,15108
100,15042
100,14004
101,13355
102,13884
103,13900
104,13477
105,15028
106,15084
106,14622
107,15081
108,12766
109,8875
110,15096
111,14889
112,15048
113,10399
114,13389
115,15097
116,4461
116,13989
116,14616
117,9271
118,13002
119,15088
120,14633
121,14962
122,3433
123,15099
124,14496
125,15068
126,15087
127,14753
128,14840
129,14093
130,9902
131,14773
132,15051
133,309
134,12018
135,6689
136,14966
137,15090
138,14679
139,13207
139,14125
140,11806
140,13373
141,12916
142,14759
143,12062
144,14825
145,13923
146,14598
146,13732
147,15045
148,3421
149,13534
150,15048
151,15077
152,11152
153,12911
154,14501
154,15373
155,13343
156,5616
157,15086
158,14516
159,9118
160,14169
161,9767
162,14740
163,15073
164,14085
165,13783
166,14141
167,15097
168,14505
169,13091
170,15016
171,15090
172,13424
173,7926
174,15093
175,15052
176,13854
177,13795
178,11958
178,14266
179,15055
180,14908
180,15240
181,14992
182,14665
183,14765
184,15094
184,14908
185,14940
186,12832
187,12140
188,14910
189,3030
190,12963
191,15079
192,14918
193,14213
194,7587
195,11806
196,8461
197,14696
198,14513
199,7251
200,15081
201,13181
202,14871
203,14127
204,13339
205,6219
206,15061
207,14301
208,5787
209,13815
210,14896
211,15036
212,13487
212,11595
213,13843
214,11970
215,9308
216,13363
217,13627
218,13698
219,14759
220,13243
221,13199
222,15062
222,14660
223,13216
224,14588
225,15099
226,11434
227,15026
228,425
229,15023
230,14933
231,14577
232,12977
233,10299
234,12968
235,14874
236,7782
237,14552
238,14480
239,12569
240,3442
241,14877
242,14643
243,12302
244,13400
245,2883
246,14540
247,13529
248,14854
248,14214
249,15087
250,10989
251,7139
252,14599
253,14401
254,14671
255,15043
256,7520
257,9511
258,7273
259,10426
260,11241
261,15087
262,14481
263,12927
264,14280
265,14985
266,12017
267,12790
267,14589
268,10271
269,14689
269,15124
270,535
271,14902
272,13569
273,14743
274,15083
