ID1,ID2,Distance
N6033|11930|0.580056,N6034|14859|0.874761,0.0106163
N6637|9484|0.917554,N6631|1377|0.419431,0.0139546
N6033|11930|0.580056,N6035|3992|0.454678,0.00733487
N6033|11930|0.580056,N6036|9166|0.65839,0.00979586
N6033|11930|0.580056,N6032|6511|0.496515,0.0139542
N6068|11252|0.734615,N6067|11310|0.903461,0.0106567
N6176|11034|0.986418,N6174|3048|0.300799,0.0148132
N6176|11034|0.986418,N6177|11140|0.284727,0.0131231
N6565|3141|0.405301,N6563|2085|0.149194,0.0131043
N6565|3141|0.405301,N6566|14682|0.088981,0.0147569
N6597|7922|0.068664,N6598|5945|0.932342,0.0114419
N6565|3141|0.405301,N6562|12322|0.94535,0.0131031
N6565|3141|0.405301,N6561|14997|0.589282,0.011453
N6445|12531|0.320236,N6447|10707|0.683626,0.00981301
N6317|13586|0.10754,N6314|7454|0.829291,0.0131387
N6038|13981|0.796452,N6041|12967|0.865963,0.0139502
N6317|13586|0.10754,N6316|11302|0.077511,0.00406579
N6267|3121|0.856539,N6266|12854|0.928754,0.00162564
N6038|13981|0.796452,N6040|13960|0.389849,0.0106357
N6038|13981|0.796452,N6039|9194|0.986153,0.00815956
N6616|3220|0.210399,N6617|7591|0.835161,0.00490636
N6472|8255|0.118884,N6471|9384|0.414783,0.0106164
N6472|8255|0.118884,N6473|5186|0.086389,0.00979741
N6576|14244|0.654246,N6575|10489|0.933277,0.000811582
N6576|14244|0.654246,N6574|2927|0.498987,0.00325469
N6563|2085|0.149194,N6562|12322|0.94535,0.0147662
N6563|2085|0.149194,N6561|14997|0.589282,0.0131144
N6576|14244|0.654246,N6578|15212|0.126398,0.012264
N6576|14244|0.654246,N6577|8737|0.634292,0.00652439
N6143|11284|0.084537,N6142|5770|0.201983,0.0122904
N6576|14244|0.654246,N6579|14229|0.047522,0.0122662
N6575|10489|0.933277,N6574|2927|0.498987,0.00407418
N6170|12586|0.250911,N6169|10952|0.26915,0.00488685
N6575|10489|0.933277,N6578|15212|0.126398,0.0130916
N6575|10489|0.933277,N6577|8737|0.634292,0.00734887
N6575|10489|0.933277,N6579|14229|0.047522,0.0130969
N6437|15112|0.340324,N6440|12760|0.274895,0.0098159
N6437|15112|0.340324,N6439|6750|0.644602,0.010635
N6437|15112|0.340324,N6438|15205|0.133763,0.0098159
N6300|4439|0.395985,N6299|12134|0.589794,0
N6137|4082|0.075032,N6138|9249|0.549521,0.0114846
N5990|5039|0.719744,N5988|10966|0.24972,0.0147924
N5990|5039|0.719744,N5992|10221|0.222242,0.0147644
