SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
848,136529,21,136529,13,845,4,845
669,92893,10,92893,11,819,6,819
503,152615,20,152615,6,818,4,818
797,111392,19,111392,16,788,3,788
1159,167559,24,167559,16,811,3,811
1011,185757,37,185757,4,824,6,824
482,73027,10,73027,16,860,4,860
292,36142,4,36142,17,824,7,824
998,243479,44,243479,9,730,0,730
311,66903,15,66903,8,774,5,774
1663,223149,29,223149,11,842,6,842
885,131691,22,131691,10,805,3,805
538,119066,18,119066,9,829,1,829
263,48776,12,48776,6,830,5,830
438,69283,9,69283,15,853,2,853
367,57387,9,57387,16,802,6,802
163,41705,9,41705,7,785,4,785
403,65363,16,65363,6,829,4,829
314,62231,7,62231,12,771,0,771
443,94674,14,94674,10,794,2,794
254,67702,7,67702,8,760,1,760
298,78658,16,78658,6,795,2,795
406,48549,7,48549,11,819,2,819
480,70314,7,70314,12,744,5,744
432,61370,5,61370,19,812,5,812
419,83302,9,83302,8,763,5,763
179,36034,8,36034,11,847,3,847
528,131812,7,131812,8,832,7,832
321,47038,3,47038,6,786,3,786
263,43100,1,43100,14,807,2,807
2365,381575,44,381575,12,795,2,795
368,76579,11,76579,8,805,2,805
538,102372,17,102372,9,829,4,829
537,131288,16,131288,10,824,7,824
678,102676,13,102676,13,785,2,785
585,131002,12,131002,11,759,2,759
365,90733,15,90733,13,795,5,795
615,86424,18,86424,9,766,4,766
249,79534,10,79534,6,777,2,777
539,111370,25,111370,11,815,3,815
171,40844,7,40844,8,798,4,798
551,91165,14,91165,14,778,1,778
382,84821,7,84821,13,828,4,828
1603,334609,34,334609,5,749,4,749
257,38525,7,38525,18,825,4,825
274,76628,9,76628,11,818,5,818
291,69479,3,69479,7,807,1,807
333,75906,3,75906,8,830,2,830
165,39657,8,39657,5,805,2,805
379,57117,14,57117,17,830,1,830
741,102016,15,102016,18,828,0,828
683,89952,12,89952,16,831,1,831
285,50907,14,50907,16,817,8,817
1553,196837,42,196837,7,814,0,814
378,65136,7,65136,17,799,2,799
775,219340,23,219340,7,805,1,805
442,75691,5,75691,12,852,1,852
1319,213398,52,213398,7,830,7,830
560,113120,24,113120,15,868,4,868
565,87826,6,87826,12,809,2,809
639,100208,9,100208,10,755,5,755
510,77075,20,77075,11,779,2,779
142,35195,6,35195,10,835,2,835
344,61092,11,61092,9,785,5,785
255,49143,2,49143,8,837,4,837
469,148447,31,148447,9,834,3,834
852,138726,32,138726,7,792,3,792
605,124283,10,124283,14,787,5,787
1475,179378,22,179378,16,819,1,819
559,86812,8,86812,8,816,2,816
164,39779,4,39779,13,805,4,805
326,69944,9,69944,13,799,0,799
1246,195059,18,195059,13,803,2,803
562,135877,15,135877,10,770,3,770
446,66120,15,66120,9,817,5,817
787,140594,21,140594,13,794,6,794
358,64702,10,64702,14,773,3,773
691,82794,11,82794,10,836,9,836
605,114381,14,114381,4,760,1,760
409,55687,10,55687,24,868,2,868
870,233332,35,233332,13,784,3,784
1090,133467,20,133467,13,745,2,745
403,70343,2,70343,9,849,2,849
517,63273,4,63273,17,801,0,801
713,84807,7,84807,16,790,3,790
392,52793,17,52793,16,787,5,787
841,145522,22,145522,10,832,4,832
873,149062,20,149062,14,854,4,854
285,34608,4,34608,14,775,2,775
421,74968,22,74968,13,792,3,792
319,41167,8,41167,14,828,7,828
660,124947,20,124947,8,798,4,798
399,87026,21,87026,11,838,6,838
425,99126,14,99126,9,839,5,839
626,83111,13,83111,26,828,3,828
424,64536,7,64536,8,779,3,779
737,130927,14,130927,13,832,3,832
618,113572,15,113572,12,783,2,783
271,64491,6,64491,8,800,1,800
373,66481,9,66481,9,808,3,808
363,79032,9,79032,9,785,2,785
238,48839,7,48839,8,840,3,840
1650,228713,26,228713,17,857,6,857
414,110820,14,110820,7,787,3,787
926,201475,35,201475,16,835,4,835
636,108215,14,108215,14,845,2,845
220,56533,12,56533,9,795,2,795
431,60202,7,60202,21,836,2,836
197,29466,8,29466,16,786,5,786
330,69776,12,69776,10,782,4,782
2156,404164,43,404164,11,824,8,824
466,111880,26,111880,7,818,1,818
344,53379,6,53379,14,832,0,832
495,87450,11,87450,12,809,2,809
580,133409,27,133409,5,837,6,837
