SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
755,136529,15,136529,12,845,4,845
687,92893,11,92893,12,819,1,819
908,152615,23,152615,9,818,1,818
600,111392,19,111392,17,788,3,788
1214,167559,41,167559,8,811,3,811
1326,185757,17,185757,16,824,10,824
462,73027,13,73027,19,860,3,860
188,36142,10,36142,15,824,5,824
1128,243479,40,243479,11,730,4,730
238,66903,7,66903,10,774,3,774
1252,223149,17,223149,6,842,3,842
457,131691,7,131691,8,805,3,805
649,119066,24,119066,17,829,5,829
258,48776,9,48776,18,830,4,830
280,69283,13,69283,10,853,3,853
288,57387,7,57387,10,802,4,802
379,41705,3,41705,11,785,6,785
448,65363,7,65363,15,829,2,829
282,62231,18,62231,9,771,2,771
360,94674,12,94674,8,794,3,794
495,67702,7,67702,14,760,0,760
502,78658,18,78658,12,795,5,795
347,48549,4,48549,8,819,2,819
495,70314,14,70314,11,744,4,744
466,61370,12,61370,21,812,2,812
548,83302,9,83302,13,763,2,763
307,36034,6,36034,15,847,2,847
650,131812,21,131812,14,832,6,832
386,47038,6,47038,18,786,4,786
230,43100,5,43100,9,807,4,807
2669,381575,37,381575,14,795,3,795
509,76579,10,76579,15,805,2,805
323,102372,15,102372,7,829,6,829
764,131288,17,131288,13,824,5,824
799,102676,16,102676,11,785,2,785
682,131002,28,131002,10,759,3,759
822,90733,8,90733,20,795,3,795
511,86424,9,86424,15,766,2,766
369,79534,18,79534,12,777,4,777
701,111370,23,111370,10,815,2,815
204,40844,10,40844,11,798,3,798
721,91165,13,91165,17,778,5,778
535,84821,7,84821,12,828,1,828
1875,334609,38,334609,11,749,9,749
182,38525,5,38525,8,825,6,825
452,76628,12,76628,7,818,3,818
448,69479,5,69479,6,807,3,807
367,75906,16,75906,10,830,2,830
261,39657,8,39657,13,805,3,805
302,57117,10,57117,15,830,3,830
882,102016,12,102016,18,828,4,828
710,89952,11,89952,11,831,3,831
255,50907,7,50907,9,817,3,817
987,196837,31,196837,14,814,3,814
479,65136,19,65136,11,799,3,799
1310,219340,31,219340,4,805,3,805
287,75691,13,75691,9,852,4,852
1654,213398,22,213398,16,830,3,830
549,113120,24,113120,10,868,6,868
536,87826,19,87826,13,809,5,809
446,100208,31,100208,12,755,4,755
262,77075,12,77075,11,779,6,779
218,35195,4,35195,16,835,0,835
569,61092,9,61092,14,785,6,785
217,49143,13,49143,12,837,3,837
650,148447,22,148447,15,834,4,834
1083,138726,23,138726,16,792,1,792
535,124283,10,124283,12,787,1,787
837,179378,33,179378,8,819,3,819
555,86812,18,86812,13,816,2,816
132,39779,7,39779,8,805,2,805
397,69944,12,69944,14,799,0,799
865,195059,22,195059,6,803,6,803
857,135877,27,135877,8,770,2,770
437,66120,11,66120,11,817,3,817
1087,140594,23,140594,14,794,3,794
631,64702,6,64702,9,773,1,773
475,82794,13,82794,10,836,4,836
618,114381,16,114381,13,760,6,760
431,55687,4,55687,23,868,6,868
1117,233332,33,233332,7,784,2,784
687,133467,13,133467,8,745,4,745
354,70343,12,70343,15,849,4,849
407,63273,13,63273,9,801,5,801
448,84807,7,84807,18,790,1,790
385,52793,5,52793,23,787,3,787
629,145522,14,145522,15,832,1,832
923,149062,19,149062,12,854,1,854
259,34608,8,34608,18,775,1,775
428,74968,12,74968,17,792,2,792
182,41167,2,41167,9,828,0,828
884,124947,17,124947,21,798,3,798
477,87026,11,87026,10,838,3,838
591,99126,13,99126,11,839,2,839
307,83111,21,83111,5,828,5,828
304,64536,9,64536,10,779,4,779
962,130927,16,130927,12,832,2,832
755,113572,9,113572,16,783,3,783
313,64491,7,64491,9,800,4,800
277,66481,7,66481,10,808,3,808
319,79032,7,79032,10,785,0,785
234,48839,3,48839,5,840,1,840
1562,228713,31,228713,14,857,0,857
512,110820,7,110820,7,787,2,787
1400,201475,40,201475,10,835,6,835
597,108215,22,108215,20,845,4,845
160,56533,5,56533,6,795,2,795
347,60202,9,60202,10,836,5,836
250,29466,3,29466,14,786,5,786
298,69776,11,69776,15,782,5,782
1858,404164,41,404164,11,824,2,824
697,111880,15,111880,13,818,3,818
276,53379,3,53379,14,832,2,832
489,87450,3,87450,11,809,3,809
659,133409,28,133409,12,837,2,837
296,55013,10,55013,13,781,2,781
1348,316668,84,316668,10,845,4,845
680,115444,15,115444,11,773,4,773
185,44196,3,44196,17,808,2,808
647,93565,15,93565,18,757,2,757
330,47147,8,47147,16,833,6,833
645,115225,16,115225,6,824,5,824
356,61712,7,61712,8,808,3,808
335,64163,12,64163,21,813,3,813
281,39679,19,39679,13,816,5,816
500,86206,9,86206,13,860,2,860
463,70891,13,70891,9,758,4,758
365,67252,13,67252,12,795,5,795
465,67013,16,67013,18,858,5,858
782,147866,27,147866,13,790,4,790
1542,232458,36,232458,15,805,7,805
246,38824,10,38824,25,828,5,828
654,83324,7,83324,13,794,3,794
196,50499,9,50499,7,839,4,839
1975,278226,36,278226,21,839,2,839
335,90473,16,90473,8,775,6,775
691,114738,17,114738,13,785,0,785
337,51140,6,51140,6,779,2,779
403,97530,13,97530,11,800,3,800
483,80532,16,80532,13,809,5,809
633,142301,11,142301,10,810,3,810
581,102791,17,102791,11,840,6,840
304,50481,14,50481,6,822,3,822
330,51498,7,51498,14,813,3,813
1044,150195,17,150195,16,786,4,786
137,32658,3,32658,9,831,2,831
982,165083,20,165083,15,830,5,830
335,87950,17,87950,9,824,5,824
991,133277,25,133277,26,766,3,766
1540,175583,18,175583,9,836,4,836
360,76992,23,76992,9,820,4,820
612,141808,11,141808,3,829,0,829
204,50020,8,50020,6,841,3,841
286,57502,13,57502,10,834,2,834
191,36557,11,36557,10,786,7,786
387,69893,8,69893,9,795,3,795
145,35576,8,35576,7,812,3,812
1759,273269,27,273269,16,803,4,803
434,71427,18,71427,10,795,1,795
314,59062,9,59062,9,790,4,790
763,151350,13,151350,7,799,2,799
635,80140,12,80140,19,807,3,807
770,115420,20,115420,14,811,1,811
3461,494983,41,494983,14,769,6,769
187,47306,13,47306,11,771,3,771
543,90251,6,90251,12,822,2,822
176,42305,7,42305,5,730,3,730
873,113327,9,113327,13,845,2,845
750,101899,34,101899,8,823,4,823
182,47979,4,47979,10,817,2,817
254,46253,8,46253,13,775,4,775
323,50907,7,50907,11,796,3,796
199,60626,17,60626,11,839,3,839
525,63026,8,63026,19,798,4,798
479,73295,14,73295,16,753,8,753
828,148378,26,148378,10,855,6,855
660,75508,9,75508,20,795,3,795
606,158453,21,158453,6,795,4,795
484,118015,12,118015,10,845,5,845
7921,1197056,76,1197056,12,790,4,790
800,171386,24,171386,11,821,2,821
1986,373138,57,373138,11,819,5,819
876,153039,12,153039,13,802,1,802
216,40871,3,40871,8,792,5,792
373,55190,13,55190,8,782,5,782
258,45581,5,45581,11,743,5,743
270,49533,8,49533,15,755,4,755
388,70196,6,70196,19,827,2,827
260,40225,5,40225,15,840,6,840
375,76745,3,76745,11,841,4,841
533,69541,13,69541,9,779,0,779
465,84454,8,84454,13,810,2,810
487,70948,8,70948,15,817,6,817
592,117129,15,117129,7,832,2,832
345,66309,6,66309,13,794,1,794
628,71537,7,71537,22,799,3,799
672,110876,18,110876,12,811,4,811
408,108300,9,108300,8,835,2,835
2913,354758,61,354758,10,764,3,764
379,75270,14,75270,8,772,5,772
306,61636,12,61636,10,789,3,789
2174,226529,20,226529,14,842,2,842
1049,160365,17,160365,13,790,5,790
265,52328,4,52328,12,805,5,805
542,68848,21,68848,9,795,4,795
224,43492,3,43492,13,899,4,899
373,108484,8,108484,8,777,3,777
452,75916,18,75916,16,867,6,867
281,54527,17,54527,11,774,5,774
311,60341,17,60341,18,840,7,840
5616,1090195,216,1090195,10,842,7,842
595,82580,13,82580,12,814,2,814
217,47443,3,47443,5,812,3,812
477,71525,9,71525,14,812,3,812
508,80821,10,80821,16,829,2,829
787,126196,15,126196,19,858,4,858
493,55049,5,55049,11,834,6,834
1180,172425,24,172425,9,806,4,806
263,46536,6,46536,10,821,1,821
321,66717,11,66717,10,796,4,796
746,139689,13,139689,16,807,4,807
