SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
762,136529,25,136529,11,845,3,845
7122,92893,43,92893,133,819,4,819
13500,152615,17,152615,147,818,5,818
693,111392,12,111392,15,788,1,788
1329,167559,33,167559,12,811,6,811
12014,185757,23,185757,122,824,2,824
357,73027,19,73027,12,860,7,860
3104,36142,6,36142,151,824,4,824
22430,243479,31,243479,146,730,4,730
5847,66903,4,66903,143,774,6,774
19647,223149,38,223149,124,842,8,842
12426,131691,26,131691,135,805,3,805
1091,119066,15,119066,20,829,3,829
243,48776,6,48776,6,830,4,830
519,69283,5,69283,21,853,1,853
4404,57387,7,57387,124,802,2,802
3495,41705,12,41705,138,785,4,785
5271,65363,11,65363,143,829,1,829
4820,62231,15,62231,128,771,4,771
739,94674,20,94674,15,794,1,794
3998,67702,7,67702,110,760,0,760
596,78658,15,78658,16,795,4,795
286,48549,7,48549,16,819,5,819
4821,70314,9,70314,111,744,9,744
432,61370,8,61370,12,812,4,812
646,83302,23,83302,9,763,2,763
3279,36034,5,36034,149,847,2,847
726,131812,19,131812,14,832,6,832
3351,47038,8,47038,118,786,7,786
3782,43100,6,43100,156,807,6,807
2481,381575,73,381575,13,795,6,795
6354,76579,8,76579,149,805,1,805
7676,102372,13,102372,143,829,4,829
976,131288,23,131288,9,824,5,824
7596,102676,21,102676,139,785,4,785
10009,131002,27,131002,127,759,2,759
409,90733,8,90733,10,795,1,795
467,86424,8,86424,16,766,3,766
436,79534,21,79534,13,777,4,777
7695,111370,22,111370,116,815,6,815
191,40844,7,40844,6,798,0,798
701,91165,15,91165,17,778,4,778
6947,84821,13,84821,128,828,5,828
29619,334609,47,334609,138,749,9,749
2981,38525,4,38525,136,825,5,825
516,76628,12,76628,12,818,5,818
419,69479,19,69479,13,807,8,807
539,75906,7,75906,14,830,1,830
2748,39657,7,39657,119,805,3,805
330,57117,11,57117,21,830,1,830
8651,102016,25,102016,149,828,7,828
803,89952,6,89952,11,831,3,831
3323,50907,7,50907,126,817,4,817
15805,196837,31,196837,119,814,3,814
5289,65136,10,65136,126,799,5,799
1305,219340,23,219340,17,805,5,805
360,75691,8,75691,8,852,1,852
16968,213398,46,213398,143,830,5,830
10406,113120,30,113120,169,868,5,868
6813,87826,17,87826,115,809,0,809
636,100208,6,100208,8,755,1,755
6808,77075,6,77075,151,779,3,779
2665,35195,8,35195,124,835,5,835
4908,61092,7,61092,135,785,3,785
384,49143,9,49143,14,837,2,837
914,148447,31,148447,10,834,1,834
11044,138726,18,138726,125,792,3,792
10107,124283,12,124283,129,787,2,787
1451,179378,23,179378,21,819,9,819
634,86812,8,86812,14,816,2,816
293,39779,8,39779,16,805,6,805
460,69944,12,69944,11,799,4,799
13921,195059,19,195059,125,803,2,803
10553,135877,20,135877,131,770,2,770
415,66120,6,66120,15,817,4,817
1024,140594,8,140594,9,794,2,794
5246,64702,3,64702,130,773,2,773
643,82794,18,82794,17,836,4,836
731,114381,7,114381,8,760,2,760
4256,55687,10,55687,177,868,0,868
1145,233332,20,233332,13,784,4,784
9509,133467,9,133467,132,745,3,745
613,70343,17,70343,12,849,3,849
4329,63273,8,63273,115,801,1,801
454,84807,17,84807,10,790,3,790
371,52793,9,52793,23,787,3,787
893,145522,31,145522,12,832,3,832
991,149062,23,149062,15,854,0,854
267,34608,3,34608,11,775,4,775
7872,74968,10,74968,146,792,3,792
285,41167,11,41167,15,828,3,828
785,124947,37,124947,11,798,4,798
440,87026,8,87026,12,838,2,838
571,99126,16,99126,13,839,1,839
6760,83111,13,83111,113,828,5,828
4401,64536,10,64536,133,779,8,779
11791,130927,22,130927,148,832,6,832
8366,113572,13,113572,126,783,2,783
284,64491,23,64491,7,800,3,800
409,66481,13,66481,10,808,3,808
7126,79032,18,79032,150,785,3,785
4486,48839,7,48839,112,840,5,840
16924,228713,39,228713,121,857,2,857
9135,110820,24,110820,123,787,3,787
15993,201475,24,201475,154,835,3,835
850,108215,12,108215,19,845,6,845
4149,56533,6,56533,126,795,2,795
405,60202,13,60202,14,836,4,836
2085,29466,7,29466,112,786,2,786
5778,69776,3,69776,123,782,5,782
2539,404164,60,404164,18,824,1,824
7685,111880,12,111880,120,818,6,818
4127,53379,7,53379,116,832,2,832
7524,87450,20,87450,134,809,7,809
970,133409,26,133409,11,837,6,837
5152,55013,10,55013,119,781,5,781
23619,316668,52,316668,124,845,5,845
667,115444,9,115444,13,773,1,773
