SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
366,136529,9,136529,3,845,2,845
248,92893,24,92893,7,819,3,819
378,152615,8,152615,3,818,2,818
3586,111392,10,111392,52,788,1,788
5787,167559,9,167559,58,811,1,811
6593,185757,18,185757,82,824,2,824
233,73027,11,73027,9,860,3,860
114,36142,6,36142,5,824,2,824
7048,243479,30,243479,57,730,5,730
144,66903,3,66903,7,774,2,774
7783,223149,11,223149,66,842,4,842
399,131691,5,131691,12,805,0,805
335,119066,10,119066,7,829,2,829
1497,48776,3,48776,69,830,0,830
197,69283,8,69283,5,853,0,853
201,57387,4,57387,6,802,0,802
1127,41705,5,41705,50,785,1,785
159,65363,8,65363,3,829,3,829
159,62231,6,62231,5,771,1,771
3306,94674,2,94674,62,794,1,794
138,67702,9,67702,2,760,1,760
3014,78658,3,78658,70,795,3,795
142,48549,5,48549,4,819,4,819
270,70314,7,70314,3,744,2,744
259,61370,1,61370,6,812,2,812
301,83302,6,83302,6,763,4,763
67,36034,5,36034,6,847,3,847
298,131812,10,131812,6,832,1,832
1453,47038,4,47038,43,786,1,786
112,43100,2,43100,8,807,1,807
1357,381575,12,381575,6,795,1,795
207,76579,3,76579,10,805,3,805
3289,102372,6,102372,60,829,1,829
435,131288,11,131288,10,824,3,824
430,102676,4,102676,8,785,1,785
4239,131002,11,131002,62,759,6,759
262,90733,10,90733,5,795,1,795
228,86424,2,86424,3,766,3,766
278,79534,6,79534,5,777,0,777
3794,111370,6,111370,70,815,2,815
108,40844,7,40844,6,798,5,798
3135,91165,7,91165,58,778,4,778
1969,84821,9,84821,45,828,1,828
852,334609,13,334609,4,749,3,749
86,38525,2,38525,5,825,0,825
172,76628,6,76628,4,818,4,818
193,69479,3,69479,6,807,1,807
222,75906,3,75906,6,830,4,830
1326,39657,3,39657,69,805,1,805
167,57117,7,57117,12,830,3,830
4085,102016,7,102016,81,828,3,828
276,89952,5,89952,3,831,0,831
148,50907,7,50907,3,817,4,817
7091,196837,8,196837,63,814,1,814
183,65136,5,65136,9,799,1,799
364,219340,22,219340,6,805,2,805
228,75691,3,75691,3,852,1,852
784,213398,5,213398,6,830,1,830
2912,113120,6,113120,61,868,4,868
208,87826,1,87826,4,809,0,809
3346,100208,4,100208,58,755,7,755
195,77075,12,77075,5,779,0,779
104,35195,1,35195,3,835,1,835
2396,61092,5,61092,68,785,3,785
140,49143,0,49143,7,837,2,837
349,148447,7,148447,4,834,3,834
5343,138726,14,138726,62,792,3,792
327,124283,3,124283,4,787,1,787
381,179378,17,179378,5,819,6,819
224,86812,3,86812,4,816,2,816
92,39779,1,39779,6,805,2,805
231,69944,3,69944,8,799,1,799
508,195059,11,195059,8,803,2,803
285,135877,9,135877,4,770,2,770
2067,66120,5,66120,51,817,0,817
5593,140594,8,140594,57,794,0,794
213,64702,0,64702,7,773,1,773
248,82794,2,82794,5,836,5,836
200,114381,3,114381,4,760,1,760
2004,55687,6,55687,81,868,1,868
442,233332,10,233332,8,784,2,784
200,133467,13,133467,3,745,3,745
172,70343,10,70343,5,849,1,849
166,63273,2,63273,10,801,3,801
293,84807,7,84807,6,790,4,790
1805,52793,4,52793,81,787,3,787
5381,145522,4,145522,71,832,1,832
368,149062,9,149062,11,854,1,854
1171,34608,3,34608,54,775,2,775
3458,74968,1,74968,63,792,2,792
1301,41167,4,41167,61,828,7,828
492,124947,11,124947,3,798,1,798
284,87026,11,87026,3,838,1,838
4045,99126,3,99126,87,839,1,839
2872,83111,1,83111,64,828,3,828
194,64536,4,64536,4,779,1,779
4803,130927,6,130927,64,832,1,832
4233,113572,3,113572,58,783,1,783
169,64491,4,64491,10,800,2,800
171,66481,4,66481,5,808,0,808
2662,79032,3,79032,71,785,3,785
144,48839,8,48839,5,840,3,840
601,228713,10,228713,4,857,3,857
3381,110820,5,110820,56,787,2,787
673,201475,12,201475,10,835,2,835
318,108215,10,108215,10,845,1,845
170,56533,6,56533,5,795,4,795
147,60202,1,60202,5,836,0,836
88,29466,0,29466,6,786,3,786
2336,69776,5,69776,61,782,3,782
799,404164,13,404164,8,824,4,824
4546,111880,9,111880,68,818,2,818
109,53379,3,53379,5,832,1,832
186,87450,4,87450,3,809,3,809
346,133409,12,133409,4,837,1,837
147,55013,4,55013,5,781,2,781
829,316668,14,316668,14,845,4,845
328,115444,6,115444,6,773,1,773
124,44196,2,44196,9,808,1,808
268,93565,2,93565,4,757,0,757
189,47147,2,47147,8,833,2,833
3185,115225,8,115225,51,824,1,824
232,61712,4,61712,17,808,1,808
202,64163,2,64163,6,813,0,813
116,39679,2,39679,2,816,1,816
2539,86206,6,86206,63,860,2,860
179,70891,3,70891,7,758,0,758
185,67252,2,67252,4,795,4,795
258,67013,5,67013,9,858,2,858
5250,147866,9,147866,73,790,6,790
476,232458,12,232458,5,805,3,805
173,38824,1,38824,6,828,1,828
2576,83324,6,83324,73,794,4,794
96,50499,6,50499,5,839,3,839
689,278226,16,278226,3,839,3,839
262,90473,9,90473,5,775,1,775
373,114738,6,114738,11,785,1,785
1087,51140,1,51140,36,779,2,779
272,97530,3,97530,6,800,4,800
192,80532,2,80532,11,809,1,809
3858,142301,7,142301,41,810,3,810
230,102791,4,102791,5,840,1,840
1554,50481,2,50481,57,822,3,822
1588,51498,0,51498,54,813,1,813
280,150195,11,150195,2,786,3,786
96,32658,0,32658,6,831,2,831
