param_type,param_val,overlap,mean of props,std of props,mean of raw count,std of raw count
Number of RDS Seeds,20,contact->genetic,1.8954211405066784e-05,2.0119209902855454e-05,1.86,1.9596938536414306
Number of RDS Seeds,40,contact->genetic,6.290790485149743e-05,3.959483699455352e-05,6.892,8.47397993861208
Number of RDS Seeds,60,contact->genetic,0.00014443928452068558,6.95113620187723e-05,16.16,18.360130718488907
Number of RDS Seeds,80,contact->genetic,0.00026046845706586825,9.575276291756193e-05,30.104,45.624786947447774
Number of RDS Seeds,100,contact->genetic,0.0003999686755811408,0.00012681105496699878,46.684,64.45153329440659
Number of RDS Seeds,20,contact->transmission,0.001203922677890899,0.0012132607238226514,0.972,0.9814356830684322
Number of RDS Seeds,40,contact->transmission,0.002572676124764133,0.001841820945122389,2.08,1.4837789592793127
Number of RDS Seeds,60,contact->transmission,0.0041769560437788286,0.0023751426844502584,3.38,1.9358718965882016
Number of RDS Seeds,80,contact->transmission,0.005395244694716358,0.0027107138571567276,4.36,2.195996357009729
Number of RDS Seeds,100,contact->transmission,0.007179815142267607,0.0031236592298709283,5.808,2.524110932585967
Number of RDS Seeds,20,social->genetic,0.013638773949201552,0.004371415486623801,1516.836,1480.9036191136813
Number of RDS Seeds,40,social->genetic,0.010769608653333089,0.013826249936899482,1169.524,2098.2488740433055
Number of RDS Seeds,60,social->genetic,0.00538378109610199,0.0013009340413670182,594.408,608.2224737182933
Number of RDS Seeds,80,social->genetic,0.00905773120474049,0.0017618645516197212,1003.556,1051.0771345928897
Number of RDS Seeds,100,social->genetic,0.013513918671918477,0.002411651987113106,1518.924,1801.6593924002398
Number of RDS Seeds,20,social->transmission,0.033620289428793526,0.01133896143716113,27.212,9.31874755533167
Number of RDS Seeds,40,social->transmission,0.025051925974504768,0.03125437100260429,20.168,25.130932652808568
Number of RDS Seeds,60,social->transmission,0.014010954808878186,0.004769869377604024,11.332,3.8582089108807986
Number of RDS Seeds,80,social->transmission,0.02249333952301481,0.006095244911600617,18.192,4.945617858266043
Number of RDS Seeds,100,social->transmission,0.032794416323896854,0.007996061620707892,26.524,6.501801596480779
