SN GN count,SN GN total,CN GN count,CN GN total,SN TN count,SN TN total,CN TN count,CN TN total
3163,136529,74,136529,55,845,8,845
1962,92893,60,92893,59,819,6,819
3951,152615,73,152615,48,818,5,818
2448,111392,76,111392,60,788,14,788
4055,167559,77,167559,38,811,5,811
3419,185757,84,185757,32,824,9,824
1687,73027,38,73027,56,860,8,860
886,36142,21,36142,42,824,5,824
4508,243479,129,243479,38,730,5,730
1649,66903,43,66903,41,774,8,774
6138,223149,109,223149,52,842,3,842
2822,131691,54,131691,35,805,12,805
2917,119066,41,119066,46,829,5,829
938,48776,40,48776,31,830,11,830
1223,69283,46,69283,40,853,12,853
1166,57387,23,57387,44,802,9,802
1024,41705,27,41705,32,785,4,785
1736,65363,44,65363,49,829,9,829
1254,62231,40,62231,35,771,12,771
1953,94674,62,94674,30,794,10,794
1480,67702,38,67702,37,760,6,760
1558,78658,38,78658,35,795,3,795
1267,48549,21,48549,49,819,2,819
1992,70314,31,70314,54,744,4,744
1656,61370,34,61370,53,812,7,812
2551,83302,56,83302,35,763,3,763
847,36034,29,36034,34,847,9,847
2405,131812,63,131812,41,832,5,832
1281,47038,33,47038,42,786,4,786
863,43100,21,43100,44,807,3,807
9314,381575,186,381575,45,795,4,795
1538,76579,34,76579,33,805,6,805
2203,102372,36,102372,45,829,4,829
3227,131288,104,131288,44,824,7,824
2605,102676,90,102676,56,785,5,785
2842,131002,82,131002,47,759,6,759
1423,90733,66,90733,22,795,5,795
2052,86424,53,86424,43,766,8,766
1830,79534,50,79534,42,777,4,777
2642,111370,51,111370,39,815,8,815
1027,40844,31,40844,40,798,7,798
2428,91165,45,91165,50,778,3,778
2101,84821,36,84821,44,828,2,828
7907,334609,176,334609,38,749,6,749
900,38525,21,38525,49,825,9,825
1700,76628,41,76628,44,818,10,818
1403,69479,27,69479,33,807,6,807
1781,75906,25,75906,45,830,7,830
788,39657,21,39657,44,805,11,805
1176,57117,85,57117,46,830,9,830
2065,102016,50,102016,33,828,8,828
2477,89952,35,89952,42,831,8,831
1307,50907,21,50907,54,817,3,817
5842,196837,102,196837,55,814,8,814
1528,65136,32,65136,33,799,7,799
4927,219340,102,219340,38,805,8,805
2011,75691,54,75691,54,852,11,852
4345,213398,82,213398,25,830,4,830
2332,113120,85,113120,46,868,16,868
2396,87826,61,87826,41,809,5,809
2638,100208,51,100208,52,755,7,755
2197,77075,56,77075,74,779,4,779
655,35195,23,35195,38,835,9,835
1324,61092,44,61092,36,785,4,785
1082,49143,15,49143,59,837,3,837
3591,148447,89,148447,48,834,5,834
3516,138726,72,138726,43,792,10,792
2312,124283,56,124283,31,787,8,787
3707,179378,77,179378,43,819,4,819
2266,86812,50,86812,48,816,3,816
871,39779,21,39779,47,805,6,805
1630,69944,41,69944,49,799,5,799
3766,195059,96,195059,36,803,4,803
2817,135877,68,135877,37,770,5,770
1647,66120,37,66120,45,817,10,817
4548,140594,76,140594,50,794,5,794
1742,64702,37,64702,45,773,3,773
2103,82794,48,82794,49,836,8,836
2461,114381,97,114381,37,760,9,760
1522,55687,39,55687,55,868,6,868
5971,233332,106,233332,34,784,10,784
3204,133467,70,133467,35,745,4,745
1671,70343,33,70343,46,849,4,849
1610,63273,35,63273,39,801,10,801
1648,84807,27,84807,31,790,9,790
1372,52793,43,52793,47,787,5,787
3591,145522,89,145522,48,832,9,832
3521,149062,92,149062,48,854,4,854
905,34608,28,34608,44,775,6,775
2001,74968,58,74968,42,792,6,792
1150,41167,27,41167,48,828,2,828
3290,124947,61,124947,41,798,7,798
2202,87026,41,87026,33,838,3,838
2445,99126,59,99126,57,839,5,839
1844,83111,42,83111,51,828,5,828
1953,64536,31,64536,53,779,8,779
3233,130927,50,130927,46,832,4,832
2524,113572,68,113572,37,783,4,783
1530,64491,40,64491,39,800,9,800
1375,66481,45,66481,37,808,9,808
1800,79032,42,79032,38,785,8,785
1335,48839,29,48839,47,840,5,840
5489,228713,113,228713,48,857,4,857
2553,110820,65,110820,39,787,8,787
5326,201475,76,201475,54,835,7,835
2351,108215,57,108215,47,845,6,845
1660,56533,45,56533,53,795,6,795
1642,60202,21,60202,51,836,6,836
566,29466,12,29466,28,786,4,786
1083,69776,33,69776,26,782,5,782
9646,404164,161,404164,42,824,10,824
3451,111880,50,111880,51,818,1,818
1465,53379,25,53379,46,832,4,832
2131,87450,42,87450,47,809,5,809
3244,133409,58,133409,44,837,9,837
1335,55013,30,55013,47,781,10,781
7295,316668,178,316668,51,845,7,845
2485,115444,73,115444,40,773,4,773
1016,44196,23,44196,50,808,5,808
2959,93565,53,93565,49,757,8,757
965,47147,28,47147,31,833,4,833
1950,115225,57,115225,38,824,7,824
1454,61712,36,61712,55,808,6,808
1459,64163,19,64163,38,813,4,813
1226,39679,38,39679,43,816,8,816
2002,86206,24,86206,39,860,5,860
1282,70891,63,70891,39,758,11,758
1550,67252,44,67252,53,795,8,795
1735,67013,24,67013,45,858,7,858
4009,147866,71,147866,40,790,7,790
6022,232458,168,232458,45,805,11,805
983,38824,12,38824,46,828,6,828
2145,83324,39,83324,40,794,7,794
976,50499,46,50499,27,839,8,839
7040,278226,163,278226,48,839,9,839
1843,90473,37,90473,29,775,4,775
2960,114738,96,114738,33,785,7,785
1279,51140,29,51140,40,779,3,779
1821,97530,45,97530,36,800,5,800
1830,80532,30,80532,39,809,4,809
3615,142301,74,142301,53,810,6,810
2851,102791,42,102791,44,840,8,840
1469,50481,31,50481,50,822,3,822
1176,51498,34,51498,36,813,8,813
3187,150195,87,150195,29,786,5,786
660,32658,17,32658,44,831,6,831
4521,165083,57,165083,41,830,6,830
2506,87950,76,87950,38,824,8,824
3056,133277,82,133277,40,766,6,766
4312,175583,94,175583,40,836,7,836
2809,76992,21,76992,68,820,7,820
4636,141808,110,141808,54,829,10,829
1414,50020,26,50020,60,841,7,841
1432,57502,25,57502,31,834,2,834
847,36557,16,36557,43,786,3,786
1742,69893,25,69893,40,795,3,795
948,35576,16,35576,42,812,4,812
5134,273269,187,273269,41,803,6,803
1961,71427,25,71427,46,795,6,795
1367,59062,38,59062,35,790,5,790
3170,151350,64,151350,48,799,12,799
