ID1,ID2,Distance
N13103|14584|1.077897,N13102|15272|4.952835,0.00488197
N14470|2051|0.069235,N14469|9958|4.957319,0.013942
N14470|2051|0.069235,N14467|14937|0.873696,0.00980367
N13103|14584|1.077897,N13089|9947|1.684549,0.00734347
N14470|2051|0.069235,N14455|15368|0.108265,0.0114663
N13103|14584|1.077897,N13113|10094|2.663442,0.0073538
N13103|14584|1.077897,N13087|15231|1.536296,0.0073419
N13103|14584|1.077897,N13122|11277|0.113937,0.00735051
N13103|14584|1.077897,N13090|1974|0.408154,0.00982536
N14470|2051|0.069235,N14468|10026|0.62196,0.00816653
N14470|2051|0.069235,N14446|11209|4.108349,0.0148142
N13103|14584|1.077897,N13094|2994|0.096095,0.0106445
N13103|14584|1.077897,N13111|6129|2.131838,0.00734805
N13103|14584|1.077897,N13096|13278|0.164348,0.00981394
N13103|14584|1.077897,N13118|13640|1.327753,0.00818229
N13103|14584|1.077897,N13088|1893|0.60263,0.00654914
N13103|14584|1.077897,N13116|11806|2.292663,0.00407467
N13103|14584|1.077897,N13100|8222|0.74872,0.0032523
N14470|2051|0.069235,N14452|4457|3.242884,0.0139602
N13102|15272|4.952835,N13089|9947|1.684549,0.0122876
N13102|15272|4.952835,N13113|10094|2.663442,0.0123029
N13102|15272|4.952835,N13087|15231|1.536296,0.0122865
N13102|15272|4.952835,N13122|11277|0.113937,0.0122993
N13102|15272|4.952835,N13090|1974|0.408154,0.014797
N14470|2051|0.069235,N14457|2234|0.051345,0.011456
N13102|15272|4.952835,N13111|6129|2.131838,0.012292
N13102|15272|4.952835,N13096|13278|0.164348,0.0147808
N13102|15272|4.952835,N13118|13640|1.327753,0.0131404
N14470|2051|0.069235,N14450|2923|2.722264,0.0131208
N13102|15272|4.952835,N13088|1893|0.60263,0.0114981
N13102|15272|4.952835,N13116|11806|2.292663,0.00899647
N13102|15272|4.952835,N13100|8222|0.74872,0.00816056
N15847|9157|4.472566,N15850|11126|1.813967,0.0139418
N14262|1597|0.968195,N14256|2361|2.709391,0.013121
N14262|1597|0.968195,N14265|14519|0.497099,0.00902851
N17182|11721|0.936944,N17193|3560|2.828749,0.0147756
N17182|11721|0.936944,N17238|10427|0.286139,0.0148146
N17182|11721|0.936944,N17191|14069|0.693436,0.0114663
N17182|11721|0.936944,N17225|10239|0.381539,0.0139431
N17182|11721|0.936944,N17184|5654|5.246668,0.0139528
N17182|11721|0.936944,N17086|5363|0.089245,0.0140129
N17182|11721|0.936944,N17185|7655|0.558668,0.00736015
N17182|11721|0.936944,N17181|4401|0.53632,0.00244221
N14519|10382|1.54438,N14516|13994|2.725298,0.00570953
N17182|11721|0.936944,N17205|11983|1.073939,0.0147831
N17182|11721|0.936944,N17163|11990|2.837774,0.0123103
N17182|11721|0.936944,N17172|5217|4.193193,0.00900644
N17182|11721|0.936944,N17187|7131|2.906685,0.0131309
N17182|11721|0.936944,N17177|3593|0.144272,0.00734732
N17182|11721|0.936944,N17171|9191|0.137116,0.00652719
N17182|11721|0.936944,N17176|2134|0.442371,0.0073576
N17182|11721|0.936944,N17190|2414|0.023608,0.00898946
N17182|11721|0.936944,N17173|6995|1.953913,0.00982431
N17182|11721|0.936944,N17178|13209|1.056091,0.00570144
N17182|11721|0.936944,N17179|6221|2.450602,0.0057056
N17182|11721|0.936944,N17180|7226|1.06179,0.00734254
N17182|11721|0.936944,N17186|1571|1.229325,0.0139512
N20081|3352|0.51775,N20084|5483|3.485852,0.0139534
N20081|3352|0.51775,N20087|11174|0.841979,0.0131525
N20081|3352|0.51775,N20078|12206|0.226102,0.0148374
N20081|3352|0.51775,N20085|5111|1.107283,0.0131048
N14064|14848|0.59529,N14062|13225|12.590804,0.0139617
N14064|14848|0.59529,N13999|14492|0.040785,0.0131728
N14064|14848|0.59529,N14067|2269|0.010753,0.00898956
N14064|14848|0.59529,N14060|10444|2.060801,0.00570566
N14064|14848|0.59529,N14057|15345|0.786662,0.0098016
N14064|14848|0.59529,N14000|9154|1.780998,0.0148177
N14064|14848|0.59529,N14061|1836|1.12931,0.00898503
N14064|14848|0.59529,N14066|9345|0.51248,0.00736153
N13972|9808|1.24686,N13975|5179|2.473467,0.0122887
N13972|9808|1.24686,N13992|13288|0.821663,0.0139511
N13972|9808|1.24686,N13991|6398|5.908417,0.0147854
N13972|9808|1.24686,N13985|10724|0.15047,0.0131207
N13972|9808|1.24686,N13970|13697|0.29653,0.00980795
N13972|9808|1.24686,N13983|12735|0.401679,0.0131206
N13972|9808|1.24686,N13976|4462|0.48978,0.0106362
N13972|9808|1.24686,N13978|13397|1.008479,0.00982515
N13972|9808|1.24686,N13982|11488|2.802492,0.0139699
N13972|9808|1.24686,N13981|14909|0.197416,0.00735012
N13972|9808|1.24686,N13977|7136|0.286857,0.0106474
N13972|9808|1.24686,N13949|10661|1.001829,0.013131
N13972|9808|1.24686,N13947|3673|1.860369,0.0139472
N13972|9808|1.24686,N13939|5208|2.371036,0.0098225
N13972|9808|1.24686,N13926|12946|0.310367,0.0106475
N13972|9808|1.24686,N13950|10071|2.174569,0.0114687
N13972|9808|1.24686,N13945|2619|0.432079,0.013129
N13972|9808|1.24686,N13979|13127|1.739586,0.0114535
N13972|9808|1.24686,N13971|13215|3.914296,0.0106474
N13972|9808|1.24686,N13942|14518|1.714958,0.0114688
N13972|9808|1.24686,N13984|6525|0.624379,0.0131198
N13972|9808|1.24686,N13952|12038|0.162061,0.00980791
N13972|9808|1.24686,N13944|1439|1.162642,0.0114686
N13972|9808|1.24686,N13937|6934|1.151532,0.0123101
N13972|9808|1.24686,N13938|11033|0.713636,0.00982235
N13972|9808|1.24686,N13928|4058|1.188344,0.0122826
N13972|9808|1.24686,N13973|4137|3.580948,0.00654315
N14861|4363|3.530912,N14840|9664|1.673437,0.013935
N14861|4363|3.530912,N14841|10082|0.4902,0.00980764
N14861|4363|3.530912,N14844|7899|1.131226,0.0106433
N14861|4363|3.530912,N14856|10053|0.451908,0.00898341
N14861|4363|3.530912,N14852|1805|1.346055,0.00980762
N15719|11987|0.74668,N15712|13500|6.12E-4,0.0139464
N14861|4363|3.530912,N14855|12897|1.93606,0.0114532
N15719|11987|0.74668,N15724|3921|0.947124,0.0122889
N14861|4363|3.530912,N14849|3099|1.385848,0.0122745
N15719|11987|0.74668,N15709|9813|1.210131,0.0131091
N14861|4363|3.530912,N14836|11917|1.612086,0.0122766
N14861|4363|3.530912,N14838|14916|3.444311,0.0139421
N14861|4363|3.530912,N14857|14138|0.110423,0.00733424
N14861|4363|3.530912,N14846|7178|3.488299,0.0139415
N14861|4363|3.530912,N14839|6569|0.038724,0.0114532
N14861|4363|3.530912,N14851|11122|0.708595,0.0073375
N14861|4363|3.530912,N14862|7996|2.178237,0.00980764
N19218|14105|0.898307,N19212|3932|0.069704,0.00815518
N19218|14105|0.898307,N19215|11590|1.810779,0.00898568
N14861|4363|3.530912,N14864|4173|5.563923,0.0122928
N14861|4363|3.530912,N14853|2095|2.937236,0.0122824
N14861|4363|3.530912,N14854|6068|1.794765,0.0114532
N19218|14105|0.898307,N19217|6035|0.484097,0.00406412
N14861|4363|3.530912,N14842|12103|2.932854,0.0148123
N19211|8780|5.434881,N19216|5145|2.087048,0.0114662
N19211|8780|5.434881,N19213|2781|0.267007,0.0122915
N19211|8780|5.434881,N19208|10891|2.186352,0.00981667
N19211|8780|5.434881,N19214|4788|0.940082,0.0131245
N19211|8780|5.434881,N19218|14105|0.898307,0.0122869
