ID1,ID2,Distance
N12065|9912|2.547287,N12069|10288|0.594313,0.00981118
N8973|13432|0.821353,N8995|9767|0.093761,0.0113071
N8973|13432|0.821353,N9000|14092|3.681011,0.0120781
N8973|13432|0.821353,N8975|8112|3.0906,0.0143823
N12065|9912|2.547287,N12068|4042|1.574559,0.00982233
N8973|13432|0.821353,N8987|12369|2.581407,0.0128472
N8973|13432|0.821353,N9006|13330|0.726535,0.0120711
N8973|13432|0.821353,N8993|4635|1.045422,0.0143564
N8973|13432|0.821353,N8970|4419|0.56897,0.013583
N8973|13432|0.821353,N8998|8895|0.53297,0.0105481
N12065|9912|2.547287,N12066|9582|0.487874,0.0113487
N12065|9912|2.547287,N12064|11578|0.275691,0.00602228
N8973|13432|0.821353,N8965|12113|0.194089,0.0143594
N8973|13432|0.821353,N9026|4901|0.425659,0.0128454
N8973|13432|0.821353,N9007|15085|0.251445,0.0120805
N8973|13432|0.821353,N8989|5377|0.312418,0.0135921
N8973|13432|0.821353,N8971|14484|1.194966,0.0120649
N11351|10151|0.167471,N11333|13992|0.191416,0.0136083
N8261|2352|1.545443,N8260|10787|0.016848,0.0128587
N8261|2352|1.545443,N8264|14874|0.849296,0.00828112
N11351|10151|0.167471,N11334|2036|0.158034,0.014372
N11351|10151|0.167471,N11340|7767|0.108172,0.0120898
N11351|10151|0.167471,N11353|8520|1.203181,0.012847
N11351|10151|0.167471,N11331|9521|1.244574,0.0128406
N8261|2352|1.545443,N8262|8724|0.663581,0.00828955
N8261|2352|1.545443,N8267|13384|0.352047,0.00676712
N8261|2352|1.545443,N8273|11290|1.161358,0.0136171
N8261|2352|1.545443,N8274|7336|0.348367,0.0143762
N8261|2352|1.545443,N8280|3897|0.015827,0.0143717
N8261|2352|1.545443,N8263|5898|1.302239,0.0105613
N8403|8628|3.162212,N8404|6425|0.786042,0.00752702
N8403|8628|3.162212,N8405|15279|4.041457,0.00828451
N8335|9468|2.533047,N8334|5133|5.859445,0.0120889
N12844|4618|0.398553,N12834|3046|0.16408,0.0120906
N12844|4618|0.398553,N12855|4749|2.702899,0.00828885
N12844|4618|0.398553,N12848|11876|0.621978,0.0113321
N12844|4618|0.398553,N12849|11845|4.718263,0.0128628
N12844|4618|0.398553,N12870|11319|1.314221,0.0120752
N12844|4618|0.398553,N12872|1738|0.949794,0.00752204
N12844|4618|0.398553,N12860|3467|1.875341,0.0113423
N12844|4618|0.398553,N12847|5625|2.505128,0.0105666
N12844|4618|0.398553,N12846|4106|0.705101,0.0113419
N12844|4618|0.398553,N12842|7973|4.313306,0.0136313
N12844|4618|0.398553,N12829|6125|0.337015,0.0105572
N12844|4618|0.398553,N12871|15119|1.034172,0.0105702
N12844|4618|0.398553,N12825|9407|0.226891,0.0143795
N12844|4618|0.398553,N12833|13705|1.482659,0.0120833
N12844|4618|0.398553,N12819|2765|0.397798,0.01361
N12844|4618|0.398553,N12875|14912|1.225719,0.00979969
N12844|4618|0.398553,N12866|4692|0.712013,0.0113318
N12844|4618|0.398553,N12851|14220|0.053727,0.00980604
N12844|4618|0.398553,N12839|5468|2.292026,0.0105661
N12844|4618|0.398553,N12868|11081|0.545549,0.00904706
N12844|4618|0.398553,N12863|6026|0.780482,0.00981265
N12844|4618|0.398553,N12873|11347|0.968182,0.00676401
N12844|4618|0.398553,N12845|12366|0.954753,0.00374806
N12844|4618|0.398553,N12814|12337|1.281649,0.0128463
N12844|4618|0.398553,N12869|15177|1.578942,0.0113075
N11704|2871|1.568005,N11708|7728|3.501739,0.0121031
N11704|2871|1.568005,N11706|6948|3.719669,0.0105504
N11704|2871|1.568005,N11707|12230|3.1348,0.0105556
N12912|13776|3.656707,N12916|4292|2.830616,0.0136344
N12912|13776|3.656707,N12914|10565|1.670261,0.00979222
N12912|13776|3.656707,N12910|10428|0.533497,0.00600924
N9641|6161|1.874288,N9637|6541|0.040033,0.0113331
N9641|6161|1.874288,N9636|12541|1.350734,0.012102
N9641|6161|1.874288,N9642|4474|1.945641,0.00525333
N7464|7892|0.789983,N7467|2966|0.041425,0.0105698
N7464|7892|0.789983,N7465|13414|0.41721,0.00374872
N10273|3099|0.685814,N10288|10764|0.097086,0.00981891
N10273|3099|0.685814,N10284|6198|2.151964,0.0144088
N10273|3099|0.685814,N10278|15359|0.594545,0.0105544
N10273|3099|0.685814,N10281|13426|1.004633,0.0121031
N10273|3099|0.685814,N10274|14123|3.016809,0.00601135
N7464|7892|0.789983,N7466|9452|1.265518,0.00904674
N10273|3099|0.685814,N10293|11474|0.285022,0.0128459
N10273|3099|0.685814,N10290|13064|0.36306,0.0121026
N10273|3099|0.685814,N10275|2602|5.348383,0.00752199
N10273|3099|0.685814,N10286|1830|0.943187,0.0128508
N10273|3099|0.685814,N10276|7957|0.048495,0.0105657
N7856|10759|0.105414,N7866|3644|2.136389,0.00752484
N7856|10759|0.105414,N7868|9551|2.951301,0.0128531
N7856|10759|0.105414,N7855|14767|0.4965,0.00828223
N7856|10759|0.105414,N7871|9448|0.010894,0.00753326
N7856|10759|0.105414,N7859|14363|0.045133,0.00224759
N7856|10759|0.105414,N7862|14158|0.530439,0.00224759
N11716|7314|0.967069,N11717|5428|7.008864,0.00752126
N7856|10759|0.105414,N7864|9899|4.39278,0.00752117
N11716|7314|0.967069,N11715|2178|1.605908,0.0082998
N11716|7314|0.967069,N11718|9360|1.149507,0.0144044
N11716|7314|0.967069,N11724|8541|1.407325,0.0143765
N7545|10060|0.81313,N7544|4570|0.383438,0.00451381
N7545|10060|0.81313,N7546|11639|1.01864,0.00451381
N9973|5830|0.024053,N9954|12625|0.741205,0.00753683
N9973|5830|0.024053,N9977|3278|1.348423,0.00979402
N9973|5830|0.024053,N9959|5122|0.881615,0.00677431
N9973|5830|0.024053,N9964|12899|1.047987,0.00829023
N9973|5830|0.024053,N9963|1376|0.240791,0.00602267
N9973|5830|0.024053,N9957|5240|1.669481,0.0128527
N7366|5262|1.189449,N7363|1915|1.5495,0.0052596
N7366|5262|1.189449,N7364|7807|0.409548,0.00526072
N9973|5830|0.024053,N9953|14479|2.854385,0.0113235
N12652|4036|0.440731,N12609|1653|0.018811,0.0113262
N7366|5262|1.189449,N7365|13452|0.714729,0.00525961
N12652|4036|0.440731,N12654|12808|0.911918,0.0144296
N12652|4036|0.440731,N12619|12035|2.228851,0.0136199
N12652|4036|0.440731,N12644|2521|0.090661,0.012837
N12652|4036|0.440731,N12589|7723|0.307274,0.0120832
N12652|4036|0.440731,N12610|12496|0.984136,0.0120886
N12652|4036|0.440731,N12618|9643|1.090954,0.0105661
N12652|4036|0.440731,N12650|11771|6.235047,0.0105665
N12652|4036|0.440731,N12633|3783|1.902957,0.011326
N12652|4036|0.440731,N12639|12571|2.108927,0.0105549
N12652|4036|0.440731,N12646|11266|0.161905,0.014367
N12652|4036|0.440731,N12624|14053|0.034262,0.0136098
N12652|4036|0.440731,N12634|10371|0.360789,0.0105614
N7366|5262|1.189449,N7368|10533|0.236653,0.0143634
N7366|5262|1.189449,N7372|5309|1.064702,0.0143666
N12652|4036|0.440731,N12635|7451|0.723387,0.00979852
N12652|4036|0.440731,N12622|7412|1.64973,0.0120808
N7366|5262|1.189449,N7369|4017|0.973189,0.012075
N7366|5262|1.189449,N7362|15129|1.498557,0.0075174
N12652|4036|0.440731,N12623|8809|0.080364,0.0128412
N12652|4036|0.440731,N12591|5718|0.398049,0.0143786
N12652|4036|0.440731,N12631|7002|1.84631,0.00979452
N12652|4036|0.440731,N12607|7915|0.055515,0.0128484
